context: Squeak, squeak, squeak! response:	Look how the hamsters eat their food so squeaky clean.
context: Squeak, squeak, squeak!\Look how the hamsters eat their food so squeaky clean. response:	They're squeakily cute!
context: Squeak, squeak, squeak!\Look how the hamsters eat their food so squeaky clean.\They're squeakily cute! response:	What are you doing?
context: Squeak, squeak, squeak!\Look how the hamsters eat their food so squeaky clean.\They're squeakily cute!\What are you doing? response:	Huh? What's that?
context: Squeak, squeak, squeak!\Look how the hamsters eat their food so squeaky clean.\They're squeakily cute!\What are you doing?\Huh? What's that? response:	Oh.
context: Squeak, squeak, squeak!\Look how the hamsters eat their food so squeaky clean.\They're squeakily cute!\What are you doing?\Huh? What's that?\Oh. response:	Bomba let me have this.
context: Squeak, squeak, squeak!\Look how the hamsters eat their food so squeaky clean.\They're squeakily cute!\What are you doing?\Huh? What's that?\Oh.\Bomba let me have this. response:	A single-lens camera?!
context: Squeak, squeak, squeak!\Look how the hamsters eat their food so squeaky clean.\They're squeakily cute!\What are you doing?\Huh? What's that?\Oh.\Bomba let me have this.\A single-lens camera?! response:	Huh? Why would he give you something so COOL?!
context: Look how the hamsters eat their food so squeaky clean.\They're squeakily cute!\What are you doing?\Huh? What's that?\Oh.\Bomba let me have this.\A single-lens camera?!\Huh? Why would he give you something so COOL?! response:	He said he bought a new one so he won't use this anymore.
context: They're squeakily cute!\What are you doing?\Huh? What's that?\Oh.\Bomba let me have this.\A single-lens camera?!\Huh? Why would he give you something so COOL?!\He said he bought a new one so he won't use this anymore. response:	It's made by a different company, so none of the lenses fit.
context: What are you doing?\Huh? What's that?\Oh.\Bomba let me have this.\A single-lens camera?!\Huh? Why would he give you something so COOL?!\He said he bought a new one so he won't use this anymore.\It's made by a different company, so none of the lenses fit. response:	As of today, I'm with Team Canon!
context: Huh? What's that?\Oh.\Bomba let me have this.\A single-lens camera?!\Huh? Why would he give you something so COOL?!\He said he bought a new one so he won't use this anymore.\It's made by a different company, so none of the lenses fit.\As of today, I'm with Team Canon! response:	Yeah, that sounds like Bomba...
context: Oh.\Bomba let me have this.\A single-lens camera?!\Huh? Why would he give you something so COOL?!\He said he bought a new one so he won't use this anymore.\It's made by a different company, so none of the lenses fit.\As of today, I'm with Team Canon!\Yeah, that sounds like Bomba... response:	Still, taking photos doesn't really sound like Bomba.
context: Bomba let me have this.\A single-lens camera?!\Huh? Why would he give you something so COOL?!\He said he bought a new one so he won't use this anymore.\It's made by a different company, so none of the lenses fit.\As of today, I'm with Team Canon!\Yeah, that sounds like Bomba...\Still, taking photos doesn't really sound like Bomba. response:	He's been doing it since high school.
context: A single-lens camera?!\Huh? Why would he give you something so COOL?!\He said he bought a new one so he won't use this anymore.\It's made by a different company, so none of the lenses fit.\As of today, I'm with Team Canon!\Yeah, that sounds like Bomba...\Still, taking photos doesn't really sound like Bomba.\He's been doing it since high school. response:	It's just, he gets bored easily and jumps from hobby to hobby.
context: Huh? Why would he give you something so COOL?!\He said he bought a new one so he won't use this anymore.\It's made by a different company, so none of the lenses fit.\As of today, I'm with Team Canon!\Yeah, that sounds like Bomba...\Still, taking photos doesn't really sound like Bomba.\He's been doing it since high school.\It's just, he gets bored easily and jumps from hobby to hobby. response:	Yeah, that DOES sound like Bomba...
context: He said he bought a new one so he won't use this anymore.\It's made by a different company, so none of the lenses fit.\As of today, I'm with Team Canon!\Yeah, that sounds like Bomba...\Still, taking photos doesn't really sound like Bomba.\He's been doing it since high school.\It's just, he gets bored easily and jumps from hobby to hobby.\Yeah, that DOES sound like Bomba... response:	So, how about I snap off a shot while you just act natural?
context: It's made by a different company, so none of the lenses fit.\As of today, I'm with Team Canon!\Yeah, that sounds like Bomba...\Still, taking photos doesn't really sound like Bomba.\He's been doing it since high school.\It's just, he gets bored easily and jumps from hobby to hobby.\Yeah, that DOES sound like Bomba...\So, how about I snap off a shot while you just act natural? response:	Huh? H-hold on, Big Brother!
context: As of today, I'm with Team Canon!\Yeah, that sounds like Bomba...\Still, taking photos doesn't really sound like Bomba.\He's been doing it since high school.\It's just, he gets bored easily and jumps from hobby to hobby.\Yeah, that DOES sound like Bomba...\So, how about I snap off a shot while you just act natural?\Huh? H-hold on, Big Brother! response:	Umaruuun!
context: Yeah, that sounds like Bomba...\Still, taking photos doesn't really sound like Bomba.\He's been doing it since high school.\It's just, he gets bored easily and jumps from hobby to hobby.\Yeah, that DOES sound like Bomba...\So, how about I snap off a shot while you just act natural?\Huh? H-hold on, Big Brother!\Umaruuun! response:	Okay, cheese!
context: Still, taking photos doesn't really sound like Bomba.\He's been doing it since high school.\It's just, he gets bored easily and jumps from hobby to hobby.\Yeah, that DOES sound like Bomba...\So, how about I snap off a shot while you just act natural?\Huh? H-hold on, Big Brother!\Umaruuun!\Okay, cheese! response:	How is that acting natural?!
context: He's been doing it since high school.\It's just, he gets bored easily and jumps from hobby to hobby.\Yeah, that DOES sound like Bomba...\So, how about I snap off a shot while you just act natural?\Huh? H-hold on, Big Brother!\Umaruuun!\Okay, cheese!\How is that acting natural?! response:	Tee-hee!
context: It's just, he gets bored easily and jumps from hobby to hobby.\Yeah, that DOES sound like Bomba...\So, how about I snap off a shot while you just act natural?\Huh? H-hold on, Big Brother!\Umaruuun!\Okay, cheese!\How is that acting natural?!\Tee-hee! response:	If I'm gonna leave behind a memory of me, I may as well look good in it!
context: Yeah, that DOES sound like Bomba...\So, how about I snap off a shot while you just act natural?\Huh? H-hold on, Big Brother!\Umaruuun!\Okay, cheese!\How is that acting natural?!\Tee-hee!\If I'm gonna leave behind a memory of me, I may as well look good in it! response:	She makes it sound like I'm painting her friggin' portrait...
context: So, how about I snap off a shot while you just act natural?\Huh? H-hold on, Big Brother!\Umaruuun!\Okay, cheese!\How is that acting natural?!\Tee-hee!\If I'm gonna leave behind a memory of me, I may as well look good in it!\She makes it sound like I'm painting her friggin' portrait... response:	Oh, I know! I'll take YOUR photo!
context: Huh? H-hold on, Big Brother!\Umaruuun!\Okay, cheese!\How is that acting natural?!\Tee-hee!\If I'm gonna leave behind a memory of me, I may as well look good in it!\She makes it sound like I'm painting her friggin' portrait...\Oh, I know! I'll take YOUR photo! response:	R-really?
context: Umaruuun!\Okay, cheese!\How is that acting natural?!\Tee-hee!\If I'm gonna leave behind a memory of me, I may as well look good in it!\She makes it sound like I'm painting her friggin' portrait...\Oh, I know! I'll take YOUR photo!\R-really? response:	It looks kind of plain...
context: Okay, cheese!\How is that acting natural?!\Tee-hee!\If I'm gonna leave behind a memory of me, I may as well look good in it!\She makes it sound like I'm painting her friggin' portrait...\Oh, I know! I'll take YOUR photo!\R-really?\It looks kind of plain... response:	Just hurry up and take it.
context: How is that acting natural?!\Tee-hee!\If I'm gonna leave behind a memory of me, I may as well look good in it!\She makes it sound like I'm painting her friggin' portrait...\Oh, I know! I'll take YOUR photo!\R-really?\It looks kind of plain...\Just hurry up and take it. response:	Come on, Big Brother! Give us a smile! Say chee...!
context: Tee-hee!\If I'm gonna leave behind a memory of me, I may as well look good in it!\She makes it sound like I'm painting her friggin' portrait...\Oh, I know! I'll take YOUR photo!\R-really?\It looks kind of plain...\Just hurry up and take it.\Come on, Big Brother! Give us a smile! Say chee...! response:	Hey! I was making some kind of weird face, wasn't I?!
context: If I'm gonna leave behind a memory of me, I may as well look good in it!\She makes it sound like I'm painting her friggin' portrait...\Oh, I know! I'll take YOUR photo!\R-really?\It looks kind of plain...\Just hurry up and take it.\Come on, Big Brother! Give us a smile! Say chee...!\Hey! I was making some kind of weird face, wasn't I?! response:	Nah, not at all!
context: She makes it sound like I'm painting her friggin' portrait...\Oh, I know! I'll take YOUR photo!\R-really?\It looks kind of plain...\Just hurry up and take it.\Come on, Big Brother! Give us a smile! Say chee...!\Hey! I was making some kind of weird face, wasn't I?!\Nah, not at all! response:	You friggin' took it when you'd only said Chee!
context: Oh, I know! I'll take YOUR photo!\R-really?\It looks kind of plain...\Just hurry up and take it.\Come on, Big Brother! Give us a smile! Say chee...!\Hey! I was making some kind of weird face, wasn't I?!\Nah, not at all!\You friggin' took it when you'd only said Chee! response:	Photos are a lot of fun, huh?
context: R-really?\It looks kind of plain...\Just hurry up and take it.\Come on, Big Brother! Give us a smile! Say chee...!\Hey! I was making some kind of weird face, wasn't I?!\Nah, not at all!\You friggin' took it when you'd only said Chee!\Photos are a lot of fun, huh? response:	Huh?
