context: It's okay. response:	Bell-kun is alive.
context: It's okay.\Bell-kun is alive. response:	The blessing I gave him hasn't disappeared.
context: It's okay.\Bell-kun is alive.\The blessing I gave him hasn't disappeared. response:	Burn, dark magics!
context: It's okay.\Bell-kun is alive.\The blessing I gave him hasn't disappeared.\Burn, dark magics! response:	Will o' Wisp!
context: It's okay.\Bell-kun is alive.\The blessing I gave him hasn't disappeared.\Burn, dark magics!\Will o' Wisp! response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: It's okay.\Bell-kun is alive.\The blessing I gave him hasn't disappeared.\Burn, dark magics!\Will o' Wisp!\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Under Resort Labyrinth Utopia
context: It's okay.\Bell-kun is alive.\The blessing I gave him hasn't disappeared.\Burn, dark magics!\Will o' Wisp!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Under Resort Labyrinth Utopia response:	They're so strong...
context: It's okay.\Bell-kun is alive.\The blessing I gave him hasn't disappeared.\Burn, dark magics!\Will o' Wisp!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Under Resort Labyrinth Utopia\They're so strong... response:	The monsters were wiped out instantly.
context: Bell-kun is alive.\The blessing I gave him hasn't disappeared.\Burn, dark magics!\Will o' Wisp!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Under Resort Labyrinth Utopia\They're so strong...\The monsters were wiped out instantly. response:	Incredible.
context: The blessing I gave him hasn't disappeared.\Burn, dark magics!\Will o' Wisp!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Under Resort Labyrinth Utopia\They're so strong...\The monsters were wiped out instantly.\Incredible. response:	Let's go.
context: Burn, dark magics!\Will o' Wisp!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Under Resort Labyrinth Utopia\They're so strong...\The monsters were wiped out instantly.\Incredible.\Let's go. response:	Asfi Al Andromeda...
context: Will o' Wisp!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Under Resort Labyrinth Utopia\They're so strong...\The monsters were wiped out instantly.\Incredible.\Let's go.\Asfi Al Andromeda... response:	One of our generation's greatest item makers.
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Under Resort Labyrinth Utopia\They're so strong...\The monsters were wiped out instantly.\Incredible.\Let's go.\Asfi Al Andromeda...\One of our generation's greatest item makers. response:	Her title is The Omnipotent Perseus.
context: Under Resort Labyrinth Utopia\They're so strong...\The monsters were wiped out instantly.\Incredible.\Let's go.\Asfi Al Andromeda...\One of our generation's greatest item makers.\Her title is The Omnipotent Perseus. response:	And her...
context: They're so strong...\The monsters were wiped out instantly.\Incredible.\Let's go.\Asfi Al Andromeda...\One of our generation's greatest item makers.\Her title is The Omnipotent Perseus.\And her... response:	She's like the wind.
context: The monsters were wiped out instantly.\Incredible.\Let's go.\Asfi Al Andromeda...\One of our generation's greatest item makers.\Her title is The Omnipotent Perseus.\And her...\She's like the wind. response:	What's this?
context: Incredible.\Let's go.\Asfi Al Andromeda...\One of our generation's greatest item makers.\Her title is The Omnipotent Perseus.\And her...\She's like the wind.\What's this? response:	A cave-in, huh?
context: Let's go.\Asfi Al Andromeda...\One of our generation's greatest item makers.\Her title is The Omnipotent Perseus.\And her...\She's like the wind.\What's this?\A cave-in, huh? response:	Th-This is Bell-kun's...
context: Asfi Al Andromeda...\One of our generation's greatest item makers.\Her title is The Omnipotent Perseus.\And her...\She's like the wind.\What's this?\A cave-in, huh?\Th-This is Bell-kun's... response:	They're not here anymore.
context: One of our generation's greatest item makers.\Her title is The Omnipotent Perseus.\And her...\She's like the wind.\What's this?\A cave-in, huh?\Th-This is Bell-kun's...\They're not here anymore. response:	They lost most of their equipment here, and suffered casualties, too.
