context: FIVE YEARS AGO response:	REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME
context: FIVE YEARS AGO\REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME response:	The Revocs Corporation.
context: FIVE YEARS AGO\REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME\The Revocs Corporation. response:	They account for 70 of global apparel industry sales.
context: FIVE YEARS AGO\REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME\The Revocs Corporation.\They account for 70 of global apparel industry sales. response:	STOCK RATING
context: FIVE YEARS AGO\REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME\The Revocs Corporation.\They account for 70 of global apparel industry sales.\STOCK RATING response:	That's amazing...
context: FIVE YEARS AGO\REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME\The Revocs Corporation.\They account for 70 of global apparel industry sales.\STOCK RATING\That's amazing... response:	Oh, it's a company that's part of the Kiryuin conglomerate.
context: FIVE YEARS AGO\REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME\The Revocs Corporation.\They account for 70 of global apparel industry sales.\STOCK RATING\That's amazing...\Oh, it's a company that's part of the Kiryuin conglomerate. response:	Now I get it. That's interesting.
context: FIVE YEARS AGO\REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME\The Revocs Corporation.\They account for 70 of global apparel industry sales.\STOCK RATING\That's amazing...\Oh, it's a company that's part of the Kiryuin conglomerate.\Now I get it. That's interesting. response:	But one genius is going to alter the destiny of that company...
context: REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME\The Revocs Corporation.\They account for 70 of global apparel industry sales.\STOCK RATING\That's amazing...\Oh, it's a company that's part of the Kiryuin conglomerate.\Now I get it. That's interesting.\But one genius is going to alter the destiny of that company... response:	MIDDLE SCHOOL THIRD YEAR STUDENT HOUKA INUMUTA
context: The Revocs Corporation.\They account for 70 of global apparel industry sales.\STOCK RATING\That's amazing...\Oh, it's a company that's part of the Kiryuin conglomerate.\Now I get it. That's interesting.\But one genius is going to alter the destiny of that company...\MIDDLE SCHOOL THIRD YEAR STUDENT HOUKA INUMUTA response:	Uh-oh, their stocks are in a freefall! How terrible!
context: They account for 70 of global apparel industry sales.\STOCK RATING\That's amazing...\Oh, it's a company that's part of the Kiryuin conglomerate.\Now I get it. That's interesting.\But one genius is going to alter the destiny of that company...\MIDDLE SCHOOL THIRD YEAR STUDENT HOUKA INUMUTA\Uh-oh, their stocks are in a freefall! How terrible! response:	Crap! I've been found out?!
context: STOCK RATING\That's amazing...\Oh, it's a company that's part of the Kiryuin conglomerate.\Now I get it. That's interesting.\But one genius is going to alter the destiny of that company...\MIDDLE SCHOOL THIRD YEAR STUDENT HOUKA INUMUTA\Uh-oh, their stocks are in a freefall! How terrible!\Crap! I've been found out?! response:	How'd they manage to pinpoint my location so quickly?!
context: That's amazing...\Oh, it's a company that's part of the Kiryuin conglomerate.\Now I get it. That's interesting.\But one genius is going to alter the destiny of that company...\MIDDLE SCHOOL THIRD YEAR STUDENT HOUKA INUMUTA\Uh-oh, their stocks are in a freefall! How terrible!\Crap! I've been found out?!\How'd they manage to pinpoint my location so quickly?! response:	Not so much as a warning?!
context: Oh, it's a company that's part of the Kiryuin conglomerate.\Now I get it. That's interesting.\But one genius is going to alter the destiny of that company...\MIDDLE SCHOOL THIRD YEAR STUDENT HOUKA INUMUTA\Uh-oh, their stocks are in a freefall! How terrible!\Crap! I've been found out?!\How'd they manage to pinpoint my location so quickly?!\Not so much as a warning?! response:	I'm sorry! What I did was wrong!
context: Now I get it. That's interesting.\But one genius is going to alter the destiny of that company...\MIDDLE SCHOOL THIRD YEAR STUDENT HOUKA INUMUTA\Uh-oh, their stocks are in a freefall! How terrible!\Crap! I've been found out?!\How'd they manage to pinpoint my location so quickly?!\Not so much as a warning?!\I'm sorry! What I did was wrong! response:	It was a middle-school scamp's harmless prank!
context: But one genius is going to alter the destiny of that company...\MIDDLE SCHOOL THIRD YEAR STUDENT HOUKA INUMUTA\Uh-oh, their stocks are in a freefall! How terrible!\Crap! I've been found out?!\How'd they manage to pinpoint my location so quickly?!\Not so much as a warning?!\I'm sorry! What I did was wrong!\It was a middle-school scamp's harmless prank! response:	Please forgive me!
context: MIDDLE SCHOOL THIRD YEAR STUDENT HOUKA INUMUTA\Uh-oh, their stocks are in a freefall! How terrible!\Crap! I've been found out?!\How'd they manage to pinpoint my location so quickly?!\Not so much as a warning?!\I'm sorry! What I did was wrong!\It was a middle-school scamp's harmless prank!\Please forgive me! response:	No leniency? Dude, seriously?
context: Uh-oh, their stocks are in a freefall! How terrible!\Crap! I've been found out?!\How'd they manage to pinpoint my location so quickly?!\Not so much as a warning?!\I'm sorry! What I did was wrong!\It was a middle-school scamp's harmless prank!\Please forgive me!\No leniency? Dude, seriously? response:	A middle-schooler you may be,
context: Crap! I've been found out?!\How'd they manage to pinpoint my location so quickly?!\Not so much as a warning?!\I'm sorry! What I did was wrong!\It was a middle-school scamp's harmless prank!\Please forgive me!\No leniency? Dude, seriously?\A middle-schooler you may be, response:	but you have trespassed into territory you shouldn't have.
context: How'd they manage to pinpoint my location so quickly?!\Not so much as a warning?!\I'm sorry! What I did was wrong!\It was a middle-school scamp's harmless prank!\Please forgive me!\No leniency? Dude, seriously?\A middle-schooler you may be,\but you have trespassed into territory you shouldn't have. response:	A girl?
