context: Oh, man, we lost! response:	Win Nationals, take my third straight national high school title,
context: Oh, man, we lost!\Win Nationals, take my third straight national high school title, response:	generate unprecedented Watarin Fever,
context: Oh, man, we lost!\Win Nationals, take my third straight national high school title,\generate unprecedented Watarin Fever, response:	reluctantly move to the U.K...
context: Oh, man, we lost!\Win Nationals, take my third straight national high school title,\generate unprecedented Watarin Fever,\reluctantly move to the U.K... response:	Stir up the rumor mill with a model,
context: Oh, man, we lost!\Win Nationals, take my third straight national high school title,\generate unprecedented Watarin Fever,\reluctantly move to the U.K...\Stir up the rumor mill with a model, response:	lead the league in goals,
context: Oh, man, we lost!\Win Nationals, take my third straight national high school title,\generate unprecedented Watarin Fever,\reluctantly move to the U.K...\Stir up the rumor mill with a model,\lead the league in goals, response:	win ten Ballon d'Ors in a row...
context: Oh, man, we lost!\Win Nationals, take my third straight national high school title,\generate unprecedented Watarin Fever,\reluctantly move to the U.K...\Stir up the rumor mill with a model,\lead the league in goals,\win ten Ballon d'Ors in a row... response:	My life of smooth sailing...
context: Oh, man, we lost!\Win Nationals, take my third straight national high school title,\generate unprecedented Watarin Fever,\reluctantly move to the U.K...\Stir up the rumor mill with a model,\lead the league in goals,\win ten Ballon d'Ors in a row...\My life of smooth sailing... response:	I botched my chance of becoming a star.
context: Win Nationals, take my third straight national high school title,\generate unprecedented Watarin Fever,\reluctantly move to the U.K...\Stir up the rumor mill with a model,\lead the league in goals,\win ten Ballon d'Ors in a row...\My life of smooth sailing...\I botched my chance of becoming a star. response:	Setbacks come with the territory of becoming a superstar.
context: generate unprecedented Watarin Fever,\reluctantly move to the U.K...\Stir up the rumor mill with a model,\lead the league in goals,\win ten Ballon d'Ors in a row...\My life of smooth sailing...\I botched my chance of becoming a star.\Setbacks come with the territory of becoming a superstar. response:	It's more dramatic.
context: reluctantly move to the U.K...\Stir up the rumor mill with a model,\lead the league in goals,\win ten Ballon d'Ors in a row...\My life of smooth sailing...\I botched my chance of becoming a star.\Setbacks come with the territory of becoming a superstar.\It's more dramatic. response:	Same thing with Messi.
context: Stir up the rumor mill with a model,\lead the league in goals,\win ten Ballon d'Ors in a row...\My life of smooth sailing...\I botched my chance of becoming a star.\Setbacks come with the territory of becoming a superstar.\It's more dramatic.\Same thing with Messi. response:	Then it's the perfect deal for you.
context: lead the league in goals,\win ten Ballon d'Ors in a row...\My life of smooth sailing...\I botched my chance of becoming a star.\Setbacks come with the territory of becoming a superstar.\It's more dramatic.\Same thing with Messi.\Then it's the perfect deal for you. response:	I'm gonna hand over the role of this season's star to you, Kousei.
context: win ten Ballon d'Ors in a row...\My life of smooth sailing...\I botched my chance of becoming a star.\Setbacks come with the territory of becoming a superstar.\It's more dramatic.\Same thing with Messi.\Then it's the perfect deal for you.\I'm gonna hand over the role of this season's star to you, Kousei. response:	I'm not you, Watari.
context: My life of smooth sailing...\I botched my chance of becoming a star.\Setbacks come with the territory of becoming a superstar.\It's more dramatic.\Same thing with Messi.\Then it's the perfect deal for you.\I'm gonna hand over the role of this season's star to you, Kousei.\I'm not you, Watari. response:	Damn straight.
context: I botched my chance of becoming a star.\Setbacks come with the territory of becoming a superstar.\It's more dramatic.\Same thing with Messi.\Then it's the perfect deal for you.\I'm gonna hand over the role of this season's star to you, Kousei.\I'm not you, Watari.\Damn straight. response:	I'm me, you're you. I can't appeal to Tsubaki's maternal instincts,
context: Setbacks come with the territory of becoming a superstar.\It's more dramatic.\Same thing with Messi.\Then it's the perfect deal for you.\I'm gonna hand over the role of this season's star to you, Kousei.\I'm not you, Watari.\Damn straight.\I'm me, you're you. I can't appeal to Tsubaki's maternal instincts, response:	and I can't play the piano.
context: It's more dramatic.\Same thing with Messi.\Then it's the perfect deal for you.\I'm gonna hand over the role of this season's star to you, Kousei.\I'm not you, Watari.\Damn straight.\I'm me, you're you. I can't appeal to Tsubaki's maternal instincts,\and I can't play the piano. response:	You still can't hear?
context: Same thing with Messi.\Then it's the perfect deal for you.\I'm gonna hand over the role of this season's star to you, Kousei.\I'm not you, Watari.\Damn straight.\I'm me, you're you. I can't appeal to Tsubaki's maternal instincts,\and I can't play the piano.\You still can't hear? response:	I'm scared.
context: Then it's the perfect deal for you.\I'm gonna hand over the role of this season's star to you, Kousei.\I'm not you, Watari.\Damn straight.\I'm me, you're you. I can't appeal to Tsubaki's maternal instincts,\and I can't play the piano.\You still can't hear?\I'm scared. response:	I can't get it out of my head.
context: I'm gonna hand over the role of this season's star to you, Kousei.\I'm not you, Watari.\Damn straight.\I'm me, you're you. I can't appeal to Tsubaki's maternal instincts,\and I can't play the piano.\You still can't hear?\I'm scared.\I can't get it out of my head. response:	I'm scared... I'm scared...
context: I'm not you, Watari.\Damn straight.\I'm me, you're you. I can't appeal to Tsubaki's maternal instincts,\and I can't play the piano.\You still can't hear?\I'm scared.\I can't get it out of my head.\I'm scared... I'm scared... response:	The idea...
context: Damn straight.\I'm me, you're you. I can't appeal to Tsubaki's maternal instincts,\and I can't play the piano.\You still can't hear?\I'm scared.\I can't get it out of my head.\I'm scared... I'm scared...\The idea... response:	that I won't be able to hear the notes again.
context: I'm me, you're you. I can't appeal to Tsubaki's maternal instincts,\and I can't play the piano.\You still can't hear?\I'm scared.\I can't get it out of my head.\I'm scared... I'm scared...\The idea...\that I won't be able to hear the notes again. response:	Well, setbacks come with the territory of becoming a superstar.
context: and I can't play the piano.\You still can't hear?\I'm scared.\I can't get it out of my head.\I'm scared... I'm scared...\The idea...\that I won't be able to hear the notes again.\Well, setbacks come with the territory of becoming a superstar. response:	In the face of adversity,
context: You still can't hear?\I'm scared.\I can't get it out of my head.\I'm scared... I'm scared...\The idea...\that I won't be able to hear the notes again.\Well, setbacks come with the territory of becoming a superstar.\In the face of adversity, response:	that's when you know if someone's the real deal or not.
context: I'm scared.\I can't get it out of my head.\I'm scared... I'm scared...\The idea...\that I won't be able to hear the notes again.\Well, setbacks come with the territory of becoming a superstar.\In the face of adversity,\that's when you know if someone's the real deal or not. response:	Or so they say.
