context: Feelings (Continued) response:	A-Anti-bullying measures?!
context: Feelings (Continued)\A-Anti-bullying measures?! response:	Wh-What's wrong, Kiriyama?
context: Feelings (Continued)\A-Anti-bullying measures?!\Wh-What's wrong, Kiriyama? response:	Did something happen?
context: Feelings (Continued)\A-Anti-bullying measures?!\Wh-What's wrong, Kiriyama?\Did something happen? response:	Tell me everything!
context: Feelings (Continued)\A-Anti-bullying measures?!\Wh-What's wrong, Kiriyama?\Did something happen?\Tell me everything! response:	It's okay, Kiriyama!
context: Feelings (Continued)\A-Anti-bullying measures?!\Wh-What's wrong, Kiriyama?\Did something happen?\Tell me everything!\It's okay, Kiriyama! response:	No matter what happens, I'm on your side!
context: Feelings (Continued)\A-Anti-bullying measures?!\Wh-What's wrong, Kiriyama?\Did something happen?\Tell me everything!\It's okay, Kiriyama!\No matter what happens, I'm on your side! response:	No, it's not about me.
context: Feelings (Continued)\A-Anti-bullying measures?!\Wh-What's wrong, Kiriyama?\Did something happen?\Tell me everything!\It's okay, Kiriyama!\No matter what happens, I'm on your side!\No, it's not about me. response:	Really?
context: A-Anti-bullying measures?!\Wh-What's wrong, Kiriyama?\Did something happen?\Tell me everything!\It's okay, Kiriyama!\No matter what happens, I'm on your side!\No, it's not about me.\Really? response:	There's nothing you want to discuss?
context: Wh-What's wrong, Kiriyama?\Did something happen?\Tell me everything!\It's okay, Kiriyama!\No matter what happens, I'm on your side!\No, it's not about me.\Really?\There's nothing you want to discuss? response:	Right now?
context: Did something happen?\Tell me everything!\It's okay, Kiriyama!\No matter what happens, I'm on your side!\No, it's not about me.\Really?\There's nothing you want to discuss?\Right now? response:	Of course not. In the first place...
context: Tell me everything!\It's okay, Kiriyama!\No matter what happens, I'm on your side!\No, it's not about me.\Really?\There's nothing you want to discuss?\Right now?\Of course not. In the first place... response:	I'm just being ignored.
context: It's okay, Kiriyama!\No matter what happens, I'm on your side!\No, it's not about me.\Really?\There's nothing you want to discuss?\Right now?\Of course not. In the first place...\I'm just being ignored. response:	I don't have any friends. Or more like...
context: No matter what happens, I'm on your side!\No, it's not about me.\Really?\There's nothing you want to discuss?\Right now?\Of course not. In the first place...\I'm just being ignored.\I don't have any friends. Or more like... response:	BLUNT
context: No, it's not about me.\Really?\There's nothing you want to discuss?\Right now?\Of course not. In the first place...\I'm just being ignored.\I don't have any friends. Or more like...\BLUNT response:	I'm not in anyone's field of vision.
context: Really?\There's nothing you want to discuss?\Right now?\Of course not. In the first place...\I'm just being ignored.\I don't have any friends. Or more like...\BLUNT\I'm not in anyone's field of vision. response:	Kind of like that.
context: There's nothing you want to discuss?\Right now?\Of course not. In the first place...\I'm just being ignored.\I don't have any friends. Or more like...\BLUNT\I'm not in anyone's field of vision.\Kind of like that. response:	SLAP
context: Right now?\Of course not. In the first place...\I'm just being ignored.\I don't have any friends. Or more like...\BLUNT\I'm not in anyone's field of vision.\Kind of like that.\SLAP response:	Well, never mind me.
context: Of course not. In the first place...\I'm just being ignored.\I don't have any friends. Or more like...\BLUNT\I'm not in anyone's field of vision.\Kind of like that.\SLAP\Well, never mind me. response:	I'm a professional at that.
context: I'm just being ignored.\I don't have any friends. Or more like...\BLUNT\I'm not in anyone's field of vision.\Kind of like that.\SLAP\Well, never mind me.\I'm a professional at that. response:	After all, I've been eating lunch by myself for over 11 years.
context: I don't have any friends. Or more like...\BLUNT\I'm not in anyone's field of vision.\Kind of like that.\SLAP\Well, never mind me.\I'm a professional at that.\After all, I've been eating lunch by myself for over 11 years. response:	SPARKLE
context: BLUNT\I'm not in anyone's field of vision.\Kind of like that.\SLAP\Well, never mind me.\I'm a professional at that.\After all, I've been eating lunch by myself for over 11 years.\SPARKLE response:	Professional? In what?
context: I'm not in anyone's field of vision.\Kind of like that.\SLAP\Well, never mind me.\I'm a professional at that.\After all, I've been eating lunch by myself for over 11 years.\SPARKLE\Professional? In what? response:	Kiriyama!
context: Kind of like that.\SLAP\Well, never mind me.\I'm a professional at that.\After all, I've been eating lunch by myself for over 11 years.\SPARKLE\Professional? In what?\Kiriyama! response:	I see. A third-year middle school girl.
context: SLAP\Well, never mind me.\I'm a professional at that.\After all, I've been eating lunch by myself for over 11 years.\SPARKLE\Professional? In what?\Kiriyama!\I see. A third-year middle school girl. response:	In a family that's helped you out a lot, huh?
context: Well, never mind me.\I'm a professional at that.\After all, I've been eating lunch by myself for over 11 years.\SPARKLE\Professional? In what?\Kiriyama!\I see. A third-year middle school girl.\In a family that's helped you out a lot, huh? response:	First of all, it's a shame about that other girl who switched schools.
context: I'm a professional at that.\After all, I've been eating lunch by myself for over 11 years.\SPARKLE\Professional? In what?\Kiriyama!\I see. A third-year middle school girl.\In a family that's helped you out a lot, huh?\First of all, it's a shame about that other girl who switched schools. response:	But...
context: After all, I've been eating lunch by myself for over 11 years.\SPARKLE\Professional? In what?\Kiriyama!\I see. A third-year middle school girl.\In a family that's helped you out a lot, huh?\First of all, it's a shame about that other girl who switched schools.\But... response:	I think she was really lucky to have someone like Hina.
context: SPARKLE\Professional? In what?\Kiriyama!\I see. A third-year middle school girl.\In a family that's helped you out a lot, huh?\First of all, it's a shame about that other girl who switched schools.\But...\I think she was really lucky to have someone like Hina. response:	Otherwise, it could have had a sadder ending.
context: Professional? In what?\Kiriyama!\I see. A third-year middle school girl.\In a family that's helped you out a lot, huh?\First of all, it's a shame about that other girl who switched schools.\But...\I think she was really lucky to have someone like Hina.\Otherwise, it could have had a sadder ending. response:	Now, it's actually really important that Hina was able to talk to her family about it.
context: Kiriyama!\I see. A third-year middle school girl.\In a family that's helped you out a lot, huh?\First of all, it's a shame about that other girl who switched schools.\But...\I think she was really lucky to have someone like Hina.\Otherwise, it could have had a sadder ending.\Now, it's actually really important that Hina was able to talk to her family about it. response:	The worst thing anyone could do is not talk about it, and keep it bottled up.
context: I see. A third-year middle school girl.\In a family that's helped you out a lot, huh?\First of all, it's a shame about that other girl who switched schools.\But...\I think she was really lucky to have someone like Hina.\Otherwise, it could have had a sadder ending.\Now, it's actually really important that Hina was able to talk to her family about it.\The worst thing anyone could do is not talk about it, and keep it bottled up. response:	Not talk to their family or their teacher...
context: In a family that's helped you out a lot, huh?\First of all, it's a shame about that other girl who switched schools.\But...\I think she was really lucky to have someone like Hina.\Otherwise, it could have had a sadder ending.\Now, it's actually really important that Hina was able to talk to her family about it.\The worst thing anyone could do is not talk about it, and keep it bottled up.\Not talk to their family or their teacher... response:	But when it came to her friend, Chiho, she told her homeroom teacher about it.
context: First of all, it's a shame about that other girl who switched schools.\But...\I think she was really lucky to have someone like Hina.\Otherwise, it could have had a sadder ending.\Now, it's actually really important that Hina was able to talk to her family about it.\The worst thing anyone could do is not talk about it, and keep it bottled up.\Not talk to their family or their teacher...\But when it came to her friend, Chiho, she told her homeroom teacher about it. response:	But she got brushed off, apparently.
context: But...\I think she was really lucky to have someone like Hina.\Otherwise, it could have had a sadder ending.\Now, it's actually really important that Hina was able to talk to her family about it.\The worst thing anyone could do is not talk about it, and keep it bottled up.\Not talk to their family or their teacher...\But when it came to her friend, Chiho, she told her homeroom teacher about it.\But she got brushed off, apparently. response:	The teacher said she was misreading the situation.
context: I think she was really lucky to have someone like Hina.\Otherwise, it could have had a sadder ending.\Now, it's actually really important that Hina was able to talk to her family about it.\The worst thing anyone could do is not talk about it, and keep it bottled up.\Not talk to their family or their teacher...\But when it came to her friend, Chiho, she told her homeroom teacher about it.\But she got brushed off, apparently.\The teacher said she was misreading the situation. response:	Dammit! So she's that type of homeroom teacher, huh?
context: Otherwise, it could have had a sadder ending.\Now, it's actually really important that Hina was able to talk to her family about it.\The worst thing anyone could do is not talk about it, and keep it bottled up.\Not talk to their family or their teacher...\But when it came to her friend, Chiho, she told her homeroom teacher about it.\But she got brushed off, apparently.\The teacher said she was misreading the situation.\Dammit! So she's that type of homeroom teacher, huh? response:	She got stuck with one of those. Poor kid.
context: Now, it's actually really important that Hina was able to talk to her family about it.\The worst thing anyone could do is not talk about it, and keep it bottled up.\Not talk to their family or their teacher...\But when it came to her friend, Chiho, she told her homeroom teacher about it.\But she got brushed off, apparently.\The teacher said she was misreading the situation.\Dammit! So she's that type of homeroom teacher, huh?\She got stuck with one of those. Poor kid. response:	She was probably desperate when she asked for advice, too.
context: The worst thing anyone could do is not talk about it, and keep it bottled up.\Not talk to their family or their teacher...\But when it came to her friend, Chiho, she told her homeroom teacher about it.\But she got brushed off, apparently.\The teacher said she was misreading the situation.\Dammit! So she's that type of homeroom teacher, huh?\She got stuck with one of those. Poor kid.\She was probably desperate when she asked for advice, too. response:	I can get the teacher's perspective,
