context: This 50-times gravity is as tough as you'd expect. response:	Yamucha and the others must be going at it.
context: This 50-times gravity is as tough as you'd expect.\Yamucha and the others must be going at it. response:	l wonder if it's the same training that I did.
context: This 50-times gravity is as tough as you'd expect.\Yamucha and the others must be going at it.\l wonder if it's the same training that I did. response:	No, I can't afford to be doing that.
context: This 50-times gravity is as tough as you'd expect.\Yamucha and the others must be going at it.\l wonder if it's the same training that I did.\No, I can't afford to be doing that. response:	Damn...
context: This 50-times gravity is as tough as you'd expect.\Yamucha and the others must be going at it.\l wonder if it's the same training that I did.\No, I can't afford to be doing that.\Damn... response:	Mock me, will you?
context: This 50-times gravity is as tough as you'd expect.\Yamucha and the others must be going at it.\l wonder if it's the same training that I did.\No, I can't afford to be doing that.\Damn...\Mock me, will you? response:	O- one more time!
context: This 50-times gravity is as tough as you'd expect.\Yamucha and the others must be going at it.\l wonder if it's the same training that I did.\No, I can't afford to be doing that.\Damn...\Mock me, will you?\O- one more time! response:	And he was so close, too?
context: This 50-times gravity is as tough as you'd expect.\Yamucha and the others must be going at it.\l wonder if it's the same training that I did.\No, I can't afford to be doing that.\Damn...\Mock me, will you?\O- one more time!\And he was so close, too? response:	M- my body is so heavy...
context: Yamucha and the others must be going at it.\l wonder if it's the same training that I did.\No, I can't afford to be doing that.\Damn...\Mock me, will you?\O- one more time!\And he was so close, too?\M- my body is so heavy... response:	You almost had him, huh?
context: l wonder if it's the same training that I did.\No, I can't afford to be doing that.\Damn...\Mock me, will you?\O- one more time!\And he was so close, too?\M- my body is so heavy...\You almost had him, huh? response:	All right, now me.
context: No, I can't afford to be doing that.\Damn...\Mock me, will you?\O- one more time!\And he was so close, too?\M- my body is so heavy...\You almost had him, huh?\All right, now me. response:	Here goes!
context: Damn...\Mock me, will you?\O- one more time!\And he was so close, too?\M- my body is so heavy...\You almost had him, huh?\All right, now me.\Here goes! response:	Ten- san, good luck!
context: Mock me, will you?\O- one more time!\And he was so close, too?\M- my body is so heavy...\You almost had him, huh?\All right, now me.\Here goes!\Ten- san, good luck! response:	Don't rush, now. Take your time.
context: O- one more time!\And he was so close, too?\M- my body is so heavy...\You almost had him, huh?\All right, now me.\Here goes!\Ten- san, good luck!\Don't rush, now. Take your time. response:	What?
context: And he was so close, too?\M- my body is so heavy...\You almost had him, huh?\All right, now me.\Here goes!\Ten- san, good luck!\Don't rush, now. Take your time.\What? response:	I have no intention of doing the same training as those guys.
context: M- my body is so heavy...\You almost had him, huh?\All right, now me.\Here goes!\Ten- san, good luck!\Don't rush, now. Take your time.\What?\I have no intention of doing the same training as those guys. response:	Teach me your techniques now.
context: You almost had him, huh?\All right, now me.\Here goes!\Ten- san, good luck!\Don't rush, now. Take your time.\What?\I have no intention of doing the same training as those guys.\Teach me your techniques now. response:	I can't do that. There is an order to these things, you know... huh?
context: All right, now me.\Here goes!\Ten- san, good luck!\Don't rush, now. Take your time.\What?\I have no intention of doing the same training as those guys.\Teach me your techniques now.\I can't do that. There is an order to these things, you know... huh? response:	Anyhow, when you try to jump straight to the end, things are apt to turn out badly.
context: Here goes!\Ten- san, good luck!\Don't rush, now. Take your time.\What?\I have no intention of doing the same training as those guys.\Teach me your techniques now.\I can't do that. There is an order to these things, you know... huh?\Anyhow, when you try to jump straight to the end, things are apt to turn out badly. response:	By the way, if you're not doing anything, would you like to pull weeds with me?
context: Ten- san, good luck!\Don't rush, now. Take your time.\What?\I have no intention of doing the same training as those guys.\Teach me your techniques now.\I can't do that. There is an order to these things, you know... huh?\Anyhow, when you try to jump straight to the end, things are apt to turn out badly.\By the way, if you're not doing anything, would you like to pull weeds with me? response:	Why are you in such a hurry to grow stronger?
context: Don't rush, now. Take your time.\What?\I have no intention of doing the same training as those guys.\Teach me your techniques now.\I can't do that. There is an order to these things, you know... huh?\Anyhow, when you try to jump straight to the end, things are apt to turn out badly.\By the way, if you're not doing anything, would you like to pull weeds with me?\Why are you in such a hurry to grow stronger? response:	You promised me that you had given up on defeating Freeza, didn't you?
context: What?\I have no intention of doing the same training as those guys.\Teach me your techniques now.\I can't do that. There is an order to these things, you know... huh?\Anyhow, when you try to jump straight to the end, things are apt to turn out badly.\By the way, if you're not doing anything, would you like to pull weeds with me?\Why are you in such a hurry to grow stronger?\You promised me that you had given up on defeating Freeza, didn't you? response:	For shame. Liars have to swallow a thousand needles, you know.
context: I have no intention of doing the same training as those guys.\Teach me your techniques now.\I can't do that. There is an order to these things, you know... huh?\Anyhow, when you try to jump straight to the end, things are apt to turn out badly.\By the way, if you're not doing anything, would you like to pull weeds with me?\Why are you in such a hurry to grow stronger?\You promised me that you had given up on defeating Freeza, didn't you?\For shame. Liars have to swallow a thousand needles, you know. response:	For that matter, you should be enjoying your life here in the Next World more.
context: Teach me your techniques now.\I can't do that. There is an order to these things, you know... huh?\Anyhow, when you try to jump straight to the end, things are apt to turn out badly.\By the way, if you're not doing anything, would you like to pull weeds with me?\Why are you in such a hurry to grow stronger?\You promised me that you had given up on defeating Freeza, didn't you?\For shame. Liars have to swallow a thousand needles, you know.\For that matter, you should be enjoying your life here in the Next World more. response:	This can be quite fun to do.
context: I can't do that. There is an order to these things, you know... huh?\Anyhow, when you try to jump straight to the end, things are apt to turn out badly.\By the way, if you're not doing anything, would you like to pull weeds with me?\Why are you in such a hurry to grow stronger?\You promised me that you had given up on defeating Freeza, didn't you?\For shame. Liars have to swallow a thousand needles, you know.\For that matter, you should be enjoying your life here in the Next World more.\This can be quite fun to do. response:	Hmph! You're just playing the fool.
context: Anyhow, when you try to jump straight to the end, things are apt to turn out badly.\By the way, if you're not doing anything, would you like to pull weeds with me?\Why are you in such a hurry to grow stronger?\You promised me that you had given up on defeating Freeza, didn't you?\For shame. Liars have to swallow a thousand needles, you know.\For that matter, you should be enjoying your life here in the Next World more.\This can be quite fun to do.\Hmph! You're just playing the fool. response:	Huh? Are you leaving?
context: By the way, if you're not doing anything, would you like to pull weeds with me?\Why are you in such a hurry to grow stronger?\You promised me that you had given up on defeating Freeza, didn't you?\For shame. Liars have to swallow a thousand needles, you know.\For that matter, you should be enjoying your life here in the Next World more.\This can be quite fun to do.\Hmph! You're just playing the fool.\Huh? Are you leaving? response:	D- damn...
context: Why are you in such a hurry to grow stronger?\You promised me that you had given up on defeating Freeza, didn't you?\For shame. Liars have to swallow a thousand needles, you know.\For that matter, you should be enjoying your life here in the Next World more.\This can be quite fun to do.\Hmph! You're just playing the fool.\Huh? Are you leaving?\D- damn... response:	Hey! Let's eat!
context: You promised me that you had given up on defeating Freeza, didn't you?\For shame. Liars have to swallow a thousand needles, you know.\For that matter, you should be enjoying your life here in the Next World more.\This can be quite fun to do.\Hmph! You're just playing the fool.\Huh? Are you leaving?\D- damn...\Hey! Let's eat! response:	Son Goku was something else, but you guys eat a lot too, huh?
context: For shame. Liars have to swallow a thousand needles, you know.\For that matter, you should be enjoying your life here in the Next World more.\This can be quite fun to do.\Hmph! You're just playing the fool.\Huh? Are you leaving?\D- damn...\Hey! Let's eat!\Son Goku was something else, but you guys eat a lot too, huh? response:	We can't be outdone by Goku!
context: For that matter, you should be enjoying your life here in the Next World more.\This can be quite fun to do.\Hmph! You're just playing the fool.\Huh? Are you leaving?\D- damn...\Hey! Let's eat!\Son Goku was something else, but you guys eat a lot too, huh?\We can't be outdone by Goku! response:	If he ate 10 bowls, then I'll eat 20!
context: This can be quite fun to do.\Hmph! You're just playing the fool.\Huh? Are you leaving?\D- damn...\Hey! Let's eat!\Son Goku was something else, but you guys eat a lot too, huh?\We can't be outdone by Goku!\If he ate 10 bowls, then I'll eat 20! response:	Hey, come on now! If you don't stop now, you'll eat my portion, too...
context: Hmph! You're just playing the fool.\Huh? Are you leaving?\D- damn...\Hey! Let's eat!\Son Goku was something else, but you guys eat a lot too, huh?\We can't be outdone by Goku!\If he ate 10 bowls, then I'll eat 20!\Hey, come on now! If you don't stop now, you'll eat my portion, too... response:	Besides,
context: Huh? Are you leaving?\D- damn...\Hey! Let's eat!\Son Goku was something else, but you guys eat a lot too, huh?\We can't be outdone by Goku!\If he ate 10 bowls, then I'll eat 20!\Hey, come on now! If you don't stop now, you'll eat my portion, too...\Besides, response:	it's pretty good.
context: D- damn...\Hey! Let's eat!\Son Goku was something else, but you guys eat a lot too, huh?\We can't be outdone by Goku!\If he ate 10 bowls, then I'll eat 20!\Hey, come on now! If you don't stop now, you'll eat my portion, too...\Besides,\it's pretty good. response:	Oh, it is, it is, huh?
context: Hey! Let's eat!\Son Goku was something else, but you guys eat a lot too, huh?\We can't be outdone by Goku!\If he ate 10 bowls, then I'll eat 20!\Hey, come on now! If you don't stop now, you'll eat my portion, too...\Besides,\it's pretty good.\Oh, it is, it is, huh? response:	I know I may not look it, but when I was a youngster, I went to this cooking class,
context: Son Goku was something else, but you guys eat a lot too, huh?\We can't be outdone by Goku!\If he ate 10 bowls, then I'll eat 20!\Hey, come on now! If you don't stop now, you'll eat my portion, too...\Besides,\it's pretty good.\Oh, it is, it is, huh?\I know I may not look it, but when I was a youngster, I went to this cooking class, response:	and I was so good the teacher there told me I would make a good husband someday,
context: We can't be outdone by Goku!\If he ate 10 bowls, then I'll eat 20!\Hey, come on now! If you don't stop now, you'll eat my portion, too...\Besides,\it's pretty good.\Oh, it is, it is, huh?\I know I may not look it, but when I was a youngster, I went to this cooking class,\and I was so good the teacher there told me I would make a good husband someday, response:	so I'm somewhat confident of my ability to- huh? Hey, you guys!
context: If he ate 10 bowls, then I'll eat 20!\Hey, come on now! If you don't stop now, you'll eat my portion, too...\Besides,\it's pretty good.\Oh, it is, it is, huh?\I know I may not look it, but when I was a youngster, I went to this cooking class,\and I was so good the teacher there told me I would make a good husband someday,\so I'm somewhat confident of my ability to- huh? Hey, you guys! response:	Ah, all full, all full...
context: Hey, come on now! If you don't stop now, you'll eat my portion, too...\Besides,\it's pretty good.\Oh, it is, it is, huh?\I know I may not look it, but when I was a youngster, I went to this cooking class,\and I was so good the teacher there told me I would make a good husband someday,\so I'm somewhat confident of my ability to- huh? Hey, you guys!\Ah, all full, all full... response:	Good grief. The dead these days have no sense of moderation.
context: Besides,\it's pretty good.\Oh, it is, it is, huh?\I know I may not look it, but when I was a youngster, I went to this cooking class,\and I was so good the teacher there told me I would make a good husband someday,\so I'm somewhat confident of my ability to- huh? Hey, you guys!\Ah, all full, all full...\Good grief. The dead these days have no sense of moderation. response:	Okay, now that my belly is full, I'll be fine.
context: it's pretty good.\Oh, it is, it is, huh?\I know I may not look it, but when I was a youngster, I went to this cooking class,\and I was so good the teacher there told me I would make a good husband someday,\so I'm somewhat confident of my ability to- huh? Hey, you guys!\Ah, all full, all full...\Good grief. The dead these days have no sense of moderation.\Okay, now that my belly is full, I'll be fine. response:	I'll catch you this time for sure.
context: Oh, it is, it is, huh?\I know I may not look it, but when I was a youngster, I went to this cooking class,\and I was so good the teacher there told me I would make a good husband someday,\so I'm somewhat confident of my ability to- huh? Hey, you guys!\Ah, all full, all full...\Good grief. The dead these days have no sense of moderation.\Okay, now that my belly is full, I'll be fine.\I'll catch you this time for sure. response:	You won't be able to do that to me any longer.
context: I know I may not look it, but when I was a youngster, I went to this cooking class,\and I was so good the teacher there told me I would make a good husband someday,\so I'm somewhat confident of my ability to- huh? Hey, you guys!\Ah, all full, all full...\Good grief. The dead these days have no sense of moderation.\Okay, now that my belly is full, I'll be fine.\I'll catch you this time for sure.\You won't be able to do that to me any longer. response:	Got you!
context: and I was so good the teacher there told me I would make a good husband someday,\so I'm somewhat confident of my ability to- huh? Hey, you guys!\Ah, all full, all full...\Good grief. The dead these days have no sense of moderation.\Okay, now that my belly is full, I'll be fine.\I'll catch you this time for sure.\You won't be able to do that to me any longer.\Got you! response:	He did it!
context: so I'm somewhat confident of my ability to- huh? Hey, you guys!\Ah, all full, all full...\Good grief. The dead these days have no sense of moderation.\Okay, now that my belly is full, I'll be fine.\I'll catch you this time for sure.\You won't be able to do that to me any longer.\Got you!\He did it! response:	I did it!
context: Ah, all full, all full...\Good grief. The dead these days have no sense of moderation.\Okay, now that my belly is full, I'll be fine.\I'll catch you this time for sure.\You won't be able to do that to me any longer.\Got you!\He did it!\I did it! response:	I'm surprised you can get by on just water.
context: Good grief. The dead these days have no sense of moderation.\Okay, now that my belly is full, I'll be fine.\I'll catch you this time for sure.\You won't be able to do that to me any longer.\Got you!\He did it!\I did it!\I'm surprised you can get by on just water. response:	I did it!
context: Okay, now that my belly is full, I'll be fine.\I'll catch you this time for sure.\You won't be able to do that to me any longer.\Got you!\He did it!\I did it!\I'm surprised you can get by on just water.\I did it! response:	You did it, Tenshinhan!
context: I'll catch you this time for sure.\You won't be able to do that to me any longer.\Got you!\He did it!\I did it!\I'm surprised you can get by on just water.\I did it!\You did it, Tenshinhan! response:	Ten- san, incredible!
context: You won't be able to do that to me any longer.\Got you!\He did it!\I did it!\I'm surprised you can get by on just water.\I did it!\You did it, Tenshinhan!\Ten- san, incredible! response:	Those guys are something else.
context: Got you!\He did it!\I did it!\I'm surprised you can get by on just water.\I did it!\You did it, Tenshinhan!\Ten- san, incredible!\Those guys are something else. response:	Once they've gotten a handle on this, they'll make rapid progress.
context: He did it!\I did it!\I'm surprised you can get by on just water.\I did it!\You did it, Tenshinhan!\Ten- san, incredible!\Those guys are something else.\Once they've gotten a handle on this, they'll make rapid progress. response:	Don't you think so?
context: I did it!\I'm surprised you can get by on just water.\I did it!\You did it, Tenshinhan!\Ten- san, incredible!\Those guys are something else.\Once they've gotten a handle on this, they'll make rapid progress.\Don't you think so? response:	I have no interest in those small fry.
context: I'm surprised you can get by on just water.\I did it!\You did it, Tenshinhan!\Ten- san, incredible!\Those guys are something else.\Once they've gotten a handle on this, they'll make rapid progress.\Don't you think so?\I have no interest in those small fry. response:	I will not allow the existence of anyone stronger than me. That's all there is to it.
context: I did it!\You did it, Tenshinhan!\Ten- san, incredible!\Those guys are something else.\Once they've gotten a handle on this, they'll make rapid progress.\Don't you think so?\I have no interest in those small fry.\I will not allow the existence of anyone stronger than me. That's all there is to it. response:	I caught him! Look!
context: You did it, Tenshinhan!\Ten- san, incredible!\Those guys are something else.\Once they've gotten a handle on this, they'll make rapid progress.\Don't you think so?\I have no interest in those small fry.\I will not allow the existence of anyone stronger than me. That's all there is to it.\I caught him! Look! response:	Oh? Oh, my! Even Chaozu has mastered this, has he?
context: Ten- san, incredible!\Those guys are something else.\Once they've gotten a handle on this, they'll make rapid progress.\Don't you think so?\I have no interest in those small fry.\I will not allow the existence of anyone stronger than me. That's all there is to it.\I caught him! Look!\Oh? Oh, my! Even Chaozu has mastered this, has he? response:	I see. All right, I'll give you your next training lesson.
context: Those guys are something else.\Once they've gotten a handle on this, they'll make rapid progress.\Don't you think so?\I have no interest in those small fry.\I will not allow the existence of anyone stronger than me. That's all there is to it.\I caught him! Look!\Oh? Oh, my! Even Chaozu has mastered this, has he?\I see. All right, I'll give you your next training lesson. response:	Hey, Gregory!
context: Once they've gotten a handle on this, they'll make rapid progress.\Don't you think so?\I have no interest in those small fry.\I will not allow the existence of anyone stronger than me. That's all there is to it.\I caught him! Look!\Oh? Oh, my! Even Chaozu has mastered this, has he?\I see. All right, I'll give you your next training lesson.\Hey, Gregory! response:	Hi! Hello, everybody! I am Gregory!
context: Don't you think so?\I have no interest in those small fry.\I will not allow the existence of anyone stronger than me. That's all there is to it.\I caught him! Look!\Oh? Oh, my! Even Chaozu has mastered this, has he?\I see. All right, I'll give you your next training lesson.\Hey, Gregory!\Hi! Hello, everybody! I am Gregory! response:	This guy is your next opponent.
context: I have no interest in those small fry.\I will not allow the existence of anyone stronger than me. That's all there is to it.\I caught him! Look!\Oh? Oh, my! Even Chaozu has mastered this, has he?\I see. All right, I'll give you your next training lesson.\Hey, Gregory!\Hi! Hello, everybody! I am Gregory!\This guy is your next opponent. response:	Please knock me down as hard as you can with this hammer.
