context: Tomoyo-chan, is your leg okay? response:	I just sprained it a little, so'
context: Tomoyo-chan, is your leg okay?\I just sprained it a little, so' response:	Doesn't it hurt?
context: Tomoyo-chan, is your leg okay?\I just sprained it a little, so'\Doesn't it hurt? response:	Well, now,
context: Tomoyo-chan, is your leg okay?\I just sprained it a little, so'\Doesn't it hurt?\Well, now, response:	but the teacher told me
context: Tomoyo-chan, is your leg okay?\I just sprained it a little, so'\Doesn't it hurt?\Well, now,\but the teacher told me response:	not to enter the Marathon Competition.
context: Tomoyo-chan, is your leg okay?\I just sprained it a little, so'\Doesn't it hurt?\Well, now,\but the teacher told me\not to enter the Marathon Competition. response:	That's too bad.
context: Tomoyo-chan, is your leg okay?\I just sprained it a little, so'\Doesn't it hurt?\Well, now,\but the teacher told me\not to enter the Marathon Competition.\That's too bad. response:	Yes'
context: Tomoyo-chan, is your leg okay?\I just sprained it a little, so'\Doesn't it hurt?\Well, now,\but the teacher told me\not to enter the Marathon Competition.\That's too bad.\Yes' response:	But with this,
context: I just sprained it a little, so'\Doesn't it hurt?\Well, now,\but the teacher told me\not to enter the Marathon Competition.\That's too bad.\Yes'\But with this, response:	I'll be able to take as much video footage of Sakura running as I like!
context: Doesn't it hurt?\Well, now,\but the teacher told me\not to enter the Marathon Competition.\That's too bad.\Yes'\But with this,\I'll be able to take as much video footage of Sakura running as I like! response:	Last lap!
context: Well, now,\but the teacher told me\not to enter the Marathon Competition.\That's too bad.\Yes'\But with this,\I'll be able to take as much video footage of Sakura running as I like!\Last lap! response:	Okay!
context: but the teacher told me\not to enter the Marathon Competition.\That's too bad.\Yes'\But with this,\I'll be able to take as much video footage of Sakura running as I like!\Last lap!\Okay! response:	Sakura-chan's really fast, huh?
context: not to enter the Marathon Competition.\That's too bad.\Yes'\But with this,\I'll be able to take as much video footage of Sakura running as I like!\Last lap!\Okay!\Sakura-chan's really fast, huh? response:	Tomorrow, Sakura-chan will win
context: That's too bad.\Yes'\But with this,\I'll be able to take as much video footage of Sakura running as I like!\Last lap!\Okay!\Sakura-chan's really fast, huh?\Tomorrow, Sakura-chan will win response:	this year's Marathon Competiton too.
context: Yes'\But with this,\I'll be able to take as much video footage of Sakura running as I like!\Last lap!\Okay!\Sakura-chan's really fast, huh?\Tomorrow, Sakura-chan will win\this year's Marathon Competiton too. response:	That won't happen.
context: But with this,\I'll be able to take as much video footage of Sakura running as I like!\Last lap!\Okay!\Sakura-chan's really fast, huh?\Tomorrow, Sakura-chan will win\this year's Marathon Competiton too.\That won't happen. response:	This year's Marathon Competition will be
context: I'll be able to take as much video footage of Sakura running as I like!\Last lap!\Okay!\Sakura-chan's really fast, huh?\Tomorrow, Sakura-chan will win\this year's Marathon Competiton too.\That won't happen.\This year's Marathon Competition will be response:	Shao Lan and my one-two finish.
context: Last lap!\Okay!\Sakura-chan's really fast, huh?\Tomorrow, Sakura-chan will win\this year's Marathon Competiton too.\That won't happen.\This year's Marathon Competition will be\Shao Lan and my one-two finish. response:	At school in Hong Kong,
context: Okay!\Sakura-chan's really fast, huh?\Tomorrow, Sakura-chan will win\this year's Marathon Competiton too.\That won't happen.\This year's Marathon Competition will be\Shao Lan and my one-two finish.\At school in Hong Kong, response:	the top two were always me and Shao Lan.
context: Sakura-chan's really fast, huh?\Tomorrow, Sakura-chan will win\this year's Marathon Competiton too.\That won't happen.\This year's Marathon Competition will be\Shao Lan and my one-two finish.\At school in Hong Kong,\the top two were always me and Shao Lan. response:	It seems the first and second will be from our class this year.
context: Tomorrow, Sakura-chan will win\this year's Marathon Competiton too.\That won't happen.\This year's Marathon Competition will be\Shao Lan and my one-two finish.\At school in Hong Kong,\the top two were always me and Shao Lan.\It seems the first and second will be from our class this year. response:	You're fast, Li-kun!
context: this year's Marathon Competiton too.\That won't happen.\This year's Marathon Competition will be\Shao Lan and my one-two finish.\At school in Hong Kong,\the top two were always me and Shao Lan.\It seems the first and second will be from our class this year.\You're fast, Li-kun! response:	Shao Lan!
context: That won't happen.\This year's Marathon Competition will be\Shao Lan and my one-two finish.\At school in Hong Kong,\the top two were always me and Shao Lan.\It seems the first and second will be from our class this year.\You're fast, Li-kun!\Shao Lan! response:	Mei Li.
context: This year's Marathon Competition will be\Shao Lan and my one-two finish.\At school in Hong Kong,\the top two were always me and Shao Lan.\It seems the first and second will be from our class this year.\You're fast, Li-kun!\Shao Lan!\Mei Li. response:	It looks like we'll be number one
context: Shao Lan and my one-two finish.\At school in Hong Kong,\the top two were always me and Shao Lan.\It seems the first and second will be from our class this year.\You're fast, Li-kun!\Shao Lan!\Mei Li.\It looks like we'll be number one response:	in the Marathon Competition!
context: At school in Hong Kong,\the top two were always me and Shao Lan.\It seems the first and second will be from our class this year.\You're fast, Li-kun!\Shao Lan!\Mei Li.\It looks like we'll be number one\in the Marathon Competition! response:	Mei Li-chan, you're good at marathons, then?
context: the top two were always me and Shao Lan.\It seems the first and second will be from our class this year.\You're fast, Li-kun!\Shao Lan!\Mei Li.\It looks like we'll be number one\in the Marathon Competition!\Mei Li-chan, you're good at marathons, then? response:	Who told you I was good at it?
context: It seems the first and second will be from our class this year.\You're fast, Li-kun!\Shao Lan!\Mei Li.\It looks like we'll be number one\in the Marathon Competition!\Mei Li-chan, you're good at marathons, then?\Who told you I was good at it? response:	You're going to be crying and running way behind me, you know.
