context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Previously on Fairy Tail!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail! response:	Our guild was attacked by the official guild Phantom Lord.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Our guild was attacked by the official guild Phantom Lord. response:	Fairy Tail has never gotten along well with them, but...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Our guild was attacked by the official guild Phantom Lord.\Fairy Tail has never gotten along well with them, but... response:	They beat up Levy's team and kidnapped Lucy!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Our guild was attacked by the official guild Phantom Lord.\Fairy Tail has never gotten along well with them, but...\They beat up Levy's team and kidnapped Lucy! response:	So an all-out confrontation began!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Our guild was attacked by the official guild Phantom Lord.\Fairy Tail has never gotten along well with them, but...\They beat up Levy's team and kidnapped Lucy!\So an all-out confrontation began! response:	That's right, we can do it!
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Our guild was attacked by the official guild Phantom Lord.\Fairy Tail has never gotten along well with them, but...\They beat up Levy's team and kidnapped Lucy!\So an all-out confrontation began!\That's right, we can do it! response:	Let's go for even more who-knows-what!!
context: and sit back from the screen,'kay?\Previously on Fairy Tail!\Our guild was attacked by the official guild Phantom Lord.\Fairy Tail has never gotten along well with them, but...\They beat up Levy's team and kidnapped Lucy!\So an all-out confrontation began!\That's right, we can do it!\Let's go for even more who-knows-what!! response:	The door to mystery is right in front of us
context: Previously on Fairy Tail!\Our guild was attacked by the official guild Phantom Lord.\Fairy Tail has never gotten along well with them, but...\They beat up Levy's team and kidnapped Lucy!\So an all-out confrontation began!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us response:	The whole world's a wonderland
