context: Come on, Kousei! Don't cry over a skinned knee! response:	You're a man, aren't you?
context: Come on, Kousei! Don't cry over a skinned knee!\You're a man, aren't you? response:	Look at me! My ankle went snap! That's right, snap!
context: Come on, Kousei! Don't cry over a skinned knee!\You're a man, aren't you?\Look at me! My ankle went snap! That's right, snap! response:	Whoa, whoa, whoa...
context: Come on, Kousei! Don't cry over a skinned knee!\You're a man, aren't you?\Look at me! My ankle went snap! That's right, snap!\Whoa, whoa, whoa... response:	It's your fault for making me do the...
context: Come on, Kousei! Don't cry over a skinned knee!\You're a man, aren't you?\Look at me! My ankle went snap! That's right, snap!\Whoa, whoa, whoa...\It's your fault for making me do the... response:	Oh, shut up!
context: Come on, Kousei! Don't cry over a skinned knee!\You're a man, aren't you?\Look at me! My ankle went snap! That's right, snap!\Whoa, whoa, whoa...\It's your fault for making me do the...\Oh, shut up! response:	But thank goodness you only hurt your leg.
context: Come on, Kousei! Don't cry over a skinned knee!\You're a man, aren't you?\Look at me! My ankle went snap! That's right, snap!\Whoa, whoa, whoa...\It's your fault for making me do the...\Oh, shut up!\But thank goodness you only hurt your leg. response:	If I'd gotten your hands hurt, I would've gotten killed by your mom.
context: Come on, Kousei! Don't cry over a skinned knee!\You're a man, aren't you?\Look at me! My ankle went snap! That's right, snap!\Whoa, whoa, whoa...\It's your fault for making me do the...\Oh, shut up!\But thank goodness you only hurt your leg.\If I'd gotten your hands hurt, I would've gotten killed by your mom. response:	Stop crying, dummy Kousei! You're making me cry...
context: You're a man, aren't you?\Look at me! My ankle went snap! That's right, snap!\Whoa, whoa, whoa...\It's your fault for making me do the...\Oh, shut up!\But thank goodness you only hurt your leg.\If I'd gotten your hands hurt, I would've gotten killed by your mom.\Stop crying, dummy Kousei! You're making me cry... response:	Here. A towel and a change of clothes.
context: Look at me! My ankle went snap! That's right, snap!\Whoa, whoa, whoa...\It's your fault for making me do the...\Oh, shut up!\But thank goodness you only hurt your leg.\If I'd gotten your hands hurt, I would've gotten killed by your mom.\Stop crying, dummy Kousei! You're making me cry...\Here. A towel and a change of clothes. response:	I'll put your uniform in the dryer.
context: Whoa, whoa, whoa...\It's your fault for making me do the...\Oh, shut up!\But thank goodness you only hurt your leg.\If I'd gotten your hands hurt, I would've gotten killed by your mom.\Stop crying, dummy Kousei! You're making me cry...\Here. A towel and a change of clothes.\I'll put your uniform in the dryer. response:	Thanks.
context: It's your fault for making me do the...\Oh, shut up!\But thank goodness you only hurt your leg.\If I'd gotten your hands hurt, I would've gotten killed by your mom.\Stop crying, dummy Kousei! You're making me cry...\Here. A towel and a change of clothes.\I'll put your uniform in the dryer.\Thanks. response:	Where's your family?
context: Oh, shut up!\But thank goodness you only hurt your leg.\If I'd gotten your hands hurt, I would've gotten killed by your mom.\Stop crying, dummy Kousei! You're making me cry...\Here. A towel and a change of clothes.\I'll put your uniform in the dryer.\Thanks.\Where's your family? response:	My dad's away on business a lot.
context: But thank goodness you only hurt your leg.\If I'd gotten your hands hurt, I would've gotten killed by your mom.\Stop crying, dummy Kousei! You're making me cry...\Here. A towel and a change of clothes.\I'll put your uniform in the dryer.\Thanks.\Where's your family?\My dad's away on business a lot. response:	Hey, it's bigger than I thought.
context: If I'd gotten your hands hurt, I would've gotten killed by your mom.\Stop crying, dummy Kousei! You're making me cry...\Here. A towel and a change of clothes.\I'll put your uniform in the dryer.\Thanks.\Where's your family?\My dad's away on business a lot.\Hey, it's bigger than I thought. response:	There you are. Is coffee okay? I can make you some hot milk, too...
