context: This is several levels better than last time. response:	I'm surprised.
context: This is several levels better than last time.\I'm surprised. response:	In both the story and the artwork, you got rid of the things I pointed out.
context: This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out. response:	It's much better.
context: This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better. response:	The story is especially good.
context: This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good. response:	Yes, sir!
context: This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good.\Yes, sir! response:	It's because this time, I took a lot of opinions from Mashiro too!
context: This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good.\Yes, sir!\It's because this time, I took a lot of opinions from Mashiro too! response:	Today is September the thirtieth.
context: This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good.\Yes, sir!\It's because this time, I took a lot of opinions from Mashiro too!\Today is September the thirtieth. response:	Do you want to submit this for the Tezuka Award?
context: I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good.\Yes, sir!\It's because this time, I took a lot of opinions from Mashiro too!\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award? response:	Yes!
context: In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good.\Yes, sir!\It's because this time, I took a lot of opinions from Mashiro too!\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes! response:	It didn't make it past the final selection...
context: It's much better.\The story is especially good.\Yes, sir!\It's because this time, I took a lot of opinions from Mashiro too!\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes!\It didn't make it past the final selection... response:	There are four prizes from the placing finalists to the honorable mentions,
context: The story is especially good.\Yes, sir!\It's because this time, I took a lot of opinions from Mashiro too!\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes!\It didn't make it past the final selection...\There are four prizes from the placing finalists to the honorable mentions, response:	but they said ours wasn't good enough.
context: Yes, sir!\It's because this time, I took a lot of opinions from Mashiro too!\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes!\It didn't make it past the final selection...\There are four prizes from the placing finalists to the honorable mentions,\but they said ours wasn't good enough. response:	Compared to this guy who won and was also a finalist, Niizuma Eiji,
context: It's because this time, I took a lot of opinions from Mashiro too!\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes!\It didn't make it past the final selection...\There are four prizes from the placing finalists to the honorable mentions,\but they said ours wasn't good enough.\Compared to this guy who won and was also a finalist, Niizuma Eiji, response:	do you know what the difference is?
context: Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes!\It didn't make it past the final selection...\There are four prizes from the placing finalists to the honorable mentions,\but they said ours wasn't good enough.\Compared to this guy who won and was also a finalist, Niizuma Eiji,\do you know what the difference is? response:	It's the drawings, the drawings.
context: Do you want to submit this for the Tezuka Award?\Yes!\It didn't make it past the final selection...\There are four prizes from the placing finalists to the honorable mentions,\but they said ours wasn't good enough.\Compared to this guy who won and was also a finalist, Niizuma Eiji,\do you know what the difference is?\It's the drawings, the drawings. response:	Honestly, both stories were about a four out of five.
context: Yes!\It didn't make it past the final selection...\There are four prizes from the placing finalists to the honorable mentions,\but they said ours wasn't good enough.\Compared to this guy who won and was also a finalist, Niizuma Eiji,\do you know what the difference is?\It's the drawings, the drawings.\Honestly, both stories were about a four out of five. response:	But his artwork is a five, and yours is a three.
context: It didn't make it past the final selection...\There are four prizes from the placing finalists to the honorable mentions,\but they said ours wasn't good enough.\Compared to this guy who won and was also a finalist, Niizuma Eiji,\do you know what the difference is?\It's the drawings, the drawings.\Honestly, both stories were about a four out of five.\But his artwork is a five, and yours is a three. response:	A three if I'm going easy.
context: There are four prizes from the placing finalists to the honorable mentions,\but they said ours wasn't good enough.\Compared to this guy who won and was also a finalist, Niizuma Eiji,\do you know what the difference is?\It's the drawings, the drawings.\Honestly, both stories were about a four out of five.\But his artwork is a five, and yours is a three.\A three if I'm going easy. response:	So in other words, Takagi has talent but Mashiro's pulling him down.
context: but they said ours wasn't good enough.\Compared to this guy who won and was also a finalist, Niizuma Eiji,\do you know what the difference is?\It's the drawings, the drawings.\Honestly, both stories were about a four out of five.\But his artwork is a five, and yours is a three.\A three if I'm going easy.\So in other words, Takagi has talent but Mashiro's pulling him down. response:	Ishizawa-kun, you're being too brutally honest.
context: Compared to this guy who won and was also a finalist, Niizuma Eiji,\do you know what the difference is?\It's the drawings, the drawings.\Honestly, both stories were about a four out of five.\But his artwork is a five, and yours is a three.\A three if I'm going easy.\So in other words, Takagi has talent but Mashiro's pulling him down.\Ishizawa-kun, you're being too brutally honest. response:	Well it's the truth, what choice do I have?
context: do you know what the difference is?\It's the drawings, the drawings.\Honestly, both stories were about a four out of five.\But his artwork is a five, and yours is a three.\A three if I'm going easy.\So in other words, Takagi has talent but Mashiro's pulling him down.\Ishizawa-kun, you're being too brutally honest.\Well it's the truth, what choice do I have? response:	Hey...
context: It's the drawings, the drawings.\Honestly, both stories were about a four out of five.\But his artwork is a five, and yours is a three.\A three if I'm going easy.\So in other words, Takagi has talent but Mashiro's pulling him down.\Ishizawa-kun, you're being too brutally honest.\Well it's the truth, what choice do I have?\Hey... response:	You...
context: Honestly, both stories were about a four out of five.\But his artwork is a five, and yours is a three.\A three if I'm going easy.\So in other words, Takagi has talent but Mashiro's pulling him down.\Ishizawa-kun, you're being too brutally honest.\Well it's the truth, what choice do I have?\Hey...\You... response:	Shuujin, stop!
context: But his artwork is a five, and yours is a three.\A three if I'm going easy.\So in other words, Takagi has talent but Mashiro's pulling him down.\Ishizawa-kun, you're being too brutally honest.\Well it's the truth, what choice do I have?\Hey...\You...\Shuujin, stop! response:	It's true that my drawings aren't on par with his.
context: A three if I'm going easy.\So in other words, Takagi has talent but Mashiro's pulling him down.\Ishizawa-kun, you're being too brutally honest.\Well it's the truth, what choice do I have?\Hey...\You...\Shuujin, stop!\It's true that my drawings aren't on par with his. response:	See? There it is from the man himself.
context: So in other words, Takagi has talent but Mashiro's pulling him down.\Ishizawa-kun, you're being too brutally honest.\Well it's the truth, what choice do I have?\Hey...\You...\Shuujin, stop!\It's true that my drawings aren't on par with his.\See? There it is from the man himself. response:	Have you ever once drawn a thirty-one page manga?!
context: Ishizawa-kun, you're being too brutally honest.\Well it's the truth, what choice do I have?\Hey...\You...\Shuujin, stop!\It's true that my drawings aren't on par with his.\See? There it is from the man himself.\Have you ever once drawn a thirty-one page manga?! response:	Nope.
context: Well it's the truth, what choice do I have?\Hey...\You...\Shuujin, stop!\It's true that my drawings aren't on par with his.\See? There it is from the man himself.\Have you ever once drawn a thirty-one page manga?!\Nope. response:	But I could do much better than this piece of crap.
context: Hey...\You...\Shuujin, stop!\It's true that my drawings aren't on par with his.\See? There it is from the man himself.\Have you ever once drawn a thirty-one page manga?!\Nope.\But I could do much better than this piece of crap. response:	See?
context: You...\Shuujin, stop!\It's true that my drawings aren't on par with his.\See? There it is from the man himself.\Have you ever once drawn a thirty-one page manga?!\Nope.\But I could do much better than this piece of crap.\See? response:	If you team up with me, we could definitely
context: Shuujin, stop!\It's true that my drawings aren't on par with his.\See? There it is from the man himself.\Have you ever once drawn a thirty-one page manga?!\Nope.\But I could do much better than this piece of crap.\See?\If you team up with me, we could definitely response:	Shuujin!
context: It's true that my drawings aren't on par with his.\See? There it is from the man himself.\Have you ever once drawn a thirty-one page manga?!\Nope.\But I could do much better than this piece of crap.\See?\If you team up with me, we could definitely\Shuujin! response:	Apologize to Mashiro!
context: See? There it is from the man himself.\Have you ever once drawn a thirty-one page manga?!\Nope.\But I could do much better than this piece of crap.\See?\If you team up with me, we could definitely\Shuujin!\Apologize to Mashiro! response:	WWhat're you doing?
context: Have you ever once drawn a thirty-one page manga?!\Nope.\But I could do much better than this piece of crap.\See?\If you team up with me, we could definitely\Shuujin!\Apologize to Mashiro!\WWhat're you doing? response:	I'm telling a teacher!
context: Nope.\But I could do much better than this piece of crap.\See?\If you team up with me, we could definitely\Shuujin!\Apologize to Mashiro!\WWhat're you doing?\I'm telling a teacher! response:	I don't care who you tell!
context: But I could do much better than this piece of crap.\See?\If you team up with me, we could definitely\Shuujin!\Apologize to Mashiro!\WWhat're you doing?\I'm telling a teacher!\I don't care who you tell! response:	I'm telling you to apologize!
context: See?\If you team up with me, we could definitely\Shuujin!\Apologize to Mashiro!\WWhat're you doing?\I'm telling a teacher!\I don't care who you tell!\I'm telling you to apologize! response:	Hey, did you hear?
context: If you team up with me, we could definitely\Shuujin!\Apologize to Mashiro!\WWhat're you doing?\I'm telling a teacher!\I don't care who you tell!\I'm telling you to apologize!\Hey, did you hear? response:	I heard some third years had a fight yesterday.
context: Shuujin!\Apologize to Mashiro!\WWhat're you doing?\I'm telling a teacher!\I don't care who you tell!\I'm telling you to apologize!\Hey, did you hear?\I heard some third years had a fight yesterday. response:	Eh, who?
context: Apologize to Mashiro!\WWhat're you doing?\I'm telling a teacher!\I don't care who you tell!\I'm telling you to apologize!\Hey, did you hear?\I heard some third years had a fight yesterday.\Eh, who? response:	I don't know their names,
context: WWhat're you doing?\I'm telling a teacher!\I don't care who you tell!\I'm telling you to apologize!\Hey, did you hear?\I heard some third years had a fight yesterday.\Eh, who?\I don't know their names, response:	but I heard they were students that always have top scores on tests.
context: I'm telling a teacher!\I don't care who you tell!\I'm telling you to apologize!\Hey, did you hear?\I heard some third years had a fight yesterday.\Eh, who?\I don't know their names,\but I heard they were students that always have top scores on tests. response:	Eh? There were people like that fighting?
context: I don't care who you tell!\I'm telling you to apologize!\Hey, did you hear?\I heard some third years had a fight yesterday.\Eh, who?\I don't know their names,\but I heard they were students that always have top scores on tests.\Eh? There were people like that fighting? response:	Hey, Saikou!
context: I'm telling you to apologize!\Hey, did you hear?\I heard some third years had a fight yesterday.\Eh, who?\I don't know their names,\but I heard they were students that always have top scores on tests.\Eh? There were people like that fighting?\Hey, Saikou! response:	So the reason you were being so stand-offish was because you were drawing manga, eh?
context: Hey, did you hear?\I heard some third years had a fight yesterday.\Eh, who?\I don't know their names,\but I heard they were students that always have top scores on tests.\Eh? There were people like that fighting?\Hey, Saikou!\So the reason you were being so stand-offish was because you were drawing manga, eh? response:	I never would have guessed.
context: I heard some third years had a fight yesterday.\Eh, who?\I don't know their names,\but I heard they were students that always have top scores on tests.\Eh? There were people like that fighting?\Hey, Saikou!\So the reason you were being so stand-offish was because you were drawing manga, eh?\I never would have guessed. response:	Hey, that's awesome about the Tezuka Award.
context: Eh, who?\I don't know their names,\but I heard they were students that always have top scores on tests.\Eh? There were people like that fighting?\Hey, Saikou!\So the reason you were being so stand-offish was because you were drawing manga, eh?\I never would have guessed.\Hey, that's awesome about the Tezuka Award. response:	Getting to the final selection and all.
context: I don't know their names,\but I heard they were students that always have top scores on tests.\Eh? There were people like that fighting?\Hey, Saikou!\So the reason you were being so stand-offish was because you were drawing manga, eh?\I never would have guessed.\Hey, that's awesome about the Tezuka Award.\Getting to the final selection and all. response:	I've really formed a new opinion of Takagi.
context: but I heard they were students that always have top scores on tests.\Eh? There were people like that fighting?\Hey, Saikou!\So the reason you were being so stand-offish was because you were drawing manga, eh?\I never would have guessed.\Hey, that's awesome about the Tezuka Award.\Getting to the final selection and all.\I've really formed a new opinion of Takagi. response:	To allow his grades to drop so he can write manga and all...
context: Eh? There were people like that fighting?\Hey, Saikou!\So the reason you were being so stand-offish was because you were drawing manga, eh?\I never would have guessed.\Hey, that's awesome about the Tezuka Award.\Getting to the final selection and all.\I've really formed a new opinion of Takagi.\To allow his grades to drop so he can write manga and all... response:	Hey, did that thing with Ishizawa yesterday have anything to do with manga?
context: Hey, Saikou!\So the reason you were being so stand-offish was because you were drawing manga, eh?\I never would have guessed.\Hey, that's awesome about the Tezuka Award.\Getting to the final selection and all.\I've really formed a new opinion of Takagi.\To allow his grades to drop so he can write manga and all...\Hey, did that thing with Ishizawa yesterday have anything to do with manga? response:	I heard that guy's trying to become a mangaka too.
context: So the reason you were being so stand-offish was because you were drawing manga, eh?\I never would have guessed.\Hey, that's awesome about the Tezuka Award.\Getting to the final selection and all.\I've really formed a new opinion of Takagi.\To allow his grades to drop so he can write manga and all...\Hey, did that thing with Ishizawa yesterday have anything to do with manga?\I heard that guy's trying to become a mangaka too. response:	Eh, seriously?!
context: I never would have guessed.\Hey, that's awesome about the Tezuka Award.\Getting to the final selection and all.\I've really formed a new opinion of Takagi.\To allow his grades to drop so he can write manga and all...\Hey, did that thing with Ishizawa yesterday have anything to do with manga?\I heard that guy's trying to become a mangaka too.\Eh, seriously?! response:	Huh?
context: Hey, that's awesome about the Tezuka Award.\Getting to the final selection and all.\I've really formed a new opinion of Takagi.\To allow his grades to drop so he can write manga and all...\Hey, did that thing with Ishizawa yesterday have anything to do with manga?\I heard that guy's trying to become a mangaka too.\Eh, seriously?!\Huh? response:	Saikou?
context: Getting to the final selection and all.\I've really formed a new opinion of Takagi.\To allow his grades to drop so he can write manga and all...\Hey, did that thing with Ishizawa yesterday have anything to do with manga?\I heard that guy's trying to become a mangaka too.\Eh, seriously?!\Huh?\Saikou? response:	So, this problem can be solved if you apply this formula.
context: I've really formed a new opinion of Takagi.\To allow his grades to drop so he can write manga and all...\Hey, did that thing with Ishizawa yesterday have anything to do with manga?\I heard that guy's trying to become a mangaka too.\Eh, seriously?!\Huh?\Saikou?\So, this problem can be solved if you apply this formula. response:	Got that, Kawasaki?
context: To allow his grades to drop so he can write manga and all...\Hey, did that thing with Ishizawa yesterday have anything to do with manga?\I heard that guy's trying to become a mangaka too.\Eh, seriously?!\Huh?\Saikou?\So, this problem can be solved if you apply this formula.\Got that, Kawasaki? response:	Sensei, why do you always call on me?
context: Hey, did that thing with Ishizawa yesterday have anything to do with manga?\I heard that guy's trying to become a mangaka too.\Eh, seriously?!\Huh?\Saikou?\So, this problem can be solved if you apply this formula.\Got that, Kawasaki?\Sensei, why do you always call on me? response:	Because if you can understand it, that means everyone does.
context: I heard that guy's trying to become a mangaka too.\Eh, seriously?!\Huh?\Saikou?\So, this problem can be solved if you apply this formula.\Got that, Kawasaki?\Sensei, why do you always call on me?\Because if you can understand it, that means everyone does. response:	I don't think Suzuki-kun understands.
context: Eh, seriously?!\Huh?\Saikou?\So, this problem can be solved if you apply this formula.\Got that, Kawasaki?\Sensei, why do you always call on me?\Because if you can understand it, that means everyone does.\I don't think Suzuki-kun understands. response:	What are you talking about?
context: Huh?\Saikou?\So, this problem can be solved if you apply this formula.\Got that, Kawasaki?\Sensei, why do you always call on me?\Because if you can understand it, that means everyone does.\I don't think Suzuki-kun understands.\What are you talking about? response:	Well then, let's solve this next problem.
context: Saikou?\So, this problem can be solved if you apply this formula.\Got that, Kawasaki?\Sensei, why do you always call on me?\Because if you can understand it, that means everyone does.\I don't think Suzuki-kun understands.\What are you talking about?\Well then, let's solve this next problem. response:	It's from Shuujin.
context: So, this problem can be solved if you apply this formula.\Got that, Kawasaki?\Sensei, why do you always call on me?\Because if you can understand it, that means everyone does.\I don't think Suzuki-kun understands.\What are you talking about?\Well then, let's solve this next problem.\It's from Shuujin. response:	There he is.
context: Got that, Kawasaki?\Sensei, why do you always call on me?\Because if you can understand it, that means everyone does.\I don't think Suzuki-kun understands.\What are you talking about?\Well then, let's solve this next problem.\It's from Shuujin.\There he is. response:	Mashiro!
context: Sensei, why do you always call on me?\Because if you can understand it, that means everyone does.\I don't think Suzuki-kun understands.\What are you talking about?\Well then, let's solve this next problem.\It's from Shuujin.\There he is.\Mashiro! response:	Where's Takagi?
context: Because if you can understand it, that means everyone does.\I don't think Suzuki-kun understands.\What are you talking about?\Well then, let's solve this next problem.\It's from Shuujin.\There he is.\Mashiro!\Where's Takagi? response:	I haven't seen him today.
context: I don't think Suzuki-kun understands.\What are you talking about?\Well then, let's solve this next problem.\It's from Shuujin.\There he is.\Mashiro!\Where's Takagi?\I haven't seen him today. response:	He told me he's suspended for a week.
context: What are you talking about?\Well then, let's solve this next problem.\It's from Shuujin.\There he is.\Mashiro!\Where's Takagi?\I haven't seen him today.\He told me he's suspended for a week. response:	Eh?! Why?
context: Well then, let's solve this next problem.\It's from Shuujin.\There he is.\Mashiro!\Where's Takagi?\I haven't seen him today.\He told me he's suspended for a week.\Eh?! Why? response:	Ishizawa came to school!
context: It's from Shuujin.\There he is.\Mashiro!\Where's Takagi?\I haven't seen him today.\He told me he's suspended for a week.\Eh?! Why?\Ishizawa came to school! response:	It's his fault for saying such terrible things!
context: There he is.\Mashiro!\Where's Takagi?\I haven't seen him today.\He told me he's suspended for a week.\Eh?! Why?\Ishizawa came to school!\It's his fault for saying such terrible things! response:	Well, I think Takagi might have gone a little too far,
context: Mashiro!\Where's Takagi?\I haven't seen him today.\He told me he's suspended for a week.\Eh?! Why?\Ishizawa came to school!\It's his fault for saying such terrible things!\Well, I think Takagi might have gone a little too far, response:	but I didn't think he had guts like that!
context: Where's Takagi?\I haven't seen him today.\He told me he's suspended for a week.\Eh?! Why?\Ishizawa came to school!\It's his fault for saying such terrible things!\Well, I think Takagi might have gone a little too far,\but I didn't think he had guts like that! response:	I guess I need to reconsider him a bit.
context: I haven't seen him today.\He told me he's suspended for a week.\Eh?! Why?\Ishizawa came to school!\It's his fault for saying such terrible things!\Well, I think Takagi might have gone a little too far,\but I didn't think he had guts like that!\I guess I need to reconsider him a bit. response:	Huh, what?
context: He told me he's suspended for a week.\Eh?! Why?\Ishizawa came to school!\It's his fault for saying such terrible things!\Well, I think Takagi might have gone a little too far,\but I didn't think he had guts like that!\I guess I need to reconsider him a bit.\Huh, what? response:	Are you just leaving?
context: Eh?! Why?\Ishizawa came to school!\It's his fault for saying such terrible things!\Well, I think Takagi might have gone a little too far,\but I didn't think he had guts like that!\I guess I need to reconsider him a bit.\Huh, what?\Are you just leaving? response:	Mashiro!
context: Ishizawa came to school!\It's his fault for saying such terrible things!\Well, I think Takagi might have gone a little too far,\but I didn't think he had guts like that!\I guess I need to reconsider him a bit.\Huh, what?\Are you just leaving?\Mashiro! response:	Work with me and become a mangaka.
context: It's his fault for saying such terrible things!\Well, I think Takagi might have gone a little too far,\but I didn't think he had guts like that!\I guess I need to reconsider him a bit.\Huh, what?\Are you just leaving?\Mashiro!\Work with me and become a mangaka. response:	I decided I would become a mangaka together with Shuujin.
context: Well, I think Takagi might have gone a little too far,\but I didn't think he had guts like that!\I guess I need to reconsider him a bit.\Huh, what?\Are you just leaving?\Mashiro!\Work with me and become a mangaka.\I decided I would become a mangaka together with Shuujin. response:	An anime by eighteen years old.
context: but I didn't think he had guts like that!\I guess I need to reconsider him a bit.\Huh, what?\Are you just leaving?\Mashiro!\Work with me and become a mangaka.\I decided I would become a mangaka together with Shuujin.\An anime by eighteen years old. response:	We'll make that our goal
context: I guess I need to reconsider him a bit.\Huh, what?\Are you just leaving?\Mashiro!\Work with me and become a mangaka.\I decided I would become a mangaka together with Shuujin.\An anime by eighteen years old.\We'll make that our goal response:	No, we'll make that our reality!
context: Huh, what?\Are you just leaving?\Mashiro!\Work with me and become a mangaka.\I decided I would become a mangaka together with Shuujin.\An anime by eighteen years old.\We'll make that our goal\No, we'll make that our reality! response:	Then I'll go to North High too.
context: Are you just leaving?\Mashiro!\Work with me and become a mangaka.\I decided I would become a mangaka together with Shuujin.\An anime by eighteen years old.\We'll make that our goal\No, we'll make that our reality!\Then I'll go to North High too. response:	Just in order to become mangakas a little faster,
context: Mashiro!\Work with me and become a mangaka.\I decided I would become a mangaka together with Shuujin.\An anime by eighteen years old.\We'll make that our goal\No, we'll make that our reality!\Then I'll go to North High too.\Just in order to become mangakas a little faster, response:	he changed his path in school.
