context: Third Galactic Empire, Year 214 response:	The limit, huh?
context: Third Galactic Empire, Year 214\The limit, huh? response:	That's nothing but an archaic weapon.
context: Third Galactic Empire, Year 214\The limit, huh?\That's nothing but an archaic weapon. response:	To have fought the Royal Guard to a standstill for 40 stunde,
context: Third Galactic Empire, Year 214\The limit, huh?\That's nothing but an archaic weapon.\To have fought the Royal Guard to a standstill for 40 stunde, response:	you Golden Seven live up to your reputation.
context: Third Galactic Empire, Year 214\The limit, huh?\That's nothing but an archaic weapon.\To have fought the Royal Guard to a standstill for 40 stunde,\you Golden Seven live up to your reputation. response:	Nevertheless...!
context: Third Galactic Empire, Year 214\The limit, huh?\That's nothing but an archaic weapon.\To have fought the Royal Guard to a standstill for 40 stunde,\you Golden Seven live up to your reputation.\Nevertheless...! response:	The Condemnation Mirage?!
context: Third Galactic Empire, Year 214\The limit, huh?\That's nothing but an archaic weapon.\To have fought the Royal Guard to a standstill for 40 stunde,\you Golden Seven live up to your reputation.\Nevertheless...!\The Condemnation Mirage?! response:	This this
context: Third Galactic Empire, Year 214\The limit, huh?\That's nothing but an archaic weapon.\To have fought the Royal Guard to a standstill for 40 stunde,\you Golden Seven live up to your reputation.\Nevertheless...!\The Condemnation Mirage?!\This this response:	Even after two hundred years, a promise is a promise.
context: The limit, huh?\That's nothing but an archaic weapon.\To have fought the Royal Guard to a standstill for 40 stunde,\you Golden Seven live up to your reputation.\Nevertheless...!\The Condemnation Mirage?!\This this\Even after two hundred years, a promise is a promise. response:	Right?
context: That's nothing but an archaic weapon.\To have fought the Royal Guard to a standstill for 40 stunde,\you Golden Seven live up to your reputation.\Nevertheless...!\The Condemnation Mirage?!\This this\Even after two hundred years, a promise is a promise.\Right? response:	I can't believe there were more of them...
context: To have fought the Royal Guard to a standstill for 40 stunde,\you Golden Seven live up to your reputation.\Nevertheless...!\The Condemnation Mirage?!\This this\Even after two hundred years, a promise is a promise.\Right?\I can't believe there were more of them... response:	I'm sorry.
context: you Golden Seven live up to your reputation.\Nevertheless...!\The Condemnation Mirage?!\This this\Even after two hundred years, a promise is a promise.\Right?\I can't believe there were more of them...\I'm sorry. response:	You don't have to apologize, Haruto.
context: Nevertheless...!\The Condemnation Mirage?!\This this\Even after two hundred years, a promise is a promise.\Right?\I can't believe there were more of them...\I'm sorry.\You don't have to apologize, Haruto. response:	Yeah, you should show some more backbone!
context: The Condemnation Mirage?!\This this\Even after two hundred years, a promise is a promise.\Right?\I can't believe there were more of them...\I'm sorry.\You don't have to apologize, Haruto.\Yeah, you should show some more backbone! response:	In any event, these will prove to be invaluable firepower.
context: This this\Even after two hundred years, a promise is a promise.\Right?\I can't believe there were more of them...\I'm sorry.\You don't have to apologize, Haruto.\Yeah, you should show some more backbone!\In any event, these will prove to be invaluable firepower. response:	The Student Council will take charge of them.
context: Even after two hundred years, a promise is a promise.\Right?\I can't believe there were more of them...\I'm sorry.\You don't have to apologize, Haruto.\Yeah, you should show some more backbone!\In any event, these will prove to be invaluable firepower.\The Student Council will take charge of them. response:	You can't!
context: Right?\I can't believe there were more of them...\I'm sorry.\You don't have to apologize, Haruto.\Yeah, you should show some more backbone!\In any event, these will prove to be invaluable firepower.\The Student Council will take charge of them.\You can't! response:	Why not?
context: I can't believe there were more of them...\I'm sorry.\You don't have to apologize, Haruto.\Yeah, you should show some more backbone!\In any event, these will prove to be invaluable firepower.\The Student Council will take charge of them.\You can't!\Why not? response:	Because...
context: I'm sorry.\You don't have to apologize, Haruto.\Yeah, you should show some more backbone!\In any event, these will prove to be invaluable firepower.\The Student Council will take charge of them.\You can't!\Why not?\Because... response:	You have no right to tell us what to do with them.
context: You don't have to apologize, Haruto.\Yeah, you should show some more backbone!\In any event, these will prove to be invaluable firepower.\The Student Council will take charge of them.\You can't!\Why not?\Because...\You have no right to tell us what to do with them. response:	Vice-President, go fetch the Student Council Property stamp.
context: Yeah, you should show some more backbone!\In any event, these will prove to be invaluable firepower.\The Student Council will take charge of them.\You can't!\Why not?\Because...\You have no right to tell us what to do with them.\Vice-President, go fetch the Student Council Property stamp. response:	Please don't do this!
context: In any event, these will prove to be invaluable firepower.\The Student Council will take charge of them.\You can't!\Why not?\Because...\You have no right to tell us what to do with them.\Vice-President, go fetch the Student Council Property stamp.\Please don't do this! response:	I won't let you touch the Valvraves!
context: The Student Council will take charge of them.\You can't!\Why not?\Because...\You have no right to tell us what to do with them.\Vice-President, go fetch the Student Council Property stamp.\Please don't do this!\I won't let you touch the Valvraves! response:	I was chosen by vote to represent the entire student body.
context: You can't!\Why not?\Because...\You have no right to tell us what to do with them.\Vice-President, go fetch the Student Council Property stamp.\Please don't do this!\I won't let you touch the Valvraves!\I was chosen by vote to represent the entire student body. response:	He might hate competition and stuff, but this is the one area where he's bullheaded...
context: Why not?\Because...\You have no right to tell us what to do with them.\Vice-President, go fetch the Student Council Property stamp.\Please don't do this!\I won't let you touch the Valvraves!\I was chosen by vote to represent the entire student body.\He might hate competition and stuff, but this is the one area where he's bullheaded... response:	When Haruto gets like this, he won't listen to anybody.
context: Because...\You have no right to tell us what to do with them.\Vice-President, go fetch the Student Council Property stamp.\Please don't do this!\I won't let you touch the Valvraves!\I was chosen by vote to represent the entire student body.\He might hate competition and stuff, but this is the one area where he's bullheaded...\When Haruto gets like this, he won't listen to anybody. response:	You know him really well, don't you?
context: You have no right to tell us what to do with them.\Vice-President, go fetch the Student Council Property stamp.\Please don't do this!\I won't let you touch the Valvraves!\I was chosen by vote to represent the entire student body.\He might hate competition and stuff, but this is the one area where he's bullheaded...\When Haruto gets like this, he won't listen to anybody.\You know him really well, don't you? response:	One time, we ran away from home together, and he
context: Vice-President, go fetch the Student Council Property stamp.\Please don't do this!\I won't let you touch the Valvraves!\I was chosen by vote to represent the entire student body.\He might hate competition and stuff, but this is the one area where he's bullheaded...\When Haruto gets like this, he won't listen to anybody.\You know him really well, don't you?\One time, we ran away from home together, and he response:	Hey, don't tell them about that!
context: Please don't do this!\I won't let you touch the Valvraves!\I was chosen by vote to represent the entire student body.\He might hate competition and stuff, but this is the one area where he's bullheaded...\When Haruto gets like this, he won't listen to anybody.\You know him really well, don't you?\One time, we ran away from home together, and he\Hey, don't tell them about that! response:	But I think it's a cute story!
context: I won't let you touch the Valvraves!\I was chosen by vote to represent the entire student body.\He might hate competition and stuff, but this is the one area where he's bullheaded...\When Haruto gets like this, he won't listen to anybody.\You know him really well, don't you?\One time, we ran away from home together, and he\Hey, don't tell them about that!\But I think it's a cute story! response:	Only you would think that!
context: I was chosen by vote to represent the entire student body.\He might hate competition and stuff, but this is the one area where he's bullheaded...\When Haruto gets like this, he won't listen to anybody.\You know him really well, don't you?\One time, we ran away from home together, and he\Hey, don't tell them about that!\But I think it's a cute story!\Only you would think that! response:	You two...
context: He might hate competition and stuff, but this is the one area where he's bullheaded...\When Haruto gets like this, he won't listen to anybody.\You know him really well, don't you?\One time, we ran away from home together, and he\Hey, don't tell them about that!\But I think it's a cute story!\Only you would think that!\You two... response:	Oh! Sorry...
context: When Haruto gets like this, he won't listen to anybody.\You know him really well, don't you?\One time, we ran away from home together, and he\Hey, don't tell them about that!\But I think it's a cute story!\Only you would think that!\You two...\Oh! Sorry... response:	Mr. President, no one knows these robots better than Haruto.
context: You know him really well, don't you?\One time, we ran away from home together, and he\Hey, don't tell them about that!\But I think it's a cute story!\Only you would think that!\You two...\Oh! Sorry...\Mr. President, no one knows these robots better than Haruto. response:	Perhaps we should let him decide?
