context: Opening 1st Frame response:	Signs
context: Opening 1st Frame\Signs response:	Ending
context: Opening 1st Frame\Signs\Ending response:	Answer the man, scum.
context: Opening 1st Frame\Signs\Ending\Answer the man, scum. response:	What do you want to do?
context: Opening 1st Frame\Signs\Ending\Answer the man, scum.\What do you want to do? response:	I want to join the Recon Corps,
context: Opening 1st Frame\Signs\Ending\Answer the man, scum.\What do you want to do?\I want to join the Recon Corps, response:	and kill as many Titans as I can, sir!
context: Opening 1st Frame\Signs\Ending\Answer the man, scum.\What do you want to do?\I want to join the Recon Corps,\and kill as many Titans as I can, sir! response:	Oh? Not bad.
context: Opening 1st Frame\Signs\Ending\Answer the man, scum.\What do you want to do?\I want to join the Recon Corps,\and kill as many Titans as I can, sir!\Oh? Not bad. response:	Erwin. I'll take responsibility for him.
context: Signs\Ending\Answer the man, scum.\What do you want to do?\I want to join the Recon Corps,\and kill as many Titans as I can, sir!\Oh? Not bad.\Erwin. I'll take responsibility for him. response:	Tell that to the higher-ups.
context: Ending\Answer the man, scum.\What do you want to do?\I want to join the Recon Corps,\and kill as many Titans as I can, sir!\Oh? Not bad.\Erwin. I'll take responsibility for him.\Tell that to the higher-ups. response:	Don't get me wrong. It's not like I trust him.
context: Answer the man, scum.\What do you want to do?\I want to join the Recon Corps,\and kill as many Titans as I can, sir!\Oh? Not bad.\Erwin. I'll take responsibility for him.\Tell that to the higher-ups.\Don't get me wrong. It's not like I trust him. response:	If he betrays us or goes berserk, I'll put him down without hesitation.
context: What do you want to do?\I want to join the Recon Corps,\and kill as many Titans as I can, sir!\Oh? Not bad.\Erwin. I'll take responsibility for him.\Tell that to the higher-ups.\Don't get me wrong. It's not like I trust him.\If he betrays us or goes berserk, I'll put him down without hesitation. response:	Upstairs shouldn't have a problem with that...
context: I want to join the Recon Corps,\and kill as many Titans as I can, sir!\Oh? Not bad.\Erwin. I'll take responsibility for him.\Tell that to the higher-ups.\Don't get me wrong. It's not like I trust him.\If he betrays us or goes berserk, I'll put him down without hesitation.\Upstairs shouldn't have a problem with that... response:	Nobody except me is suited for the job.
context: and kill as many Titans as I can, sir!\Oh? Not bad.\Erwin. I'll take responsibility for him.\Tell that to the higher-ups.\Don't get me wrong. It's not like I trust him.\If he betrays us or goes berserk, I'll put him down without hesitation.\Upstairs shouldn't have a problem with that...\Nobody except me is suited for the job. response:	I'll accept your application to the Recon Corps.
context: Oh? Not bad.\Erwin. I'll take responsibility for him.\Tell that to the higher-ups.\Don't get me wrong. It's not like I trust him.\If he betrays us or goes berserk, I'll put him down without hesitation.\Upstairs shouldn't have a problem with that...\Nobody except me is suited for the job.\I'll accept your application to the Recon Corps. response:	Hey, is it true?
context: Erwin. I'll take responsibility for him.\Tell that to the higher-ups.\Don't get me wrong. It's not like I trust him.\If he betrays us or goes berserk, I'll put him down without hesitation.\Upstairs shouldn't have a problem with that...\Nobody except me is suited for the job.\I'll accept your application to the Recon Corps.\Hey, is it true? response:	Are there really Titans that sided with us?
context: Tell that to the higher-ups.\Don't get me wrong. It's not like I trust him.\If he betrays us or goes berserk, I'll put him down without hesitation.\Upstairs shouldn't have a problem with that...\Nobody except me is suited for the job.\I'll accept your application to the Recon Corps.\Hey, is it true?\Are there really Titans that sided with us? response:	Come on, it's obviously just a rumor.
context: Don't get me wrong. It's not like I trust him.\If he betrays us or goes berserk, I'll put him down without hesitation.\Upstairs shouldn't have a problem with that...\Nobody except me is suited for the job.\I'll accept your application to the Recon Corps.\Hey, is it true?\Are there really Titans that sided with us?\Come on, it's obviously just a rumor. response:	The retake campaign might've failed, meaning lots of people from Wall Rose could be evacuating here.
context: If he betrays us or goes berserk, I'll put him down without hesitation.\Upstairs shouldn't have a problem with that...\Nobody except me is suited for the job.\I'll accept your application to the Recon Corps.\Hey, is it true?\Are there really Titans that sided with us?\Come on, it's obviously just a rumor.\The retake campaign might've failed, meaning lots of people from Wall Rose could be evacuating here. response:	But then we're bound to have another food shortage...
context: Upstairs shouldn't have a problem with that...\Nobody except me is suited for the job.\I'll accept your application to the Recon Corps.\Hey, is it true?\Are there really Titans that sided with us?\Come on, it's obviously just a rumor.\The retake campaign might've failed, meaning lots of people from Wall Rose could be evacuating here.\But then we're bound to have another food shortage... response:	What if the Titan that sided with humans joins up with the Rose refugees,
context: Nobody except me is suited for the job.\I'll accept your application to the Recon Corps.\Hey, is it true?\Are there really Titans that sided with us?\Come on, it's obviously just a rumor.\The retake campaign might've failed, meaning lots of people from Wall Rose could be evacuating here.\But then we're bound to have another food shortage...\What if the Titan that sided with humans joins up with the Rose refugees, response:	and they attack us together?
context: I'll accept your application to the Recon Corps.\Hey, is it true?\Are there really Titans that sided with us?\Come on, it's obviously just a rumor.\The retake campaign might've failed, meaning lots of people from Wall Rose could be evacuating here.\But then we're bound to have another food shortage...\What if the Titan that sided with humans joins up with the Rose refugees,\and they attack us together? response:	This is huge news! A Titan has sided with us!
context: Hey, is it true?\Are there really Titans that sided with us?\Come on, it's obviously just a rumor.\The retake campaign might've failed, meaning lots of people from Wall Rose could be evacuating here.\But then we're bound to have another food shortage...\What if the Titan that sided with humans joins up with the Rose refugees,\and they attack us together?\This is huge news! A Titan has sided with us! response:	We might even be able to retake Wall Maria!
context: Are there really Titans that sided with us?\Come on, it's obviously just a rumor.\The retake campaign might've failed, meaning lots of people from Wall Rose could be evacuating here.\But then we're bound to have another food shortage...\What if the Titan that sided with humans joins up with the Rose refugees,\and they attack us together?\This is huge news! A Titan has sided with us!\We might even be able to retake Wall Maria! response:	Say it!
context: Come on, it's obviously just a rumor.\The retake campaign might've failed, meaning lots of people from Wall Rose could be evacuating here.\But then we're bound to have another food shortage...\What if the Titan that sided with humans joins up with the Rose refugees,\and they attack us together?\This is huge news! A Titan has sided with us!\We might even be able to retake Wall Maria!\Say it! response:	Say it! He's our savior!
