context: Catch your breath. response:	East, huh?
context: Catch your breath.\East, huh? response:	Hey, have you ever seen an adventurer?
context: Catch your breath.\East, huh?\Hey, have you ever seen an adventurer? response:	I heard a rumor
context: Catch your breath.\East, huh?\Hey, have you ever seen an adventurer?\I heard a rumor response:	that an adventurer younger than me skipped right over this mountain, humming a tune.
context: Catch your breath.\East, huh?\Hey, have you ever seen an adventurer?\I heard a rumor\that an adventurer younger than me skipped right over this mountain, humming a tune. response:	If I could be like that...
context: Catch your breath.\East, huh?\Hey, have you ever seen an adventurer?\I heard a rumor\that an adventurer younger than me skipped right over this mountain, humming a tune.\If I could be like that... response:	Don't bother.
context: Catch your breath.\East, huh?\Hey, have you ever seen an adventurer?\I heard a rumor\that an adventurer younger than me skipped right over this mountain, humming a tune.\If I could be like that...\Don't bother. response:	What can they do?
context: Catch your breath.\East, huh?\Hey, have you ever seen an adventurer?\I heard a rumor\that an adventurer younger than me skipped right over this mountain, humming a tune.\If I could be like that...\Don't bother.\What can they do? response:	Can they live as one with the land?
context: East, huh?\Hey, have you ever seen an adventurer?\I heard a rumor\that an adventurer younger than me skipped right over this mountain, humming a tune.\If I could be like that...\Don't bother.\What can they do?\Can they live as one with the land? response:	Adventurers create nothing.
context: Hey, have you ever seen an adventurer?\I heard a rumor\that an adventurer younger than me skipped right over this mountain, humming a tune.\If I could be like that...\Don't bother.\What can they do?\Can they live as one with the land?\Adventurers create nothing. response:	They simply fight and shed blood.
context: I heard a rumor\that an adventurer younger than me skipped right over this mountain, humming a tune.\If I could be like that...\Don't bother.\What can they do?\Can they live as one with the land?\Adventurers create nothing.\They simply fight and shed blood. response:	What's wrong?
context: that an adventurer younger than me skipped right over this mountain, humming a tune.\If I could be like that...\Don't bother.\What can they do?\Can they live as one with the land?\Adventurers create nothing.\They simply fight and shed blood.\What's wrong? response:	That looks bad.
context: If I could be like that...\Don't bother.\What can they do?\Can they live as one with the land?\Adventurers create nothing.\They simply fight and shed blood.\What's wrong?\That looks bad. response:	We have to tell the village.
context: Don't bother.\What can they do?\Can they live as one with the land?\Adventurers create nothing.\They simply fight and shed blood.\What's wrong?\That looks bad.\We have to tell the village. response:	Here you go!
