context: All right, we're going to begin the match between Class 1 and Class 7. response:	Sports Day
context: All right, we're going to begin the match between Class 1 and Class 7.\Sports Day response:	It's Sports Day.
context: All right, we're going to begin the match between Class 1 and Class 7.\Sports Day\It's Sports Day. response:	Take it!
context: All right, we're going to begin the match between Class 1 and Class 7.\Sports Day\It's Sports Day.\Take it! response:	Someone, take it!
context: All right, we're going to begin the match between Class 1 and Class 7.\Sports Day\It's Sports Day.\Take it!\Someone, take it! response:	I want to go home and sleep.
context: All right, we're going to begin the match between Class 1 and Class 7.\Sports Day\It's Sports Day.\Take it!\Someone, take it!\I want to go home and sleep. response:	Yamane-san.
context: All right, we're going to begin the match between Class 1 and Class 7.\Sports Day\It's Sports Day.\Take it!\Someone, take it!\I want to go home and sleep.\Yamane-san. response:	G-Go get them!
context: All right, we're going to begin the match between Class 1 and Class 7.\Sports Day\It's Sports Day.\Take it!\Someone, take it!\I want to go home and sleep.\Yamane-san.\G-Go get them! response:	Kurihara-san!
context: Sports Day\It's Sports Day.\Take it!\Someone, take it!\I want to go home and sleep.\Yamane-san.\G-Go get them!\Kurihara-san! response:	I-I want to go home and sleep!
context: It's Sports Day.\Take it!\Someone, take it!\I want to go home and sleep.\Yamane-san.\G-Go get them!\Kurihara-san!\I-I want to go home and sleep! response:	Takase!
context: Take it!\Someone, take it!\I want to go home and sleep.\Yamane-san.\G-Go get them!\Kurihara-san!\I-I want to go home and sleep!\Takase! response:	Is it too obvious I like him if I cheer for him?
context: Someone, take it!\I want to go home and sleep.\Yamane-san.\G-Go get them!\Kurihara-san!\I-I want to go home and sleep!\Takase!\Is it too obvious I like him if I cheer for him? response:	C-Class 1!
context: I want to go home and sleep.\Yamane-san.\G-Go get them!\Kurihara-san!\I-I want to go home and sleep!\Takase!\Is it too obvious I like him if I cheer for him?\C-Class 1! response:	It'd be too obvious I like Kanda if I look at her, right?
context: Yamane-san.\G-Go get them!\Kurihara-san!\I-I want to go home and sleep!\Takase!\Is it too obvious I like him if I cheer for him?\C-Class 1!\It'd be too obvious I like Kanda if I look at her, right? response:	Furuya!
context: G-Go get them!\Kurihara-san!\I-I want to go home and sleep!\Takase!\Is it too obvious I like him if I cheer for him?\C-Class 1!\It'd be too obvious I like Kanda if I look at her, right?\Furuya! response:	Go, go, Onii-chan!
context: Kurihara-san!\I-I want to go home and sleep!\Takase!\Is it too obvious I like him if I cheer for him?\C-Class 1!\It'd be too obvious I like Kanda if I look at her, right?\Furuya!\Go, go, Onii-chan! response:	Class 4
context: I-I want to go home and sleep!\Takase!\Is it too obvious I like him if I cheer for him?\C-Class 1!\It'd be too obvious I like Kanda if I look at her, right?\Furuya!\Go, go, Onii-chan!\Class 4 response:	Class 1
context: Takase!\Is it too obvious I like him if I cheer for him?\C-Class 1!\It'd be too obvious I like Kanda if I look at her, right?\Furuya!\Go, go, Onii-chan!\Class 4\Class 1 response:	Yo, Goda!
context: Is it too obvious I like him if I cheer for him?\C-Class 1!\It'd be too obvious I like Kanda if I look at her, right?\Furuya!\Go, go, Onii-chan!\Class 4\Class 1\Yo, Goda! response:	Looks like it's down to you guys and us.
context: C-Class 1!\It'd be too obvious I like Kanda if I look at her, right?\Furuya!\Go, go, Onii-chan!\Class 4\Class 1\Yo, Goda!\Looks like it's down to you guys and us. response:	Noro...
context: It'd be too obvious I like Kanda if I look at her, right?\Furuya!\Go, go, Onii-chan!\Class 4\Class 1\Yo, Goda!\Looks like it's down to you guys and us.\Noro... response:	Yo, what's up?
context: Furuya!\Go, go, Onii-chan!\Class 4\Class 1\Yo, Goda!\Looks like it's down to you guys and us.\Noro...\Yo, what's up? response:	Just so you know, no one with a girlfriend
context: Go, go, Onii-chan!\Class 4\Class 1\Yo, Goda!\Looks like it's down to you guys and us.\Noro...\Yo, what's up?\Just so you know, no one with a girlfriend response:	You're handling too much.
context: Class 4\Class 1\Yo, Goda!\Looks like it's down to you guys and us.\Noro...\Yo, what's up?\Just so you know, no one with a girlfriend\You're handling too much. response:	Can you make the next match?
context: Class 1\Yo, Goda!\Looks like it's down to you guys and us.\Noro...\Yo, what's up?\Just so you know, no one with a girlfriend\You're handling too much.\Can you make the next match? response:	What?! I can't?!
context: Yo, Goda!\Looks like it's down to you guys and us.\Noro...\Yo, what's up?\Just so you know, no one with a girlfriend\You're handling too much.\Can you make the next match?\What?! I can't?! response:	Why?!
context: Looks like it's down to you guys and us.\Noro...\Yo, what's up?\Just so you know, no one with a girlfriend\You're handling too much.\Can you make the next match?\What?! I can't?!\Why?! response:	Don't you know the rules?
context: Noro...\Yo, what's up?\Just so you know, no one with a girlfriend\You're handling too much.\Can you make the next match?\What?! I can't?!\Why?!\Don't you know the rules? response:	All right, let's clean this up.
context: Yo, what's up?\Just so you know, no one with a girlfriend\You're handling too much.\Can you make the next match?\What?! I can't?!\Why?!\Don't you know the rules?\All right, let's clean this up. response:	Why?!
context: Just so you know, no one with a girlfriend\You're handling too much.\Can you make the next match?\What?! I can't?!\Why?!\Don't you know the rules?\All right, let's clean this up.\Why?! response:	Yeah.
context: You're handling too much.\Can you make the next match?\What?! I can't?!\Why?!\Don't you know the rules?\All right, let's clean this up.\Why?!\Yeah. response:	Later.
context: Can you make the next match?\What?! I can't?!\Why?!\Don't you know the rules?\All right, let's clean this up.\Why?!\Yeah.\Later. response:	Chiaki, next match is the final, right?
context: What?! I can't?!\Why?!\Don't you know the rules?\All right, let's clean this up.\Why?!\Yeah.\Later.\Chiaki, next match is the final, right? response:	I'll be rooting for you.
context: Why?!\Don't you know the rules?\All right, let's clean this up.\Why?!\Yeah.\Later.\Chiaki, next match is the final, right?\I'll be rooting for you. response:	Yeah, thanks.
context: Don't you know the rules?\All right, let's clean this up.\Why?!\Yeah.\Later.\Chiaki, next match is the final, right?\I'll be rooting for you.\Yeah, thanks. response:	Come on, Kana, make up.
context: All right, let's clean this up.\Why?!\Yeah.\Later.\Chiaki, next match is the final, right?\I'll be rooting for you.\Yeah, thanks.\Come on, Kana, make up. response:	U-Uh...
context: Why?!\Yeah.\Later.\Chiaki, next match is the final, right?\I'll be rooting for you.\Yeah, thanks.\Come on, Kana, make up.\U-Uh... response:	L-Later.
context: Yeah.\Later.\Chiaki, next match is the final, right?\I'll be rooting for you.\Yeah, thanks.\Come on, Kana, make up.\U-Uh...\L-Later. response:	Chiaki, you ass!
context: Later.\Chiaki, next match is the final, right?\I'll be rooting for you.\Yeah, thanks.\Come on, Kana, make up.\U-Uh...\L-Later.\Chiaki, you ass! response:	Keisuke, I want to play in boys' soccer, too.
context: Chiaki, next match is the final, right?\I'll be rooting for you.\Yeah, thanks.\Come on, Kana, make up.\U-Uh...\L-Later.\Chiaki, you ass!\Keisuke, I want to play in boys' soccer, too. response:	I don't think you can.
context: I'll be rooting for you.\Yeah, thanks.\Come on, Kana, make up.\U-Uh...\L-Later.\Chiaki, you ass!\Keisuke, I want to play in boys' soccer, too.\I don't think you can. response:	You can play.
context: Yeah, thanks.\Come on, Kana, make up.\U-Uh...\L-Later.\Chiaki, you ass!\Keisuke, I want to play in boys' soccer, too.\I don't think you can.\You can play. response:	Ask someone to switch.
context: Come on, Kana, make up.\U-Uh...\L-Later.\Chiaki, you ass!\Keisuke, I want to play in boys' soccer, too.\I don't think you can.\You can play.\Ask someone to switch. response:	Seriously?
context: U-Uh...\L-Later.\Chiaki, you ass!\Keisuke, I want to play in boys' soccer, too.\I don't think you can.\You can play.\Ask someone to switch.\Seriously? response:	But who?
context: L-Later.\Chiaki, you ass!\Keisuke, I want to play in boys' soccer, too.\I don't think you can.\You can play.\Ask someone to switch.\Seriously?\But who? response:	Keisuke, switch!
context: Chiaki, you ass!\Keisuke, I want to play in boys' soccer, too.\I don't think you can.\You can play.\Ask someone to switch.\Seriously?\But who?\Keisuke, switch! response:	All right, we're starting the final match.
context: Keisuke, I want to play in boys' soccer, too.\I don't think you can.\You can play.\Ask someone to switch.\Seriously?\But who?\Keisuke, switch!\All right, we're starting the final match. response:	Go, Class 1!
context: I don't think you can.\You can play.\Ask someone to switch.\Seriously?\But who?\Keisuke, switch!\All right, we're starting the final match.\Go, Class 1! response:	Goda's mine, Takase!
context: You can play.\Ask someone to switch.\Seriously?\But who?\Keisuke, switch!\All right, we're starting the final match.\Go, Class 1!\Goda's mine, Takase! response:	Sure. Just don't handle the ball.
context: Ask someone to switch.\Seriously?\But who?\Keisuke, switch!\All right, we're starting the final match.\Go, Class 1!\Goda's mine, Takase!\Sure. Just don't handle the ball. response:	Go, Class 4!
context: Seriously?\But who?\Keisuke, switch!\All right, we're starting the final match.\Go, Class 1!\Goda's mine, Takase!\Sure. Just don't handle the ball.\Go, Class 4! response:	You got this, goalie.
context: But who?\Keisuke, switch!\All right, we're starting the final match.\Go, Class 1!\Goda's mine, Takase!\Sure. Just don't handle the ball.\Go, Class 4!\You got this, goalie. response:	Yeah.
context: Keisuke, switch!\All right, we're starting the final match.\Go, Class 1!\Goda's mine, Takase!\Sure. Just don't handle the ball.\Go, Class 4!\You got this, goalie.\Yeah. response:	Come on!
context: All right, we're starting the final match.\Go, Class 1!\Goda's mine, Takase!\Sure. Just don't handle the ball.\Go, Class 4!\You got this, goalie.\Yeah.\Come on! response:	Sugawara-kun's amazing.
context: Go, Class 1!\Goda's mine, Takase!\Sure. Just don't handle the ball.\Go, Class 4!\You got this, goalie.\Yeah.\Come on!\Sugawara-kun's amazing. response:	Y-Yeah.
context: Goda's mine, Takase!\Sure. Just don't handle the ball.\Go, Class 4!\You got this, goalie.\Yeah.\Come on!\Sugawara-kun's amazing.\Y-Yeah. response:	Look, again.
context: Sure. Just don't handle the ball.\Go, Class 4!\You got this, goalie.\Yeah.\Come on!\Sugawara-kun's amazing.\Y-Yeah.\Look, again. response:	You're right.
context: Go, Class 4!\You got this, goalie.\Yeah.\Come on!\Sugawara-kun's amazing.\Y-Yeah.\Look, again.\You're right. response:	Look, look!
context: You got this, goalie.\Yeah.\Come on!\Sugawara-kun's amazing.\Y-Yeah.\Look, again.\You're right.\Look, look! response:	Why are you telling me, Yo-chan?
context: Yeah.\Come on!\Sugawara-kun's amazing.\Y-Yeah.\Look, again.\You're right.\Look, look!\Why are you telling me, Yo-chan? response:	Takano, are you watching me?
context: Come on!\Sugawara-kun's amazing.\Y-Yeah.\Look, again.\You're right.\Look, look!\Why are you telling me, Yo-chan?\Takano, are you watching me? response:	Come on, why haven't I let go?
context: Sugawara-kun's amazing.\Y-Yeah.\Look, again.\You're right.\Look, look!\Why are you telling me, Yo-chan?\Takano, are you watching me?\Come on, why haven't I let go? response:	I don't stand a chance.
context: Y-Yeah.\Look, again.\You're right.\Look, look!\Why are you telling me, Yo-chan?\Takano, are you watching me?\Come on, why haven't I let go?\I don't stand a chance. response:	Ow!
context: Look, again.\You're right.\Look, look!\Why are you telling me, Yo-chan?\Takano, are you watching me?\Come on, why haven't I let go?\I don't stand a chance.\Ow! response:	Th-Thanks.
context: You're right.\Look, look!\Why are you telling me, Yo-chan?\Takano, are you watching me?\Come on, why haven't I let go?\I don't stand a chance.\Ow!\Th-Thanks. response:	I-I was just trying to get the ball.
context: Look, look!\Why are you telling me, Yo-chan?\Takano, are you watching me?\Come on, why haven't I let go?\I don't stand a chance.\Ow!\Th-Thanks.\I-I was just trying to get the ball. response:	It would have been ours if you hadn't touched it!
context: Why are you telling me, Yo-chan?\Takano, are you watching me?\Come on, why haven't I let go?\I don't stand a chance.\Ow!\Th-Thanks.\I-I was just trying to get the ball.\It would have been ours if you hadn't touched it! response:	Oh, please, I helped you!
context: Takano, are you watching me?\Come on, why haven't I let go?\I don't stand a chance.\Ow!\Th-Thanks.\I-I was just trying to get the ball.\It would have been ours if you hadn't touched it!\Oh, please, I helped you! response:	I don't need your help, idiot!
context: Come on, why haven't I let go?\I don't stand a chance.\Ow!\Th-Thanks.\I-I was just trying to get the ball.\It would have been ours if you hadn't touched it!\Oh, please, I helped you!\I don't need your help, idiot! response:	What's up, Chiaki? Lovers' quarrel?
context: I don't stand a chance.\Ow!\Th-Thanks.\I-I was just trying to get the ball.\It would have been ours if you hadn't touched it!\Oh, please, I helped you!\I don't need your help, idiot!\What's up, Chiaki? Lovers' quarrel? response:	Shut up!
context: Ow!\Th-Thanks.\I-I was just trying to get the ball.\It would have been ours if you hadn't touched it!\Oh, please, I helped you!\I don't need your help, idiot!\What's up, Chiaki? Lovers' quarrel?\Shut up! response:	It ain't!
context: Th-Thanks.\I-I was just trying to get the ball.\It would have been ours if you hadn't touched it!\Oh, please, I helped you!\I don't need your help, idiot!\What's up, Chiaki? Lovers' quarrel?\Shut up!\It ain't! response:	Heh, all this flirting...
context: I-I was just trying to get the ball.\It would have been ours if you hadn't touched it!\Oh, please, I helped you!\I don't need your help, idiot!\What's up, Chiaki? Lovers' quarrel?\Shut up!\It ain't!\Heh, all this flirting... response:	All you bastards with girlfriends...
context: It would have been ours if you hadn't touched it!\Oh, please, I helped you!\I don't need your help, idiot!\What's up, Chiaki? Lovers' quarrel?\Shut up!\It ain't!\Heh, all this flirting...\All you bastards with girlfriends... response:	The ball wasn't out of play.
context: Oh, please, I helped you!\I don't need your help, idiot!\What's up, Chiaki? Lovers' quarrel?\Shut up!\It ain't!\Heh, all this flirting...\All you bastards with girlfriends...\The ball wasn't out of play. response:	You tricked me!
context: I don't need your help, idiot!\What's up, Chiaki? Lovers' quarrel?\Shut up!\It ain't!\Heh, all this flirting...\All you bastards with girlfriends...\The ball wasn't out of play.\You tricked me! response:	Class 4 is going to lose at this rate.
context: What's up, Chiaki? Lovers' quarrel?\Shut up!\It ain't!\Heh, all this flirting...\All you bastards with girlfriends...\The ball wasn't out of play.\You tricked me!\Class 4 is going to lose at this rate. response:	Let's all cheer for them.
context: Shut up!\It ain't!\Heh, all this flirting...\All you bastards with girlfriends...\The ball wasn't out of play.\You tricked me!\Class 4 is going to lose at this rate.\Let's all cheer for them. response:	Yeah!
context: It ain't!\Heh, all this flirting...\All you bastards with girlfriends...\The ball wasn't out of play.\You tricked me!\Class 4 is going to lose at this rate.\Let's all cheer for them.\Yeah! response:	One, two...
context: Heh, all this flirting...\All you bastards with girlfriends...\The ball wasn't out of play.\You tricked me!\Class 4 is going to lose at this rate.\Let's all cheer for them.\Yeah!\One, two... response:	Go, Class 4!
context: All you bastards with girlfriends...\The ball wasn't out of play.\You tricked me!\Class 4 is going to lose at this rate.\Let's all cheer for them.\Yeah!\One, two...\Go, Class 4! response:	Get them!
context: The ball wasn't out of play.\You tricked me!\Class 4 is going to lose at this rate.\Let's all cheer for them.\Yeah!\One, two...\Go, Class 4!\Get them! response:	I bet Kana isn't cheering for me.
context: You tricked me!\Class 4 is going to lose at this rate.\Let's all cheer for them.\Yeah!\One, two...\Go, Class 4!\Get them!\I bet Kana isn't cheering for me. response:	Well, what can I expect?
context: Class 4 is going to lose at this rate.\Let's all cheer for them.\Yeah!\One, two...\Go, Class 4!\Get them!\I bet Kana isn't cheering for me.\Well, what can I expect? response:	We've broken up already.
context: Let's all cheer for them.\Yeah!\One, two...\Go, Class 4!\Get them!\I bet Kana isn't cheering for me.\Well, what can I expect?\We've broken up already. response:	Chiaki!
context: Yeah!\One, two...\Go, Class 4!\Get them!\I bet Kana isn't cheering for me.\Well, what can I expect?\We've broken up already.\Chiaki! response:	Quit screwing around!
context: One, two...\Go, Class 4!\Get them!\I bet Kana isn't cheering for me.\Well, what can I expect?\We've broken up already.\Chiaki!\Quit screwing around! response:	Hurry up and run!
context: Go, Class 4!\Get them!\I bet Kana isn't cheering for me.\Well, what can I expect?\We've broken up already.\Chiaki!\Quit screwing around!\Hurry up and run! response:	Wh-What's your problem?
context: Get them!\I bet Kana isn't cheering for me.\Well, what can I expect?\We've broken up already.\Chiaki!\Quit screwing around!\Hurry up and run!\Wh-What's your problem? response:	You call that cheering?
context: I bet Kana isn't cheering for me.\Well, what can I expect?\We've broken up already.\Chiaki!\Quit screwing around!\Hurry up and run!\Wh-What's your problem?\You call that cheering? response:	Impress me, you idiot!
context: Well, what can I expect?\We've broken up already.\Chiaki!\Quit screwing around!\Hurry up and run!\Wh-What's your problem?\You call that cheering?\Impress me, you idiot! response:	Chiaki!
context: We've broken up already.\Chiaki!\Quit screwing around!\Hurry up and run!\Wh-What's your problem?\You call that cheering?\Impress me, you idiot!\Chiaki! response:	Dammit, Kana, you aren't even my girlfriend anymore.
