context: Oh, so this is the beach in this world! response:	With all these people here,
context: Oh, so this is the beach in this world!\With all these people here, response:	it's tempting to just mow them all down at once, isn't it, Miss Kobayashi?
context: Oh, so this is the beach in this world!\With all these people here,\it's tempting to just mow them all down at once, isn't it, Miss Kobayashi? response:	Don't do it.
context: Oh, so this is the beach in this world!\With all these people here,\it's tempting to just mow them all down at once, isn't it, Miss Kobayashi?\Don't do it. response:	The ocean here's salty?
context: Oh, so this is the beach in this world!\With all these people here,\it's tempting to just mow them all down at once, isn't it, Miss Kobayashi?\Don't do it.\The ocean here's salty? response:	It is.
context: Oh, so this is the beach in this world!\With all these people here,\it's tempting to just mow them all down at once, isn't it, Miss Kobayashi?\Don't do it.\The ocean here's salty?\It is. response:	That's the same, then.
context: Oh, so this is the beach in this world!\With all these people here,\it's tempting to just mow them all down at once, isn't it, Miss Kobayashi?\Don't do it.\The ocean here's salty?\It is.\That's the same, then. response:	The best thing about swimsuits is that you can boldly show off more flesh.
context: Oh, so this is the beach in this world!\With all these people here,\it's tempting to just mow them all down at once, isn't it, Miss Kobayashi?\Don't do it.\The ocean here's salty?\It is.\That's the same, then.\The best thing about swimsuits is that you can boldly show off more flesh. response:	No, that's out.
context: With all these people here,\it's tempting to just mow them all down at once, isn't it, Miss Kobayashi?\Don't do it.\The ocean here's salty?\It is.\That's the same, then.\The best thing about swimsuits is that you can boldly show off more flesh.\No, that's out. response:	Really?
context: it's tempting to just mow them all down at once, isn't it, Miss Kobayashi?\Don't do it.\The ocean here's salty?\It is.\That's the same, then.\The best thing about swimsuits is that you can boldly show off more flesh.\No, that's out.\Really? response:	What do you think, Shouta?
context: Don't do it.\The ocean here's salty?\It is.\That's the same, then.\The best thing about swimsuits is that you can boldly show off more flesh.\No, that's out.\Really?\What do you think, Shouta? response:	I-I don't where to look...
context: The ocean here's salty?\It is.\That's the same, then.\The best thing about swimsuits is that you can boldly show off more flesh.\No, that's out.\Really?\What do you think, Shouta?\I-I don't where to look... response:	This is reassuring.
context: It is.\That's the same, then.\The best thing about swimsuits is that you can boldly show off more flesh.\No, that's out.\Really?\What do you think, Shouta?\I-I don't where to look...\This is reassuring. response:	That doesn't make me happy to hear at all.
context: That's the same, then.\The best thing about swimsuits is that you can boldly show off more flesh.\No, that's out.\Really?\What do you think, Shouta?\I-I don't where to look...\This is reassuring.\That doesn't make me happy to hear at all. response:	Excuse me, ma'am.
context: The best thing about swimsuits is that you can boldly show off more flesh.\No, that's out.\Really?\What do you think, Shouta?\I-I don't where to look...\This is reassuring.\That doesn't make me happy to hear at all.\Excuse me, ma'am. response:	Yes?
context: No, that's out.\Really?\What do you think, Shouta?\I-I don't where to look...\This is reassuring.\That doesn't make me happy to hear at all.\Excuse me, ma'am.\Yes? response:	Could you come with me? Your swimsuit is too skimpy.
context: Really?\What do you think, Shouta?\I-I don't where to look...\This is reassuring.\That doesn't make me happy to hear at all.\Excuse me, ma'am.\Yes?\Could you come with me? Your swimsuit is too skimpy. response:	Huh? Um, hey!
