context: Oh, no! response:	Not only has Jellal been resurrected, but the seal on Nirvana has...
context: Oh, no!\Not only has Jellal been resurrected, but the seal on Nirvana has... response:	We may have defeated one of Oracion Seis,
context: Oh, no!\Not only has Jellal been resurrected, but the seal on Nirvana has...\We may have defeated one of Oracion Seis, response:	but it seems like bad things are happening all around!
context: Oh, no!\Not only has Jellal been resurrected, but the seal on Nirvana has...\We may have defeated one of Oracion Seis,\but it seems like bad things are happening all around! response:	And that's exactly why you can't get a boyfriend.
context: Oh, no!\Not only has Jellal been resurrected, but the seal on Nirvana has...\We may have defeated one of Oracion Seis,\but it seems like bad things are happening all around!\And that's exactly why you can't get a boyfriend. response:	H-Huh? What does that have to do with anything?
context: Oh, no!\Not only has Jellal been resurrected, but the seal on Nirvana has...\We may have defeated one of Oracion Seis,\but it seems like bad things are happening all around!\And that's exactly why you can't get a boyfriend.\H-Huh? What does that have to do with anything? response:	If it's love and dreams and you it'll become magical.
context: Oh, no!\Not only has Jellal been resurrected, but the seal on Nirvana has...\We may have defeated one of Oracion Seis,\but it seems like bad things are happening all around!\And that's exactly why you can't get a boyfriend.\H-Huh? What does that have to do with anything?\If it's love and dreams and you it'll become magical. response:	Now, let's cast a smile spell!
context: Oh, no!\Not only has Jellal been resurrected, but the seal on Nirvana has...\We may have defeated one of Oracion Seis,\but it seems like bad things are happening all around!\And that's exactly why you can't get a boyfriend.\H-Huh? What does that have to do with anything?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell! response:	I kind of admired this powerful world,
context: Not only has Jellal been resurrected, but the seal on Nirvana has...\We may have defeated one of Oracion Seis,\but it seems like bad things are happening all around!\And that's exactly why you can't get a boyfriend.\H-Huh? What does that have to do with anything?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world, response:	chock-full of problems.
context: We may have defeated one of Oracion Seis,\but it seems like bad things are happening all around!\And that's exactly why you can't get a boyfriend.\H-Huh? What does that have to do with anything?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems. response:	Frozen time has started to move again
context: but it seems like bad things are happening all around!\And that's exactly why you can't get a boyfriend.\H-Huh? What does that have to do with anything?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again response:	ever since I met you.
context: And that's exactly why you can't get a boyfriend.\H-Huh? What does that have to do with anything?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you. response:	Why were we born? Why do we live?
context: H-Huh? What does that have to do with anything?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live? response:	I don't need any complicated answers.
context: If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers. response:	Laugh! Cry! Be honest with yourself.
context: Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself. response:	Simple feelings are the most important.
context: I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important. response:	You can change those tears shed on sad nights into strength.
context: chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength. response:	Now, let's cast a smile spell!
context: Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell! response:	So basically, under that light, good and evil are switched, right?
context: ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\So basically, under that light, good and evil are switched, right? response:	What'll we do? If Natsu turns into that...
context: Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\So basically, under that light, good and evil are switched, right?\What'll we do? If Natsu turns into that... response:	I don't care who, just come at me!
context: I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\So basically, under that light, good and evil are switched, right?\What'll we do? If Natsu turns into that...\I don't care who, just come at me! response:	I'll beat the crap outta you all, and destroy everything!
context: Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\So basically, under that light, good and evil are switched, right?\What'll we do? If Natsu turns into that...\I don't care who, just come at me!\I'll beat the crap outta you all, and destroy everything! response:	Uh...
context: Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\So basically, under that light, good and evil are switched, right?\What'll we do? If Natsu turns into that...\I don't care who, just come at me!\I'll beat the crap outta you all, and destroy everything!\Uh... response:	I think he might not be all that different...
context: You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\So basically, under that light, good and evil are switched, right?\What'll we do? If Natsu turns into that...\I don't care who, just come at me!\I'll beat the crap outta you all, and destroy everything!\Uh...\I think he might not be all that different... response:	Guess good and evil don't really matter much to him.
context: Now, let's cast a smile spell!\So basically, under that light, good and evil are switched, right?\What'll we do? If Natsu turns into that...\I don't care who, just come at me!\I'll beat the crap outta you all, and destroy everything!\Uh...\I think he might not be all that different...\Guess good and evil don't really matter much to him. response:	Anyway, we should hurry.
context: So basically, under that light, good and evil are switched, right?\What'll we do? If Natsu turns into that...\I don't care who, just come at me!\I'll beat the crap outta you all, and destroy everything!\Uh...\I think he might not be all that different...\Guess good and evil don't really matter much to him.\Anyway, we should hurry. response:	We need to follow after Natsu-kun and Erza-san,
context: What'll we do? If Natsu turns into that...\I don't care who, just come at me!\I'll beat the crap outta you all, and destroy everything!\Uh...\I think he might not be all that different...\Guess good and evil don't really matter much to him.\Anyway, we should hurry.\We need to follow after Natsu-kun and Erza-san, response:	and find some way to stop Nirvana!
context: I don't care who, just come at me!\I'll beat the crap outta you all, and destroy everything!\Uh...\I think he might not be all that different...\Guess good and evil don't really matter much to him.\Anyway, we should hurry.\We need to follow after Natsu-kun and Erza-san,\and find some way to stop Nirvana! response:	Jellal! Your days are numbered!
context: I'll beat the crap outta you all, and destroy everything!\Uh...\I think he might not be all that different...\Guess good and evil don't really matter much to him.\Anyway, we should hurry.\We need to follow after Natsu-kun and Erza-san,\and find some way to stop Nirvana!\Jellal! Your days are numbered! response:	I ain't gonna let you get anywhere near Erza!
context: Uh...\I think he might not be all that different...\Guess good and evil don't really matter much to him.\Anyway, we should hurry.\We need to follow after Natsu-kun and Erza-san,\and find some way to stop Nirvana!\Jellal! Your days are numbered!\I ain't gonna let you get anywhere near Erza! response:	Spirit vs. Spirit!
context: I think he might not be all that different...\Guess good and evil don't really matter much to him.\Anyway, we should hurry.\We need to follow after Natsu-kun and Erza-san,\and find some way to stop Nirvana!\Jellal! Your days are numbered!\I ain't gonna let you get anywhere near Erza!\Spirit vs. Spirit! response:	This smell...
context: Guess good and evil don't really matter much to him.\Anyway, we should hurry.\We need to follow after Natsu-kun and Erza-san,\and find some way to stop Nirvana!\Jellal! Your days are numbered!\I ain't gonna let you get anywhere near Erza!\Spirit vs. Spirit!\This smell... response:	I knew it! Gray!
context: Anyway, we should hurry.\We need to follow after Natsu-kun and Erza-san,\and find some way to stop Nirvana!\Jellal! Your days are numbered!\I ain't gonna let you get anywhere near Erza!\Spirit vs. Spirit!\This smell...\I knew it! Gray! response:	What the hell are you doing here?
context: We need to follow after Natsu-kun and Erza-san,\and find some way to stop Nirvana!\Jellal! Your days are numbered!\I ain't gonna let you get anywhere near Erza!\Spirit vs. Spirit!\This smell...\I knew it! Gray!\What the hell are you doing here? response:	What happened to the speedy one?
context: and find some way to stop Nirvana!\Jellal! Your days are numbered!\I ain't gonna let you get anywhere near Erza!\Spirit vs. Spirit!\This smell...\I knew it! Gray!\What the hell are you doing here?\What happened to the speedy one? response:	Hey!
context: Jellal! Your days are numbered!\I ain't gonna let you get anywhere near Erza!\Spirit vs. Spirit!\This smell...\I knew it! Gray!\What the hell are you doing here?\What happened to the speedy one?\Hey! response:	Damn it... I'm in a hurry here!
context: I ain't gonna let you get anywhere near Erza!\Spirit vs. Spirit!\This smell...\I knew it! Gray!\What the hell are you doing here?\What happened to the speedy one?\Hey!\Damn it... I'm in a hurry here! response:	Wake up, idiot!
context: Spirit vs. Spirit!\This smell...\I knew it! Gray!\What the hell are you doing here?\What happened to the speedy one?\Hey!\Damn it... I'm in a hurry here!\Wake up, idiot! response:	Gray...
context: This smell...\I knew it! Gray!\What the hell are you doing here?\What happened to the speedy one?\Hey!\Damn it... I'm in a hurry here!\Wake up, idiot!\Gray... response:	Gray?
