context: The biggest reason I chose that job was because, response:	unlike working in sales, I get weekends off.
context: The biggest reason I chose that job was because,\unlike working in sales, I get weekends off. response:	I felt that I would then be able to spend more time with Shoji,
context: The biggest reason I chose that job was because,\unlike working in sales, I get weekends off.\I felt that I would then be able to spend more time with Shoji, response:	who's busy with school and work during the week.
context: The biggest reason I chose that job was because,\unlike working in sales, I get weekends off.\I felt that I would then be able to spend more time with Shoji,\who's busy with school and work during the week. response:	When I was darkness at that time
context: The biggest reason I chose that job was because,\unlike working in sales, I get weekends off.\I felt that I would then be able to spend more time with Shoji,\who's busy with school and work during the week.\When I was darkness at that time response:	With trembling lips
context: The biggest reason I chose that job was because,\unlike working in sales, I get weekends off.\I felt that I would then be able to spend more time with Shoji,\who's busy with school and work during the week.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: The biggest reason I chose that job was because,\unlike working in sales, I get weekends off.\I felt that I would then be able to spend more time with Shoji,\who's busy with school and work during the week.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: The biggest reason I chose that job was because,\unlike working in sales, I get weekends off.\I felt that I would then be able to spend more time with Shoji,\who's busy with school and work during the week.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: unlike working in sales, I get weekends off.\I felt that I would then be able to spend more time with Shoji,\who's busy with school and work during the week.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: I felt that I would then be able to spend more time with Shoji,\who's busy with school and work during the week.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: who's busy with school and work during the week.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Kyosuke, have you ever been unfaithful to your partner?
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Kyosuke, have you ever been unfaithful to your partner? response:	You did it? With Sachiko?
