context: Nirvana was fired toward Caitshelter, response:	but thanks to the magic bombs from Christina, it barely missed!
context: Nirvana was fired toward Caitshelter,\but thanks to the magic bombs from Christina, it barely missed! response:	The Tri-mens, Lyon, and Sherry managed to make Christina fly
context: Nirvana was fired toward Caitshelter,\but thanks to the magic bombs from Christina, it barely missed!\The Tri-mens, Lyon, and Sherry managed to make Christina fly response:	with what little magic power they had left,
context: Nirvana was fired toward Caitshelter,\but thanks to the magic bombs from Christina, it barely missed!\The Tri-mens, Lyon, and Sherry managed to make Christina fly\with what little magic power they had left, response:	but Christina is crashing!
context: Nirvana was fired toward Caitshelter,\but thanks to the magic bombs from Christina, it barely missed!\The Tri-mens, Lyon, and Sherry managed to make Christina fly\with what little magic power they had left,\but Christina is crashing! response:	Nirvana has been sealed since long, long ago.
context: Nirvana was fired toward Caitshelter,\but thanks to the magic bombs from Christina, it barely missed!\The Tri-mens, Lyon, and Sherry managed to make Christina fly\with what little magic power they had left,\but Christina is crashing!\Nirvana has been sealed since long, long ago. response:	It is an ultra-inversion magic which replaces darkness and light.
context: Nirvana was fired toward Caitshelter,\but thanks to the magic bombs from Christina, it barely missed!\The Tri-mens, Lyon, and Sherry managed to make Christina fly\with what little magic power they had left,\but Christina is crashing!\Nirvana has been sealed since long, long ago.\It is an ultra-inversion magic which replaces darkness and light. response:	The seal was broken deep inside the Worth Woodsea
context: Nirvana was fired toward Caitshelter,\but thanks to the magic bombs from Christina, it barely missed!\The Tri-mens, Lyon, and Sherry managed to make Christina fly\with what little magic power they had left,\but Christina is crashing!\Nirvana has been sealed since long, long ago.\It is an ultra-inversion magic which replaces darkness and light.\The seal was broken deep inside the Worth Woodsea response:	by the Dark Guild, Oracion Seis, who wished to gain Nirvana for themselves.
context: but thanks to the magic bombs from Christina, it barely missed!\The Tri-mens, Lyon, and Sherry managed to make Christina fly\with what little magic power they had left,\but Christina is crashing!\Nirvana has been sealed since long, long ago.\It is an ultra-inversion magic which replaces darkness and light.\The seal was broken deep inside the Worth Woodsea\by the Dark Guild, Oracion Seis, who wished to gain Nirvana for themselves. response:	In order to prevent that, an alliance of official guilds was formed.
context: The Tri-mens, Lyon, and Sherry managed to make Christina fly\with what little magic power they had left,\but Christina is crashing!\Nirvana has been sealed since long, long ago.\It is an ultra-inversion magic which replaces darkness and light.\The seal was broken deep inside the Worth Woodsea\by the Dark Guild, Oracion Seis, who wished to gain Nirvana for themselves.\In order to prevent that, an alliance of official guilds was formed. response:	From Fairy Tail: Natsu, Lucy, Gray, and Erza.
context: with what little magic power they had left,\but Christina is crashing!\Nirvana has been sealed since long, long ago.\It is an ultra-inversion magic which replaces darkness and light.\The seal was broken deep inside the Worth Woodsea\by the Dark Guild, Oracion Seis, who wished to gain Nirvana for themselves.\In order to prevent that, an alliance of official guilds was formed.\From Fairy Tail: Natsu, Lucy, Gray, and Erza. response:	From Blue Pegasus: Hibiki, Ren, Eve, and Ichiya.
