context: Virus symptoms begin response:	in 17 hours
context: Virus symptoms begin\in 17 hours response:	We just received word not to fight the Port Mafia.
context: Virus symptoms begin\in 17 hours\We just received word not to fight the Port Mafia. response:	Those are the orders from our dying president.
context: Virus symptoms begin\in 17 hours\We just received word not to fight the Port Mafia.\Those are the orders from our dying president. response:	Maybe we should look for a way to capture the gifted who controls the virus.
context: Virus symptoms begin\in 17 hours\We just received word not to fight the Port Mafia.\Those are the orders from our dying president.\Maybe we should look for a way to capture the gifted who controls the virus. response:	We've already tried that.
context: Virus symptoms begin\in 17 hours\We just received word not to fight the Port Mafia.\Those are the orders from our dying president.\Maybe we should look for a way to capture the gifted who controls the virus.\We've already tried that. response:	The enemy is as crafty as can be.
context: Virus symptoms begin\in 17 hours\We just received word not to fight the Port Mafia.\Those are the orders from our dying president.\Maybe we should look for a way to capture the gifted who controls the virus.\We've already tried that.\The enemy is as crafty as can be. response:	It'll be impossible to uproot all of his meticulously prepared traps in time.
context: Virus symptoms begin\in 17 hours\We just received word not to fight the Port Mafia.\Those are the orders from our dying president.\Maybe we should look for a way to capture the gifted who controls the virus.\We've already tried that.\The enemy is as crafty as can be.\It'll be impossible to uproot all of his meticulously prepared traps in time. response:	Even for you?
context: in 17 hours\We just received word not to fight the Port Mafia.\Those are the orders from our dying president.\Maybe we should look for a way to capture the gifted who controls the virus.\We've already tried that.\The enemy is as crafty as can be.\It'll be impossible to uproot all of his meticulously prepared traps in time.\Even for you? response:	I say this because I would know.
context: We just received word not to fight the Port Mafia.\Those are the orders from our dying president.\Maybe we should look for a way to capture the gifted who controls the virus.\We've already tried that.\The enemy is as crafty as can be.\It'll be impossible to uproot all of his meticulously prepared traps in time.\Even for you?\I say this because I would know. response:	That said, this is a flagrant violation of orders.
context: Those are the orders from our dying president.\Maybe we should look for a way to capture the gifted who controls the virus.\We've already tried that.\The enemy is as crafty as can be.\It'll be impossible to uproot all of his meticulously prepared traps in time.\Even for you?\I say this because I would know.\That said, this is a flagrant violation of orders. response:	This?
