context: Ima inochi ga hora kizashite chitte yuku response:	Nigirishimeta unmei
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei response:	Mou mayou koto wa nai
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai response:	Musubiau kizuna
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna response:	Akatsuki matsu sora ni
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni response:	Aishi kimi dakishimete
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete response:	Orenai inori wo
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo response:	Mada dare mo yoru no naka
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka response:	Ima wa tada
context: Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada response:	Kokoro no oku ni sawatte
context: Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte response:	Afureru atsusa subete sasagetai
context: Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai response:	Yume miru ashita e
context: Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e response:	Hirogeru tsubasa wa
context: Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa response:	Ano hi no kimi ga kureta
context: Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta response:	Omoi wa kizamareta
context: Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta response:	Chikai no kotoba ga
context: Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga response:	Kiseki wo okosu yo
context: Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo response:	Takanaru mune habatake
