context: This is the place, right? response:	Yep, I looked it up on the internet.
context: This is the place, right?\Yep, I looked it up on the internet. response:	So Mashima's also going to play karuta?
context: This is the place, right?\Yep, I looked it up on the internet.\So Mashima's also going to play karuta? response:	I actually have a life so I can't spend all my time playing karuta,
context: This is the place, right?\Yep, I looked it up on the internet.\So Mashima's also going to play karuta?\I actually have a life so I can't spend all my time playing karuta, response:	but I'll be better than you in no time!
context: This is the place, right?\Yep, I looked it up on the internet.\So Mashima's also going to play karuta?\I actually have a life so I can't spend all my time playing karuta,\but I'll be better than you in no time! response:	Taichi's skipping soccer practice today!
context: This is the place, right?\Yep, I looked it up on the internet.\So Mashima's also going to play karuta?\I actually have a life so I can't spend all my time playing karuta,\but I'll be better than you in no time!\Taichi's skipping soccer practice today! response:	Shut up, Chihaya!
context: This is the place, right?\Yep, I looked it up on the internet.\So Mashima's also going to play karuta?\I actually have a life so I can't spend all my time playing karuta,\but I'll be better than you in no time!\Taichi's skipping soccer practice today!\Shut up, Chihaya! response:	Recycle for a better Japan
context: This is the place, right?\Yep, I looked it up on the internet.\So Mashima's also going to play karuta?\I actually have a life so I can't spend all my time playing karuta,\but I'll be better than you in no time!\Taichi's skipping soccer practice today!\Shut up, Chihaya!\Recycle for a better Japan response:	Fuchu City Katamachi Cultural Center
context: Yep, I looked it up on the internet.\So Mashima's also going to play karuta?\I actually have a life so I can't spend all my time playing karuta,\but I'll be better than you in no time!\Taichi's skipping soccer practice today!\Shut up, Chihaya!\Recycle for a better Japan\Fuchu City Katamachi Cultural Center response:	Let's go.
context: So Mashima's also going to play karuta?\I actually have a life so I can't spend all my time playing karuta,\but I'll be better than you in no time!\Taichi's skipping soccer practice today!\Shut up, Chihaya!\Recycle for a better Japan\Fuchu City Katamachi Cultural Center\Let's go. response:	as short-lived as the reeds of Naniwa Bay
context: I actually have a life so I can't spend all my time playing karuta,\but I'll be better than you in no time!\Taichi's skipping soccer practice today!\Shut up, Chihaya!\Recycle for a better Japan\Fuchu City Katamachi Cultural Center\Let's go.\as short-lived as the reeds of Naniwa Bay response:	Shiranami Karuta Society Practice
context: but I'll be better than you in no time!\Taichi's skipping soccer practice today!\Shut up, Chihaya!\Recycle for a better Japan\Fuchu City Katamachi Cultural Center\Let's go.\as short-lived as the reeds of Naniwa Bay\Shiranami Karuta Society Practice response:	Let's go inside!
context: Taichi's skipping soccer practice today!\Shut up, Chihaya!\Recycle for a better Japan\Fuchu City Katamachi Cultural Center\Let's go.\as short-lived as the reeds of Naniwa Bay\Shiranami Karuta Society Practice\Let's go inside! response:	Wait! Not right now!
context: Shut up, Chihaya!\Recycle for a better Japan\Fuchu City Katamachi Cultural Center\Let's go.\as short-lived as the reeds of Naniwa Bay\Shiranami Karuta Society Practice\Let's go inside!\Wait! Not right now! response:	Hello!
context: Recycle for a better Japan\Fuchu City Katamachi Cultural Center\Let's go.\as short-lived as the reeds of Naniwa Bay\Shiranami Karuta Society Practice\Let's go inside!\Wait! Not right now!\Hello! response:	Sorry!
context: Fuchu City Katamachi Cultural Center\Let's go.\as short-lived as the reeds of Naniwa Bay\Shiranami Karuta Society Practice\Let's go inside!\Wait! Not right now!\Hello!\Sorry! response:	You're not supposed to move when a card is being read.
context: Let's go.\as short-lived as the reeds of Naniwa Bay\Shiranami Karuta Society Practice\Let's go inside!\Wait! Not right now!\Hello!\Sorry!\You're not supposed to move when a card is being read. response:	Oh...
context: as short-lived as the reeds of Naniwa Bay\Shiranami Karuta Society Practice\Let's go inside!\Wait! Not right now!\Hello!\Sorry!\You're not supposed to move when a card is being read.\Oh... response:	I'll start the tape again.
context: Shiranami Karuta Society Practice\Let's go inside!\Wait! Not right now!\Hello!\Sorry!\You're not supposed to move when a card is being read.\Oh...\I'll start the tape again. response:	as my sleeves are wet with dew
context: Let's go inside!\Wait! Not right now!\Hello!\Sorry!\You're not supposed to move when a card is being read.\Oh...\I'll start the tape again.\as my sleeves are wet with dew response:	For you, I would have given
context: Wait! Not right now!\Hello!\Sorry!\You're not supposed to move when a card is being read.\Oh...\I'll start the tape again.\as my sleeves are wet with dew\For you, I would have given response:	I thought karuta was a card game people played for fun.
context: Hello!\Sorry!\You're not supposed to move when a card is being read.\Oh...\I'll start the tape again.\as my sleeves are wet with dew\For you, I would have given\I thought karuta was a card game people played for fun. response:	But it's not...
context: Sorry!\You're not supposed to move when a card is being read.\Oh...\I'll start the tape again.\as my sleeves are wet with dew\For you, I would have given\I thought karuta was a card game people played for fun.\But it's not... response:	Dagnabbit!
context: You're not supposed to move when a card is being read.\Oh...\I'll start the tape again.\as my sleeves are wet with dew\For you, I would have given\I thought karuta was a card game people played for fun.\But it's not...\Dagnabbit! response:	I recall how my own efforts were in vain
context: Oh...\I'll start the tape again.\as my sleeves are wet with dew\For you, I would have given\I thought karuta was a card game people played for fun.\But it's not...\Dagnabbit!\I recall how my own efforts were in vain response:	Karuta is a sport!
context: I'll start the tape again.\as my sleeves are wet with dew\For you, I would have given\I thought karuta was a card game people played for fun.\But it's not...\Dagnabbit!\I recall how my own efforts were in vain\Karuta is a sport! response:	Chihaya Furu
context: as my sleeves are wet with dew\For you, I would have given\I thought karuta was a card game people played for fun.\But it's not...\Dagnabbit!\I recall how my own efforts were in vain\Karuta is a sport!\Chihaya Furu response:	Verse 3
context: For you, I would have given\I thought karuta was a card game people played for fun.\But it's not...\Dagnabbit!\I recall how my own efforts were in vain\Karuta is a sport!\Chihaya Furu\Verse 3 response:	From the Crystal White Snow
context: I thought karuta was a card game people played for fun.\But it's not...\Dagnabbit!\I recall how my own efforts were in vain\Karuta is a sport!\Chihaya Furu\Verse 3\From the Crystal White Snow response:	Thank you very much!
context: But it's not...\Dagnabbit!\I recall how my own efforts were in vain\Karuta is a sport!\Chihaya Furu\Verse 3\From the Crystal White Snow\Thank you very much! response:	Miyazaki-kun, why would you place the card
context: Dagnabbit!\I recall how my own efforts were in vain\Karuta is a sport!\Chihaya Furu\Verse 3\From the Crystal White Snow\Thank you very much!\Miyazaki-kun, why would you place the card response:	I passed to you in this position?
context: I recall how my own efforts were in vain\Karuta is a sport!\Chihaya Furu\Verse 3\From the Crystal White Snow\Thank you very much!\Miyazaki-kun, why would you place the card\I passed to you in this position? response:	That's foolish.
context: Karuta is a sport!\Chihaya Furu\Verse 3\From the Crystal White Snow\Thank you very much!\Miyazaki-kun, why would you place the card\I passed to you in this position?\That's foolish. response:	Doctor! Dr. Harada!
context: Chihaya Furu\Verse 3\From the Crystal White Snow\Thank you very much!\Miyazaki-kun, why would you place the card\I passed to you in this position?\That's foolish.\Doctor! Dr. Harada! response:	And then...
context: Verse 3\From the Crystal White Snow\Thank you very much!\Miyazaki-kun, why would you place the card\I passed to you in this position?\That's foolish.\Doctor! Dr. Harada!\And then... response:	Give me a moment! We're reviewing his play!
context: From the Crystal White Snow\Thank you very much!\Miyazaki-kun, why would you place the card\I passed to you in this position?\That's foolish.\Doctor! Dr. Harada!\And then...\Give me a moment! We're reviewing his play! response:	Sorry, Dr. Harada is in charge here,
context: Thank you very much!\Miyazaki-kun, why would you place the card\I passed to you in this position?\That's foolish.\Doctor! Dr. Harada!\And then...\Give me a moment! We're reviewing his play!\Sorry, Dr. Harada is in charge here, response:	and he's really serious about karuta.
context: Miyazaki-kun, why would you place the card\I passed to you in this position?\That's foolish.\Doctor! Dr. Harada!\And then...\Give me a moment! We're reviewing his play!\Sorry, Dr. Harada is in charge here,\and he's really serious about karuta. response:	Doctor?
context: I passed to you in this position?\That's foolish.\Doctor! Dr. Harada!\And then...\Give me a moment! We're reviewing his play!\Sorry, Dr. Harada is in charge here,\and he's really serious about karuta.\Doctor? response:	The person who was yelling really loudly?
context: That's foolish.\Doctor! Dr. Harada!\And then...\Give me a moment! We're reviewing his play!\Sorry, Dr. Harada is in charge here,\and he's really serious about karuta.\Doctor?\The person who was yelling really loudly? response:	You kids play karuta?
context: Doctor! Dr. Harada!\And then...\Give me a moment! We're reviewing his play!\Sorry, Dr. Harada is in charge here,\and he's really serious about karuta.\Doctor?\The person who was yelling really loudly?\You kids play karuta? response:	Uh?
context: And then...\Give me a moment! We're reviewing his play!\Sorry, Dr. Harada is in charge here,\and he's really serious about karuta.\Doctor?\The person who was yelling really loudly?\You kids play karuta?\Uh? response:	Ye
context: Give me a moment! We're reviewing his play!\Sorry, Dr. Harada is in charge here,\and he's really serious about karuta.\Doctor?\The person who was yelling really loudly?\You kids play karuta?\Uh?\Ye response:	Yes!
context: Sorry, Dr. Harada is in charge here,\and he's really serious about karuta.\Doctor?\The person who was yelling really loudly?\You kids play karuta?\Uh?\Ye\Yes! response:	Please, Doctor...
context: and he's really serious about karuta.\Doctor?\The person who was yelling really loudly?\You kids play karuta?\Uh?\Ye\Yes!\Please, Doctor... response:	We hold two tournaments every year
context: Doctor?\The person who was yelling really loudly?\You kids play karuta?\Uh?\Ye\Yes!\Please, Doctor...\We hold two tournaments every year response:	and only manage to attract one or two new players,
context: The person who was yelling really loudly?\You kids play karuta?\Uh?\Ye\Yes!\Please, Doctor...\We hold two tournaments every year\and only manage to attract one or two new players, response:	yet here we have three at once!
context: You kids play karuta?\Uh?\Ye\Yes!\Please, Doctor...\We hold two tournaments every year\and only manage to attract one or two new players,\yet here we have three at once! response:	Hey, Hiro-kun! Kids!
context: Uh?\Ye\Yes!\Please, Doctor...\We hold two tournaments every year\and only manage to attract one or two new players,\yet here we have three at once!\Hey, Hiro-kun! Kids! response:	We have new friends!
context: Ye\Yes!\Please, Doctor...\We hold two tournaments every year\and only manage to attract one or two new players,\yet here we have three at once!\Hey, Hiro-kun! Kids!\We have new friends! response:	Retro-kun?
context: Yes!\Please, Doctor...\We hold two tournaments every year\and only manage to attract one or two new players,\yet here we have three at once!\Hey, Hiro-kun! Kids!\We have new friends!\Retro-kun? response:	It's Hiro!
context: Please, Doctor...\We hold two tournaments every year\and only manage to attract one or two new players,\yet here we have three at once!\Hey, Hiro-kun! Kids!\We have new friends!\Retro-kun?\It's Hiro! response:	Kinashi Hiro!
context: We hold two tournaments every year\and only manage to attract one or two new players,\yet here we have three at once!\Hey, Hiro-kun! Kids!\We have new friends!\Retro-kun?\It's Hiro!\Kinashi Hiro! response:	Anyway, what class are you?
context: and only manage to attract one or two new players,\yet here we have three at once!\Hey, Hiro-kun! Kids!\We have new friends!\Retro-kun?\It's Hiro!\Kinashi Hiro!\Anyway, what class are you? response:	Oh, I've only learned about half of the poems
context: yet here we have three at once!\Hey, Hiro-kun! Kids!\We have new friends!\Retro-kun?\It's Hiro!\Kinashi Hiro!\Anyway, what class are you?\Oh, I've only learned about half of the poems response:	that start with the and may.
context: Hey, Hiro-kun! Kids!\We have new friends!\Retro-kun?\It's Hiro!\Kinashi Hiro!\Anyway, what class are you?\Oh, I've only learned about half of the poems\that start with the and may. response:	Chihaya, that's not it.
context: We have new friends!\Retro-kun?\It's Hiro!\Kinashi Hiro!\Anyway, what class are you?\Oh, I've only learned about half of the poems\that start with the and may.\Chihaya, that's not it. response:	Huh?
context: Retro-kun?\It's Hiro!\Kinashi Hiro!\Anyway, what class are you?\Oh, I've only learned about half of the poems\that start with the and may.\Chihaya, that's not it.\Huh? response:	You came here before you even learned the poems?
context: It's Hiro!\Kinashi Hiro!\Anyway, what class are you?\Oh, I've only learned about half of the poems\that start with the and may.\Chihaya, that's not it.\Huh?\You came here before you even learned the poems? response:	This place is for competitive practice.
context: Kinashi Hiro!\Anyway, what class are you?\Oh, I've only learned about half of the poems\that start with the and may.\Chihaya, that's not it.\Huh?\You came here before you even learned the poems?\This place is for competitive practice. response:	Why don't you play me before you talk smack, Retro-kun!
context: Anyway, what class are you?\Oh, I've only learned about half of the poems\that start with the and may.\Chihaya, that's not it.\Huh?\You came here before you even learned the poems?\This place is for competitive practice.\Why don't you play me before you talk smack, Retro-kun! response:	Chihaya?!
context: Oh, I've only learned about half of the poems\that start with the and may.\Chihaya, that's not it.\Huh?\You came here before you even learned the poems?\This place is for competitive practice.\Why don't you play me before you talk smack, Retro-kun!\Chihaya?! response:	It's Hiro!
context: that start with the and may.\Chihaya, that's not it.\Huh?\You came here before you even learned the poems?\This place is for competitive practice.\Why don't you play me before you talk smack, Retro-kun!\Chihaya?!\It's Hiro! response:	Then let's have a three-on-three Genpei match!
context: Chihaya, that's not it.\Huh?\You came here before you even learned the poems?\This place is for competitive practice.\Why don't you play me before you talk smack, Retro-kun!\Chihaya?!\It's Hiro!\Then let's have a three-on-three Genpei match! response:	Wataya! We're just gonna lose!
context: Huh?\You came here before you even learned the poems?\This place is for competitive practice.\Why don't you play me before you talk smack, Retro-kun!\Chihaya?!\It's Hiro!\Then let's have a three-on-three Genpei match!\Wataya! We're just gonna lose! response:	What are you talking about, Taichi?!
context: You came here before you even learned the poems?\This place is for competitive practice.\Why don't you play me before you talk smack, Retro-kun!\Chihaya?!\It's Hiro!\Then let's have a three-on-three Genpei match!\Wataya! We're just gonna lose!\What are you talking about, Taichi?! response:	We won't lose!
context: This place is for competitive practice.\Why don't you play me before you talk smack, Retro-kun!\Chihaya?!\It's Hiro!\Then let's have a three-on-three Genpei match!\Wataya! We're just gonna lose!\What are you talking about, Taichi?!\We won't lose! response:	Huh?!
context: Why don't you play me before you talk smack, Retro-kun!\Chihaya?!\It's Hiro!\Then let's have a three-on-three Genpei match!\Wataya! We're just gonna lose!\What are you talking about, Taichi?!\We won't lose!\Huh?! response:	Of course! We're playing to win!
context: Chihaya?!\It's Hiro!\Then let's have a three-on-three Genpei match!\Wataya! We're just gonna lose!\What are you talking about, Taichi?!\We won't lose!\Huh?!\Of course! We're playing to win! response:	What?!
context: It's Hiro!\Then let's have a three-on-three Genpei match!\Wataya! We're just gonna lose!\What are you talking about, Taichi?!\We won't lose!\Huh?!\Of course! We're playing to win!\What?! response:	A Genpei match is a team match.
context: Then let's have a three-on-three Genpei match!\Wataya! We're just gonna lose!\What are you talking about, Taichi?!\We won't lose!\Huh?!\Of course! We're playing to win!\What?!\A Genpei match is a team match. response:	Each team gets 50 cards.
context: Wataya! We're just gonna lose!\What are you talking about, Taichi?!\We won't lose!\Huh?!\Of course! We're playing to win!\What?!\A Genpei match is a team match.\Each team gets 50 cards. response:	Oh...
context: What are you talking about, Taichi?!\We won't lose!\Huh?!\Of course! We're playing to win!\What?!\A Genpei match is a team match.\Each team gets 50 cards.\Oh... response:	Wait, you don't even know the rules?!
context: We won't lose!\Huh?!\Of course! We're playing to win!\What?!\A Genpei match is a team match.\Each team gets 50 cards.\Oh...\Wait, you don't even know the rules?! response:	Zip it, Retro-kun!
context: Huh?!\Of course! We're playing to win!\What?!\A Genpei match is a team match.\Each team gets 50 cards.\Oh...\Wait, you don't even know the rules?!\Zip it, Retro-kun! response:	Place this in front of you, Mashima.
context: Of course! We're playing to win!\What?!\A Genpei match is a team match.\Each team gets 50 cards.\Oh...\Wait, you don't even know the rules?!\Zip it, Retro-kun!\Place this in front of you, Mashima. response:	So I'm responsible for these?
context: What?!\A Genpei match is a team match.\Each team gets 50 cards.\Oh...\Wait, you don't even know the rules?!\Zip it, Retro-kun!\Place this in front of you, Mashima.\So I'm responsible for these? response:	These are yours, Chihaya.
context: A Genpei match is a team match.\Each team gets 50 cards.\Oh...\Wait, you don't even know the rules?!\Zip it, Retro-kun!\Place this in front of you, Mashima.\So I'm responsible for these?\These are yours, Chihaya. response:	Line them up in three rows.
context: Each team gets 50 cards.\Oh...\Wait, you don't even know the rules?!\Zip it, Retro-kun!\Place this in front of you, Mashima.\So I'm responsible for these?\These are yours, Chihaya.\Line them up in three rows. response:	I haven't learned some of these cards...
context: Oh...\Wait, you don't even know the rules?!\Zip it, Retro-kun!\Place this in front of you, Mashima.\So I'm responsible for these?\These are yours, Chihaya.\Line them up in three rows.\I haven't learned some of these cards... response:	It's okay.
context: Wait, you don't even know the rules?!\Zip it, Retro-kun!\Place this in front of you, Mashima.\So I'm responsible for these?\These are yours, Chihaya.\Line them up in three rows.\I haven't learned some of these cards...\It's okay. response:	Once the cards have been placed,
context: Zip it, Retro-kun!\Place this in front of you, Mashima.\So I'm responsible for these?\These are yours, Chihaya.\Line them up in three rows.\I haven't learned some of these cards...\It's okay.\Once the cards have been placed, response:	you have 15 minutes of memorization time.
context: Place this in front of you, Mashima.\So I'm responsible for these?\These are yours, Chihaya.\Line them up in three rows.\I haven't learned some of these cards...\It's okay.\Once the cards have been placed,\you have 15 minutes of memorization time. response:	Memorization time?
context: So I'm responsible for these?\These are yours, Chihaya.\Line them up in three rows.\I haven't learned some of these cards...\It's okay.\Once the cards have been placed,\you have 15 minutes of memorization time.\Memorization time? response:	You're given time to memorize the positions of the cards.
context: These are yours, Chihaya.\Line them up in three rows.\I haven't learned some of these cards...\It's okay.\Once the cards have been placed,\you have 15 minutes of memorization time.\Memorization time?\You're given time to memorize the positions of the cards. response:	If you can't memorize the positions, you don't stand a chance.
context: Line them up in three rows.\I haven't learned some of these cards...\It's okay.\Once the cards have been placed,\you have 15 minutes of memorization time.\Memorization time?\You're given time to memorize the positions of the cards.\If you can't memorize the positions, you don't stand a chance. response:	Naturally, you'll need to memorize both our cards and the other team's cards.
context: I haven't learned some of these cards...\It's okay.\Once the cards have been placed,\you have 15 minutes of memorization time.\Memorization time?\You're given time to memorize the positions of the cards.\If you can't memorize the positions, you don't stand a chance.\Naturally, you'll need to memorize both our cards and the other team's cards. response:	Memorize?!
context: It's okay.\Once the cards have been placed,\you have 15 minutes of memorization time.\Memorization time?\You're given time to memorize the positions of the cards.\If you can't memorize the positions, you don't stand a chance.\Naturally, you'll need to memorize both our cards and the other team's cards.\Memorize?! response:	Memorize the positions for all 100 cards?!
context: Once the cards have been placed,\you have 15 minutes of memorization time.\Memorization time?\You're given time to memorize the positions of the cards.\If you can't memorize the positions, you don't stand a chance.\Naturally, you'll need to memorize both our cards and the other team's cards.\Memorize?!\Memorize the positions for all 100 cards?! response:	Um, this is...
context: you have 15 minutes of memorization time.\Memorization time?\You're given time to memorize the positions of the cards.\If you can't memorize the positions, you don't stand a chance.\Naturally, you'll need to memorize both our cards and the other team's cards.\Memorize?!\Memorize the positions for all 100 cards?!\Um, this is... response:	Chihaya, come here for a second.
context: Memorization time?\You're given time to memorize the positions of the cards.\If you can't memorize the positions, you don't stand a chance.\Naturally, you'll need to memorize both our cards and the other team's cards.\Memorize?!\Memorize the positions for all 100 cards?!\Um, this is...\Chihaya, come here for a second. response:	What?! I haven't memorized any of them yet!
context: You're given time to memorize the positions of the cards.\If you can't memorize the positions, you don't stand a chance.\Naturally, you'll need to memorize both our cards and the other team's cards.\Memorize?!\Memorize the positions for all 100 cards?!\Um, this is...\Chihaya, come here for a second.\What?! I haven't memorized any of them yet! response:	We're allowed to go wherever we want during these 15 minutes.
