context: Sorry about that. response:	There's a pickled plum in it.
context: Sorry about that.\There's a pickled plum in it. response:	Why are you crying?
context: Sorry about that.\There's a pickled plum in it.\Why are you crying? response:	Because of the sun.
context: Sorry about that.\There's a pickled plum in it.\Why are you crying?\Because of the sun. response:	Because you're the sun, Tsumugu-kun...
context: Sorry about that.\There's a pickled plum in it.\Why are you crying?\Because of the sun.\Because you're the sun, Tsumugu-kun... response:	Even though it's night?
context: Sorry about that.\There's a pickled plum in it.\Why are you crying?\Because of the sun.\Because you're the sun, Tsumugu-kun...\Even though it's night? response:	That might be why.
context: Sorry about that.\There's a pickled plum in it.\Why are you crying?\Because of the sun.\Because you're the sun, Tsumugu-kun...\Even though it's night?\That might be why. response:	You're even brighter.
context: Sorry about that.\There's a pickled plum in it.\Why are you crying?\Because of the sun.\Because you're the sun, Tsumugu-kun...\Even though it's night?\That might be why.\You're even brighter. response:	When I was little,
context: There's a pickled plum in it.\Why are you crying?\Because of the sun.\Because you're the sun, Tsumugu-kun...\Even though it's night?\That might be why.\You're even brighter.\When I was little, response:	I was told I couldn't go up to the surface by myself yet.
context: Why are you crying?\Because of the sun.\Because you're the sun, Tsumugu-kun...\Even though it's night?\That might be why.\You're even brighter.\When I was little,\I was told I couldn't go up to the surface by myself yet. response:	Despite that, I always looked up to the sky.
context: Because of the sun.\Because you're the sun, Tsumugu-kun...\Even though it's night?\That might be why.\You're even brighter.\When I was little,\I was told I couldn't go up to the surface by myself yet.\Despite that, I always looked up to the sky. response:	I admired it.
context: Because you're the sun, Tsumugu-kun...\Even though it's night?\That might be why.\You're even brighter.\When I was little,\I was told I couldn't go up to the surface by myself yet.\Despite that, I always looked up to the sky.\I admired it. response:	Beyond the sea, beyond the sky...
context: Even though it's night?\That might be why.\You're even brighter.\When I was little,\I was told I couldn't go up to the surface by myself yet.\Despite that, I always looked up to the sky.\I admired it.\Beyond the sea, beyond the sky... response:	The sun that was so far, far away.
context: That might be why.\You're even brighter.\When I was little,\I was told I couldn't go up to the surface by myself yet.\Despite that, I always looked up to the sky.\I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away. response:	It was so bright.
context: You're even brighter.\When I was little,\I was told I couldn't go up to the surface by myself yet.\Despite that, I always looked up to the sky.\I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright. response:	It shined down on me.
context: When I was little,\I was told I couldn't go up to the surface by myself yet.\Despite that, I always looked up to the sky.\I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright.\It shined down on me. response:	It made me warm.
context: I was told I couldn't go up to the surface by myself yet.\Despite that, I always looked up to the sky.\I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright.\It shined down on me.\It made me warm. response:	It made me excited.
context: Despite that, I always looked up to the sky.\I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright.\It shined down on me.\It made me warm.\It made me excited. response:	But...
context: I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright.\It shined down on me.\It made me warm.\It made me excited.\But... response:	But?
context: Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright.\It shined down on me.\It made me warm.\It made me excited.\But...\But? response:	Episode Thirteen: Unreachable Fingertips
context: The sun that was so far, far away.\It was so bright.\It shined down on me.\It made me warm.\It made me excited.\But...\But?\Episode Thirteen: Unreachable Fingertips response:	It's really quiet.
context: It was so bright.\It shined down on me.\It made me warm.\It made me excited.\But...\But?\Episode Thirteen: Unreachable Fingertips\It's really quiet. response:	Was it always this quiet at night?
context: It shined down on me.\It made me warm.\It made me excited.\But...\But?\Episode Thirteen: Unreachable Fingertips\It's really quiet.\Was it always this quiet at night? response:	I always thought there was a lot more noise.
context: It made me warm.\It made me excited.\But...\But?\Episode Thirteen: Unreachable Fingertips\It's really quiet.\Was it always this quiet at night?\I always thought there was a lot more noise. response:	Is it because it's right before the hibernation?
context: It made me excited.\But...\But?\Episode Thirteen: Unreachable Fingertips\It's really quiet.\Was it always this quiet at night?\I always thought there was a lot more noise.\Is it because it's right before the hibernation? response:	Is it because the saltflake snow has piled up?
context: But...\But?\Episode Thirteen: Unreachable Fingertips\It's really quiet.\Was it always this quiet at night?\I always thought there was a lot more noise.\Is it because it's right before the hibernation?\Is it because the saltflake snow has piled up? response:	I see...
context: But?\Episode Thirteen: Unreachable Fingertips\It's really quiet.\Was it always this quiet at night?\I always thought there was a lot more noise.\Is it because it's right before the hibernation?\Is it because the saltflake snow has piled up?\I see... response:	I was the one that was noisy.
context: Episode Thirteen: Unreachable Fingertips\It's really quiet.\Was it always this quiet at night?\I always thought there was a lot more noise.\Is it because it's right before the hibernation?\Is it because the saltflake snow has piled up?\I see...\I was the one that was noisy. response:	When it was decided that Nami Junior High was going
context: It's really quiet.\Was it always this quiet at night?\I always thought there was a lot more noise.\Is it because it's right before the hibernation?\Is it because the saltflake snow has piled up?\I see...\I was the one that was noisy.\When it was decided that Nami Junior High was going response:	to be closed, and we started going to school on the surface.
context: Was it always this quiet at night?\I always thought there was a lot more noise.\Is it because it's right before the hibernation?\Is it because the saltflake snow has piled up?\I see...\I was the one that was noisy.\When it was decided that Nami Junior High was going\to be closed, and we started going to school on the surface. response:	That's when it happened...
context: I always thought there was a lot more noise.\Is it because it's right before the hibernation?\Is it because the saltflake snow has piled up?\I see...\I was the one that was noisy.\When it was decided that Nami Junior High was going\to be closed, and we started going to school on the surface.\That's when it happened... response:	I can't let anyone see this no matter what!
context: Is it because it's right before the hibernation?\Is it because the saltflake snow has piled up?\I see...\I was the one that was noisy.\When it was decided that Nami Junior High was going\to be closed, and we started going to school on the surface.\That's when it happened...\I can't let anyone see this no matter what! response:	Anyone?
context: Is it because the saltflake snow has piled up?\I see...\I was the one that was noisy.\When it was decided that Nami Junior High was going\to be closed, and we started going to school on the surface.\That's when it happened...\I can't let anyone see this no matter what!\Anyone? response:	You're already showing me.
context: I see...\I was the one that was noisy.\When it was decided that Nami Junior High was going\to be closed, and we started going to school on the surface.\That's when it happened...\I can't let anyone see this no matter what!\Anyone?\You're already showing me. response:	You're allowed, Hii-kun!
context: I was the one that was noisy.\When it was decided that Nami Junior High was going\to be closed, and we started going to school on the surface.\That's when it happened...\I can't let anyone see this no matter what!\Anyone?\You're already showing me.\You're allowed, Hii-kun! response:	Manaka had said that... but towards Tsumugu...
context: When it was decided that Nami Junior High was going\to be closed, and we started going to school on the surface.\That's when it happened...\I can't let anyone see this no matter what!\Anyone?\You're already showing me.\You're allowed, Hii-kun!\Manaka had said that... but towards Tsumugu... response:	At that time, there were ripples making noise in my heart...
