context: It's hot. response:	And I can't turn on the air conditioning since nobody else is here.
context: It's hot.\And I can't turn on the air conditioning since nobody else is here. response:	No, that will just make me hotter.
context: It's hot.\And I can't turn on the air conditioning since nobody else is here.\No, that will just make me hotter. response:	I want to go to the ocean too!
context: It's hot.\And I can't turn on the air conditioning since nobody else is here.\No, that will just make me hotter.\I want to go to the ocean too! response:	Sakura-chan isn't home, right?
context: It's hot.\And I can't turn on the air conditioning since nobody else is here.\No, that will just make me hotter.\I want to go to the ocean too!\Sakura-chan isn't home, right? response:	School camping trip.
context: It's hot.\And I can't turn on the air conditioning since nobody else is here.\No, that will just make me hotter.\I want to go to the ocean too!\Sakura-chan isn't home, right?\School camping trip. response:	I wonder if something on her desk fell over.
context: It's hot.\And I can't turn on the air conditioning since nobody else is here.\No, that will just make me hotter.\I want to go to the ocean too!\Sakura-chan isn't home, right?\School camping trip.\I wonder if something on her desk fell over. response:	Eh? Yeah!
context: It's hot.\And I can't turn on the air conditioning since nobody else is here.\No, that will just make me hotter.\I want to go to the ocean too!\Sakura-chan isn't home, right?\School camping trip.\I wonder if something on her desk fell over.\Eh? Yeah! response:	So Sakura is at the ocean right now?
context: And I can't turn on the air conditioning since nobody else is here.\No, that will just make me hotter.\I want to go to the ocean too!\Sakura-chan isn't home, right?\School camping trip.\I wonder if something on her desk fell over.\Eh? Yeah!\So Sakura is at the ocean right now? response:	Sakura-chan!
context: No, that will just make me hotter.\I want to go to the ocean too!\Sakura-chan isn't home, right?\School camping trip.\I wonder if something on her desk fell over.\Eh? Yeah!\So Sakura is at the ocean right now?\Sakura-chan! response:	Let's play beach volleyball.
context: I want to go to the ocean too!\Sakura-chan isn't home, right?\School camping trip.\I wonder if something on her desk fell over.\Eh? Yeah!\So Sakura is at the ocean right now?\Sakura-chan!\Let's play beach volleyball. response:	I'm coming.
context: Sakura-chan isn't home, right?\School camping trip.\I wonder if something on her desk fell over.\Eh? Yeah!\So Sakura is at the ocean right now?\Sakura-chan!\Let's play beach volleyball.\I'm coming. response:	Sakura-chan really is a good swimmer.
context: School camping trip.\I wonder if something on her desk fell over.\Eh? Yeah!\So Sakura is at the ocean right now?\Sakura-chan!\Let's play beach volleyball.\I'm coming.\Sakura-chan really is a good swimmer. response:	She was really looking forward to this school camping trip.
context: I wonder if something on her desk fell over.\Eh? Yeah!\So Sakura is at the ocean right now?\Sakura-chan!\Let's play beach volleyball.\I'm coming.\Sakura-chan really is a good swimmer.\She was really looking forward to this school camping trip. response:	She was saying The sea, the sea, the sea, the sea!
context: Eh? Yeah!\So Sakura is at the ocean right now?\Sakura-chan!\Let's play beach volleyball.\I'm coming.\Sakura-chan really is a good swimmer.\She was really looking forward to this school camping trip.\She was saying The sea, the sea, the sea, the sea! response:	The sea, the sea, the sea, the sea!
context: So Sakura is at the ocean right now?\Sakura-chan!\Let's play beach volleyball.\I'm coming.\Sakura-chan really is a good swimmer.\She was really looking forward to this school camping trip.\She was saying The sea, the sea, the sea, the sea!\The sea, the sea, the sea, the sea! response:	Sorry to keep you waiting, let's play.
context: Sakura-chan!\Let's play beach volleyball.\I'm coming.\Sakura-chan really is a good swimmer.\She was really looking forward to this school camping trip.\She was saying The sea, the sea, the sea, the sea!\The sea, the sea, the sea, the sea!\Sorry to keep you waiting, let's play. response:	Sorry.
context: Let's play beach volleyball.\I'm coming.\Sakura-chan really is a good swimmer.\She was really looking forward to this school camping trip.\She was saying The sea, the sea, the sea, the sea!\The sea, the sea, the sea, the sea!\Sorry to keep you waiting, let's play.\Sorry. response:	It's OK.
context: I'm coming.\Sakura-chan really is a good swimmer.\She was really looking forward to this school camping trip.\She was saying The sea, the sea, the sea, the sea!\The sea, the sea, the sea, the sea!\Sorry to keep you waiting, let's play.\Sorry.\It's OK. response:	You know something about beach volleyball'
context: Sakura-chan really is a good swimmer.\She was really looking forward to this school camping trip.\She was saying The sea, the sea, the sea, the sea!\The sea, the sea, the sea, the sea!\Sorry to keep you waiting, let's play.\Sorry.\It's OK.\You know something about beach volleyball' response:	It started a long time ago
context: She was really looking forward to this school camping trip.\She was saying The sea, the sea, the sea, the sea!\The sea, the sea, the sea, the sea!\Sorry to keep you waiting, let's play.\Sorry.\It's OK.\You know something about beach volleyball'\It started a long time ago response:	On the beaches of Hawaii, using coconuts.
context: She was saying The sea, the sea, the sea, the sea!\The sea, the sea, the sea, the sea!\Sorry to keep you waiting, let's play.\Sorry.\It's OK.\You know something about beach volleyball'\It started a long time ago\On the beaches of Hawaii, using coconuts. response:	With coconuts?
context: The sea, the sea, the sea, the sea!\Sorry to keep you waiting, let's play.\Sorry.\It's OK.\You know something about beach volleyball'\It started a long time ago\On the beaches of Hawaii, using coconuts.\With coconuts? response:	And you know, coconuts are heavy and hard.
context: Sorry to keep you waiting, let's play.\Sorry.\It's OK.\You know something about beach volleyball'\It started a long time ago\On the beaches of Hawaii, using coconuts.\With coconuts?\And you know, coconuts are heavy and hard. response:	Yeah, they are heavy and hard.
context: Sorry.\It's OK.\You know something about beach volleyball'\It started a long time ago\On the beaches of Hawaii, using coconuts.\With coconuts?\And you know, coconuts are heavy and hard.\Yeah, they are heavy and hard. response:	I hear that beach volleyball
context: It's OK.\You know something about beach volleyball'\It started a long time ago\On the beaches of Hawaii, using coconuts.\With coconuts?\And you know, coconuts are heavy and hard.\Yeah, they are heavy and hard.\I hear that beach volleyball response:	caused countless injuries.
context: You know something about beach volleyball'\It started a long time ago\On the beaches of Hawaii, using coconuts.\With coconuts?\And you know, coconuts are heavy and hard.\Yeah, they are heavy and hard.\I hear that beach volleyball\caused countless injuries. response:	Eh!
context: It started a long time ago\On the beaches of Hawaii, using coconuts.\With coconuts?\And you know, coconuts are heavy and hard.\Yeah, they are heavy and hard.\I hear that beach volleyball\caused countless injuries.\Eh! response:	It's a lie. A lie.
context: On the beaches of Hawaii, using coconuts.\With coconuts?\And you know, coconuts are heavy and hard.\Yeah, they are heavy and hard.\I hear that beach volleyball\caused countless injuries.\Eh!\It's a lie. A lie. response:	Is it a lie?
context: With coconuts?\And you know, coconuts are heavy and hard.\Yeah, they are heavy and hard.\I hear that beach volleyball\caused countless injuries.\Eh!\It's a lie. A lie.\Is it a lie? response:	Anything Yamazaki says that begins with'I hear' that is usually a lie.
context: And you know, coconuts are heavy and hard.\Yeah, they are heavy and hard.\I hear that beach volleyball\caused countless injuries.\Eh!\It's a lie. A lie.\Is it a lie?\Anything Yamazaki says that begins with'I hear' that is usually a lie. response:	It seems Li-kun is a good swimmer too.
context: Yeah, they are heavy and hard.\I hear that beach volleyball\caused countless injuries.\Eh!\It's a lie. A lie.\Is it a lie?\Anything Yamazaki says that begins with'I hear' that is usually a lie.\It seems Li-kun is a good swimmer too. response:	Really.
context: I hear that beach volleyball\caused countless injuries.\Eh!\It's a lie. A lie.\Is it a lie?\Anything Yamazaki says that begins with'I hear' that is usually a lie.\It seems Li-kun is a good swimmer too.\Really. response:	He has been swimming all around for a while.
context: caused countless injuries.\Eh!\It's a lie. A lie.\Is it a lie?\Anything Yamazaki says that begins with'I hear' that is usually a lie.\It seems Li-kun is a good swimmer too.\Really.\He has been swimming all around for a while. response:	Eh!
context: Eh!\It's a lie. A lie.\Is it a lie?\Anything Yamazaki says that begins with'I hear' that is usually a lie.\It seems Li-kun is a good swimmer too.\Really.\He has been swimming all around for a while.\Eh! response:	I wonder if he is doing distance swimming?
context: It's a lie. A lie.\Is it a lie?\Anything Yamazaki says that begins with'I hear' that is usually a lie.\It seems Li-kun is a good swimmer too.\Really.\He has been swimming all around for a while.\Eh!\I wonder if he is doing distance swimming? response:	You know about distance swimming'
context: Is it a lie?\Anything Yamazaki says that begins with'I hear' that is usually a lie.\It seems Li-kun is a good swimmer too.\Really.\He has been swimming all around for a while.\Eh!\I wonder if he is doing distance swimming?\You know about distance swimming' response:	Yeah, yeah'
context: Anything Yamazaki says that begins with'I hear' that is usually a lie.\It seems Li-kun is a good swimmer too.\Really.\He has been swimming all around for a while.\Eh!\I wonder if he is doing distance swimming?\You know about distance swimming'\Yeah, yeah' response:	Gather up!
context: It seems Li-kun is a good swimmer too.\Really.\He has been swimming all around for a while.\Eh!\I wonder if he is doing distance swimming?\You know about distance swimming'\Yeah, yeah'\Gather up! response:	Long ago in the Edo era there was a certain samurai'
context: Really.\He has been swimming all around for a while.\Eh!\I wonder if he is doing distance swimming?\You know about distance swimming'\Yeah, yeah'\Gather up!\Long ago in the Edo era there was a certain samurai' response:	Yeah, yeah'
context: He has been swimming all around for a while.\Eh!\I wonder if he is doing distance swimming?\You know about distance swimming'\Yeah, yeah'\Gather up!\Long ago in the Edo era there was a certain samurai'\Yeah, yeah' response:	Chiharu-chan is used to it.
context: Eh!\I wonder if he is doing distance swimming?\You know about distance swimming'\Yeah, yeah'\Gather up!\Long ago in the Edo era there was a certain samurai'\Yeah, yeah'\Chiharu-chan is used to it. response:	I hear she has been with Yamazaki-kun since kindergarten.
context: I wonder if he is doing distance swimming?\You know about distance swimming'\Yeah, yeah'\Gather up!\Long ago in the Edo era there was a certain samurai'\Yeah, yeah'\Chiharu-chan is used to it.\I hear she has been with Yamazaki-kun since kindergarten. response:	They have been together a long time.
context: You know about distance swimming'\Yeah, yeah'\Gather up!\Long ago in the Edo era there was a certain samurai'\Yeah, yeah'\Chiharu-chan is used to it.\I hear she has been with Yamazaki-kun since kindergarten.\They have been together a long time. response:	It's wonderful to be together with someone for a long time.
context: Yeah, yeah'\Gather up!\Long ago in the Edo era there was a certain samurai'\Yeah, yeah'\Chiharu-chan is used to it.\I hear she has been with Yamazaki-kun since kindergarten.\They have been together a long time.\It's wonderful to be together with someone for a long time. response:	Yeah it is.
context: Gather up!\Long ago in the Edo era there was a certain samurai'\Yeah, yeah'\Chiharu-chan is used to it.\I hear she has been with Yamazaki-kun since kindergarten.\They have been together a long time.\It's wonderful to be together with someone for a long time.\Yeah it is. response:	And therefore putting the honor of their house on the line the two samurai'
context: Long ago in the Edo era there was a certain samurai'\Yeah, yeah'\Chiharu-chan is used to it.\I hear she has been with Yamazaki-kun since kindergarten.\They have been together a long time.\It's wonderful to be together with someone for a long time.\Yeah it is.\And therefore putting the honor of their house on the line the two samurai' response:	Yeah, yeah'
context: Yeah, yeah'\Chiharu-chan is used to it.\I hear she has been with Yamazaki-kun since kindergarten.\They have been together a long time.\It's wonderful to be together with someone for a long time.\Yeah it is.\And therefore putting the honor of their house on the line the two samurai'\Yeah, yeah' response:	Pull it with a heave-ho.
context: Chiharu-chan is used to it.\I hear she has been with Yamazaki-kun since kindergarten.\They have been together a long time.\It's wonderful to be together with someone for a long time.\Yeah it is.\And therefore putting the honor of their house on the line the two samurai'\Yeah, yeah'\Pull it with a heave-ho. response:	I never thought we would get to pull in a fishing net like this.
context: I hear she has been with Yamazaki-kun since kindergarten.\They have been together a long time.\It's wonderful to be together with someone for a long time.\Yeah it is.\And therefore putting the honor of their house on the line the two samurai'\Yeah, yeah'\Pull it with a heave-ho.\I never thought we would get to pull in a fishing net like this. response:	Really. Really.
context: They have been together a long time.\It's wonderful to be together with someone for a long time.\Yeah it is.\And therefore putting the honor of their house on the line the two samurai'\Yeah, yeah'\Pull it with a heave-ho.\I never thought we would get to pull in a fishing net like this.\Really. Really. response:	Right, Sakura-chan?
context: It's wonderful to be together with someone for a long time.\Yeah it is.\And therefore putting the honor of their house on the line the two samurai'\Yeah, yeah'\Pull it with a heave-ho.\I never thought we would get to pull in a fishing net like this.\Really. Really.\Right, Sakura-chan? response:	You seem all set.
context: Yeah it is.\And therefore putting the honor of their house on the line the two samurai'\Yeah, yeah'\Pull it with a heave-ho.\I never thought we would get to pull in a fishing net like this.\Really. Really.\Right, Sakura-chan?\You seem all set. response:	Yeah.
context: And therefore putting the honor of their house on the line the two samurai'\Yeah, yeah'\Pull it with a heave-ho.\I never thought we would get to pull in a fishing net like this.\Really. Really.\Right, Sakura-chan?\You seem all set.\Yeah. response:	It's too bad I couldn't bring a video camera.
context: Yeah, yeah'\Pull it with a heave-ho.\I never thought we would get to pull in a fishing net like this.\Really. Really.\Right, Sakura-chan?\You seem all set.\Yeah.\It's too bad I couldn't bring a video camera. response:	1, 2, 3.
context: Pull it with a heave-ho.\I never thought we would get to pull in a fishing net like this.\Really. Really.\Right, Sakura-chan?\You seem all set.\Yeah.\It's too bad I couldn't bring a video camera.\1, 2, 3. response:	Heave ho! Heave ho!
context: I never thought we would get to pull in a fishing net like this.\Really. Really.\Right, Sakura-chan?\You seem all set.\Yeah.\It's too bad I couldn't bring a video camera.\1, 2, 3.\Heave ho! Heave ho! response:	Come on, you can do it!
context: Really. Really.\Right, Sakura-chan?\You seem all set.\Yeah.\It's too bad I couldn't bring a video camera.\1, 2, 3.\Heave ho! Heave ho!\Come on, you can do it! response:	Heave ho!
context: Right, Sakura-chan?\You seem all set.\Yeah.\It's too bad I couldn't bring a video camera.\1, 2, 3.\Heave ho! Heave ho!\Come on, you can do it!\Heave ho! response:	Try your hardest.
context: You seem all set.\Yeah.\It's too bad I couldn't bring a video camera.\1, 2, 3.\Heave ho! Heave ho!\Come on, you can do it!\Heave ho!\Try your hardest. response:	Heave ho!
context: Yeah.\It's too bad I couldn't bring a video camera.\1, 2, 3.\Heave ho! Heave ho!\Come on, you can do it!\Heave ho!\Try your hardest.\Heave ho! response:	Pull it in evenly.
context: It's too bad I couldn't bring a video camera.\1, 2, 3.\Heave ho! Heave ho!\Come on, you can do it!\Heave ho!\Try your hardest.\Heave ho!\Pull it in evenly. response:	Heave ho!
context: 1, 2, 3.\Heave ho! Heave ho!\Come on, you can do it!\Heave ho!\Try your hardest.\Heave ho!\Pull it in evenly.\Heave ho! response:	All right, just a bit more.
context: Heave ho! Heave ho!\Come on, you can do it!\Heave ho!\Try your hardest.\Heave ho!\Pull it in evenly.\Heave ho!\All right, just a bit more. response:	Heave ho!
context: Come on, you can do it!\Heave ho!\Try your hardest.\Heave ho!\Pull it in evenly.\Heave ho!\All right, just a bit more.\Heave ho! response:	It seems like we got a big catch.
context: Heave ho!\Try your hardest.\Heave ho!\Pull it in evenly.\Heave ho!\All right, just a bit more.\Heave ho!\It seems like we got a big catch. response:	Sakura-chan, you're good.
context: Try your hardest.\Heave ho!\Pull it in evenly.\Heave ho!\All right, just a bit more.\Heave ho!\It seems like we got a big catch.\Sakura-chan, you're good. response:	I always do it at home.
context: Heave ho!\Pull it in evenly.\Heave ho!\All right, just a bit more.\Heave ho!\It seems like we got a big catch.\Sakura-chan, you're good.\I always do it at home. response:	Really.
context: Pull it in evenly.\Heave ho!\All right, just a bit more.\Heave ho!\It seems like we got a big catch.\Sakura-chan, you're good.\I always do it at home.\Really. response:	She's right.
