context: The controls aren't working! response:	We're being washed away!
context: The controls aren't working!\We're being washed away! response:	This is the rift between the dimensions...
context: The controls aren't working!\We're being washed away!\This is the rift between the dimensions... response:	I can hear the moaning of twisted space.
context: The controls aren't working!\We're being washed away!\This is the rift between the dimensions...\I can hear the moaning of twisted space. response:	It's the dissonance of despair.
context: The controls aren't working!\We're being washed away!\This is the rift between the dimensions...\I can hear the moaning of twisted space.\It's the dissonance of despair. response:	It's only a matter of time before we're...
context: The controls aren't working!\We're being washed away!\This is the rift between the dimensions...\I can hear the moaning of twisted space.\It's the dissonance of despair.\It's only a matter of time before we're... response:	Shrade!
context: The controls aren't working!\We're being washed away!\This is the rift between the dimensions...\I can hear the moaning of twisted space.\It's the dissonance of despair.\It's only a matter of time before we're...\Shrade! response:	We have to Union again!
context: The controls aren't working!\We're being washed away!\This is the rift between the dimensions...\I can hear the moaning of twisted space.\It's the dissonance of despair.\It's only a matter of time before we're...\Shrade!\We have to Union again! response:	We can't! Your body can't handle it!
context: We're being washed away!\This is the rift between the dimensions...\I can hear the moaning of twisted space.\It's the dissonance of despair.\It's only a matter of time before we're...\Shrade!\We have to Union again!\We can't! Your body can't handle it! response:	Once we Union, I'll be able to hear the scale that the dimensions play on.
context: This is the rift between the dimensions...\I can hear the moaning of twisted space.\It's the dissonance of despair.\It's only a matter of time before we're...\Shrade!\We have to Union again!\We can't! Your body can't handle it!\Once we Union, I'll be able to hear the scale that the dimensions play on. response:	Shrade!
context: I can hear the moaning of twisted space.\It's the dissonance of despair.\It's only a matter of time before we're...\Shrade!\We have to Union again!\We can't! Your body can't handle it!\Once we Union, I'll be able to hear the scale that the dimensions play on.\Shrade! response:	Let the flow carry you!
context: It's the dissonance of despair.\It's only a matter of time before we're...\Shrade!\We have to Union again!\We can't! Your body can't handle it!\Once we Union, I'll be able to hear the scale that the dimensions play on.\Shrade!\Let the flow carry you! response:	Harmonize with the sounds around you!
context: It's only a matter of time before we're...\Shrade!\We have to Union again!\We can't! Your body can't handle it!\Once we Union, I'll be able to hear the scale that the dimensions play on.\Shrade!\Let the flow carry you!\Harmonize with the sounds around you! response:	Can you feel it, my friend?
context: Shrade!\We have to Union again!\We can't! Your body can't handle it!\Once we Union, I'll be able to hear the scale that the dimensions play on.\Shrade!\Let the flow carry you!\Harmonize with the sounds around you!\Can you feel it, my friend? response:	This will be my last Union.
context: We have to Union again!\We can't! Your body can't handle it!\Once we Union, I'll be able to hear the scale that the dimensions play on.\Shrade!\Let the flow carry you!\Harmonize with the sounds around you!\Can you feel it, my friend?\This will be my last Union. response:	Resounding Union!
context: We can't! Your body can't handle it!\Once we Union, I'll be able to hear the scale that the dimensions play on.\Shrade!\Let the flow carry you!\Harmonize with the sounds around you!\Can you feel it, my friend?\This will be my last Union.\Resounding Union! response:	Go, Aquarion!
context: Once we Union, I'll be able to hear the scale that the dimensions play on.\Shrade!\Let the flow carry you!\Harmonize with the sounds around you!\Can you feel it, my friend?\This will be my last Union.\Resounding Union!\Go, Aquarion! response:	Is everyone here?
context: Shrade!\Let the flow carry you!\Harmonize with the sounds around you!\Can you feel it, my friend?\This will be my last Union.\Resounding Union!\Go, Aquarion!\Is everyone here? response:	We have something very important to tell you.
context: Let the flow carry you!\Harmonize with the sounds around you!\Can you feel it, my friend?\This will be my last Union.\Resounding Union!\Go, Aquarion!\Is everyone here?\We have something very important to tell you. response:	This is a story of 12,000 years ago,
context: Harmonize with the sounds around you!\Can you feel it, my friend?\This will be my last Union.\Resounding Union!\Go, Aquarion!\Is everyone here?\We have something very important to tell you.\This is a story of 12,000 years ago, response:	and of another 12,000 years before that.
context: Can you feel it, my friend?\This will be my last Union.\Resounding Union!\Go, Aquarion!\Is everyone here?\We have something very important to tell you.\This is a story of 12,000 years ago,\and of another 12,000 years before that. response:	An eternal saga.
context: This will be my last Union.\Resounding Union!\Go, Aquarion!\Is everyone here?\We have something very important to tell you.\This is a story of 12,000 years ago,\and of another 12,000 years before that.\An eternal saga. response:	This is ridiculous!
context: Resounding Union!\Go, Aquarion!\Is everyone here?\We have something very important to tell you.\This is a story of 12,000 years ago,\and of another 12,000 years before that.\An eternal saga.\This is ridiculous! response:	We don't have time to listen to stories when we could be helping Amata -
context: Go, Aquarion!\Is everyone here?\We have something very important to tell you.\This is a story of 12,000 years ago,\and of another 12,000 years before that.\An eternal saga.\This is ridiculous!\We don't have time to listen to stories when we could be helping Amata - response:	What?
context: Is everyone here?\We have something very important to tell you.\This is a story of 12,000 years ago,\and of another 12,000 years before that.\An eternal saga.\This is ridiculous!\We don't have time to listen to stories when we could be helping Amata -\What? response:	What's going on?
context: We have something very important to tell you.\This is a story of 12,000 years ago,\and of another 12,000 years before that.\An eternal saga.\This is ridiculous!\We don't have time to listen to stories when we could be helping Amata -\What?\What's going on? response:	We're on top of a book!
context: This is a story of 12,000 years ago,\and of another 12,000 years before that.\An eternal saga.\This is ridiculous!\We don't have time to listen to stories when we could be helping Amata -\What?\What's going on?\We're on top of a book! response:	This book was always with you.
context: and of another 12,000 years before that.\An eternal saga.\This is ridiculous!\We don't have time to listen to stories when we could be helping Amata -\What?\What's going on?\We're on top of a book!\This book was always with you. response:	It has come to us from ages past, yet too, it has never moved.
context: An eternal saga.\This is ridiculous!\We don't have time to listen to stories when we could be helping Amata -\What?\What's going on?\We're on top of a book!\This book was always with you.\It has come to us from ages past, yet too, it has never moved. response:	It is called the Book of Twin Stars.
context: This is ridiculous!\We don't have time to listen to stories when we could be helping Amata -\What?\What's going on?\We're on top of a book!\This book was always with you.\It has come to us from ages past, yet too, it has never moved.\It is called the Book of Twin Stars. response:	Now, at long last...
context: We don't have time to listen to stories when we could be helping Amata -\What?\What's going on?\We're on top of a book!\This book was always with you.\It has come to us from ages past, yet too, it has never moved.\It is called the Book of Twin Stars.\Now, at long last... response:	It shall be opened!
context: What?\What's going on?\We're on top of a book!\This book was always with you.\It has come to us from ages past, yet too, it has never moved.\It is called the Book of Twin Stars.\Now, at long last...\It shall be opened! response:	The story begins 24,000 long years ago.
context: What's going on?\We're on top of a book!\This book was always with you.\It has come to us from ages past, yet too, it has never moved.\It is called the Book of Twin Stars.\Now, at long last...\It shall be opened!\The story begins 24,000 long years ago. response:	These visions are more lifelike than my Prophecies of Despair!
context: We're on top of a book!\This book was always with you.\It has come to us from ages past, yet too, it has never moved.\It is called the Book of Twin Stars.\Now, at long last...\It shall be opened!\The story begins 24,000 long years ago.\These visions are more lifelike than my Prophecies of Despair! response:	Let this sword be like a tuning fork...
context: This book was always with you.\It has come to us from ages past, yet too, it has never moved.\It is called the Book of Twin Stars.\Now, at long last...\It shall be opened!\The story begins 24,000 long years ago.\These visions are more lifelike than my Prophecies of Despair!\Let this sword be like a tuning fork... response:	Its resonance will point me to the exit...
context: It has come to us from ages past, yet too, it has never moved.\It is called the Book of Twin Stars.\Now, at long last...\It shall be opened!\The story begins 24,000 long years ago.\These visions are more lifelike than my Prophecies of Despair!\Let this sword be like a tuning fork...\Its resonance will point me to the exit... response:	What are those images?
context: It is called the Book of Twin Stars.\Now, at long last...\It shall be opened!\The story begins 24,000 long years ago.\These visions are more lifelike than my Prophecies of Despair!\Let this sword be like a tuning fork...\Its resonance will point me to the exit...\What are those images? response:	The tuning fork is calling out the memories etched into the dimensions...
context: Now, at long last...\It shall be opened!\The story begins 24,000 long years ago.\These visions are more lifelike than my Prophecies of Despair!\Let this sword be like a tuning fork...\Its resonance will point me to the exit...\What are those images?\The tuning fork is calling out the memories etched into the dimensions... response:	Shrade!
context: It shall be opened!\The story begins 24,000 long years ago.\These visions are more lifelike than my Prophecies of Despair!\Let this sword be like a tuning fork...\Its resonance will point me to the exit...\What are those images?\The tuning fork is calling out the memories etched into the dimensions...\Shrade! response:	Shrade!
context: The story begins 24,000 long years ago.\These visions are more lifelike than my Prophecies of Despair!\Let this sword be like a tuning fork...\Its resonance will point me to the exit...\What are those images?\The tuning fork is calling out the memories etched into the dimensions...\Shrade!\Shrade! response:	Keep watching!
context: These visions are more lifelike than my Prophecies of Despair!\Let this sword be like a tuning fork...\Its resonance will point me to the exit...\What are those images?\The tuning fork is calling out the memories etched into the dimensions...\Shrade!\Shrade!\Keep watching! response:	The Dark Angels were humanity's great enemies.
context: Let this sword be like a tuning fork...\Its resonance will point me to the exit...\What are those images?\The tuning fork is calling out the memories etched into the dimensions...\Shrade!\Shrade!\Keep watching!\The Dark Angels were humanity's great enemies. response:	They brought immeasurable destruction and took innumerable lives.
context: Its resonance will point me to the exit...\What are those images?\The tuning fork is calling out the memories etched into the dimensions...\Shrade!\Shrade!\Keep watching!\The Dark Angels were humanity's great enemies.\They brought immeasurable destruction and took innumerable lives. response:	The footsteps of doom were approaching...
context: What are those images?\The tuning fork is calling out the memories etched into the dimensions...\Shrade!\Shrade!\Keep watching!\The Dark Angels were humanity's great enemies.\They brought immeasurable destruction and took innumerable lives.\The footsteps of doom were approaching... response:	and their owner's name was Apollonius, the Angel of Slaughter.
context: The tuning fork is calling out the memories etched into the dimensions...\Shrade!\Shrade!\Keep watching!\The Dark Angels were humanity's great enemies.\They brought immeasurable destruction and took innumerable lives.\The footsteps of doom were approaching...\and their owner's name was Apollonius, the Angel of Slaughter. response:	But by some strange trick of fate, he found love.
context: Shrade!\Shrade!\Keep watching!\The Dark Angels were humanity's great enemies.\They brought immeasurable destruction and took innumerable lives.\The footsteps of doom were approaching...\and their owner's name was Apollonius, the Angel of Slaughter.\But by some strange trick of fate, he found love. response:	Apollonius fell in love with a human woman, Celiane, though she was his enemy.
context: Shrade!\Keep watching!\The Dark Angels were humanity's great enemies.\They brought immeasurable destruction and took innumerable lives.\The footsteps of doom were approaching...\and their owner's name was Apollonius, the Angel of Slaughter.\But by some strange trick of fate, he found love.\Apollonius fell in love with a human woman, Celiane, though she was his enemy. response:	That's...
context: Keep watching!\The Dark Angels were humanity's great enemies.\They brought immeasurable destruction and took innumerable lives.\The footsteps of doom were approaching...\and their owner's name was Apollonius, the Angel of Slaughter.\But by some strange trick of fate, he found love.\Apollonius fell in love with a human woman, Celiane, though she was his enemy.\That's... response:	The Legendary Aquarion!
context: The Dark Angels were humanity's great enemies.\They brought immeasurable destruction and took innumerable lives.\The footsteps of doom were approaching...\and their owner's name was Apollonius, the Angel of Slaughter.\But by some strange trick of fate, he found love.\Apollonius fell in love with a human woman, Celiane, though she was his enemy.\That's...\The Legendary Aquarion! response:	Apollonius piloted a Machine Angel to drive away the Dark Angels
context: They brought immeasurable destruction and took innumerable lives.\The footsteps of doom were approaching...\and their owner's name was Apollonius, the Angel of Slaughter.\But by some strange trick of fate, he found love.\Apollonius fell in love with a human woman, Celiane, though she was his enemy.\That's...\The Legendary Aquarion!\Apollonius piloted a Machine Angel to drive away the Dark Angels response:	and protect Celiane and her world.
context: The footsteps of doom were approaching...\and their owner's name was Apollonius, the Angel of Slaughter.\But by some strange trick of fate, he found love.\Apollonius fell in love with a human woman, Celiane, though she was his enemy.\That's...\The Legendary Aquarion!\Apollonius piloted a Machine Angel to drive away the Dark Angels\and protect Celiane and her world. response:	But for every light, there is a shadow.
context: and their owner's name was Apollonius, the Angel of Slaughter.\But by some strange trick of fate, he found love.\Apollonius fell in love with a human woman, Celiane, though she was his enemy.\That's...\The Legendary Aquarion!\Apollonius piloted a Machine Angel to drive away the Dark Angels\and protect Celiane and her world.\But for every light, there is a shadow. response:	Apollonius' betrothed, the Dark Angel Toma,
context: But by some strange trick of fate, he found love.\Apollonius fell in love with a human woman, Celiane, though she was his enemy.\That's...\The Legendary Aquarion!\Apollonius piloted a Machine Angel to drive away the Dark Angels\and protect Celiane and her world.\But for every light, there is a shadow.\Apollonius' betrothed, the Dark Angel Toma, response:	both loved him still and hated him for his betrayal.
context: Apollonius fell in love with a human woman, Celiane, though she was his enemy.\That's...\The Legendary Aquarion!\Apollonius piloted a Machine Angel to drive away the Dark Angels\and protect Celiane and her world.\But for every light, there is a shadow.\Apollonius' betrothed, the Dark Angel Toma,\both loved him still and hated him for his betrayal. response:	And there was another.
context: That's...\The Legendary Aquarion!\Apollonius piloted a Machine Angel to drive away the Dark Angels\and protect Celiane and her world.\But for every light, there is a shadow.\Apollonius' betrothed, the Dark Angel Toma,\both loved him still and hated him for his betrayal.\And there was another. response:	A small one who sought light from the shadows.
context: The Legendary Aquarion!\Apollonius piloted a Machine Angel to drive away the Dark Angels\and protect Celiane and her world.\But for every light, there is a shadow.\Apollonius' betrothed, the Dark Angel Toma,\both loved him still and hated him for his betrayal.\And there was another.\A small one who sought light from the shadows. response:	A dog?
context: Apollonius piloted a Machine Angel to drive away the Dark Angels\and protect Celiane and her world.\But for every light, there is a shadow.\Apollonius' betrothed, the Dark Angel Toma,\both loved him still and hated him for his betrayal.\And there was another.\A small one who sought light from the shadows.\A dog? response:	It's adorable!
context: and protect Celiane and her world.\But for every light, there is a shadow.\Apollonius' betrothed, the Dark Angel Toma,\both loved him still and hated him for his betrayal.\And there was another.\A small one who sought light from the shadows.\A dog?\It's adorable! response:	This was the Winged Hound Pollon, Apollonius' companion.
context: But for every light, there is a shadow.\Apollonius' betrothed, the Dark Angel Toma,\both loved him still and hated him for his betrayal.\And there was another.\A small one who sought light from the shadows.\A dog?\It's adorable!\This was the Winged Hound Pollon, Apollonius' companion. response:	He bore an unrequited love for Celiane, who loved his master.
context: Apollonius' betrothed, the Dark Angel Toma,\both loved him still and hated him for his betrayal.\And there was another.\A small one who sought light from the shadows.\A dog?\It's adorable!\This was the Winged Hound Pollon, Apollonius' companion.\He bore an unrequited love for Celiane, who loved his master. response:	The sorrowful Pollon made a wish to the night.
