context: Passing the Night response:	Ever since I was a baby, there was a shogi board in front of me.
context: Passing the Night\Ever since I was a baby, there was a shogi board in front of me. response:	I grew up in a northeastern village that had a lot of snow.
context: Passing the Night\Ever since I was a baby, there was a shogi board in front of me.\I grew up in a northeastern village that had a lot of snow. response:	There were more cows and roosters than people.
context: Passing the Night\Ever since I was a baby, there was a shogi board in front of me.\I grew up in a northeastern village that had a lot of snow.\There were more cows and roosters than people. response:	And of those people, most were senior citizens.
context: Passing the Night\Ever since I was a baby, there was a shogi board in front of me.\I grew up in a northeastern village that had a lot of snow.\There were more cows and roosters than people.\And of those people, most were senior citizens. response:	There weren't any other children my own age.
context: Passing the Night\Ever since I was a baby, there was a shogi board in front of me.\I grew up in a northeastern village that had a lot of snow.\There were more cows and roosters than people.\And of those people, most were senior citizens.\There weren't any other children my own age. response:	There weren't even enough kids to play baseball or soccer.
context: Passing the Night\Ever since I was a baby, there was a shogi board in front of me.\I grew up in a northeastern village that had a lot of snow.\There were more cows and roosters than people.\And of those people, most were senior citizens.\There weren't any other children my own age.\There weren't even enough kids to play baseball or soccer. response:	So I grew up not playing them.
context: Passing the Night\Ever since I was a baby, there was a shogi board in front of me.\I grew up in a northeastern village that had a lot of snow.\There were more cows and roosters than people.\And of those people, most were senior citizens.\There weren't any other children my own age.\There weren't even enough kids to play baseball or soccer.\So I grew up not playing them. response:	For pastimes, I could catch bugs by myself, play video games, or read books.
context: Ever since I was a baby, there was a shogi board in front of me.\I grew up in a northeastern village that had a lot of snow.\There were more cows and roosters than people.\And of those people, most were senior citizens.\There weren't any other children my own age.\There weren't even enough kids to play baseball or soccer.\So I grew up not playing them.\For pastimes, I could catch bugs by myself, play video games, or read books. response:	But one winter day, after I did all of those things,
context: I grew up in a northeastern village that had a lot of snow.\There were more cows and roosters than people.\And of those people, most were senior citizens.\There weren't any other children my own age.\There weren't even enough kids to play baseball or soccer.\So I grew up not playing them.\For pastimes, I could catch bugs by myself, play video games, or read books.\But one winter day, after I did all of those things, response:	a few old men from the neighborhood taught me how to play shogi.
context: There were more cows and roosters than people.\And of those people, most were senior citizens.\There weren't any other children my own age.\There weren't even enough kids to play baseball or soccer.\So I grew up not playing them.\For pastimes, I could catch bugs by myself, play video games, or read books.\But one winter day, after I did all of those things,\a few old men from the neighborhood taught me how to play shogi. response:	This is the king.
context: And of those people, most were senior citizens.\There weren't any other children my own age.\There weren't even enough kids to play baseball or soccer.\So I grew up not playing them.\For pastimes, I could catch bugs by myself, play video games, or read books.\But one winter day, after I did all of those things,\a few old men from the neighborhood taught me how to play shogi.\This is the king. response:	And this is the Gold General.
context: There weren't any other children my own age.\There weren't even enough kids to play baseball or soccer.\So I grew up not playing them.\For pastimes, I could catch bugs by myself, play video games, or read books.\But one winter day, after I did all of those things,\a few old men from the neighborhood taught me how to play shogi.\This is the king.\And this is the Gold General. response:	Silver General.
context: There weren't even enough kids to play baseball or soccer.\So I grew up not playing them.\For pastimes, I could catch bugs by myself, play video games, or read books.\But one winter day, after I did all of those things,\a few old men from the neighborhood taught me how to play shogi.\This is the king.\And this is the Gold General.\Silver General. response:	Rook.
context: So I grew up not playing them.\For pastimes, I could catch bugs by myself, play video games, or read books.\But one winter day, after I did all of those things,\a few old men from the neighborhood taught me how to play shogi.\This is the king.\And this is the Gold General.\Silver General.\Rook. response:	Bishop.
context: For pastimes, I could catch bugs by myself, play video games, or read books.\But one winter day, after I did all of those things,\a few old men from the neighborhood taught me how to play shogi.\This is the king.\And this is the Gold General.\Silver General.\Rook.\Bishop. response:	For video games, manga, and novels, the end always came quickly.
context: But one winter day, after I did all of those things,\a few old men from the neighborhood taught me how to play shogi.\This is the king.\And this is the Gold General.\Silver General.\Rook.\Bishop.\For video games, manga, and novels, the end always came quickly. response:	But with shogi, there was never an end, no matter how far I went.
context: a few old men from the neighborhood taught me how to play shogi.\This is the king.\And this is the Gold General.\Silver General.\Rook.\Bishop.\For video games, manga, and novels, the end always came quickly.\But with shogi, there was never an end, no matter how far I went. response:	It captivated me to no end.
context: This is the king.\And this is the Gold General.\Silver General.\Rook.\Bishop.\For video games, manga, and novels, the end always came quickly.\But with shogi, there was never an end, no matter how far I went.\It captivated me to no end. response:	I lost again!
context: And this is the Gold General.\Silver General.\Rook.\Bishop.\For video games, manga, and novels, the end always came quickly.\But with shogi, there was never an end, no matter how far I went.\It captivated me to no end.\I lost again! response:	By second grade, I was beating the adults in the village.
context: Silver General.\Rook.\Bishop.\For video games, manga, and novels, the end always came quickly.\But with shogi, there was never an end, no matter how far I went.\It captivated me to no end.\I lost again!\By second grade, I was beating the adults in the village. response:	By third grade, I would regularly take a bumpy bus ride
context: Rook.\Bishop.\For video games, manga, and novels, the end always came quickly.\But with shogi, there was never an end, no matter how far I went.\It captivated me to no end.\I lost again!\By second grade, I was beating the adults in the village.\By third grade, I would regularly take a bumpy bus ride response:	to a small shogi training hall in the city.
context: Bishop.\For video games, manga, and novels, the end always came quickly.\But with shogi, there was never an end, no matter how far I went.\It captivated me to no end.\I lost again!\By second grade, I was beating the adults in the village.\By third grade, I would regularly take a bumpy bus ride\to a small shogi training hall in the city. response:	Even there, I climbed up the ranks.
context: For video games, manga, and novels, the end always came quickly.\But with shogi, there was never an end, no matter how far I went.\It captivated me to no end.\I lost again!\By second grade, I was beating the adults in the village.\By third grade, I would regularly take a bumpy bus ride\to a small shogi training hall in the city.\Even there, I climbed up the ranks. response:	- I lost. - Wow.
context: But with shogi, there was never an end, no matter how far I went.\It captivated me to no end.\I lost again!\By second grade, I was beating the adults in the village.\By third grade, I would regularly take a bumpy bus ride\to a small shogi training hall in the city.\Even there, I climbed up the ranks.\- I lost. - Wow. response:	This kid is amazing.
context: It captivated me to no end.\I lost again!\By second grade, I was beating the adults in the village.\By third grade, I would regularly take a bumpy bus ride\to a small shogi training hall in the city.\Even there, I climbed up the ranks.\- I lost. - Wow.\This kid is amazing. response:	Shogi Hall
context: I lost again!\By second grade, I was beating the adults in the village.\By third grade, I would regularly take a bumpy bus ride\to a small shogi training hall in the city.\Even there, I climbed up the ranks.\- I lost. - Wow.\This kid is amazing.\Shogi Hall response:	My teacher from the training hall introduced me to Mr. Ohuchi.
context: By second grade, I was beating the adults in the village.\By third grade, I would regularly take a bumpy bus ride\to a small shogi training hall in the city.\Even there, I climbed up the ranks.\- I lost. - Wow.\This kid is amazing.\Shogi Hall\My teacher from the training hall introduced me to Mr. Ohuchi. response:	I became his student and joined the Tokyo association.
context: By third grade, I would regularly take a bumpy bus ride\to a small shogi training hall in the city.\Even there, I climbed up the ranks.\- I lost. - Wow.\This kid is amazing.\Shogi Hall\My teacher from the training hall introduced me to Mr. Ohuchi.\I became his student and joined the Tokyo association. response:	For a middle-schooler like me, Tokyo was far away.
context: to a small shogi training hall in the city.\Even there, I climbed up the ranks.\- I lost. - Wow.\This kid is amazing.\Shogi Hall\My teacher from the training hall introduced me to Mr. Ohuchi.\I became his student and joined the Tokyo association.\For a middle-schooler like me, Tokyo was far away. response:	In order to get funds for transportation to the association twice a month,
context: Even there, I climbed up the ranks.\- I lost. - Wow.\This kid is amazing.\Shogi Hall\My teacher from the training hall introduced me to Mr. Ohuchi.\I became his student and joined the Tokyo association.\For a middle-schooler like me, Tokyo was far away.\In order to get funds for transportation to the association twice a month, response:	I would pick apples or peaches in the village,
context: - I lost. - Wow.\This kid is amazing.\Shogi Hall\My teacher from the training hall introduced me to Mr. Ohuchi.\I became his student and joined the Tokyo association.\For a middle-schooler like me, Tokyo was far away.\In order to get funds for transportation to the association twice a month,\I would pick apples or peaches in the village, response:	help harvest rice in the fall,
context: This kid is amazing.\Shogi Hall\My teacher from the training hall introduced me to Mr. Ohuchi.\I became his student and joined the Tokyo association.\For a middle-schooler like me, Tokyo was far away.\In order to get funds for transportation to the association twice a month,\I would pick apples or peaches in the village,\help harvest rice in the fall, response:	and take care of cows in the winter.
context: Shogi Hall\My teacher from the training hall introduced me to Mr. Ohuchi.\I became his student and joined the Tokyo association.\For a middle-schooler like me, Tokyo was far away.\In order to get funds for transportation to the association twice a month,\I would pick apples or peaches in the village,\help harvest rice in the fall,\and take care of cows in the winter. response:	Kai is amazing.
context: My teacher from the training hall introduced me to Mr. Ohuchi.\I became his student and joined the Tokyo association.\For a middle-schooler like me, Tokyo was far away.\In order to get funds for transportation to the association twice a month,\I would pick apples or peaches in the village,\help harvest rice in the fall,\and take care of cows in the winter.\Kai is amazing. response:	Maybe we can finally have a master from our village.
context: I became his student and joined the Tokyo association.\For a middle-schooler like me, Tokyo was far away.\In order to get funds for transportation to the association twice a month,\I would pick apples or peaches in the village,\help harvest rice in the fall,\and take care of cows in the winter.\Kai is amazing.\Maybe we can finally have a master from our village. response:	The old men of the village truly supported me.
context: For a middle-schooler like me, Tokyo was far away.\In order to get funds for transportation to the association twice a month,\I would pick apples or peaches in the village,\help harvest rice in the fall,\and take care of cows in the winter.\Kai is amazing.\Maybe we can finally have a master from our village.\The old men of the village truly supported me. response:	Thanks to my hard-earned wages and the encouragement of the old men
context: In order to get funds for transportation to the association twice a month,\I would pick apples or peaches in the village,\help harvest rice in the fall,\and take care of cows in the winter.\Kai is amazing.\Maybe we can finally have a master from our village.\The old men of the village truly supported me.\Thanks to my hard-earned wages and the encouragement of the old men response:	and the local shogi club members,
context: I would pick apples or peaches in the village,\help harvest rice in the fall,\and take care of cows in the winter.\Kai is amazing.\Maybe we can finally have a master from our village.\The old men of the village truly supported me.\Thanks to my hard-earned wages and the encouragement of the old men\and the local shogi club members, response:	I continued going to the association.
context: help harvest rice in the fall,\and take care of cows in the winter.\Kai is amazing.\Maybe we can finally have a master from our village.\The old men of the village truly supported me.\Thanks to my hard-earned wages and the encouragement of the old men\and the local shogi club members,\I continued going to the association. response:	While being jolted by the overnight bus...
context: and take care of cows in the winter.\Kai is amazing.\Maybe we can finally have a master from our village.\The old men of the village truly supported me.\Thanks to my hard-earned wages and the encouragement of the old men\and the local shogi club members,\I continued going to the association.\While being jolted by the overnight bus... response:	From that time, my stomach has been like this.
context: Kai is amazing.\Maybe we can finally have a master from our village.\The old men of the village truly supported me.\Thanks to my hard-earned wages and the encouragement of the old men\and the local shogi club members,\I continued going to the association.\While being jolted by the overnight bus...\From that time, my stomach has been like this. response:	Just like everyone said, the 3rd-dan league was a den of wolves.
context: Maybe we can finally have a master from our village.\The old men of the village truly supported me.\Thanks to my hard-earned wages and the encouragement of the old men\and the local shogi club members,\I continued going to the association.\While being jolted by the overnight bus...\From that time, my stomach has been like this.\Just like everyone said, the 3rd-dan league was a den of wolves. response:	I was stuck there for years.
context: The old men of the village truly supported me.\Thanks to my hard-earned wages and the encouragement of the old men\and the local shogi club members,\I continued going to the association.\While being jolted by the overnight bus...\From that time, my stomach has been like this.\Just like everyone said, the 3rd-dan league was a den of wolves.\I was stuck there for years. response:	The brat who was a genius back home
context: Thanks to my hard-earned wages and the encouragement of the old men\and the local shogi club members,\I continued going to the association.\While being jolted by the overnight bus...\From that time, my stomach has been like this.\Just like everyone said, the 3rd-dan league was a den of wolves.\I was stuck there for years.\The brat who was a genius back home response:	was just one more brat in Tokyo.
context: and the local shogi club members,\I continued going to the association.\While being jolted by the overnight bus...\From that time, my stomach has been like this.\Just like everyone said, the 3rd-dan league was a den of wolves.\I was stuck there for years.\The brat who was a genius back home\was just one more brat in Tokyo. response:	Tokyo-Bound Highway Bus Stop
context: I continued going to the association.\While being jolted by the overnight bus...\From that time, my stomach has been like this.\Just like everyone said, the 3rd-dan league was a den of wolves.\I was stuck there for years.\The brat who was a genius back home\was just one more brat in Tokyo.\Tokyo-Bound Highway Bus Stop response:	Even so, the old men of the village never stopped encouraging me.
context: While being jolted by the overnight bus...\From that time, my stomach has been like this.\Just like everyone said, the 3rd-dan league was a den of wolves.\I was stuck there for years.\The brat who was a genius back home\was just one more brat in Tokyo.\Tokyo-Bound Highway Bus Stop\Even so, the old men of the village never stopped encouraging me. response:	The seat of the overnight bus would creak and squeak.
context: From that time, my stomach has been like this.\Just like everyone said, the 3rd-dan league was a den of wolves.\I was stuck there for years.\The brat who was a genius back home\was just one more brat in Tokyo.\Tokyo-Bound Highway Bus Stop\Even so, the old men of the village never stopped encouraging me.\The seat of the overnight bus would creak and squeak. response:	The road at night went on forever.
context: Just like everyone said, the 3rd-dan league was a den of wolves.\I was stuck there for years.\The brat who was a genius back home\was just one more brat in Tokyo.\Tokyo-Bound Highway Bus Stop\Even so, the old men of the village never stopped encouraging me.\The seat of the overnight bus would creak and squeak.\The road at night went on forever. response:	Eventually, I couldn't tell whether the creaking was the seat, my stomach, or my heart.
context: I was stuck there for years.\The brat who was a genius back home\was just one more brat in Tokyo.\Tokyo-Bound Highway Bus Stop\Even so, the old men of the village never stopped encouraging me.\The seat of the overnight bus would creak and squeak.\The road at night went on forever.\Eventually, I couldn't tell whether the creaking was the seat, my stomach, or my heart. response:	I would have nightmares of riding on and on, but never getting anywhere.
