context: Is this the place that the monk spoke of?! response:	A hair cord...
context: Is this the place that the monk spoke of?!\A hair cord... response:	Kikyo...
context: Is this the place that the monk spoke of?!\A hair cord...\Kikyo... response:	Are you really alive?
context: Is this the place that the monk spoke of?!\A hair cord...\Kikyo...\Are you really alive? response:	Didn't I tell you? When I die, you die!
context: Is this the place that the monk spoke of?!\A hair cord...\Kikyo...\Are you really alive?\Didn't I tell you? When I die, you die! response:	Stop!
context: Is this the place that the monk spoke of?!\A hair cord...\Kikyo...\Are you really alive?\Didn't I tell you? When I die, you die!\Stop! response:	Kikyo!
context: Is this the place that the monk spoke of?!\A hair cord...\Kikyo...\Are you really alive?\Didn't I tell you? When I die, you die!\Stop!\Kikyo! response:	Kikyo!!
context: Is this the place that the monk spoke of?!\A hair cord...\Kikyo...\Are you really alive?\Didn't I tell you? When I die, you die!\Stop!\Kikyo!\Kikyo!! response:	I died hating you.
context: A hair cord...\Kikyo...\Are you really alive?\Didn't I tell you? When I die, you die!\Stop!\Kikyo!\Kikyo!!\I died hating you. response:	And at that moment, my soul became immobile.
context: Kikyo...\Are you really alive?\Didn't I tell you? When I die, you die!\Stop!\Kikyo!\Kikyo!!\I died hating you.\And at that moment, my soul became immobile. response:	As long as you live, I cannot be saved.
context: Are you really alive?\Didn't I tell you? When I die, you die!\Stop!\Kikyo!\Kikyo!!\I died hating you.\And at that moment, my soul became immobile.\As long as you live, I cannot be saved. response:	Is Kikyo asleep?
context: Didn't I tell you? When I die, you die!\Stop!\Kikyo!\Kikyo!!\I died hating you.\And at that moment, my soul became immobile.\As long as you live, I cannot be saved.\Is Kikyo asleep? response:	She seems a bit sad.
context: Stop!\Kikyo!\Kikyo!!\I died hating you.\And at that moment, my soul became immobile.\As long as you live, I cannot be saved.\Is Kikyo asleep?\She seems a bit sad. response:	You were able to break through my barrier?
context: Kikyo!\Kikyo!!\I died hating you.\And at that moment, my soul became immobile.\As long as you live, I cannot be saved.\Is Kikyo asleep?\She seems a bit sad.\You were able to break through my barrier? response:	Barrier?
context: Kikyo!!\I died hating you.\And at that moment, my soul became immobile.\As long as you live, I cannot be saved.\Is Kikyo asleep?\She seems a bit sad.\You were able to break through my barrier?\Barrier? response:	Was there anything like that?
context: I died hating you.\And at that moment, my soul became immobile.\As long as you live, I cannot be saved.\Is Kikyo asleep?\She seems a bit sad.\You were able to break through my barrier?\Barrier?\Was there anything like that? response:	Are you the one who has been luring women's souls away?
context: And at that moment, my soul became immobile.\As long as you live, I cannot be saved.\Is Kikyo asleep?\She seems a bit sad.\You were able to break through my barrier?\Barrier?\Was there anything like that?\Are you the one who has been luring women's souls away? response:	If so, please let them return!
context: As long as you live, I cannot be saved.\Is Kikyo asleep?\She seems a bit sad.\You were able to break through my barrier?\Barrier?\Was there anything like that?\Are you the one who has been luring women's souls away?\If so, please let them return! response:	Isn't he with you?
context: Is Kikyo asleep?\She seems a bit sad.\You were able to break through my barrier?\Barrier?\Was there anything like that?\Are you the one who has been luring women's souls away?\If so, please let them return!\Isn't he with you? response:	Huh?
context: She seems a bit sad.\You were able to break through my barrier?\Barrier?\Was there anything like that?\Are you the one who has been luring women's souls away?\If so, please let them return!\Isn't he with you?\Huh? response:	Inuyasha set out to find you.
context: You were able to break through my barrier?\Barrier?\Was there anything like that?\Are you the one who has been luring women's souls away?\If so, please let them return!\Isn't he with you?\Huh?\Inuyasha set out to find you. response:	I see... Inuyasha is trying to come here.
context: Barrier?\Was there anything like that?\Are you the one who has been luring women's souls away?\If so, please let them return!\Isn't he with you?\Huh?\Inuyasha set out to find you.\I see... Inuyasha is trying to come here. response:	What are you to Inuyasha?
context: Was there anything like that?\Are you the one who has been luring women's souls away?\If so, please let them return!\Isn't he with you?\Huh?\Inuyasha set out to find you.\I see... Inuyasha is trying to come here.\What are you to Inuyasha? response:	Huh?
context: Are you the one who has been luring women's souls away?\If so, please let them return!\Isn't he with you?\Huh?\Inuyasha set out to find you.\I see... Inuyasha is trying to come here.\What are you to Inuyasha?\Huh? response:	My body...can't move!
context: If so, please let them return!\Isn't he with you?\Huh?\Inuyasha set out to find you.\I see... Inuyasha is trying to come here.\What are you to Inuyasha?\Huh?\My body...can't move! response:	You are in the way.
context: Isn't he with you?\Huh?\Inuyasha set out to find you.\I see... Inuyasha is trying to come here.\What are you to Inuyasha?\Huh?\My body...can't move!\You are in the way. response:	T-that's!
context: Huh?\Inuyasha set out to find you.\I see... Inuyasha is trying to come here.\What are you to Inuyasha?\Huh?\My body...can't move!\You are in the way.\T-that's! response:	The demons who were gathering the dead souls!
context: Inuyasha set out to find you.\I see... Inuyasha is trying to come here.\What are you to Inuyasha?\Huh?\My body...can't move!\You are in the way.\T-that's!\The demons who were gathering the dead souls! response:	A barrier...
context: I see... Inuyasha is trying to come here.\What are you to Inuyasha?\Huh?\My body...can't move!\You are in the way.\T-that's!\The demons who were gathering the dead souls!\A barrier... response:	Kikyo is behind this...
context: What are you to Inuyasha?\Huh?\My body...can't move!\You are in the way.\T-that's!\The demons who were gathering the dead souls!\A barrier...\Kikyo is behind this... response:	Kikyo, is it really you?!
context: Huh?\My body...can't move!\You are in the way.\T-that's!\The demons who were gathering the dead souls!\A barrier...\Kikyo is behind this...\Kikyo, is it really you?! response:	I can't move.
context: My body...can't move!\You are in the way.\T-that's!\The demons who were gathering the dead souls!\A barrier...\Kikyo is behind this...\Kikyo, is it really you?!\I can't move. response:	Inuyasha is here.
context: You are in the way.\T-that's!\The demons who were gathering the dead souls!\A barrier...\Kikyo is behind this...\Kikyo, is it really you?!\I can't move.\Inuyasha is here. response:	Not to save you.
context: T-that's!\The demons who were gathering the dead souls!\A barrier...\Kikyo is behind this...\Kikyo, is it really you?!\I can't move.\Inuyasha is here.\Not to save you. response:	He's here to see me.
context: The demons who were gathering the dead souls!\A barrier...\Kikyo is behind this...\Kikyo, is it really you?!\I can't move.\Inuyasha is here.\Not to save you.\He's here to see me. response:	I won't allow any interference.
context: A barrier...\Kikyo is behind this...\Kikyo, is it really you?!\I can't move.\Inuyasha is here.\Not to save you.\He's here to see me.\I won't allow any interference. response:	Interference?
context: Kikyo is behind this...\Kikyo, is it really you?!\I can't move.\Inuyasha is here.\Not to save you.\He's here to see me.\I won't allow any interference.\Interference? response:	You don't still mean to kill Inuyasha?!
context: Kikyo, is it really you?!\I can't move.\Inuyasha is here.\Not to save you.\He's here to see me.\I won't allow any interference.\Interference?\You don't still mean to kill Inuyasha?! response:	No, Kikyo!
context: I can't move.\Inuyasha is here.\Not to save you.\He's here to see me.\I won't allow any interference.\Interference?\You don't still mean to kill Inuyasha?!\No, Kikyo! response:	Someone purposely set you two at odds!
context: Inuyasha is here.\Not to save you.\He's here to see me.\I won't allow any interference.\Interference?\You don't still mean to kill Inuyasha?!\No, Kikyo!\Someone purposely set you two at odds! response:	It wasn't Inuyasha who killed you!
context: Not to save you.\He's here to see me.\I won't allow any interference.\Interference?\You don't still mean to kill Inuyasha?!\No, Kikyo!\Someone purposely set you two at odds!\It wasn't Inuyasha who killed you! response:	You look as though you expect me to be happy.
context: He's here to see me.\I won't allow any interference.\Interference?\You don't still mean to kill Inuyasha?!\No, Kikyo!\Someone purposely set you two at odds!\It wasn't Inuyasha who killed you!\You look as though you expect me to be happy. response:	Huh?
context: I won't allow any interference.\Interference?\You don't still mean to kill Inuyasha?!\No, Kikyo!\Someone purposely set you two at odds!\It wasn't Inuyasha who killed you!\You look as though you expect me to be happy.\Huh? response:	The one who caused my death...
context: Interference?\You don't still mean to kill Inuyasha?!\No, Kikyo!\Someone purposely set you two at odds!\It wasn't Inuyasha who killed you!\You look as though you expect me to be happy.\Huh?\The one who caused my death... response:	If that person dies, will I be resurrected?
context: You don't still mean to kill Inuyasha?!\No, Kikyo!\Someone purposely set you two at odds!\It wasn't Inuyasha who killed you!\You look as though you expect me to be happy.\Huh?\The one who caused my death...\If that person dies, will I be resurrected? response:	T-that's...
context: No, Kikyo!\Someone purposely set you two at odds!\It wasn't Inuyasha who killed you!\You look as though you expect me to be happy.\Huh?\The one who caused my death...\If that person dies, will I be resurrected?\T-that's... response:	The dead wish for one thing...
context: Someone purposely set you two at odds!\It wasn't Inuyasha who killed you!\You look as though you expect me to be happy.\Huh?\The one who caused my death...\If that person dies, will I be resurrected?\T-that's...\The dead wish for one thing... response:	To live once more.
context: It wasn't Inuyasha who killed you!\You look as though you expect me to be happy.\Huh?\The one who caused my death...\If that person dies, will I be resurrected?\T-that's...\The dead wish for one thing...\To live once more. response:	However, the dead can wish for one thing which can come true.
context: You look as though you expect me to be happy.\Huh?\The one who caused my death...\If that person dies, will I be resurrected?\T-that's...\The dead wish for one thing...\To live once more.\However, the dead can wish for one thing which can come true. response:	I want to steal his heart...
context: Huh?\The one who caused my death...\If that person dies, will I be resurrected?\T-that's...\The dead wish for one thing...\To live once more.\However, the dead can wish for one thing which can come true.\I want to steal his heart... response:	from the one I will never forgive if he dares to forget me.
context: The one who caused my death...\If that person dies, will I be resurrected?\T-that's...\The dead wish for one thing...\To live once more.\However, the dead can wish for one thing which can come true.\I want to steal his heart...\from the one I will never forgive if he dares to forget me. response:	Never forgive if he forgets you?
context: If that person dies, will I be resurrected?\T-that's...\The dead wish for one thing...\To live once more.\However, the dead can wish for one thing which can come true.\I want to steal his heart...\from the one I will never forgive if he dares to forget me.\Never forgive if he forgets you? response:	Do you mean Inuyasha?
context: T-that's...\The dead wish for one thing...\To live once more.\However, the dead can wish for one thing which can come true.\I want to steal his heart...\from the one I will never forgive if he dares to forget me.\Never forgive if he forgets you?\Do you mean Inuyasha? response:	He wishes for my death.
context: The dead wish for one thing...\To live once more.\However, the dead can wish for one thing which can come true.\I want to steal his heart...\from the one I will never forgive if he dares to forget me.\Never forgive if he forgets you?\Do you mean Inuyasha?\He wishes for my death. response:	That is good.
context: To live once more.\However, the dead can wish for one thing which can come true.\I want to steal his heart...\from the one I will never forgive if he dares to forget me.\Never forgive if he forgets you?\Do you mean Inuyasha?\He wishes for my death.\That is good. response:	That means he has regrets about our fight.
context: However, the dead can wish for one thing which can come true.\I want to steal his heart...\from the one I will never forgive if he dares to forget me.\Never forgive if he forgets you?\Do you mean Inuyasha?\He wishes for my death.\That is good.\That means he has regrets about our fight. response:	Regret all he wants.
