context: Ladies and gentlemen, good evening. response:	On that stormy day that announced the end of spring,
context: Ladies and gentlemen, good evening.\On that stormy day that announced the end of spring, response:	I tremble in silence at these emotions which leak out...
context: Ladies and gentlemen, good evening.\On that stormy day that announced the end of spring,\I tremble in silence at these emotions which leak out... response:	This must be your guest.
context: Ladies and gentlemen, good evening.\On that stormy day that announced the end of spring,\I tremble in silence at these emotions which leak out...\This must be your guest. response:	Count, if you don't mind, I'd like you to join us for dinner after you've met my parents.
context: Ladies and gentlemen, good evening.\On that stormy day that announced the end of spring,\I tremble in silence at these emotions which leak out...\This must be your guest.\Count, if you don't mind, I'd like you to join us for dinner after you've met my parents. response:	Count?
context: Ladies and gentlemen, good evening.\On that stormy day that announced the end of spring,\I tremble in silence at these emotions which leak out...\This must be your guest.\Count, if you don't mind, I'd like you to join us for dinner after you've met my parents.\Count? response:	If it is not too much trouble.
context: Ladies and gentlemen, good evening.\On that stormy day that announced the end of spring,\I tremble in silence at these emotions which leak out...\This must be your guest.\Count, if you don't mind, I'd like you to join us for dinner after you've met my parents.\Count?\If it is not too much trouble. response:	Please do. After all, we owe you our son's life.
context: Ladies and gentlemen, good evening.\On that stormy day that announced the end of spring,\I tremble in silence at these emotions which leak out...\This must be your guest.\Count, if you don't mind, I'd like you to join us for dinner after you've met my parents.\Count?\If it is not too much trouble.\Please do. After all, we owe you our son's life. response:	Act 4: A Mother's Secrets
context: On that stormy day that announced the end of spring,\I tremble in silence at these emotions which leak out...\This must be your guest.\Count, if you don't mind, I'd like you to join us for dinner after you've met my parents.\Count?\If it is not too much trouble.\Please do. After all, we owe you our son's life.\Act 4: A Mother's Secrets response:	To our new friend, the Count of Monte Cristo.
context: I tremble in silence at these emotions which leak out...\This must be your guest.\Count, if you don't mind, I'd like you to join us for dinner after you've met my parents.\Count?\If it is not too much trouble.\Please do. After all, we owe you our son's life.\Act 4: A Mother's Secrets\To our new friend, the Count of Monte Cristo. response:	Oh, is that so?
context: This must be your guest.\Count, if you don't mind, I'd like you to join us for dinner after you've met my parents.\Count?\If it is not too much trouble.\Please do. After all, we owe you our son's life.\Act 4: A Mother's Secrets\To our new friend, the Count of Monte Cristo.\Oh, is that so? response:	I'm embarrassed that you know of the Janina campaign.
context: Count, if you don't mind, I'd like you to join us for dinner after you've met my parents.\Count?\If it is not too much trouble.\Please do. After all, we owe you our son's life.\Act 4: A Mother's Secrets\To our new friend, the Count of Monte Cristo.\Oh, is that so?\I'm embarrassed that you know of the Janina campaign. response:	The people praise me as a hero,
context: Count?\If it is not too much trouble.\Please do. After all, we owe you our son's life.\Act 4: A Mother's Secrets\To our new friend, the Count of Monte Cristo.\Oh, is that so?\I'm embarrassed that you know of the Janina campaign.\The people praise me as a hero, response:	After all, nothing good ever results from destruction.
context: If it is not too much trouble.\Please do. After all, we owe you our son's life.\Act 4: A Mother's Secrets\To our new friend, the Count of Monte Cristo.\Oh, is that so?\I'm embarrassed that you know of the Janina campaign.\The people praise me as a hero,\After all, nothing good ever results from destruction. response:	No, these idyllic times in which we live were built on the back of sacrifice.
context: Please do. After all, we owe you our son's life.\Act 4: A Mother's Secrets\To our new friend, the Count of Monte Cristo.\Oh, is that so?\I'm embarrassed that you know of the Janina campaign.\The people praise me as a hero,\After all, nothing good ever results from destruction.\No, these idyllic times in which we live were built on the back of sacrifice. response:	Such is my opinion, at any rate.
context: Act 4: A Mother's Secrets\To our new friend, the Count of Monte Cristo.\Oh, is that so?\I'm embarrassed that you know of the Janina campaign.\The people praise me as a hero,\After all, nothing good ever results from destruction.\No, these idyllic times in which we live were built on the back of sacrifice.\Such is my opinion, at any rate. response:	I expect that the far corners of the galaxy are echoing...
context: To our new friend, the Count of Monte Cristo.\Oh, is that so?\I'm embarrassed that you know of the Janina campaign.\The people praise me as a hero,\After all, nothing good ever results from destruction.\No, these idyllic times in which we live were built on the back of sacrifice.\Such is my opinion, at any rate.\I expect that the far corners of the galaxy are echoing... response:	You honor me by saying so.
context: Oh, is that so?\I'm embarrassed that you know of the Janina campaign.\The people praise me as a hero,\After all, nothing good ever results from destruction.\No, these idyllic times in which we live were built on the back of sacrifice.\Such is my opinion, at any rate.\I expect that the far corners of the galaxy are echoing...\You honor me by saying so. response:	Oh, dear, the food wasn't to your liking?
context: I'm embarrassed that you know of the Janina campaign.\The people praise me as a hero,\After all, nothing good ever results from destruction.\No, these idyllic times in which we live were built on the back of sacrifice.\Such is my opinion, at any rate.\I expect that the far corners of the galaxy are echoing...\You honor me by saying so.\Oh, dear, the food wasn't to your liking? response:	Not at all. Please, think nothing of it.
context: The people praise me as a hero,\After all, nothing good ever results from destruction.\No, these idyllic times in which we live were built on the back of sacrifice.\Such is my opinion, at any rate.\I expect that the far corners of the galaxy are echoing...\You honor me by saying so.\Oh, dear, the food wasn't to your liking?\Not at all. Please, think nothing of it. response:	I am in the habit of eating very little.
context: After all, nothing good ever results from destruction.\No, these idyllic times in which we live were built on the back of sacrifice.\Such is my opinion, at any rate.\I expect that the far corners of the galaxy are echoing...\You honor me by saying so.\Oh, dear, the food wasn't to your liking?\Not at all. Please, think nothing of it.\I am in the habit of eating very little. response:	I can't say that I don't understand how you feel.
context: No, these idyllic times in which we live were built on the back of sacrifice.\Such is my opinion, at any rate.\I expect that the far corners of the galaxy are echoing...\You honor me by saying so.\Oh, dear, the food wasn't to your liking?\Not at all. Please, think nothing of it.\I am in the habit of eating very little.\I can't say that I don't understand how you feel. response:	Having advanced in years, I find myself weary of extravagant meals such as this.
context: Such is my opinion, at any rate.\I expect that the far corners of the galaxy are echoing...\You honor me by saying so.\Oh, dear, the food wasn't to your liking?\Not at all. Please, think nothing of it.\I am in the habit of eating very little.\I can't say that I don't understand how you feel.\Having advanced in years, I find myself weary of extravagant meals such as this. response:	In my case, I find lately that I seldom sleep, either.
context: I expect that the far corners of the galaxy are echoing...\You honor me by saying so.\Oh, dear, the food wasn't to your liking?\Not at all. Please, think nothing of it.\I am in the habit of eating very little.\I can't say that I don't understand how you feel.\Having advanced in years, I find myself weary of extravagant meals such as this.\In my case, I find lately that I seldom sleep, either. response:	I'm amazed that you've managed to stay healthy.
context: You honor me by saying so.\Oh, dear, the food wasn't to your liking?\Not at all. Please, think nothing of it.\I am in the habit of eating very little.\I can't say that I don't understand how you feel.\Having advanced in years, I find myself weary of extravagant meals such as this.\In my case, I find lately that I seldom sleep, either.\I'm amazed that you've managed to stay healthy. response:	It is because of these.
context: Oh, dear, the food wasn't to your liking?\Not at all. Please, think nothing of it.\I am in the habit of eating very little.\I can't say that I don't understand how you feel.\Having advanced in years, I find myself weary of extravagant meals such as this.\In my case, I find lately that I seldom sleep, either.\I'm amazed that you've managed to stay healthy.\It is because of these. response:	Are they some sort of space rations?
context: Not at all. Please, think nothing of it.\I am in the habit of eating very little.\I can't say that I don't understand how you feel.\Having advanced in years, I find myself weary of extravagant meals such as this.\In my case, I find lately that I seldom sleep, either.\I'm amazed that you've managed to stay healthy.\It is because of these.\Are they some sort of space rations? response:	In the course of wandering the sea of stars for so long,
context: I am in the habit of eating very little.\I can't say that I don't understand how you feel.\Having advanced in years, I find myself weary of extravagant meals such as this.\In my case, I find lately that I seldom sleep, either.\I'm amazed that you've managed to stay healthy.\It is because of these.\Are they some sort of space rations?\In the course of wandering the sea of stars for so long, response:	Even so, I hope that you would at least eat something...
context: I can't say that I don't understand how you feel.\Having advanced in years, I find myself weary of extravagant meals such as this.\In my case, I find lately that I seldom sleep, either.\I'm amazed that you've managed to stay healthy.\It is because of these.\Are they some sort of space rations?\In the course of wandering the sea of stars for so long,\Even so, I hope that you would at least eat something... response:	The thought of neither sleeping nor eating is too sad to bear.
context: Having advanced in years, I find myself weary of extravagant meals such as this.\In my case, I find lately that I seldom sleep, either.\I'm amazed that you've managed to stay healthy.\It is because of these.\Are they some sort of space rations?\In the course of wandering the sea of stars for so long,\Even so, I hope that you would at least eat something...\The thought of neither sleeping nor eating is too sad to bear. response:	Too sad to bear?
context: In my case, I find lately that I seldom sleep, either.\I'm amazed that you've managed to stay healthy.\It is because of these.\Are they some sort of space rations?\In the course of wandering the sea of stars for so long,\Even so, I hope that you would at least eat something...\The thought of neither sleeping nor eating is too sad to bear.\Too sad to bear? response:	Very well, then.
