context: I haven't seen you here in a while. response:	That will be normal until the plan to
context: I haven't seen you here in a while.\That will be normal until the plan to response:	increase AHSMB production is under way.
context: I haven't seen you here in a while.\That will be normal until the plan to\increase AHSMB production is under way. response:	Now then, how is Black 6 doing?
context: I haven't seen you here in a while.\That will be normal until the plan to\increase AHSMB production is under way.\Now then, how is Black 6 doing? response:	Display my battle report.
context: I haven't seen you here in a while.\That will be normal until the plan to\increase AHSMB production is under way.\Now then, how is Black 6 doing?\Display my battle report. response:	High battle capacity, but lacks cooperation.
context: I haven't seen you here in a while.\That will be normal until the plan to\increase AHSMB production is under way.\Now then, how is Black 6 doing?\Display my battle report.\High battle capacity, but lacks cooperation. response:	Right.
context: I haven't seen you here in a while.\That will be normal until the plan to\increase AHSMB production is under way.\Now then, how is Black 6 doing?\Display my battle report.\High battle capacity, but lacks cooperation.\Right. response:	It's a common trait in most of the Cosmopolitan Academy students.
context: I haven't seen you here in a while.\That will be normal until the plan to\increase AHSMB production is under way.\Now then, how is Black 6 doing?\Display my battle report.\High battle capacity, but lacks cooperation.\Right.\It's a common trait in most of the Cosmopolitan Academy students. response:	They are skilled and fully realize their elite status.
context: That will be normal until the plan to\increase AHSMB production is under way.\Now then, how is Black 6 doing?\Display my battle report.\High battle capacity, but lacks cooperation.\Right.\It's a common trait in most of the Cosmopolitan Academy students.\They are skilled and fully realize their elite status. response:	They refuse to cooperate with others,
context: increase AHSMB production is under way.\Now then, how is Black 6 doing?\Display my battle report.\High battle capacity, but lacks cooperation.\Right.\It's a common trait in most of the Cosmopolitan Academy students.\They are skilled and fully realize their elite status.\They refuse to cooperate with others, response:	tending to look down on them instead.
context: Now then, how is Black 6 doing?\Display my battle report.\High battle capacity, but lacks cooperation.\Right.\It's a common trait in most of the Cosmopolitan Academy students.\They are skilled and fully realize their elite status.\They refuse to cooperate with others,\tending to look down on them instead. response:	Right... Individually, they may be excellent warriors,
context: Display my battle report.\High battle capacity, but lacks cooperation.\Right.\It's a common trait in most of the Cosmopolitan Academy students.\They are skilled and fully realize their elite status.\They refuse to cooperate with others,\tending to look down on them instead.\Right... Individually, they may be excellent warriors, response:	but they are unfit for an army.
context: High battle capacity, but lacks cooperation.\Right.\It's a common trait in most of the Cosmopolitan Academy students.\They are skilled and fully realize their elite status.\They refuse to cooperate with others,\tending to look down on them instead.\Right... Individually, they may be excellent warriors,\but they are unfit for an army. response:	Didn't you argue that we should put more
context: Right.\It's a common trait in most of the Cosmopolitan Academy students.\They are skilled and fully realize their elite status.\They refuse to cooperate with others,\tending to look down on them instead.\Right... Individually, they may be excellent warriors,\but they are unfit for an army.\Didn't you argue that we should put more response:	emphasis on teamwork, even if it meant a slight drop
context: It's a common trait in most of the Cosmopolitan Academy students.\They are skilled and fully realize their elite status.\They refuse to cooperate with others,\tending to look down on them instead.\Right... Individually, they may be excellent warriors,\but they are unfit for an army.\Didn't you argue that we should put more\emphasis on teamwork, even if it meant a slight drop response:	in their specs, rather than pursue individual aptitude?
context: They are skilled and fully realize their elite status.\They refuse to cooperate with others,\tending to look down on them instead.\Right... Individually, they may be excellent warriors,\but they are unfit for an army.\Didn't you argue that we should put more\emphasis on teamwork, even if it meant a slight drop\in their specs, rather than pursue individual aptitude? response:	In a battle that relies on one hero,
context: They refuse to cooperate with others,\tending to look down on them instead.\Right... Individually, they may be excellent warriors,\but they are unfit for an army.\Didn't you argue that we should put more\emphasis on teamwork, even if it meant a slight drop\in their specs, rather than pursue individual aptitude?\In a battle that relies on one hero, response:	the front will fall apart if we lose that hero.
context: tending to look down on them instead.\Right... Individually, they may be excellent warriors,\but they are unfit for an army.\Didn't you argue that we should put more\emphasis on teamwork, even if it meant a slight drop\in their specs, rather than pursue individual aptitude?\In a battle that relies on one hero,\the front will fall apart if we lose that hero. response:	But in the upcoming final battle...
context: Right... Individually, they may be excellent warriors,\but they are unfit for an army.\Didn't you argue that we should put more\emphasis on teamwork, even if it meant a slight drop\in their specs, rather than pursue individual aptitude?\In a battle that relies on one hero,\the front will fall apart if we lose that hero.\But in the upcoming final battle... response:	This happened sooner than expected.
context: but they are unfit for an army.\Didn't you argue that we should put more\emphasis on teamwork, even if it meant a slight drop\in their specs, rather than pursue individual aptitude?\In a battle that relies on one hero,\the front will fall apart if we lose that hero.\But in the upcoming final battle...\This happened sooner than expected. response:	What did?
context: Didn't you argue that we should put more\emphasis on teamwork, even if it meant a slight drop\in their specs, rather than pursue individual aptitude?\In a battle that relies on one hero,\the front will fall apart if we lose that hero.\But in the upcoming final battle...\This happened sooner than expected.\What did? response:	The JURIA-System drastically boosts
context: emphasis on teamwork, even if it meant a slight drop\in their specs, rather than pursue individual aptitude?\In a battle that relies on one hero,\the front will fall apart if we lose that hero.\But in the upcoming final battle...\This happened sooner than expected.\What did?\The JURIA-System drastically boosts response:	the pilot's affinity with his AHSMB unit.
context: in their specs, rather than pursue individual aptitude?\In a battle that relies on one hero,\the front will fall apart if we lose that hero.\But in the upcoming final battle...\This happened sooner than expected.\What did?\The JURIA-System drastically boosts\the pilot's affinity with his AHSMB unit. response:	You're aware of this, aren't you?
context: In a battle that relies on one hero,\the front will fall apart if we lose that hero.\But in the upcoming final battle...\This happened sooner than expected.\What did?\The JURIA-System drastically boosts\the pilot's affinity with his AHSMB unit.\You're aware of this, aren't you? response:	I am...
context: the front will fall apart if we lose that hero.\But in the upcoming final battle...\This happened sooner than expected.\What did?\The JURIA-System drastically boosts\the pilot's affinity with his AHSMB unit.\You're aware of this, aren't you?\I am... response:	There is a reason for that.
context: But in the upcoming final battle...\This happened sooner than expected.\What did?\The JURIA-System drastically boosts\the pilot's affinity with his AHSMB unit.\You're aware of this, aren't you?\I am...\There is a reason for that. response:	The AHSMB and pilot are created from the same DNA.
context: This happened sooner than expected.\What did?\The JURIA-System drastically boosts\the pilot's affinity with his AHSMB unit.\You're aware of this, aren't you?\I am...\There is a reason for that.\The AHSMB and pilot are created from the same DNA. response:	AHSMB have minds of their own!
context: What did?\The JURIA-System drastically boosts\the pilot's affinity with his AHSMB unit.\You're aware of this, aren't you?\I am...\There is a reason for that.\The AHSMB and pilot are created from the same DNA.\AHSMB have minds of their own! response:	That's ridiculous!
context: The JURIA-System drastically boosts\the pilot's affinity with his AHSMB unit.\You're aware of this, aren't you?\I am...\There is a reason for that.\The AHSMB and pilot are created from the same DNA.\AHSMB have minds of their own!\That's ridiculous! response:	When an AHSMB unit awakens, in the worst case scenario,
context: the pilot's affinity with his AHSMB unit.\You're aware of this, aren't you?\I am...\There is a reason for that.\The AHSMB and pilot are created from the same DNA.\AHSMB have minds of their own!\That's ridiculous!\When an AHSMB unit awakens, in the worst case scenario, response:	it could potentially eradicate the pilot's personality.
context: You're aware of this, aren't you?\I am...\There is a reason for that.\The AHSMB and pilot are created from the same DNA.\AHSMB have minds of their own!\That's ridiculous!\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality. response:	The units are that dangerous...?
context: I am...\There is a reason for that.\The AHSMB and pilot are created from the same DNA.\AHSMB have minds of their own!\That's ridiculous!\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\The units are that dangerous...? response:	We have obtained none other than Prometheus' fire.
context: There is a reason for that.\The AHSMB and pilot are created from the same DNA.\AHSMB have minds of their own!\That's ridiculous!\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\The units are that dangerous...?\We have obtained none other than Prometheus' fire. response:	I wonder if we should boost its precision.
context: The AHSMB and pilot are created from the same DNA.\AHSMB have minds of their own!\That's ridiculous!\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\The units are that dangerous...?\We have obtained none other than Prometheus' fire.\I wonder if we should boost its precision. response:	He busted it up pretty bad yet again.
context: AHSMB have minds of their own!\That's ridiculous!\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\The units are that dangerous...?\We have obtained none other than Prometheus' fire.\I wonder if we should boost its precision.\He busted it up pretty bad yet again. response:	We'll lend a hand, so let's hurry and fix it up.
context: That's ridiculous!\When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\The units are that dangerous...?\We have obtained none other than Prometheus' fire.\I wonder if we should boost its precision.\He busted it up pretty bad yet again.\We'll lend a hand, so let's hurry and fix it up. response:	Our AHSMB just needed some basic maintenance.
context: When an AHSMB unit awakens, in the worst case scenario,\it could potentially eradicate the pilot's personality.\The units are that dangerous...?\We have obtained none other than Prometheus' fire.\I wonder if we should boost its precision.\He busted it up pretty bad yet again.\We'll lend a hand, so let's hurry and fix it up.\Our AHSMB just needed some basic maintenance. response:	Thank you!
context: it could potentially eradicate the pilot's personality.\The units are that dangerous...?\We have obtained none other than Prometheus' fire.\I wonder if we should boost its precision.\He busted it up pretty bad yet again.\We'll lend a hand, so let's hurry and fix it up.\Our AHSMB just needed some basic maintenance.\Thank you! response:	With such a strong forward,
context: The units are that dangerous...?\We have obtained none other than Prometheus' fire.\I wonder if we should boost its precision.\He busted it up pretty bad yet again.\We'll lend a hand, so let's hurry and fix it up.\Our AHSMB just needed some basic maintenance.\Thank you!\With such a strong forward, response:	we don't have to worry about our support unit!
context: We have obtained none other than Prometheus' fire.\I wonder if we should boost its precision.\He busted it up pretty bad yet again.\We'll lend a hand, so let's hurry and fix it up.\Our AHSMB just needed some basic maintenance.\Thank you!\With such a strong forward,\we don't have to worry about our support unit! response:	True enough!
context: I wonder if we should boost its precision.\He busted it up pretty bad yet again.\We'll lend a hand, so let's hurry and fix it up.\Our AHSMB just needed some basic maintenance.\Thank you!\With such a strong forward,\we don't have to worry about our support unit!\True enough! response:	It'd be pretty bad if the support unit got banged up.
context: He busted it up pretty bad yet again.\We'll lend a hand, so let's hurry and fix it up.\Our AHSMB just needed some basic maintenance.\Thank you!\With such a strong forward,\we don't have to worry about our support unit!\True enough!\It'd be pretty bad if the support unit got banged up. response:	Oh, you're here?
