context: It's so peaceful. response:	I'll say... All the battles we go through seem like a dream.
context: It's so peaceful.\I'll say... All the battles we go through seem like a dream. response:	Huh?
context: It's so peaceful.\I'll say... All the battles we go through seem like a dream.\Huh? response:	I sense the Sacred Jewel.
context: It's so peaceful.\I'll say... All the battles we go through seem like a dream.\Huh?\I sense the Sacred Jewel. response:	What?!
context: It's so peaceful.\I'll say... All the battles we go through seem like a dream.\Huh?\I sense the Sacred Jewel.\What?! response:	And it's getting closer!
context: It's so peaceful.\I'll say... All the battles we go through seem like a dream.\Huh?\I sense the Sacred Jewel.\What?!\And it's getting closer! response:	Hi!
context: It's so peaceful.\I'll say... All the battles we go through seem like a dream.\Huh?\I sense the Sacred Jewel.\What?!\And it's getting closer!\Hi! response:	Koga!
context: It's so peaceful.\I'll say... All the battles we go through seem like a dream.\Huh?\I sense the Sacred Jewel.\What?!\And it's getting closer!\Hi!\Koga! response:	I caught your scent, Kagome, and came to see you.
context: I'll say... All the battles we go through seem like a dream.\Huh?\I sense the Sacred Jewel.\What?!\And it's getting closer!\Hi!\Koga!\I caught your scent, Kagome, and came to see you. response:	How've you been?
context: Huh?\I sense the Sacred Jewel.\What?!\And it's getting closer!\Hi!\Koga!\I caught your scent, Kagome, and came to see you.\How've you been? response:	Whaddya want, wolf cub?
context: I sense the Sacred Jewel.\What?!\And it's getting closer!\Hi!\Koga!\I caught your scent, Kagome, and came to see you.\How've you been?\Whaddya want, wolf cub? response:	Inuyasha, don't pick a fight.
context: What?!\And it's getting closer!\Hi!\Koga!\I caught your scent, Kagome, and came to see you.\How've you been?\Whaddya want, wolf cub?\Inuyasha, don't pick a fight. response:	Shaddup... depending on the way it goes, I'll kill'im!
context: And it's getting closer!\Hi!\Koga!\I caught your scent, Kagome, and came to see you.\How've you been?\Whaddya want, wolf cub?\Inuyasha, don't pick a fight.\Shaddup... depending on the way it goes, I'll kill'im! response:	Every time I see you, you're always so angry and arrogant.
context: Hi!\Koga!\I caught your scent, Kagome, and came to see you.\How've you been?\Whaddya want, wolf cub?\Inuyasha, don't pick a fight.\Shaddup... depending on the way it goes, I'll kill'im!\Every time I see you, you're always so angry and arrogant. response:	Kagome, don't you get tired with a guy like him?
context: Koga!\I caught your scent, Kagome, and came to see you.\How've you been?\Whaddya want, wolf cub?\Inuyasha, don't pick a fight.\Shaddup... depending on the way it goes, I'll kill'im!\Every time I see you, you're always so angry and arrogant.\Kagome, don't you get tired with a guy like him? response:	- Hey... - Why you...
context: I caught your scent, Kagome, and came to see you.\How've you been?\Whaddya want, wolf cub?\Inuyasha, don't pick a fight.\Shaddup... depending on the way it goes, I'll kill'im!\Every time I see you, you're always so angry and arrogant.\Kagome, don't you get tired with a guy like him?\- Hey... - Why you... response:	Hey, Koga!
context: How've you been?\Whaddya want, wolf cub?\Inuyasha, don't pick a fight.\Shaddup... depending on the way it goes, I'll kill'im!\Every time I see you, you're always so angry and arrogant.\Kagome, don't you get tired with a guy like him?\- Hey... - Why you...\Hey, Koga! response:	Don't be rude!
context: Whaddya want, wolf cub?\Inuyasha, don't pick a fight.\Shaddup... depending on the way it goes, I'll kill'im!\Every time I see you, you're always so angry and arrogant.\Kagome, don't you get tired with a guy like him?\- Hey... - Why you...\Hey, Koga!\Don't be rude! response:	Inuyasha is just nervous, thinking you'll steal Kagome away from him.
context: Inuyasha, don't pick a fight.\Shaddup... depending on the way it goes, I'll kill'im!\Every time I see you, you're always so angry and arrogant.\Kagome, don't you get tired with a guy like him?\- Hey... - Why you...\Hey, Koga!\Don't be rude!\Inuyasha is just nervous, thinking you'll steal Kagome away from him. response:	If you think he's always like this, you're wrong...
context: Shaddup... depending on the way it goes, I'll kill'im!\Every time I see you, you're always so angry and arrogant.\Kagome, don't you get tired with a guy like him?\- Hey... - Why you...\Hey, Koga!\Don't be rude!\Inuyasha is just nervous, thinking you'll steal Kagome away from him.\If you think he's always like this, you're wrong... response:	Shippo. Wrong thing to say.
context: Every time I see you, you're always so angry and arrogant.\Kagome, don't you get tired with a guy like him?\- Hey... - Why you...\Hey, Koga!\Don't be rude!\Inuyasha is just nervous, thinking you'll steal Kagome away from him.\If you think he's always like this, you're wrong...\Shippo. Wrong thing to say. response:	You're really wound up tight, huh?
