context: Trying to get energy from lovers is unfair! response:	What about the poor girls who don't have boyfriends?!
context: Trying to get energy from lovers is unfair!\What about the poor girls who don't have boyfriends?! response:	In the name of the moon, Sailor Moon will punish you!
context: Trying to get energy from lovers is unfair!\What about the poor girls who don't have boyfriends?!\In the name of the moon, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: Trying to get energy from lovers is unfair!\What about the poor girls who don't have boyfriends?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: Trying to get energy from lovers is unfair!\What about the poor girls who don't have boyfriends?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: Trying to get energy from lovers is unfair!\What about the poor girls who don't have boyfriends?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: Trying to get energy from lovers is unfair!\What about the poor girls who don't have boyfriends?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: Trying to get energy from lovers is unfair!\What about the poor girls who don't have boyfriends?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: What about the poor girls who don't have boyfriends?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade. response:	I'm clumsier than others
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others response:	and a bit of a crybaby. That's about it.
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it. response:	One day, a strange black cat, Luna, appeared
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared response:	and gave me a peculiar transforming brooch
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch response:	and made me a sailor warrior.
