context: You're... response:	Avrora?
context: You're...\Avrora? response:	Senpai, what's wrong?
context: You're...\Avrora?\Senpai, what's wrong? response:	Ah, it's nothing.
context: You're...\Avrora?\Senpai, what's wrong?\Ah, it's nothing. response:	Come on, Kojou-kun.
context: You're...\Avrora?\Senpai, what's wrong?\Ah, it's nothing.\Come on, Kojou-kun. response:	You can't stare at December-san like that just because she's pretty!
context: You're...\Avrora?\Senpai, what's wrong?\Ah, it's nothing.\Come on, Kojou-kun.\You can't stare at December-san like that just because she's pretty! response:	It's not like that.
context: You're...\Avrora?\Senpai, what's wrong?\Ah, it's nothing.\Come on, Kojou-kun.\You can't stare at December-san like that just because she's pretty!\It's not like that. response:	It looks like my sister caused some trouble for you. Sorry about that.
context: You're...\Avrora?\Senpai, what's wrong?\Ah, it's nothing.\Come on, Kojou-kun.\You can't stare at December-san like that just because she's pretty!\It's not like that.\It looks like my sister caused some trouble for you. Sorry about that. response:	It's fine.
context: Avrora?\Senpai, what's wrong?\Ah, it's nothing.\Come on, Kojou-kun.\You can't stare at December-san like that just because she's pretty!\It's not like that.\It looks like my sister caused some trouble for you. Sorry about that.\It's fine. response:	If it's for a cute girl's sake, I'm more than happy to lend a hand.
context: Senpai, what's wrong?\Ah, it's nothing.\Come on, Kojou-kun.\You can't stare at December-san like that just because she's pretty!\It's not like that.\It looks like my sister caused some trouble for you. Sorry about that.\It's fine.\If it's for a cute girl's sake, I'm more than happy to lend a hand. response:	It's so peaceful, isn't it?
context: Ah, it's nothing.\Come on, Kojou-kun.\You can't stare at December-san like that just because she's pretty!\It's not like that.\It looks like my sister caused some trouble for you. Sorry about that.\It's fine.\If it's for a cute girl's sake, I'm more than happy to lend a hand.\It's so peaceful, isn't it? response:	Even though terrorists set off an explosion, the shops are still selling food as usual.
context: Come on, Kojou-kun.\You can't stare at December-san like that just because she's pretty!\It's not like that.\It looks like my sister caused some trouble for you. Sorry about that.\It's fine.\If it's for a cute girl's sake, I'm more than happy to lend a hand.\It's so peaceful, isn't it?\Even though terrorists set off an explosion, the shops are still selling food as usual. response:	And there are people who eat that food.
context: You can't stare at December-san like that just because she's pretty!\It's not like that.\It looks like my sister caused some trouble for you. Sorry about that.\It's fine.\If it's for a cute girl's sake, I'm more than happy to lend a hand.\It's so peaceful, isn't it?\Even though terrorists set off an explosion, the shops are still selling food as usual.\And there are people who eat that food. response:	I feel that food is directly linked to peace.
context: It's not like that.\It looks like my sister caused some trouble for you. Sorry about that.\It's fine.\If it's for a cute girl's sake, I'm more than happy to lend a hand.\It's so peaceful, isn't it?\Even though terrorists set off an explosion, the shops are still selling food as usual.\And there are people who eat that food.\I feel that food is directly linked to peace. response:	Don't you think so?
context: It looks like my sister caused some trouble for you. Sorry about that.\It's fine.\If it's for a cute girl's sake, I'm more than happy to lend a hand.\It's so peaceful, isn't it?\Even though terrorists set off an explosion, the shops are still selling food as usual.\And there are people who eat that food.\I feel that food is directly linked to peace.\Don't you think so? response:	Yeah...
context: It's fine.\If it's for a cute girl's sake, I'm more than happy to lend a hand.\It's so peaceful, isn't it?\Even though terrorists set off an explosion, the shops are still selling food as usual.\And there are people who eat that food.\I feel that food is directly linked to peace.\Don't you think so?\Yeah... response:	Bye, Nagisa-chan.
context: If it's for a cute girl's sake, I'm more than happy to lend a hand.\It's so peaceful, isn't it?\Even though terrorists set off an explosion, the shops are still selling food as usual.\And there are people who eat that food.\I feel that food is directly linked to peace.\Don't you think so?\Yeah...\Bye, Nagisa-chan. response:	You too, Kojou-kun. Bye bye.
context: It's so peaceful, isn't it?\Even though terrorists set off an explosion, the shops are still selling food as usual.\And there are people who eat that food.\I feel that food is directly linked to peace.\Don't you think so?\Yeah...\Bye, Nagisa-chan.\You too, Kojou-kun. Bye bye. response:	Ah, Kojou-kun. What about the milk?
context: Even though terrorists set off an explosion, the shops are still selling food as usual.\And there are people who eat that food.\I feel that food is directly linked to peace.\Don't you think so?\Yeah...\Bye, Nagisa-chan.\You too, Kojou-kun. Bye bye.\Ah, Kojou-kun. What about the milk? response:	Sorry, I haven't looked for it yet.
context: And there are people who eat that food.\I feel that food is directly linked to peace.\Don't you think so?\Yeah...\Bye, Nagisa-chan.\You too, Kojou-kun. Bye bye.\Ah, Kojou-kun. What about the milk?\Sorry, I haven't looked for it yet. response:	Geez, I thought you said you were going to buy some.
context: I feel that food is directly linked to peace.\Don't you think so?\Yeah...\Bye, Nagisa-chan.\You too, Kojou-kun. Bye bye.\Ah, Kojou-kun. What about the milk?\Sorry, I haven't looked for it yet.\Geez, I thought you said you were going to buy some. response:	Ah, that shop might have some.
context: Don't you think so?\Yeah...\Bye, Nagisa-chan.\You too, Kojou-kun. Bye bye.\Ah, Kojou-kun. What about the milk?\Sorry, I haven't looked for it yet.\Geez, I thought you said you were going to buy some.\Ah, that shop might have some. response:	I'll go take a look.
context: Yeah...\Bye, Nagisa-chan.\You too, Kojou-kun. Bye bye.\Ah, Kojou-kun. What about the milk?\Sorry, I haven't looked for it yet.\Geez, I thought you said you were going to buy some.\Ah, that shop might have some.\I'll go take a look. response:	Somehow, it feels like Nagisa is back to her usual self.
context: Bye, Nagisa-chan.\You too, Kojou-kun. Bye bye.\Ah, Kojou-kun. What about the milk?\Sorry, I haven't looked for it yet.\Geez, I thought you said you were going to buy some.\Ah, that shop might have some.\I'll go take a look.\Somehow, it feels like Nagisa is back to her usual self. response:	Yes, that's great.
context: You too, Kojou-kun. Bye bye.\Ah, Kojou-kun. What about the milk?\Sorry, I haven't looked for it yet.\Geez, I thought you said you were going to buy some.\Ah, that shop might have some.\I'll go take a look.\Somehow, it feels like Nagisa is back to her usual self.\Yes, that's great. response:	Food is peace, huh?
