context: When I must hide these burning feelings, response:	Did you see that?
context: When I must hide these burning feelings,\Did you see that? response:	He began moving towards the two-syllable card
context: When I must hide these burning feelings,\Did you see that?\He began moving towards the two-syllable card response:	When I on the first syllable.
context: When I must hide these burning feelings,\Did you see that?\He began moving towards the two-syllable card\When I on the first syllable. response:	For most players, there are only
context: When I must hide these burning feelings,\Did you see that?\He began moving towards the two-syllable card\When I on the first syllable.\For most players, there are only response:	seven one-syllable cards: Waves, Gust, Long, All, Swift, Look, Rain.
context: When I must hide these burning feelings,\Did you see that?\He began moving towards the two-syllable card\When I on the first syllable.\For most players, there are only\seven one-syllable cards: Waves, Gust, Long, All, Swift, Look, Rain. response:	But in our interview, the Master had this to say.
context: When I must hide these burning feelings,\Did you see that?\He began moving towards the two-syllable card\When I on the first syllable.\For most players, there are only\seven one-syllable cards: Waves, Gust, Long, All, Swift, Look, Rain.\But in our interview, the Master had this to say. response:	There are 28 one-syllable cards for him.
context: When I must hide these burning feelings,\Did you see that?\He began moving towards the two-syllable card\When I on the first syllable.\For most players, there are only\seven one-syllable cards: Waves, Gust, Long, All, Swift, Look, Rain.\But in our interview, the Master had this to say.\There are 28 one-syllable cards for him. response:	28 one-syllable cards?!
context: Did you see that?\He began moving towards the two-syllable card\When I on the first syllable.\For most players, there are only\seven one-syllable cards: Waves, Gust, Long, All, Swift, Look, Rain.\But in our interview, the Master had this to say.\There are 28 one-syllable cards for him.\28 one-syllable cards?! response:	Chihaya Furu
context: He began moving towards the two-syllable card\When I on the first syllable.\For most players, there are only\seven one-syllable cards: Waves, Gust, Long, All, Swift, Look, Rain.\But in our interview, the Master had this to say.\There are 28 one-syllable cards for him.\28 one-syllable cards?!\Chihaya Furu response:	Moonlight, Clear and Bright
context: When I on the first syllable.\For most players, there are only\seven one-syllable cards: Waves, Gust, Long, All, Swift, Look, Rain.\But in our interview, the Master had this to say.\There are 28 one-syllable cards for him.\28 one-syllable cards?!\Chihaya Furu\Moonlight, Clear and Bright response:	Verse 25
context: For most players, there are only\seven one-syllable cards: Waves, Gust, Long, All, Swift, Look, Rain.\But in our interview, the Master had this to say.\There are 28 one-syllable cards for him.\28 one-syllable cards?!\Chihaya Furu\Moonlight, Clear and Bright\Verse 25 response:	In other words, there are 21 additional cards
context: seven one-syllable cards: Waves, Gust, Long, All, Swift, Look, Rain.\But in our interview, the Master had this to say.\There are 28 one-syllable cards for him.\28 one-syllable cards?!\Chihaya Furu\Moonlight, Clear and Bright\Verse 25\In other words, there are 21 additional cards response:	that Master Suo can recognize on the first syllable?
context: But in our interview, the Master had this to say.\There are 28 one-syllable cards for him.\28 one-syllable cards?!\Chihaya Furu\Moonlight, Clear and Bright\Verse 25\In other words, there are 21 additional cards\that Master Suo can recognize on the first syllable? response:	For example, he can hear the difference between the
context: There are 28 one-syllable cards for him.\28 one-syllable cards?!\Chihaya Furu\Moonlight, Clear and Bright\Verse 25\In other words, there are 21 additional cards\that Master Suo can recognize on the first syllable?\For example, he can hear the difference between the response:	When in When I must hide
context: 28 one-syllable cards?!\Chihaya Furu\Moonlight, Clear and Bright\Verse 25\In other words, there are 21 additional cards\that Master Suo can recognize on the first syllable?\For example, he can hear the difference between the\When in When I must hide response:	and the When in When the misty bridge , by the following syllable.
context: Chihaya Furu\Moonlight, Clear and Bright\Verse 25\In other words, there are 21 additional cards\that Master Suo can recognize on the first syllable?\For example, he can hear the difference between the\When in When I must hide\and the When in When the misty bridge , by the following syllable. response:	In the world of karuta, we describe this ability
context: Moonlight, Clear and Bright\Verse 25\In other words, there are 21 additional cards\that Master Suo can recognize on the first syllable?\For example, he can hear the difference between the\When in When I must hide\and the When in When the misty bridge , by the following syllable.\In the world of karuta, we describe this ability response:	as having excellent game sense.
