context: Osawa-ningyou response:	Innocent girl
context: Osawa-ningyou\Innocent girl response:	Go get it, Sadako.
context: Osawa-ningyou\Innocent girl\Go get it, Sadako. response:	Okay!
context: Osawa-ningyou\Innocent girl\Go get it, Sadako.\Okay! response:	Wow, she's improved a lot since last time.
context: Osawa-ningyou\Innocent girl\Go get it, Sadako.\Okay!\Wow, she's improved a lot since last time. response:	Nice one, Sadako.
context: Osawa-ningyou\Innocent girl\Go get it, Sadako.\Okay!\Wow, she's improved a lot since last time.\Nice one, Sadako. response:	Wait, wasn't she over there just now?
context: Osawa-ningyou\Innocent girl\Go get it, Sadako.\Okay!\Wow, she's improved a lot since last time.\Nice one, Sadako.\Wait, wasn't she over there just now? response:	When did she...?
context: Osawa-ningyou\Innocent girl\Go get it, Sadako.\Okay!\Wow, she's improved a lot since last time.\Nice one, Sadako.\Wait, wasn't she over there just now?\When did she...? response:	Teleportation?
context: Innocent girl\Go get it, Sadako.\Okay!\Wow, she's improved a lot since last time.\Nice one, Sadako.\Wait, wasn't she over there just now?\When did she...?\Teleportation? response:	I hit it!
context: Go get it, Sadako.\Okay!\Wow, she's improved a lot since last time.\Nice one, Sadako.\Wait, wasn't she over there just now?\When did she...?\Teleportation?\I hit it! response:	Good job, Sadako.
context: Okay!\Wow, she's improved a lot since last time.\Nice one, Sadako.\Wait, wasn't she over there just now?\When did she...?\Teleportation?\I hit it!\Good job, Sadako. response:	We might even win on sports day.
context: Wow, she's improved a lot since last time.\Nice one, Sadako.\Wait, wasn't she over there just now?\When did she...?\Teleportation?\I hit it!\Good job, Sadako.\We might even win on sports day. response:	I'm glad I bought that red t-shirt.
context: Nice one, Sadako.\Wait, wasn't she over there just now?\When did she...?\Teleportation?\I hit it!\Good job, Sadako.\We might even win on sports day.\I'm glad I bought that red t-shirt. response:	I got praised!
context: Wait, wasn't she over there just now?\When did she...?\Teleportation?\I hit it!\Good job, Sadako.\We might even win on sports day.\I'm glad I bought that red t-shirt.\I got praised! response:	Actually, Kazehaya-kun taught me that.
context: When did she...?\Teleportation?\I hit it!\Good job, Sadako.\We might even win on sports day.\I'm glad I bought that red t-shirt.\I got praised!\Actually, Kazehaya-kun taught me that. response:	Please reach him.
context: Teleportation?\I hit it!\Good job, Sadako.\We might even win on sports day.\I'm glad I bought that red t-shirt.\I got praised!\Actually, Kazehaya-kun taught me that.\Please reach him. response:	You did it.
context: I hit it!\Good job, Sadako.\We might even win on sports day.\I'm glad I bought that red t-shirt.\I got praised!\Actually, Kazehaya-kun taught me that.\Please reach him.\You did it. response:	You kicked it at me.
context: Good job, Sadako.\We might even win on sports day.\I'm glad I bought that red t-shirt.\I got praised!\Actually, Kazehaya-kun taught me that.\Please reach him.\You did it.\You kicked it at me. response:	It reached me.
context: We might even win on sports day.\I'm glad I bought that red t-shirt.\I got praised!\Actually, Kazehaya-kun taught me that.\Please reach him.\You did it.\You kicked it at me.\It reached me. response:	Try stopping the ball first before you kick, like I just did.
context: I'm glad I bought that red t-shirt.\I got praised!\Actually, Kazehaya-kun taught me that.\Please reach him.\You did it.\You kicked it at me.\It reached me.\Try stopping the ball first before you kick, like I just did. response:	No rush.
context: I got praised!\Actually, Kazehaya-kun taught me that.\Please reach him.\You did it.\You kicked it at me.\It reached me.\Try stopping the ball first before you kick, like I just did.\No rush. response:	Okay, once more.
context: Actually, Kazehaya-kun taught me that.\Please reach him.\You did it.\You kicked it at me.\It reached me.\Try stopping the ball first before you kick, like I just did.\No rush.\Okay, once more. response:	Nice shot!
context: Please reach him.\You did it.\You kicked it at me.\It reached me.\Try stopping the ball first before you kick, like I just did.\No rush.\Okay, once more.\Nice shot! response:	It reached me.
context: You did it.\You kicked it at me.\It reached me.\Try stopping the ball first before you kick, like I just did.\No rush.\Okay, once more.\Nice shot!\It reached me. response:	So hot.
context: You kicked it at me.\It reached me.\Try stopping the ball first before you kick, like I just did.\No rush.\Okay, once more.\Nice shot!\It reached me.\So hot. response:	I'm going to get changed super fast as soon as I dry off.
context: It reached me.\Try stopping the ball first before you kick, like I just did.\No rush.\Okay, once more.\Nice shot!\It reached me.\So hot.\I'm going to get changed super fast as soon as I dry off. response:	You go back to class, Sadako.
context: Try stopping the ball first before you kick, like I just did.\No rush.\Okay, once more.\Nice shot!\It reached me.\So hot.\I'm going to get changed super fast as soon as I dry off.\You go back to class, Sadako. response:	No one's back yet.
context: No rush.\Okay, once more.\Nice shot!\It reached me.\So hot.\I'm going to get changed super fast as soon as I dry off.\You go back to class, Sadako.\No one's back yet. response:	Hey.
context: Okay, once more.\Nice shot!\It reached me.\So hot.\I'm going to get changed super fast as soon as I dry off.\You go back to class, Sadako.\No one's back yet.\Hey. response:	Is Kazehaya here?
context: Nice shot!\It reached me.\So hot.\I'm going to get changed super fast as soon as I dry off.\You go back to class, Sadako.\No one's back yet.\Hey.\Is Kazehaya here? response:	It's her!
context: It reached me.\So hot.\I'm going to get changed super fast as soon as I dry off.\You go back to class, Sadako.\No one's back yet.\Hey.\Is Kazehaya here?\It's her! response:	The French
context: So hot.\I'm going to get changed super fast as soon as I dry off.\You go back to class, Sadako.\No one's back yet.\Hey.\Is Kazehaya here?\It's her!\The French response:	I mean, Kurumi-san.
context: I'm going to get changed super fast as soon as I dry off.\You go back to class, Sadako.\No one's back yet.\Hey.\Is Kazehaya here?\It's her!\The French\I mean, Kurumi-san. response:	The boys aren't back yet from sports day practice.
context: You go back to class, Sadako.\No one's back yet.\Hey.\Is Kazehaya here?\It's her!\The French\I mean, Kurumi-san.\The boys aren't back yet from sports day practice. response:	Oh really?
context: No one's back yet.\Hey.\Is Kazehaya here?\It's her!\The French\I mean, Kurumi-san.\The boys aren't back yet from sports day practice.\Oh really? response:	What should I do then?
context: Hey.\Is Kazehaya here?\It's her!\The French\I mean, Kurumi-san.\The boys aren't back yet from sports day practice.\Oh really?\What should I do then? response:	She talks to me so casually.
context: Is Kazehaya here?\It's her!\The French\I mean, Kurumi-san.\The boys aren't back yet from sports day practice.\Oh really?\What should I do then?\She talks to me so casually. response:	She's so nice.
context: It's her!\The French\I mean, Kurumi-san.\The boys aren't back yet from sports day practice.\Oh really?\What should I do then?\She talks to me so casually.\She's so nice. response:	She's sort of like Kazehaya-kun.
context: The French\I mean, Kurumi-san.\The boys aren't back yet from sports day practice.\Oh really?\What should I do then?\She talks to me so casually.\She's so nice.\She's sort of like Kazehaya-kun. response:	Hey,
context: I mean, Kurumi-san.\The boys aren't back yet from sports day practice.\Oh really?\What should I do then?\She talks to me so casually.\She's so nice.\She's sort of like Kazehaya-kun.\Hey, response:	I don't know if you remember,
context: The boys aren't back yet from sports day practice.\Oh really?\What should I do then?\She talks to me so casually.\She's so nice.\She's sort of like Kazehaya-kun.\Hey,\I don't know if you remember, response:	but thank you for picking up my forms a while ago.
context: Oh really?\What should I do then?\She talks to me so casually.\She's so nice.\She's sort of like Kazehaya-kun.\Hey,\I don't know if you remember,\but thank you for picking up my forms a while ago. response:	I was just doing what anyone would.
context: What should I do then?\She talks to me so casually.\She's so nice.\She's sort of like Kazehaya-kun.\Hey,\I don't know if you remember,\but thank you for picking up my forms a while ago.\I was just doing what anyone would. response:	I'm a little embarrassed, now that you mention it.
context: She talks to me so casually.\She's so nice.\She's sort of like Kazehaya-kun.\Hey,\I don't know if you remember,\but thank you for picking up my forms a while ago.\I was just doing what anyone would.\I'm a little embarrassed, now that you mention it. response:	She's so friendly.
context: She's so nice.\She's sort of like Kazehaya-kun.\Hey,\I don't know if you remember,\but thank you for picking up my forms a while ago.\I was just doing what anyone would.\I'm a little embarrassed, now that you mention it.\She's so friendly. response:	And so girly.
context: She's sort of like Kazehaya-kun.\Hey,\I don't know if you remember,\but thank you for picking up my forms a while ago.\I was just doing what anyone would.\I'm a little embarrassed, now that you mention it.\She's so friendly.\And so girly. response:	She's the manifestation of my idea of the perfect girl.
