context: The Third Plate response:	Fourteen
context: The Third Plate\Fourteen response:	Come!
context: The Third Plate\Fourteen\Come! response:	If you are true chefs with any pride at all,
context: The Third Plate\Fourteen\Come!\If you are true chefs with any pride at all, response:	follow me!
context: The Third Plate\Fourteen\Come!\If you are true chefs with any pride at all,\follow me! response:	If that's how Erinacchi's putting it...
context: The Third Plate\Fourteen\Come!\If you are true chefs with any pride at all,\follow me!\If that's how Erinacchi's putting it... response:	Let's do it!
context: The Third Plate\Fourteen\Come!\If you are true chefs with any pride at all,\follow me!\If that's how Erinacchi's putting it...\Let's do it! response:	Let's all become second-years!
context: The Third Plate\Fourteen\Come!\If you are true chefs with any pride at all,\follow me!\If that's how Erinacchi's putting it...\Let's do it!\Let's all become second-years! response:	Yeah!
context: Fourteen\Come!\If you are true chefs with any pride at all,\follow me!\If that's how Erinacchi's putting it...\Let's do it!\Let's all become second-years!\Yeah! response:	That's how you should be, Nakiri!
context: Come!\If you are true chefs with any pride at all,\follow me!\If that's how Erinacchi's putting it...\Let's do it!\Let's all become second-years!\Yeah!\That's how you should be, Nakiri! response:	You're at your best when you're being prickly and harsh.
context: If you are true chefs with any pride at all,\follow me!\If that's how Erinacchi's putting it...\Let's do it!\Let's all become second-years!\Yeah!\That's how you should be, Nakiri!\You're at your best when you're being prickly and harsh. response:	Hmph.
context: follow me!\If that's how Erinacchi's putting it...\Let's do it!\Let's all become second-years!\Yeah!\That's how you should be, Nakiri!\You're at your best when you're being prickly and harsh.\Hmph. response:	I just said what came to mind.
context: If that's how Erinacchi's putting it...\Let's do it!\Let's all become second-years!\Yeah!\That's how you should be, Nakiri!\You're at your best when you're being prickly and harsh.\Hmph.\I just said what came to mind. response:	I owe it to the people of this dorm.
context: Let's do it!\Let's all become second-years!\Yeah!\That's how you should be, Nakiri!\You're at your best when you're being prickly and harsh.\Hmph.\I just said what came to mind.\I owe it to the people of this dorm. response:	That's right.
context: Let's all become second-years!\Yeah!\That's how you should be, Nakiri!\You're at your best when you're being prickly and harsh.\Hmph.\I just said what came to mind.\I owe it to the people of this dorm.\That's right. response:	What I learned from them
context: Yeah!\That's how you should be, Nakiri!\You're at your best when you're being prickly and harsh.\Hmph.\I just said what came to mind.\I owe it to the people of this dorm.\That's right.\What I learned from them response:	is the most important thing for me to take a step forward.
context: That's how you should be, Nakiri!\You're at your best when you're being prickly and harsh.\Hmph.\I just said what came to mind.\I owe it to the people of this dorm.\That's right.\What I learned from them\is the most important thing for me to take a step forward. response:	And...
context: You're at your best when you're being prickly and harsh.\Hmph.\I just said what came to mind.\I owe it to the people of this dorm.\That's right.\What I learned from them\is the most important thing for me to take a step forward.\And... response:	I owe you one, too, Yukihira Soma.
context: Hmph.\I just said what came to mind.\I owe it to the people of this dorm.\That's right.\What I learned from them\is the most important thing for me to take a step forward.\And...\I owe you one, too, Yukihira Soma. response:	Food Wars
context: I just said what came to mind.\I owe it to the people of this dorm.\That's right.\What I learned from them\is the most important thing for me to take a step forward.\And...\I owe you one, too, Yukihira Soma.\Food Wars response:	The Third Plate
context: I owe it to the people of this dorm.\That's right.\What I learned from them\is the most important thing for me to take a step forward.\And...\I owe you one, too, Yukihira Soma.\Food Wars\The Third Plate response:	Totsuki Train Arc
context: That's right.\What I learned from them\is the most important thing for me to take a step forward.\And...\I owe you one, too, Yukihira Soma.\Food Wars\The Third Plate\Totsuki Train Arc response:	Onward on the Totsuki Train
context: What I learned from them\is the most important thing for me to take a step forward.\And...\I owe you one, too, Yukihira Soma.\Food Wars\The Third Plate\Totsuki Train Arc\Onward on the Totsuki Train response:	Wow.
context: is the most important thing for me to take a step forward.\And...\I owe you one, too, Yukihira Soma.\Food Wars\The Third Plate\Totsuki Train Arc\Onward on the Totsuki Train\Wow. response:	Every single one of these dishes demonstrate superb craftsmanship.
context: And...\I owe you one, too, Yukihira Soma.\Food Wars\The Third Plate\Totsuki Train Arc\Onward on the Totsuki Train\Wow.\Every single one of these dishes demonstrate superb craftsmanship. response:	To think that Director Azami himself would be teaching us!
context: I owe you one, too, Yukihira Soma.\Food Wars\The Third Plate\Totsuki Train Arc\Onward on the Totsuki Train\Wow.\Every single one of these dishes demonstrate superb craftsmanship.\To think that Director Azami himself would be teaching us! response:	This concludes the special lesson preceding the advancement exams.
context: Food Wars\The Third Plate\Totsuki Train Arc\Onward on the Totsuki Train\Wow.\Every single one of these dishes demonstrate superb craftsmanship.\To think that Director Azami himself would be teaching us!\This concludes the special lesson preceding the advancement exams. response:	You will be able to take the exam without any fear,
context: The Third Plate\Totsuki Train Arc\Onward on the Totsuki Train\Wow.\Every single one of these dishes demonstrate superb craftsmanship.\To think that Director Azami himself would be teaching us!\This concludes the special lesson preceding the advancement exams.\You will be able to take the exam without any fear, response:	so long as you master the techniques we have shown you here,
context: Totsuki Train Arc\Onward on the Totsuki Train\Wow.\Every single one of these dishes demonstrate superb craftsmanship.\To think that Director Azami himself would be teaching us!\This concludes the special lesson preceding the advancement exams.\You will be able to take the exam without any fear,\so long as you master the techniques we have shown you here, response:	as you see how Central's antagonists falter and fail.
context: Onward on the Totsuki Train\Wow.\Every single one of these dishes demonstrate superb craftsmanship.\To think that Director Azami himself would be teaching us!\This concludes the special lesson preceding the advancement exams.\You will be able to take the exam without any fear,\so long as you master the techniques we have shown you here,\as you see how Central's antagonists falter and fail. response:	Yes, sir!
context: Wow.\Every single one of these dishes demonstrate superb craftsmanship.\To think that Director Azami himself would be teaching us!\This concludes the special lesson preceding the advancement exams.\You will be able to take the exam without any fear,\so long as you master the techniques we have shown you here,\as you see how Central's antagonists falter and fail.\Yes, sir! response:	It is tradition to hold the annual advancement exams for first-years in Hokkaido.
