context: I see. response:	You found the candidate who could become the next queen?
context: I see.\You found the candidate who could become the next queen? response:	She's close by, is she?
context: I see.\You found the candidate who could become the next queen?\She's close by, is she? response:	I must go see her.
context: I see.\You found the candidate who could become the next queen?\She's close by, is she?\I must go see her. response:	The Rising of the Shield Hero
context: I see.\You found the candidate who could become the next queen?\She's close by, is she?\I must go see her.\The Rising of the Shield Hero response:	Release Van-sama!
context: I see.\You found the candidate who could become the next queen?\She's close by, is she?\I must go see her.\The Rising of the Shield Hero\Release Van-sama! response:	Filolial Queen
context: I see.\You found the candidate who could become the next queen?\She's close by, is she?\I must go see her.\The Rising of the Shield Hero\Release Van-sama!\Filolial Queen response:	Stay away!
context: I see.\You found the candidate who could become the next queen?\She's close by, is she?\I must go see her.\The Rising of the Shield Hero\Release Van-sama!\Filolial Queen\Stay away! response:	This place is done for.
context: You found the candidate who could become the next queen?\She's close by, is she?\I must go see her.\The Rising of the Shield Hero\Release Van-sama!\Filolial Queen\Stay away!\This place is done for. response:	We're getting out of here.
context: She's close by, is she?\I must go see her.\The Rising of the Shield Hero\Release Van-sama!\Filolial Queen\Stay away!\This place is done for.\We're getting out of here. response:	Right.
context: I must go see her.\The Rising of the Shield Hero\Release Van-sama!\Filolial Queen\Stay away!\This place is done for.\We're getting out of here.\Right. response:	You okay?
context: The Rising of the Shield Hero\Release Van-sama!\Filolial Queen\Stay away!\This place is done for.\We're getting out of here.\Right.\You okay? response:	Yes, somehow.
context: Release Van-sama!\Filolial Queen\Stay away!\This place is done for.\We're getting out of here.\Right.\You okay?\Yes, somehow. response:	I can't believe that rotten noble released that monster just to take out Naofumi!
context: Filolial Queen\Stay away!\This place is done for.\We're getting out of here.\Right.\You okay?\Yes, somehow.\I can't believe that rotten noble released that monster just to take out Naofumi! response:	Seriously.
context: Stay away!\This place is done for.\We're getting out of here.\Right.\You okay?\Yes, somehow.\I can't believe that rotten noble released that monster just to take out Naofumi!\Seriously. response:	Keel-kun...
context: This place is done for.\We're getting out of here.\Right.\You okay?\Yes, somehow.\I can't believe that rotten noble released that monster just to take out Naofumi!\Seriously.\Keel-kun... response:	Raphtalia-chan...
context: We're getting out of here.\Right.\You okay?\Yes, somehow.\I can't believe that rotten noble released that monster just to take out Naofumi!\Seriously.\Keel-kun...\Raphtalia-chan... response:	Okay, what now
context: Right.\You okay?\Yes, somehow.\I can't believe that rotten noble released that monster just to take out Naofumi!\Seriously.\Keel-kun...\Raphtalia-chan...\Okay, what now response:	How'd it find us?
context: You okay?\Yes, somehow.\I can't believe that rotten noble released that monster just to take out Naofumi!\Seriously.\Keel-kun...\Raphtalia-chan...\Okay, what now\How'd it find us? response:	Shit. We're screwed if it charges at us now.
