context: Isn't there a way to destroy him?! response:	Why, that!
context: Isn't there a way to destroy him?!\Why, that! response:	I'm getting used to this body!
context: Isn't there a way to destroy him?!\Why, that!\I'm getting used to this body! response:	Inuyasha! Above you!
context: Isn't there a way to destroy him?!\Why, that!\I'm getting used to this body!\Inuyasha! Above you! response:	Inuyasha!
context: Isn't there a way to destroy him?!\Why, that!\I'm getting used to this body!\Inuyasha! Above you!\Inuyasha! response:	What's the matter, Inuyasha? Can't move?
context: Isn't there a way to destroy him?!\Why, that!\I'm getting used to this body!\Inuyasha! Above you!\Inuyasha!\What's the matter, Inuyasha? Can't move? response:	Shaddup!
context: Isn't there a way to destroy him?!\Why, that!\I'm getting used to this body!\Inuyasha! Above you!\Inuyasha!\What's the matter, Inuyasha? Can't move?\Shaddup! response:	Why, you!
context: Isn't there a way to destroy him?!\Why, that!\I'm getting used to this body!\Inuyasha! Above you!\Inuyasha!\What's the matter, Inuyasha? Can't move?\Shaddup!\Why, you! response:	Inuyasha!
context: Why, that!\I'm getting used to this body!\Inuyasha! Above you!\Inuyasha!\What's the matter, Inuyasha? Can't move?\Shaddup!\Why, you!\Inuyasha! response:	This time, I'll shred you into bits!
context: I'm getting used to this body!\Inuyasha! Above you!\Inuyasha!\What's the matter, Inuyasha? Can't move?\Shaddup!\Why, you!\Inuyasha!\This time, I'll shred you into bits! response:	Inuyasha!
context: Inuyasha! Above you!\Inuyasha!\What's the matter, Inuyasha? Can't move?\Shaddup!\Why, you!\Inuyasha!\This time, I'll shred you into bits!\Inuyasha! response:	Now come.
context: Inuyasha!\What's the matter, Inuyasha? Can't move?\Shaddup!\Why, you!\Inuyasha!\This time, I'll shred you into bits!\Inuyasha!\Now come. response:	Why, you! Don't act too cocky!
context: What's the matter, Inuyasha? Can't move?\Shaddup!\Why, you!\Inuyasha!\This time, I'll shred you into bits!\Inuyasha!\Now come.\Why, you! Don't act too cocky! response:	Wind Scar!
context: Shaddup!\Why, you!\Inuyasha!\This time, I'll shred you into bits!\Inuyasha!\Now come.\Why, you! Don't act too cocky!\Wind Scar! response:	Damn... not dead yet?
context: Why, you!\Inuyasha!\This time, I'll shred you into bits!\Inuyasha!\Now come.\Why, you! Don't act too cocky!\Wind Scar!\Damn... not dead yet? response:	This will never end.
context: Inuyasha!\This time, I'll shred you into bits!\Inuyasha!\Now come.\Why, you! Don't act too cocky!\Wind Scar!\Damn... not dead yet?\This will never end. response:	Huh? What's that?
context: This time, I'll shred you into bits!\Inuyasha!\Now come.\Why, you! Don't act too cocky!\Wind Scar!\Damn... not dead yet?\This will never end.\Huh? What's that? response:	A spider.
context: Inuyasha!\Now come.\Why, you! Don't act too cocky!\Wind Scar!\Damn... not dead yet?\This will never end.\Huh? What's that?\A spider. response:	He's transforming again.
