context: Divorced?! response:	We'll apparently be shipping off to Tokyo later this year.
context: Divorced?!\We'll apparently be shipping off to Tokyo later this year. response:	Off to Tokyo...? You're going to transfer schools?
context: Divorced?!\We'll apparently be shipping off to Tokyo later this year.\Off to Tokyo...? You're going to transfer schools? response:	Ah, I'm not going.
context: Divorced?!\We'll apparently be shipping off to Tokyo later this year.\Off to Tokyo...? You're going to transfer schools?\Ah, I'm not going. response:	I just have one more year until I graduate.
context: Divorced?!\We'll apparently be shipping off to Tokyo later this year.\Off to Tokyo...? You're going to transfer schools?\Ah, I'm not going.\I just have one more year until I graduate. response:	And college entrance exams are coming up, so she said it would be okay if I stayed here.
context: Divorced?!\We'll apparently be shipping off to Tokyo later this year.\Off to Tokyo...? You're going to transfer schools?\Ah, I'm not going.\I just have one more year until I graduate.\And college entrance exams are coming up, so she said it would be okay if I stayed here. response:	Either way, though, I'll still be going to college there.
context: Divorced?!\We'll apparently be shipping off to Tokyo later this year.\Off to Tokyo...? You're going to transfer schools?\Ah, I'm not going.\I just have one more year until I graduate.\And college entrance exams are coming up, so she said it would be okay if I stayed here.\Either way, though, I'll still be going to college there. response:	I see... don't scare me like that, geez.
context: Divorced?!\We'll apparently be shipping off to Tokyo later this year.\Off to Tokyo...? You're going to transfer schools?\Ah, I'm not going.\I just have one more year until I graduate.\And college entrance exams are coming up, so she said it would be okay if I stayed here.\Either way, though, I'll still be going to college there.\I see... don't scare me like that, geez. response:	Less talking, more eating.
context: We'll apparently be shipping off to Tokyo later this year.\Off to Tokyo...? You're going to transfer schools?\Ah, I'm not going.\I just have one more year until I graduate.\And college entrance exams are coming up, so she said it would be okay if I stayed here.\Either way, though, I'll still be going to college there.\I see... don't scare me like that, geez.\Less talking, more eating. response:	Yeah. I'll be done soon.
context: Off to Tokyo...? You're going to transfer schools?\Ah, I'm not going.\I just have one more year until I graduate.\And college entrance exams are coming up, so she said it would be okay if I stayed here.\Either way, though, I'll still be going to college there.\I see... don't scare me like that, geez.\Less talking, more eating.\Yeah. I'll be done soon. response:	Hey runts, what are you doing today on your day off?
context: Ah, I'm not going.\I just have one more year until I graduate.\And college entrance exams are coming up, so she said it would be okay if I stayed here.\Either way, though, I'll still be going to college there.\I see... don't scare me like that, geez.\Less talking, more eating.\Yeah. I'll be done soon.\Hey runts, what are you doing today on your day off? response:	Ice skating.
context: I just have one more year until I graduate.\And college entrance exams are coming up, so she said it would be okay if I stayed here.\Either way, though, I'll still be going to college there.\I see... don't scare me like that, geez.\Less talking, more eating.\Yeah. I'll be done soon.\Hey runts, what are you doing today on your day off?\Ice skating. response:	All right, I'm done.
context: And college entrance exams are coming up, so she said it would be okay if I stayed here.\Either way, though, I'll still be going to college there.\I see... don't scare me like that, geez.\Less talking, more eating.\Yeah. I'll be done soon.\Hey runts, what are you doing today on your day off?\Ice skating.\All right, I'm done. response:	Masa, leave after you've cleaned your dishes.
