context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	This is the Black Market.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\This is the Black Market. response:	It's a bit dangerous, but they have some very effective magical items.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\This is the Black Market.\It's a bit dangerous, but they have some very effective magical items. response:	Damn it, I lost again! Bah-ha...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\This is the Black Market.\It's a bit dangerous, but they have some very effective magical items.\Damn it, I lost again! Bah-ha... response:	I can see the future.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\This is the Black Market.\It's a bit dangerous, but they have some very effective magical items.\Damn it, I lost again! Bah-ha...\I can see the future. response:	That old lady's good.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\This is the Black Market.\It's a bit dangerous, but they have some very effective magical items.\Damn it, I lost again! Bah-ha...\I can see the future.\That old lady's good. response:	I really shouldn't be wasting time here, anyway.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\This is the Black Market.\It's a bit dangerous, but they have some very effective magical items.\Damn it, I lost again! Bah-ha...\I can see the future.\That old lady's good.\I really shouldn't be wasting time here, anyway. response:	Hey, she's cute!
context: He was called the Wizard King, and he became a legend.\This is the Black Market.\It's a bit dangerous, but they have some very effective magical items.\Damn it, I lost again! Bah-ha...\I can see the future.\That old lady's good.\I really shouldn't be wasting time here, anyway.\Hey, she's cute! response:	Bah-ha!
context: This is the Black Market.\It's a bit dangerous, but they have some very effective magical items.\Damn it, I lost again! Bah-ha...\I can see the future.\That old lady's good.\I really shouldn't be wasting time here, anyway.\Hey, she's cute!\Bah-ha! response:	The Black Market is no place for you lovely ladies. Bah-ha!
context: It's a bit dangerous, but they have some very effective magical items.\Damn it, I lost again! Bah-ha...\I can see the future.\That old lady's good.\I really shouldn't be wasting time here, anyway.\Hey, she's cute!\Bah-ha!\The Black Market is no place for you lovely ladies. Bah-ha! response:	Get lost, you insect.
context: Damn it, I lost again! Bah-ha...\I can see the future.\That old lady's good.\I really shouldn't be wasting time here, anyway.\Hey, she's cute!\Bah-ha!\The Black Market is no place for you lovely ladies. Bah-ha!\Get lost, you insect. response:	Bah-ha...
context: I can see the future.\That old lady's good.\I really shouldn't be wasting time here, anyway.\Hey, she's cute!\Bah-ha!\The Black Market is no place for you lovely ladies. Bah-ha!\Get lost, you insect.\Bah-ha... response:	Hey! I found something really cool!
context: That old lady's good.\I really shouldn't be wasting time here, anyway.\Hey, she's cute!\Bah-ha!\The Black Market is no place for you lovely ladies. Bah-ha!\Get lost, you insect.\Bah-ha...\Hey! I found something really cool! response:	Bah-ha!
context: I really shouldn't be wasting time here, anyway.\Hey, she's cute!\Bah-ha!\The Black Market is no place for you lovely ladies. Bah-ha!\Get lost, you insect.\Bah-ha...\Hey! I found something really cool!\Bah-ha! response:	Th-That's...
context: Hey, she's cute!\Bah-ha!\The Black Market is no place for you lovely ladies. Bah-ha!\Get lost, you insect.\Bah-ha...\Hey! I found something really cool!\Bah-ha!\Th-That's... response:	Huh? Hey, you're Bah-ha!
context: Bah-ha!\The Black Market is no place for you lovely ladies. Bah-ha!\Get lost, you insect.\Bah-ha...\Hey! I found something really cool!\Bah-ha!\Th-That's...\Huh? Hey, you're Bah-ha! response:	It's Sekke! Bah-ha!
context: The Black Market is no place for you lovely ladies. Bah-ha!\Get lost, you insect.\Bah-ha...\Hey! I found something really cool!\Bah-ha!\Th-That's...\Huh? Hey, you're Bah-ha!\It's Sekke! Bah-ha! response:	How've you been, Bah-ha?
context: Get lost, you insect.\Bah-ha...\Hey! I found something really cool!\Bah-ha!\Th-That's...\Huh? Hey, you're Bah-ha!\It's Sekke! Bah-ha!\How've you been, Bah-ha? response:	The name's Bah-ha! No, wait, Sekke!
context: Bah-ha...\Hey! I found something really cool!\Bah-ha!\Th-That's...\Huh? Hey, you're Bah-ha!\It's Sekke! Bah-ha!\How've you been, Bah-ha?\The name's Bah-ha! No, wait, Sekke! response:	Who's that?
context: Hey! I found something really cool!\Bah-ha!\Th-That's...\Huh? Hey, you're Bah-ha!\It's Sekke! Bah-ha!\How've you been, Bah-ha?\The name's Bah-ha! No, wait, Sekke!\Who's that? response:	I took the Entrance Exam with him.
context: Bah-ha!\Th-That's...\Huh? Hey, you're Bah-ha!\It's Sekke! Bah-ha!\How've you been, Bah-ha?\The name's Bah-ha! No, wait, Sekke!\Who's that?\I took the Entrance Exam with him. response:	Ah, you're a member of the Green Praying Mantises.
context: Th-That's...\Huh? Hey, you're Bah-ha!\It's Sekke! Bah-ha!\How've you been, Bah-ha?\The name's Bah-ha! No, wait, Sekke!\Who's that?\I took the Entrance Exam with him.\Ah, you're a member of the Green Praying Mantises. response:	He's with two beautiful girls?! Wait, no...
context: Huh? Hey, you're Bah-ha!\It's Sekke! Bah-ha!\How've you been, Bah-ha?\The name's Bah-ha! No, wait, Sekke!\Who's that?\I took the Entrance Exam with him.\Ah, you're a member of the Green Praying Mantises.\He's with two beautiful girls?! Wait, no... response:	They're both members of the Black Bulls, too.
context: It's Sekke! Bah-ha!\How've you been, Bah-ha?\The name's Bah-ha! No, wait, Sekke!\Who's that?\I took the Entrance Exam with him.\Ah, you're a member of the Green Praying Mantises.\He's with two beautiful girls?! Wait, no...\They're both members of the Black Bulls, too. response:	Asta, you bastard! You're making me jealous.
context: How've you been, Bah-ha?\The name's Bah-ha! No, wait, Sekke!\Who's that?\I took the Entrance Exam with him.\Ah, you're a member of the Green Praying Mantises.\He's with two beautiful girls?! Wait, no...\They're both members of the Black Bulls, too.\Asta, you bastard! You're making me jealous. response:	Besides, it's all your fault that I ended up in the Green Praying Mantises.
context: The name's Bah-ha! No, wait, Sekke!\Who's that?\I took the Entrance Exam with him.\Ah, you're a member of the Green Praying Mantises.\He's with two beautiful girls?! Wait, no...\They're both members of the Black Bulls, too.\Asta, you bastard! You're making me jealous.\Besides, it's all your fault that I ended up in the Green Praying Mantises. response:	Bah-ha! You infuriating bah-hastard!
context: Who's that?\I took the Entrance Exam with him.\Ah, you're a member of the Green Praying Mantises.\He's with two beautiful girls?! Wait, no...\They're both members of the Black Bulls, too.\Asta, you bastard! You're making me jealous.\Besides, it's all your fault that I ended up in the Green Praying Mantises.\Bah-ha! You infuriating bah-hastard! response:	The Wizard King Saw
context: I took the Entrance Exam with him.\Ah, you're a member of the Green Praying Mantises.\He's with two beautiful girls?! Wait, no...\They're both members of the Black Bulls, too.\Asta, you bastard! You're making me jealous.\Besides, it's all your fault that I ended up in the Green Praying Mantises.\Bah-ha! You infuriating bah-hastard!\The Wizard King Saw response:	Grey words can't make anything happen
context: Ah, you're a member of the Green Praying Mantises.\He's with two beautiful girls?! Wait, no...\They're both members of the Black Bulls, too.\Asta, you bastard! You're making me jealous.\Besides, it's all your fault that I ended up in the Green Praying Mantises.\Bah-ha! You infuriating bah-hastard!\The Wizard King Saw\Grey words can't make anything happen response:	I know, yeah I know
context: He's with two beautiful girls?! Wait, no...\They're both members of the Black Bulls, too.\Asta, you bastard! You're making me jealous.\Besides, it's all your fault that I ended up in the Green Praying Mantises.\Bah-ha! You infuriating bah-hastard!\The Wizard King Saw\Grey words can't make anything happen\I know, yeah I know response:	Wishing to fly freely across the sky
context: They're both members of the Black Bulls, too.\Asta, you bastard! You're making me jealous.\Besides, it's all your fault that I ended up in the Green Praying Mantises.\Bah-ha! You infuriating bah-hastard!\The Wizard King Saw\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky response:	I dreamed it all my life
context: Asta, you bastard! You're making me jealous.\Besides, it's all your fault that I ended up in the Green Praying Mantises.\Bah-ha! You infuriating bah-hastard!\The Wizard King Saw\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life response:	Step by step I go, though it's a doubtful world
context: Besides, it's all your fault that I ended up in the Green Praying Mantises.\Bah-ha! You infuriating bah-hastard!\The Wizard King Saw\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world response:	Don't care how much I fall
context: Bah-ha! You infuriating bah-hastard!\The Wizard King Saw\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall response:	Instinct is my guide, I never give up
context: The Wizard King Saw\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up response:	To faraway future, I burst out running
context: Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running response:	Go beyond even the unseen fears
context: I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears response:	The vision I had, so I can be myself
context: Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself response:	Someday I will write the next page
context: I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page response:	You are my hope
context: Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope response:	Like that page from someday
context: Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday response:	I was able to meet you
context: Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you response:	I call this a miracle
context: To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle response:	Are you out shopping with these girls?
context: Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\Are you out shopping with these girls? response:	Well, today's our day off.
context: The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\Are you out shopping with these girls?\Well, today's our day off. response:	Bah-ha! Must be nice.
context: Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\Are you out shopping with these girls?\Well, today's our day off.\Bah-ha! Must be nice. response:	Even if it's your day off, shouldn't you be finding some basic tasks
context: You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\Are you out shopping with these girls?\Well, today's our day off.\Bah-ha! Must be nice.\Even if it's your day off, shouldn't you be finding some basic tasks response:	to do for points, instead of messing around?
context: Like that page from someday\I was able to meet you\I call this a miracle\Are you out shopping with these girls?\Well, today's our day off.\Bah-ha! Must be nice.\Even if it's your day off, shouldn't you be finding some basic tasks\to do for points, instead of messing around? response:	I heard the Black Bulls have negative stars
context: I was able to meet you\I call this a miracle\Are you out shopping with these girls?\Well, today's our day off.\Bah-ha! Must be nice.\Even if it's your day off, shouldn't you be finding some basic tasks\to do for points, instead of messing around?\I heard the Black Bulls have negative stars response:	Stars! Oh, yeah! Listen to this!
context: I call this a miracle\Are you out shopping with these girls?\Well, today's our day off.\Bah-ha! Must be nice.\Even if it's your day off, shouldn't you be finding some basic tasks\to do for points, instead of messing around?\I heard the Black Bulls have negative stars\Stars! Oh, yeah! Listen to this! response:	We got a star from the Wizard King on our first mission!
context: Are you out shopping with these girls?\Well, today's our day off.\Bah-ha! Must be nice.\Even if it's your day off, shouldn't you be finding some basic tasks\to do for points, instead of messing around?\I heard the Black Bulls have negative stars\Stars! Oh, yeah! Listen to this!\We got a star from the Wizard King on our first mission! response:	What?! You can't be serious!
context: Well, today's our day off.\Bah-ha! Must be nice.\Even if it's your day off, shouldn't you be finding some basic tasks\to do for points, instead of messing around?\I heard the Black Bulls have negative stars\Stars! Oh, yeah! Listen to this!\We got a star from the Wizard King on our first mission!\What?! You can't be serious! response:	Well done, you two.
context: Bah-ha! Must be nice.\Even if it's your day off, shouldn't you be finding some basic tasks\to do for points, instead of messing around?\I heard the Black Bulls have negative stars\Stars! Oh, yeah! Listen to this!\We got a star from the Wizard King on our first mission!\What?! You can't be serious!\Well done, you two. response:	They're serious?!
context: Even if it's your day off, shouldn't you be finding some basic tasks\to do for points, instead of messing around?\I heard the Black Bulls have negative stars\Stars! Oh, yeah! Listen to this!\We got a star from the Wizard King on our first mission!\What?! You can't be serious!\Well done, you two.\They're serious?! response:	Calm down, me.
context: to do for points, instead of messing around?\I heard the Black Bulls have negative stars\Stars! Oh, yeah! Listen to this!\We got a star from the Wizard King on our first mission!\What?! You can't be serious!\Well done, you two.\They're serious?!\Calm down, me. response:	Bah-ha, bah-ha...
