context: What's that, Kirino? response:	A guy?
context: What's that, Kirino?\A guy? response:	No way!
context: What's that, Kirino?\A guy?\No way! response:	I'm just checking out some work stuff.
context: What's that, Kirino?\A guy?\No way!\I'm just checking out some work stuff. response:	Man, you popular models are always so busy.
context: What's that, Kirino?\A guy?\No way!\I'm just checking out some work stuff.\Man, you popular models are always so busy. response:	But you don't have anything on today, right?
context: What's that, Kirino?\A guy?\No way!\I'm just checking out some work stuff.\Man, you popular models are always so busy.\But you don't have anything on today, right? response:	Oh... yeah.
context: What's that, Kirino?\A guy?\No way!\I'm just checking out some work stuff.\Man, you popular models are always so busy.\But you don't have anything on today, right?\Oh... yeah. response:	Let's head home then.
context: What's that, Kirino?\A guy?\No way!\I'm just checking out some work stuff.\Man, you popular models are always so busy.\But you don't have anything on today, right?\Oh... yeah.\Let's head home then. response:	Okay.
context: A guy?\No way!\I'm just checking out some work stuff.\Man, you popular models are always so busy.\But you don't have anything on today, right?\Oh... yeah.\Let's head home then.\Okay. response:	Want to go anywhere?
context: No way!\I'm just checking out some work stuff.\Man, you popular models are always so busy.\But you don't have anything on today, right?\Oh... yeah.\Let's head home then.\Okay.\Want to go anywhere? response:	So, I bought some shoes the other day...
context: I'm just checking out some work stuff.\Man, you popular models are always so busy.\But you don't have anything on today, right?\Oh... yeah.\Let's head home then.\Okay.\Want to go anywhere?\So, I bought some shoes the other day... response:	And frankly, I'm out of cash now.
context: Man, you popular models are always so busy.\But you don't have anything on today, right?\Oh... yeah.\Let's head home then.\Okay.\Want to go anywhere?\So, I bought some shoes the other day...\And frankly, I'm out of cash now. response:	Mind lending me some?
context: But you don't have anything on today, right?\Oh... yeah.\Let's head home then.\Okay.\Want to go anywhere?\So, I bought some shoes the other day...\And frankly, I'm out of cash now.\Mind lending me some? response:	Kanako, have you ever heard the saying No work, no food?
context: Oh... yeah.\Let's head home then.\Okay.\Want to go anywhere?\So, I bought some shoes the other day...\And frankly, I'm out of cash now.\Mind lending me some?\Kanako, have you ever heard the saying No work, no food? response:	What's that mean? What language is that?
context: Let's head home then.\Okay.\Want to go anywhere?\So, I bought some shoes the other day...\And frankly, I'm out of cash now.\Mind lending me some?\Kanako, have you ever heard the saying No work, no food?\What's that mean? What language is that? response:	That was really hard to understand...
context: Okay.\Want to go anywhere?\So, I bought some shoes the other day...\And frankly, I'm out of cash now.\Mind lending me some?\Kanako, have you ever heard the saying No work, no food?\What's that mean? What language is that?\That was really hard to understand... response:	Seriously? A hidden character in Siscaly?
context: Want to go anywhere?\So, I bought some shoes the other day...\And frankly, I'm out of cash now.\Mind lending me some?\Kanako, have you ever heard the saying No work, no food?\What's that mean? What language is that?\That was really hard to understand...\Seriously? A hidden character in Siscaly? response:	I've never even seen this stage!
context: So, I bought some shoes the other day...\And frankly, I'm out of cash now.\Mind lending me some?\Kanako, have you ever heard the saying No work, no food?\What's that mean? What language is that?\That was really hard to understand...\Seriously? A hidden character in Siscaly?\I've never even seen this stage! response:	How'd you find it?
context: And frankly, I'm out of cash now.\Mind lending me some?\Kanako, have you ever heard the saying No work, no food?\What's that mean? What language is that?\That was really hard to understand...\Seriously? A hidden character in Siscaly?\I've never even seen this stage!\How'd you find it? response:	Here.
context: Mind lending me some?\Kanako, have you ever heard the saying No work, no food?\What's that mean? What language is that?\That was really hard to understand...\Seriously? A hidden character in Siscaly?\I've never even seen this stage!\How'd you find it?\Here. response:	Okay Kirino, let's go!
context: Kanako, have you ever heard the saying No work, no food?\What's that mean? What language is that?\That was really hard to understand...\Seriously? A hidden character in Siscaly?\I've never even seen this stage!\How'd you find it?\Here.\Okay Kirino, let's go! response:	Right...
context: What's that mean? What language is that?\That was really hard to understand...\Seriously? A hidden character in Siscaly?\I've never even seen this stage!\How'd you find it?\Here.\Okay Kirino, let's go!\Right... response:	Man, can't those otaku shut up?
context: That was really hard to understand...\Seriously? A hidden character in Siscaly?\I've never even seen this stage!\How'd you find it?\Here.\Okay Kirino, let's go!\Right...\Man, can't those otaku shut up? response:	< Title: There's No Way I'd Go to an IRL Meetup with My Sister >
context: Seriously? A hidden character in Siscaly?\I've never even seen this stage!\How'd you find it?\Here.\Okay Kirino, let's go!\Right...\Man, can't those otaku shut up?\< Title: There's No Way I'd Go to an IRL Meetup with My Sister > response:	I can't believe you!
context: I've never even seen this stage!\How'd you find it?\Here.\Okay Kirino, let's go!\Right...\Man, can't those otaku shut up?\< Title: There's No Way I'd Go to an IRL Meetup with My Sister >\I can't believe you! response:	You haven't gotten anywhere!
context: How'd you find it?\Here.\Okay Kirino, let's go!\Right...\Man, can't those otaku shut up?\< Title: There's No Way I'd Go to an IRL Meetup with My Sister >\I can't believe you!\You haven't gotten anywhere! response:	What have you been doing these last three days?
context: Here.\Okay Kirino, let's go!\Right...\Man, can't those otaku shut up?\< Title: There's No Way I'd Go to an IRL Meetup with My Sister >\I can't believe you!\You haven't gotten anywhere!\What have you been doing these last three days? response:	Living a normal life...
context: Okay Kirino, let's go!\Right...\Man, can't those otaku shut up?\< Title: There's No Way I'd Go to an IRL Meetup with My Sister >\I can't believe you!\You haven't gotten anywhere!\What have you been doing these last three days?\Living a normal life... response:	Normal people would take less than three days to clear this!
context: Right...\Man, can't those otaku shut up?\< Title: There's No Way I'd Go to an IRL Meetup with My Sister >\I can't believe you!\You haven't gotten anywhere!\What have you been doing these last three days?\Living a normal life...\Normal people would take less than three days to clear this! response:	I've never played a game like this before!
context: Man, can't those otaku shut up?\< Title: There's No Way I'd Go to an IRL Meetup with My Sister >\I can't believe you!\You haven't gotten anywhere!\What have you been doing these last three days?\Living a normal life...\Normal people would take less than three days to clear this!\I've never played a game like this before! response:	I don't know what I'm doing!
context: < Title: There's No Way I'd Go to an IRL Meetup with My Sister >\I can't believe you!\You haven't gotten anywhere!\What have you been doing these last three days?\Living a normal life...\Normal people would take less than three days to clear this!\I've never played a game like this before!\I don't know what I'm doing! response:	There. I turned on hints whenever you get a choice.
context: I can't believe you!\You haven't gotten anywhere!\What have you been doing these last three days?\Living a normal life...\Normal people would take less than three days to clear this!\I've never played a game like this before!\I don't know what I'm doing!\There. I turned on hints whenever you get a choice. response:	If you can't clear it now, you're better off dead.
context: You haven't gotten anywhere!\What have you been doing these last three days?\Living a normal life...\Normal people would take less than three days to clear this!\I've never played a game like this before!\I don't know what I'm doing!\There. I turned on hints whenever you get a choice.\If you can't clear it now, you're better off dead. response:	O-Okay...
