context: CCG Base to 203, response:	trespassers reported in the 20th Ward at the Aqua Building.
context: CCG Base to 203,\trespassers reported in the 20th Ward at the Aqua Building. response:	Trespassers are believed to be ghouls- repeat, ghouls.
context: CCG Base to 203,\trespassers reported in the 20th Ward at the Aqua Building.\Trespassers are believed to be ghouls- repeat, ghouls. response:	Proceed to location immediately.
context: CCG Base to 203,\trespassers reported in the 20th Ward at the Aqua Building.\Trespassers are believed to be ghouls- repeat, ghouls.\Proceed to location immediately. response:	Ah...
context: CCG Base to 203,\trespassers reported in the 20th Ward at the Aqua Building.\Trespassers are believed to be ghouls- repeat, ghouls.\Proceed to location immediately.\Ah... response:	More! More!
context: CCG Base to 203,\trespassers reported in the 20th Ward at the Aqua Building.\Trespassers are believed to be ghouls- repeat, ghouls.\Proceed to location immediately.\Ah...\More! More! response:	Delicious!
context: CCG Base to 203,\trespassers reported in the 20th Ward at the Aqua Building.\Trespassers are believed to be ghouls- repeat, ghouls.\Proceed to location immediately.\Ah...\More! More!\Delicious! response:	It looks like they weren't kidding when they called you a binge eater.
context: CCG Base to 203,\trespassers reported in the 20th Ward at the Aqua Building.\Trespassers are believed to be ghouls- repeat, ghouls.\Proceed to location immediately.\Ah...\More! More!\Delicious!\It looks like they weren't kidding when they called you a binge eater. response:	I hate being interrupted when I'm eating.
context: trespassers reported in the 20th Ward at the Aqua Building.\Trespassers are believed to be ghouls- repeat, ghouls.\Proceed to location immediately.\Ah...\More! More!\Delicious!\It looks like they weren't kidding when they called you a binge eater.\I hate being interrupted when I'm eating. response:	You don't know me, do you?
context: Trespassers are believed to be ghouls- repeat, ghouls.\Proceed to location immediately.\Ah...\More! More!\Delicious!\It looks like they weren't kidding when they called you a binge eater.\I hate being interrupted when I'm eating.\You don't know me, do you? response:	Yes, I do. You're a joyless fellow that enjoys bothering others.
context: Proceed to location immediately.\Ah...\More! More!\Delicious!\It looks like they weren't kidding when they called you a binge eater.\I hate being interrupted when I'm eating.\You don't know me, do you?\Yes, I do. You're a joyless fellow that enjoys bothering others. response:	I've got orders from above.
context: Ah...\More! More!\Delicious!\It looks like they weren't kidding when they called you a binge eater.\I hate being interrupted when I'm eating.\You don't know me, do you?\Yes, I do. You're a joyless fellow that enjoys bothering others.\I've got orders from above. response:	I'm supposed to take you alive.
context: More! More!\Delicious!\It looks like they weren't kidding when they called you a binge eater.\I hate being interrupted when I'm eating.\You don't know me, do you?\Yes, I do. You're a joyless fellow that enjoys bothering others.\I've got orders from above.\I'm supposed to take you alive. response:	But then, before I do, I can take a finger or two,
context: Delicious!\It looks like they weren't kidding when they called you a binge eater.\I hate being interrupted when I'm eating.\You don't know me, do you?\Yes, I do. You're a joyless fellow that enjoys bothering others.\I've got orders from above.\I'm supposed to take you alive.\But then, before I do, I can take a finger or two, response:	an arm or two, a leg or two...
context: It looks like they weren't kidding when they called you a binge eater.\I hate being interrupted when I'm eating.\You don't know me, do you?\Yes, I do. You're a joyless fellow that enjoys bothering others.\I've got orders from above.\I'm supposed to take you alive.\But then, before I do, I can take a finger or two,\an arm or two, a leg or two... response:	You don't mind, do you?
context: I hate being interrupted when I'm eating.\You don't know me, do you?\Yes, I do. You're a joyless fellow that enjoys bothering others.\I've got orders from above.\I'm supposed to take you alive.\But then, before I do, I can take a finger or two,\an arm or two, a leg or two...\You don't mind, do you? response:	A small toy for such a big body. I'll bet you like playing house.
context: You don't know me, do you?\Yes, I do. You're a joyless fellow that enjoys bothering others.\I've got orders from above.\I'm supposed to take you alive.\But then, before I do, I can take a finger or two,\an arm or two, a leg or two...\You don't mind, do you?\A small toy for such a big body. I'll bet you like playing house. response:	How adorable.
context: Yes, I do. You're a joyless fellow that enjoys bothering others.\I've got orders from above.\I'm supposed to take you alive.\But then, before I do, I can take a finger or two,\an arm or two, a leg or two...\You don't mind, do you?\A small toy for such a big body. I'll bet you like playing house.\How adorable. response:	Let me...
context: I've got orders from above.\I'm supposed to take you alive.\But then, before I do, I can take a finger or two,\an arm or two, a leg or two...\You don't mind, do you?\A small toy for such a big body. I'll bet you like playing house.\How adorable.\Let me... response:	take them from you.
context: I'm supposed to take you alive.\But then, before I do, I can take a finger or two,\an arm or two, a leg or two...\You don't mind, do you?\A small toy for such a big body. I'll bet you like playing house.\How adorable.\Let me...\take them from you. response:	Give them back. They're mine.
context: But then, before I do, I can take a finger or two,\an arm or two, a leg or two...\You don't mind, do you?\A small toy for such a big body. I'll bet you like playing house.\How adorable.\Let me...\take them from you.\Give them back. They're mine. response:	Give them back!
context: an arm or two, a leg or two...\You don't mind, do you?\A small toy for such a big body. I'll bet you like playing house.\How adorable.\Let me...\take them from you.\Give them back. They're mine.\Give them back! response:	I'm not going to play with you.
context: You don't mind, do you?\A small toy for such a big body. I'll bet you like playing house.\How adorable.\Let me...\take them from you.\Give them back. They're mine.\Give them back!\I'm not going to play with you. response:	Early this morning, several unidentified male bodies
context: A small toy for such a big body. I'll bet you like playing house.\How adorable.\Let me...\take them from you.\Give them back. They're mine.\Give them back!\I'm not going to play with you.\Early this morning, several unidentified male bodies response:	were discovered in the Aqua Building,
context: How adorable.\Let me...\take them from you.\Give them back. They're mine.\Give them back!\I'm not going to play with you.\Early this morning, several unidentified male bodies\were discovered in the Aqua Building, response:	a commercial facility in Tokyo's 20th Ward.
context: Let me...\take them from you.\Give them back. They're mine.\Give them back!\I'm not going to play with you.\Early this morning, several unidentified male bodies\were discovered in the Aqua Building,\a commercial facility in Tokyo's 20th Ward. response:	What is believed to be saliva belonging to ghouls
context: take them from you.\Give them back. They're mine.\Give them back!\I'm not going to play with you.\Early this morning, several unidentified male bodies\were discovered in the Aqua Building,\a commercial facility in Tokyo's 20th Ward.\What is believed to be saliva belonging to ghouls response:	was retrieved from the bodies,
