context: Oursworn enemy: Naraku. response:	Taking possession of more and more Sacred Jewel shards,
context: Oursworn enemy: Naraku.\Taking possession of more and more Sacred Jewel shards, response:	he is becoming increasingly powerful.
context: Oursworn enemy: Naraku.\Taking possession of more and more Sacred Jewel shards,\he is becoming increasingly powerful. response:	It's not only his hatred towards Inuyasha.
context: Oursworn enemy: Naraku.\Taking possession of more and more Sacred Jewel shards,\he is becoming increasingly powerful.\It's not only his hatred towards Inuyasha. response:	Each and every time, without ever sullying his own hands,
context: Oursworn enemy: Naraku.\Taking possession of more and more Sacred Jewel shards,\he is becoming increasingly powerful.\It's not only his hatred towards Inuyasha.\Each and every time, without ever sullying his own hands, response:	he manipulates people and events.
context: Oursworn enemy: Naraku.\Taking possession of more and more Sacred Jewel shards,\he is becoming increasingly powerful.\It's not only his hatred towards Inuyasha.\Each and every time, without ever sullying his own hands,\he manipulates people and events. response:	In orderto undo the curse he put on Miroku's Wind Tunnel and
context: Oursworn enemy: Naraku.\Taking possession of more and more Sacred Jewel shards,\he is becoming increasingly powerful.\It's not only his hatred towards Inuyasha.\Each and every time, without ever sullying his own hands,\he manipulates people and events.\In orderto undo the curse he put on Miroku's Wind Tunnel and response:	to help Sango rescue herbrother, Kohaku, from Naraku's despicable grasp,
context: Oursworn enemy: Naraku.\Taking possession of more and more Sacred Jewel shards,\he is becoming increasingly powerful.\It's not only his hatred towards Inuyasha.\Each and every time, without ever sullying his own hands,\he manipulates people and events.\In orderto undo the curse he put on Miroku's Wind Tunnel and\to help Sango rescue herbrother, Kohaku, from Naraku's despicable grasp, response:	we have to find Naraku and destroy him as soon as possible!
context: Taking possession of more and more Sacred Jewel shards,\he is becoming increasingly powerful.\It's not only his hatred towards Inuyasha.\Each and every time, without ever sullying his own hands,\he manipulates people and events.\In orderto undo the curse he put on Miroku's Wind Tunnel and\to help Sango rescue herbrother, Kohaku, from Naraku's despicable grasp,\we have to find Naraku and destroy him as soon as possible! response:	What's the matter, Inuyasha?
context: he is becoming increasingly powerful.\It's not only his hatred towards Inuyasha.\Each and every time, without ever sullying his own hands,\he manipulates people and events.\In orderto undo the curse he put on Miroku's Wind Tunnel and\to help Sango rescue herbrother, Kohaku, from Naraku's despicable grasp,\we have to find Naraku and destroy him as soon as possible!\What's the matter, Inuyasha? response:	I smell him...
context: It's not only his hatred towards Inuyasha.\Each and every time, without ever sullying his own hands,\he manipulates people and events.\In orderto undo the curse he put on Miroku's Wind Tunnel and\to help Sango rescue herbrother, Kohaku, from Naraku's despicable grasp,\we have to find Naraku and destroy him as soon as possible!\What's the matter, Inuyasha?\I smell him... response:	It's Naraku!
