context: Mameshiba response:	-OP-
context: Mameshiba\-OP- response:	-ED-
context: Mameshiba\-OP-\-ED- response:	-TS-
context: Mameshiba\-OP-\-ED-\-TS- response:	Mameshiba
context: Mameshiba\-OP-\-ED-\-TS-\Mameshiba response:	Ba by!
context: Mameshiba\-OP-\-ED-\-TS-\Mameshiba\Ba by! response:	Shi ba!
context: Mameshiba\-OP-\-ED-\-TS-\Mameshiba\Ba by!\Shi ba! response:	Ba by!
context: Mameshiba\-OP-\-ED-\-TS-\Mameshiba\Ba by!\Shi ba!\Ba by! response:	Mameshiba
context: -OP-\-ED-\-TS-\Mameshiba\Ba by!\Shi ba!\Ba by!\Mameshiba response:	LOVE
context: -ED-\-TS-\Mameshiba\Ba by!\Shi ba!\Ba by!\Mameshiba\LOVE response:	The Garden of Amahara?
context: -TS-\Mameshiba\Ba by!\Shi ba!\Ba by!\Mameshiba\LOVE\The Garden of Amahara? response:	Yes. Do you know about it?
context: Mameshiba\Ba by!\Shi ba!\Ba by!\Mameshiba\LOVE\The Garden of Amahara?\Yes. Do you know about it? response:	Yup. But I don't like it outside.
context: Ba by!\Shi ba!\Ba by!\Mameshiba\LOVE\The Garden of Amahara?\Yes. Do you know about it?\Yup. But I don't like it outside. response:	It's a garden that God created and where he gathered all the plants of the world.
context: Shi ba!\Ba by!\Mameshiba\LOVE\The Garden of Amahara?\Yes. Do you know about it?\Yup. But I don't like it outside.\It's a garden that God created and where he gathered all the plants of the world. response:	They say that if you go there, you'll see all the flowers that grow in this world.
context: Ba by!\Mameshiba\LOVE\The Garden of Amahara?\Yes. Do you know about it?\Yup. But I don't like it outside.\It's a garden that God created and where he gathered all the plants of the world.\They say that if you go there, you'll see all the flowers that grow in this world. response:	Really? I want to go there!
context: Mameshiba\LOVE\The Garden of Amahara?\Yes. Do you know about it?\Yup. But I don't like it outside.\It's a garden that God created and where he gathered all the plants of the world.\They say that if you go there, you'll see all the flowers that grow in this world.\Really? I want to go there! response:	Granny, let's go there together!
context: LOVE\The Garden of Amahara?\Yes. Do you know about it?\Yup. But I don't like it outside.\It's a garden that God created and where he gathered all the plants of the world.\They say that if you go there, you'll see all the flowers that grow in this world.\Really? I want to go there!\Granny, let's go there together! response:	I'd like to go but I'm too old and my legs hurt.
context: The Garden of Amahara?\Yes. Do you know about it?\Yup. But I don't like it outside.\It's a garden that God created and where he gathered all the plants of the world.\They say that if you go there, you'll see all the flowers that grow in this world.\Really? I want to go there!\Granny, let's go there together!\I'd like to go but I'm too old and my legs hurt. response:	And besides, this garden is my treasure so I can't just leave it.
context: Yes. Do you know about it?\Yup. But I don't like it outside.\It's a garden that God created and where he gathered all the plants of the world.\They say that if you go there, you'll see all the flowers that grow in this world.\Really? I want to go there!\Granny, let's go there together!\I'd like to go but I'm too old and my legs hurt.\And besides, this garden is my treasure so I can't just leave it. response:	When you grow up, you should go look for it.
context: Yup. But I don't like it outside.\It's a garden that God created and where he gathered all the plants of the world.\They say that if you go there, you'll see all the flowers that grow in this world.\Really? I want to go there!\Granny, let's go there together!\I'd like to go but I'm too old and my legs hurt.\And besides, this garden is my treasure so I can't just leave it.\When you grow up, you should go look for it. response:	Yes!
context: It's a garden that God created and where he gathered all the plants of the world.\They say that if you go there, you'll see all the flowers that grow in this world.\Really? I want to go there!\Granny, let's go there together!\I'd like to go but I'm too old and my legs hurt.\And besides, this garden is my treasure so I can't just leave it.\When you grow up, you should go look for it.\Yes! response:	How can this story be so horribly hopeless?
context: They say that if you go there, you'll see all the flowers that grow in this world.\Really? I want to go there!\Granny, let's go there together!\I'd like to go but I'm too old and my legs hurt.\And besides, this garden is my treasure so I can't just leave it.\When you grow up, you should go look for it.\Yes!\How can this story be so horribly hopeless? response:	Brother!
context: Really? I want to go there!\Granny, let's go there together!\I'd like to go but I'm too old and my legs hurt.\And besides, this garden is my treasure so I can't just leave it.\When you grow up, you should go look for it.\Yes!\How can this story be so horribly hopeless?\Brother! response:	Hey, damn you! Give that back!
context: Granny, let's go there together!\I'd like to go but I'm too old and my legs hurt.\And besides, this garden is my treasure so I can't just leave it.\When you grow up, you should go look for it.\Yes!\How can this story be so horribly hopeless?\Brother!\Hey, damn you! Give that back! response:	Don't treat my manga like that.
context: I'd like to go but I'm too old and my legs hurt.\And besides, this garden is my treasure so I can't just leave it.\When you grow up, you should go look for it.\Yes!\How can this story be so horribly hopeless?\Brother!\Hey, damn you! Give that back!\Don't treat my manga like that. response:	And how are your studies?
context: And besides, this garden is my treasure so I can't just leave it.\When you grow up, you should go look for it.\Yes!\How can this story be so horribly hopeless?\Brother!\Hey, damn you! Give that back!\Don't treat my manga like that.\And how are your studies? response:	Have you taken a look at the materials I gave you yesterday?
context: When you grow up, you should go look for it.\Yes!\How can this story be so horribly hopeless?\Brother!\Hey, damn you! Give that back!\Don't treat my manga like that.\And how are your studies?\Have you taken a look at the materials I gave you yesterday? response:	I did, I did! But...
context: Yes!\How can this story be so horribly hopeless?\Brother!\Hey, damn you! Give that back!\Don't treat my manga like that.\And how are your studies?\Have you taken a look at the materials I gave you yesterday?\I did, I did! But... response:	Bible Stories for Children
context: How can this story be so horribly hopeless?\Brother!\Hey, damn you! Give that back!\Don't treat my manga like that.\And how are your studies?\Have you taken a look at the materials I gave you yesterday?\I did, I did! But...\Bible Stories for Children response:	Why is it all children's stories?!
context: Brother!\Hey, damn you! Give that back!\Don't treat my manga like that.\And how are your studies?\Have you taken a look at the materials I gave you yesterday?\I did, I did! But...\Bible Stories for Children\Why is it all children's stories?! response:	You're getting carried away with making fun of me!
context: Hey, damn you! Give that back!\Don't treat my manga like that.\And how are your studies?\Have you taken a look at the materials I gave you yesterday?\I did, I did! But...\Bible Stories for Children\Why is it all children's stories?!\You're getting carried away with making fun of me! response:	I'm not making fun of you, it's just suited for your intelligence.
context: Don't treat my manga like that.\And how are your studies?\Have you taken a look at the materials I gave you yesterday?\I did, I did! But...\Bible Stories for Children\Why is it all children's stories?!\You're getting carried away with making fun of me!\I'm not making fun of you, it's just suited for your intelligence. response:	You damn spotty four-eyes!
context: And how are your studies?\Have you taken a look at the materials I gave you yesterday?\I did, I did! But...\Bible Stories for Children\Why is it all children's stories?!\You're getting carried away with making fun of me!\I'm not making fun of you, it's just suited for your intelligence.\You damn spotty four-eyes! response:	I thought stuff like this would be easier for you to understand.
context: Have you taken a look at the materials I gave you yesterday?\I did, I did! But...\Bible Stories for Children\Why is it all children's stories?!\You're getting carried away with making fun of me!\I'm not making fun of you, it's just suited for your intelligence.\You damn spotty four-eyes!\I thought stuff like this would be easier for you to understand. response:	Are you implying that I'm not suited for obediently sitting at my desk and studying?
context: I did, I did! But...\Bible Stories for Children\Why is it all children's stories?!\You're getting carried away with making fun of me!\I'm not making fun of you, it's just suited for your intelligence.\You damn spotty four-eyes!\I thought stuff like this would be easier for you to understand.\Are you implying that I'm not suited for obediently sitting at my desk and studying? response:	That hadn't crossed my mind.
context: Bible Stories for Children\Why is it all children's stories?!\You're getting carried away with making fun of me!\I'm not making fun of you, it's just suited for your intelligence.\You damn spotty four-eyes!\I thought stuff like this would be easier for you to understand.\Are you implying that I'm not suited for obediently sitting at my desk and studying?\That hadn't crossed my mind. response:	Don't you want to become an Exorcist?
context: Why is it all children's stories?!\You're getting carried away with making fun of me!\I'm not making fun of you, it's just suited for your intelligence.\You damn spotty four-eyes!\I thought stuff like this would be easier for you to understand.\Are you implying that I'm not suited for obediently sitting at my desk and studying?\That hadn't crossed my mind.\Don't you want to become an Exorcist? response:	Well, yeah...
context: You're getting carried away with making fun of me!\I'm not making fun of you, it's just suited for your intelligence.\You damn spotty four-eyes!\I thought stuff like this would be easier for you to understand.\Are you implying that I'm not suited for obediently sitting at my desk and studying?\That hadn't crossed my mind.\Don't you want to become an Exorcist?\Well, yeah... response:	Then stop slacking.
context: I'm not making fun of you, it's just suited for your intelligence.\You damn spotty four-eyes!\I thought stuff like this would be easier for you to understand.\Are you implying that I'm not suited for obediently sitting at my desk and studying?\That hadn't crossed my mind.\Don't you want to become an Exorcist?\Well, yeah...\Then stop slacking. response:	I need to prepare for the lessons.
context: You damn spotty four-eyes!\I thought stuff like this would be easier for you to understand.\Are you implying that I'm not suited for obediently sitting at my desk and studying?\That hadn't crossed my mind.\Don't you want to become an Exorcist?\Well, yeah...\Then stop slacking.\I need to prepare for the lessons. response:	Are you going somewhere?
context: I thought stuff like this would be easier for you to understand.\Are you implying that I'm not suited for obediently sitting at my desk and studying?\That hadn't crossed my mind.\Don't you want to become an Exorcist?\Well, yeah...\Then stop slacking.\I need to prepare for the lessons.\Are you going somewhere? response:	I received a request, and I'm going shopping while I'm out.
context: Are you implying that I'm not suited for obediently sitting at my desk and studying?\That hadn't crossed my mind.\Don't you want to become an Exorcist?\Well, yeah...\Then stop slacking.\I need to prepare for the lessons.\Are you going somewhere?\I received a request, and I'm going shopping while I'm out. response:	I don't think it'll take long.
context: That hadn't crossed my mind.\Don't you want to become an Exorcist?\Well, yeah...\Then stop slacking.\I need to prepare for the lessons.\Are you going somewhere?\I received a request, and I'm going shopping while I'm out.\I don't think it'll take long. response:	Request? Does that mean an exorcism?
context: Don't you want to become an Exorcist?\Well, yeah...\Then stop slacking.\I need to prepare for the lessons.\Are you going somewhere?\I received a request, and I'm going shopping while I'm out.\I don't think it'll take long.\Request? Does that mean an exorcism? response:	Yeah.
context: Well, yeah...\Then stop slacking.\I need to prepare for the lessons.\Are you going somewhere?\I received a request, and I'm going shopping while I'm out.\I don't think it'll take long.\Request? Does that mean an exorcism?\Yeah. response:	Take me with you!
context: Then stop slacking.\I need to prepare for the lessons.\Are you going somewhere?\I received a request, and I'm going shopping while I'm out.\I don't think it'll take long.\Request? Does that mean an exorcism?\Yeah.\Take me with you! response:	Won't it be much more educational for me than burying my nose in books?
context: I need to prepare for the lessons.\Are you going somewhere?\I received a request, and I'm going shopping while I'm out.\I don't think it'll take long.\Request? Does that mean an exorcism?\Yeah.\Take me with you!\Won't it be much more educational for me than burying my nose in books? response:	But you're still a Page.
context: Are you going somewhere?\I received a request, and I'm going shopping while I'm out.\I don't think it'll take long.\Request? Does that mean an exorcism?\Yeah.\Take me with you!\Won't it be much more educational for me than burying my nose in books?\But you're still a Page. response:	You don't have authorization for actual combat on that level.
context: I received a request, and I'm going shopping while I'm out.\I don't think it'll take long.\Request? Does that mean an exorcism?\Yeah.\Take me with you!\Won't it be much more educational for me than burying my nose in books?\But you're still a Page.\You don't have authorization for actual combat on that level. response:	Isn't it too late to worry about that in my case?
context: I don't think it'll take long.\Request? Does that mean an exorcism?\Yeah.\Take me with you!\Won't it be much more educational for me than burying my nose in books?\But you're still a Page.\You don't have authorization for actual combat on that level.\Isn't it too late to worry about that in my case? response:	That's true...
context: Request? Does that mean an exorcism?\Yeah.\Take me with you!\Won't it be much more educational for me than burying my nose in books?\But you're still a Page.\You don't have authorization for actual combat on that level.\Isn't it too late to worry about that in my case?\That's true... response:	Fine then, but just to observe.
context: Yeah.\Take me with you!\Won't it be much more educational for me than burying my nose in books?\But you're still a Page.\You don't have authorization for actual combat on that level.\Isn't it too late to worry about that in my case?\That's true...\Fine then, but just to observe. response:	That's what I expected!
context: Take me with you!\Won't it be much more educational for me than burying my nose in books?\But you're still a Page.\You don't have authorization for actual combat on that level.\Isn't it too late to worry about that in my case?\That's true...\Fine then, but just to observe.\That's what I expected! response:	However... Pay attention to what I tell you.
context: Won't it be much more educational for me than burying my nose in books?\But you're still a Page.\You don't have authorization for actual combat on that level.\Isn't it too late to worry about that in my case?\That's true...\Fine then, but just to observe.\That's what I expected!\However... Pay attention to what I tell you. response:	And don't go soloing.
context: But you're still a Page.\You don't have authorization for actual combat on that level.\Isn't it too late to worry about that in my case?\That's true...\Fine then, but just to observe.\That's what I expected!\However... Pay attention to what I tell you.\And don't go soloing. response:	Gotcha!
context: You don't have authorization for actual combat on that level.\Isn't it too late to worry about that in my case?\That's true...\Fine then, but just to observe.\That's what I expected!\However... Pay attention to what I tell you.\And don't go soloing.\Gotcha! response:	This is the key to the supply store.
context: Isn't it too late to worry about that in my case?\That's true...\Fine then, but just to observe.\That's what I expected!\However... Pay attention to what I tell you.\And don't go soloing.\Gotcha!\This is the key to the supply store. response:	It's one of the keys that only Exorcists can carry.
context: That's true...\Fine then, but just to observe.\That's what I expected!\However... Pay attention to what I tell you.\And don't go soloing.\Gotcha!\This is the key to the supply store.\It's one of the keys that only Exorcists can carry. response:	And you got one? That's awesome.
context: Fine then, but just to observe.\That's what I expected!\However... Pay attention to what I tell you.\And don't go soloing.\Gotcha!\This is the key to the supply store.\It's one of the keys that only Exorcists can carry.\And you got one? That's awesome. response:	High!
context: That's what I expected!\However... Pay attention to what I tell you.\And don't go soloing.\Gotcha!\This is the key to the supply store.\It's one of the keys that only Exorcists can carry.\And you got one? That's awesome.\High! response:	Does that key make us warp or something?
context: However... Pay attention to what I tell you.\And don't go soloing.\Gotcha!\This is the key to the supply store.\It's one of the keys that only Exorcists can carry.\And you got one? That's awesome.\High!\Does that key make us warp or something? response:	This academy is a very important place for the Order of True Cross.
context: And don't go soloing.\Gotcha!\This is the key to the supply store.\It's one of the keys that only Exorcists can carry.\And you got one? That's awesome.\High!\Does that key make us warp or something?\This academy is a very important place for the Order of True Cross. response:	So the Principal has used his power to set a maze of amulets and barriers to ward off demons.
context: Gotcha!\This is the key to the supply store.\It's one of the keys that only Exorcists can carry.\And you got one? That's awesome.\High!\Does that key make us warp or something?\This academy is a very important place for the Order of True Cross.\So the Principal has used his power to set a maze of amulets and barriers to ward off demons. response:	Oh, him... I guess he's not just any ordinary clown.
context: This is the key to the supply store.\It's one of the keys that only Exorcists can carry.\And you got one? That's awesome.\High!\Does that key make us warp or something?\This academy is a very important place for the Order of True Cross.\So the Principal has used his power to set a maze of amulets and barriers to ward off demons.\Oh, him... I guess he's not just any ordinary clown. response:	You can avoid those traps and visit the world outside the academy if you have the keys.
context: It's one of the keys that only Exorcists can carry.\And you got one? That's awesome.\High!\Does that key make us warp or something?\This academy is a very important place for the Order of True Cross.\So the Principal has used his power to set a maze of amulets and barriers to ward off demons.\Oh, him... I guess he's not just any ordinary clown.\You can avoid those traps and visit the world outside the academy if you have the keys. response:	I see...
