context: JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 13 We Picked Up Something Crazy!
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 13 We Picked Up Something Crazy! response:	Next on Morioh Radio, we have a letter from Troubled Lonesome Boy.
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 13 We Picked Up Something Crazy!\Next on Morioh Radio, we have a letter from Troubled Lonesome Boy. response:	Kai, listen to this.
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 13 We Picked Up Something Crazy!\Next on Morioh Radio, we have a letter from Troubled Lonesome Boy.\Kai, listen to this. response:	I can't get a hold of my girlfriend at all and it's making me blue.
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 13 We Picked Up Something Crazy!\Next on Morioh Radio, we have a letter from Troubled Lonesome Boy.\Kai, listen to this.\I can't get a hold of my girlfriend at all and it's making me blue. response:	I wonder if she's mad because I proposed suddenly.
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 13 We Picked Up Something Crazy!\Next on Morioh Radio, we have a letter from Troubled Lonesome Boy.\Kai, listen to this.\I can't get a hold of my girlfriend at all and it's making me blue.\I wonder if she's mad because I proposed suddenly. response:	And I spent all my pay on an engagement ring with a ruby, her birthstone...
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 13 We Picked Up Something Crazy!\Next on Morioh Radio, we have a letter from Troubled Lonesome Boy.\Kai, listen to this.\I can't get a hold of my girlfriend at all and it's making me blue.\I wonder if she's mad because I proposed suddenly.\And I spent all my pay on an engagement ring with a ruby, her birthstone... response:	So you were able to successfully retrieve the bow and arrow.
context: Diamond is Unbreakable\Episode 13 We Picked Up Something Crazy!\Next on Morioh Radio, we have a letter from Troubled Lonesome Boy.\Kai, listen to this.\I can't get a hold of my girlfriend at all and it's making me blue.\I wonder if she's mad because I proposed suddenly.\And I spent all my pay on an engagement ring with a ruby, her birthstone...\So you were able to successfully retrieve the bow and arrow. response:	Yeah, from Akira Otoishi's place.
context: Episode 13 We Picked Up Something Crazy!\Next on Morioh Radio, we have a letter from Troubled Lonesome Boy.\Kai, listen to this.\I can't get a hold of my girlfriend at all and it's making me blue.\I wonder if she's mad because I proposed suddenly.\And I spent all my pay on an engagement ring with a ruby, her birthstone...\So you were able to successfully retrieve the bow and arrow.\Yeah, from Akira Otoishi's place. response:	He'd been committing burglaries with his Stand.
context: Next on Morioh Radio, we have a letter from Troubled Lonesome Boy.\Kai, listen to this.\I can't get a hold of my girlfriend at all and it's making me blue.\I wonder if she's mad because I proposed suddenly.\And I spent all my pay on an engagement ring with a ruby, her birthstone...\So you were able to successfully retrieve the bow and arrow.\Yeah, from Akira Otoishi's place.\He'd been committing burglaries with his Stand. response:	Roughly 500 million yen worth.
context: Kai, listen to this.\I can't get a hold of my girlfriend at all and it's making me blue.\I wonder if she's mad because I proposed suddenly.\And I spent all my pay on an engagement ring with a ruby, her birthstone...\So you were able to successfully retrieve the bow and arrow.\Yeah, from Akira Otoishi's place.\He'd been committing burglaries with his Stand.\Roughly 500 million yen worth. response:	The police are still looking into it.
context: I can't get a hold of my girlfriend at all and it's making me blue.\I wonder if she's mad because I proposed suddenly.\And I spent all my pay on an engagement ring with a ruby, her birthstone...\So you were able to successfully retrieve the bow and arrow.\Yeah, from Akira Otoishi's place.\He'd been committing burglaries with his Stand.\Roughly 500 million yen worth.\The police are still looking into it. response:	Try doing something with your Stand again.
context: I wonder if she's mad because I proposed suddenly.\And I spent all my pay on an engagement ring with a ruby, her birthstone...\So you were able to successfully retrieve the bow and arrow.\Yeah, from Akira Otoishi's place.\He'd been committing burglaries with his Stand.\Roughly 500 million yen worth.\The police are still looking into it.\Try doing something with your Stand again. response:	I'll send you to the ends of the Earth and kill you there.
context: And I spent all my pay on an engagement ring with a ruby, her birthstone...\So you were able to successfully retrieve the bow and arrow.\Yeah, from Akira Otoishi's place.\He'd been committing burglaries with his Stand.\Roughly 500 million yen worth.\The police are still looking into it.\Try doing something with your Stand again.\I'll send you to the ends of the Earth and kill you there. response:	I'll be safest in prison!
context: So you were able to successfully retrieve the bow and arrow.\Yeah, from Akira Otoishi's place.\He'd been committing burglaries with his Stand.\Roughly 500 million yen worth.\The police are still looking into it.\Try doing something with your Stand again.\I'll send you to the ends of the Earth and kill you there.\I'll be safest in prison! response:	Chili Pepper's in pieces.
context: Yeah, from Akira Otoishi's place.\He'd been committing burglaries with his Stand.\Roughly 500 million yen worth.\The police are still looking into it.\Try doing something with your Stand again.\I'll send you to the ends of the Earth and kill you there.\I'll be safest in prison!\Chili Pepper's in pieces. response:	Even if he gets out of jail, I'm sure he won't try anything again.
context: He'd been committing burglaries with his Stand.\Roughly 500 million yen worth.\The police are still looking into it.\Try doing something with your Stand again.\I'll send you to the ends of the Earth and kill you there.\I'll be safest in prison!\Chili Pepper's in pieces.\Even if he gets out of jail, I'm sure he won't try anything again. response:	Jotaro, what are you going to do with the bow and arrow?
context: Roughly 500 million yen worth.\The police are still looking into it.\Try doing something with your Stand again.\I'll send you to the ends of the Earth and kill you there.\I'll be safest in prison!\Chili Pepper's in pieces.\Even if he gets out of jail, I'm sure he won't try anything again.\Jotaro, what are you going to do with the bow and arrow? response:	The Speedwagon Foundation is going to hold on to it and research it.
context: The police are still looking into it.\Try doing something with your Stand again.\I'll send you to the ends of the Earth and kill you there.\I'll be safest in prison!\Chili Pepper's in pieces.\Even if he gets out of jail, I'm sure he won't try anything again.\Jotaro, what are you going to do with the bow and arrow?\The Speedwagon Foundation is going to hold on to it and research it. response:	It's a crucial piece of evidence we can use to unravel the mystery behind Stands.
context: Try doing something with your Stand again.\I'll send you to the ends of the Earth and kill you there.\I'll be safest in prison!\Chili Pepper's in pieces.\Even if he gets out of jail, I'm sure he won't try anything again.\Jotaro, what are you going to do with the bow and arrow?\The Speedwagon Foundation is going to hold on to it and research it.\It's a crucial piece of evidence we can use to unravel the mystery behind Stands. response:	That's great.
