context: Once upon a time, there was a man who died. response:	The man had the power to make stories come true,
context: Once upon a time, there was a man who died.\The man had the power to make stories come true, response:	so his hands were cut off by the people,
context: Once upon a time, there was a man who died.\The man had the power to make stories come true,\so his hands were cut off by the people, response:	who were afraid of tragedies becoming reality.
context: Once upon a time, there was a man who died.\The man had the power to make stories come true,\so his hands were cut off by the people,\who were afraid of tragedies becoming reality. response:	When the man died, the people heaved a great sigh of relief.
context: Once upon a time, there was a man who died.\The man had the power to make stories come true,\so his hands were cut off by the people,\who were afraid of tragedies becoming reality.\When the man died, the people heaved a great sigh of relief. response:	However, when his hands were cut off, the man had been writing a story in his own blood.
context: Once upon a time, there was a man who died.\The man had the power to make stories come true,\so his hands were cut off by the people,\who were afraid of tragedies becoming reality.\When the man died, the people heaved a great sigh of relief.\However, when his hands were cut off, the man had been writing a story in his own blood. response:	That was a story of the man himself, who would continue to spin stories even after his death.
context: Once upon a time, there was a man who died.\The man had the power to make stories come true,\so his hands were cut off by the people,\who were afraid of tragedies becoming reality.\When the man died, the people heaved a great sigh of relief.\However, when his hands were cut off, the man had been writing a story in his own blood.\That was a story of the man himself, who would continue to spin stories even after his death. response:	What?
context: Once upon a time, there was a man who died.\The man had the power to make stories come true,\so his hands were cut off by the people,\who were afraid of tragedies becoming reality.\When the man died, the people heaved a great sigh of relief.\However, when his hands were cut off, the man had been writing a story in his own blood.\That was a story of the man himself, who would continue to spin stories even after his death.\What? response:	No way! How could this be?!
context: The man had the power to make stories come true,\so his hands were cut off by the people,\who were afraid of tragedies becoming reality.\When the man died, the people heaved a great sigh of relief.\However, when his hands were cut off, the man had been writing a story in his own blood.\That was a story of the man himself, who would continue to spin stories even after his death.\What?\No way! How could this be?! response:	To think the words of true love that Tutu was supposed to say, Princess Kraehe said instead!
context: so his hands were cut off by the people,\who were afraid of tragedies becoming reality.\When the man died, the people heaved a great sigh of relief.\However, when his hands were cut off, the man had been writing a story in his own blood.\That was a story of the man himself, who would continue to spin stories even after his death.\What?\No way! How could this be?!\To think the words of true love that Tutu was supposed to say, Princess Kraehe said instead! response:	Even though she was raised on raven's blood, and shouldn't even know how to love...
context: who were afraid of tragedies becoming reality.\When the man died, the people heaved a great sigh of relief.\However, when his hands were cut off, the man had been writing a story in his own blood.\That was a story of the man himself, who would continue to spin stories even after his death.\What?\No way! How could this be?!\To think the words of true love that Tutu was supposed to say, Princess Kraehe said instead!\Even though she was raised on raven's blood, and shouldn't even know how to love... response:	But even so, you still can't escape tragedy, Little Duck.
