context: Ange Kuroki. Age: 15. response:	AHSMB's Shadow
context: Ange Kuroki. Age: 15.\AHSMB's Shadow response:	Apparently this is a real problem child.
context: Ange Kuroki. Age: 15.\AHSMB's Shadow\Apparently this is a real problem child. response:	As a pilot, Ange is highly skilled.
context: Ange Kuroki. Age: 15.\AHSMB's Shadow\Apparently this is a real problem child.\As a pilot, Ange is highly skilled. response:	Ange is taking full advantage of the unit's capabilities.
context: Ange Kuroki. Age: 15.\AHSMB's Shadow\Apparently this is a real problem child.\As a pilot, Ange is highly skilled.\Ange is taking full advantage of the unit's capabilities. response:	But there are considerable
context: Ange Kuroki. Age: 15.\AHSMB's Shadow\Apparently this is a real problem child.\As a pilot, Ange is highly skilled.\Ange is taking full advantage of the unit's capabilities.\But there are considerable response:	problems on the cooperation and social skills end.
context: Ange Kuroki. Age: 15.\AHSMB's Shadow\Apparently this is a real problem child.\As a pilot, Ange is highly skilled.\Ange is taking full advantage of the unit's capabilities.\But there are considerable\problems on the cooperation and social skills end. response:	We need to see a bit more mental stability!
context: Ange Kuroki. Age: 15.\AHSMB's Shadow\Apparently this is a real problem child.\As a pilot, Ange is highly skilled.\Ange is taking full advantage of the unit's capabilities.\But there are considerable\problems on the cooperation and social skills end.\We need to see a bit more mental stability! response:	That very issue has the other five members
context: AHSMB's Shadow\Apparently this is a real problem child.\As a pilot, Ange is highly skilled.\Ange is taking full advantage of the unit's capabilities.\But there are considerable\problems on the cooperation and social skills end.\We need to see a bit more mental stability!\That very issue has the other five members response:	of Team Rabbits terrified.
context: Apparently this is a real problem child.\As a pilot, Ange is highly skilled.\Ange is taking full advantage of the unit's capabilities.\But there are considerable\problems on the cooperation and social skills end.\We need to see a bit more mental stability!\That very issue has the other five members\of Team Rabbits terrified. response:	It's a good thing Izuru is the leader.
context: As a pilot, Ange is highly skilled.\Ange is taking full advantage of the unit's capabilities.\But there are considerable\problems on the cooperation and social skills end.\We need to see a bit more mental stability!\That very issue has the other five members\of Team Rabbits terrified.\It's a good thing Izuru is the leader. response:	Anyone else, and I imagine
context: Ange is taking full advantage of the unit's capabilities.\But there are considerable\problems on the cooperation and social skills end.\We need to see a bit more mental stability!\That very issue has the other five members\of Team Rabbits terrified.\It's a good thing Izuru is the leader.\Anyone else, and I imagine response:	the team would be in even worse shape.
context: But there are considerable\problems on the cooperation and social skills end.\We need to see a bit more mental stability!\That very issue has the other five members\of Team Rabbits terrified.\It's a good thing Izuru is the leader.\Anyone else, and I imagine\the team would be in even worse shape. response:	It looks like we're forcing another toughie on him.
context: problems on the cooperation and social skills end.\We need to see a bit more mental stability!\That very issue has the other five members\of Team Rabbits terrified.\It's a good thing Izuru is the leader.\Anyone else, and I imagine\the team would be in even worse shape.\It looks like we're forcing another toughie on him. response:	Excuse me...
context: We need to see a bit more mental stability!\That very issue has the other five members\of Team Rabbits terrified.\It's a good thing Izuru is the leader.\Anyone else, and I imagine\the team would be in even worse shape.\It looks like we're forcing another toughie on him.\Excuse me... response:	Uh, Officer Ange?
context: That very issue has the other five members\of Team Rabbits terrified.\It's a good thing Izuru is the leader.\Anyone else, and I imagine\the team would be in even worse shape.\It looks like we're forcing another toughie on him.\Excuse me...\Uh, Officer Ange? response:	Whoa!
context: of Team Rabbits terrified.\It's a good thing Izuru is the leader.\Anyone else, and I imagine\the team would be in even worse shape.\It looks like we're forcing another toughie on him.\Excuse me...\Uh, Officer Ange?\Whoa! response:	S-sorry! I didn't mean to startle you.
context: It's a good thing Izuru is the leader.\Anyone else, and I imagine\the team would be in even worse shape.\It looks like we're forcing another toughie on him.\Excuse me...\Uh, Officer Ange?\Whoa!\S-sorry! I didn't mean to startle you. response:	N-no, I'm sorry!
context: Anyone else, and I imagine\the team would be in even worse shape.\It looks like we're forcing another toughie on him.\Excuse me...\Uh, Officer Ange?\Whoa!\S-sorry! I didn't mean to startle you.\N-no, I'm sorry! response:	I tend to get lost in my own world when I'm concentrating.
context: the team would be in even worse shape.\It looks like we're forcing another toughie on him.\Excuse me...\Uh, Officer Ange?\Whoa!\S-sorry! I didn't mean to startle you.\N-no, I'm sorry!\I tend to get lost in my own world when I'm concentrating. response:	I-I know!
context: It looks like we're forcing another toughie on him.\Excuse me...\Uh, Officer Ange?\Whoa!\S-sorry! I didn't mean to startle you.\N-no, I'm sorry!\I tend to get lost in my own world when I'm concentrating.\I-I know! response:	You were like that on the battlefield yesterday...
