context: Eek! It's so cold! response:	Well, it is the end of December.
context: Eek! It's so cold!\Well, it is the end of December. response:	If we go like THIS, it doesn't feel so cold, right?
context: Eek! It's so cold!\Well, it is the end of December.\If we go like THIS, it doesn't feel so cold, right? response:	Yes! It's quite warm!
context: Eek! It's so cold!\Well, it is the end of December.\If we go like THIS, it doesn't feel so cold, right?\Yes! It's quite warm! response:	Shbaa!
context: Eek! It's so cold!\Well, it is the end of December.\If we go like THIS, it doesn't feel so cold, right?\Yes! It's quite warm!\Shbaa! response:	Yet this, indeed, is what makes a Japanese winter!
context: Eek! It's so cold!\Well, it is the end of December.\If we go like THIS, it doesn't feel so cold, right?\Yes! It's quite warm!\Shbaa!\Yet this, indeed, is what makes a Japanese winter! response:	Note: They're standing back-to-back like this as a sort of children's game where a song is sang. In snuggling, we become as warm as steamed buns! Behold! Indeed!
context: Eek! It's so cold!\Well, it is the end of December.\If we go like THIS, it doesn't feel so cold, right?\Yes! It's quite warm!\Shbaa!\Yet this, indeed, is what makes a Japanese winter!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. In snuggling, we become as warm as steamed buns! Behold! Indeed! response:	Note: They're standing back-to-back like this as a sort of children's game where a song is sang. Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: Eek! It's so cold!\Well, it is the end of December.\If we go like THIS, it doesn't feel so cold, right?\Yes! It's quite warm!\Shbaa!\Yet this, indeed, is what makes a Japanese winter!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. In snuggling, we become as warm as steamed buns! Behold! Indeed!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Sylphin! What do you think you're doing?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: Well, it is the end of December.\If we go like THIS, it doesn't feel so cold, right?\Yes! It's quite warm!\Shbaa!\Yet this, indeed, is what makes a Japanese winter!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. In snuggling, we become as warm as steamed buns! Behold! Indeed!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Sylphin! What do you think you're doing?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: If we go like THIS, it doesn't feel so cold, right?\Yes! It's quite warm!\Shbaa!\Yet this, indeed, is what makes a Japanese winter!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. In snuggling, we become as warm as steamed buns! Behold! Indeed!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Sylphin! What do you think you're doing?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Ebina, even you?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
context: Yes! It's quite warm!\Shbaa!\Yet this, indeed, is what makes a Japanese winter!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. In snuggling, we become as warm as steamed buns! Behold! Indeed!\Note: They're standing back-to-back like this as a sort of children's game where a song is sang. Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Sylphin! What do you think you're doing?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!\Ebina, even you?! Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed! response:	Oshikura-manju, osarete naku na You cramped steamed buns, don't cry when you're pushed!
