context: It's inexcusable to use music for evil. response:	I can't forgive anybody who tries to take away a man's right to love.
context: It's inexcusable to use music for evil.\I can't forgive anybody who tries to take away a man's right to love. response:	Bach, the father of music, is angry too.
context: It's inexcusable to use music for evil.\I can't forgive anybody who tries to take away a man's right to love.\Bach, the father of music, is angry too. response:	In the name of the moon, Sailor Moon will punish you.
context: It's inexcusable to use music for evil.\I can't forgive anybody who tries to take away a man's right to love.\Bach, the father of music, is angry too.\In the name of the moon, Sailor Moon will punish you. response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: It's inexcusable to use music for evil.\I can't forgive anybody who tries to take away a man's right to love.\Bach, the father of music, is angry too.\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: It's inexcusable to use music for evil.\I can't forgive anybody who tries to take away a man's right to love.\Bach, the father of music, is angry too.\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: It's inexcusable to use music for evil.\I can't forgive anybody who tries to take away a man's right to love.\Bach, the father of music, is angry too.\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: It's inexcusable to use music for evil.\I can't forgive anybody who tries to take away a man's right to love.\Bach, the father of music, is angry too.\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: I can't forgive anybody who tries to take away a man's right to love.\Bach, the father of music, is angry too.\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: Bach, the father of music, is angry too.\In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, Sailor Moon will punish you.\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade. response:	I'm a Cancer. My blood type is O positive and my birthstone is the pearl.
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O positive and my birthstone is the pearl. response:	I'm clumsier than others and a bit of a crybaby. That's about it.
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O positive and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it. response:	One day, a strange black cat named Luna
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O positive and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna response:	gave me a peculiar transforming brooch
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O positive and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna\gave me a peculiar transforming brooch response:	making me into a sailor warrior.
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O positive and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna\gave me a peculiar transforming brooch\making me into a sailor warrior. response:	But, she wants me to fight bad guys.
context: Shinjite iru no miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O positive and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna\gave me a peculiar transforming brooch\making me into a sailor warrior.\But, she wants me to fight bad guys. response:	That makes me really nervous.
context: I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O positive and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna\gave me a peculiar transforming brooch\making me into a sailor warrior.\But, she wants me to fight bad guys.\That makes me really nervous. response:	Oh well, I guess everything will be okay.
context: I'm a Cancer. My blood type is O positive and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna\gave me a peculiar transforming brooch\making me into a sailor warrior.\But, she wants me to fight bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay. response:	Protect the Melody of Love! Usagi is a Cupid
context: I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna\gave me a peculiar transforming brooch\making me into a sailor warrior.\But, she wants me to fight bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Protect the Melody of Love! Usagi is a Cupid response:	It stole the plant's energy, this music...
