context: Memorial Corner Aina Sakurai response:	Wow, this girl died.
context: Memorial Corner Aina Sakurai\Wow, this girl died. response:	A cute thing like her?
context: Memorial Corner Aina Sakurai\Wow, this girl died.\A cute thing like her? response:	Hey, she was the same age as us.
context: Memorial Corner Aina Sakurai\Wow, this girl died.\A cute thing like her?\Hey, she was the same age as us. response:	Poor thing!
context: Memorial Corner Aina Sakurai\Wow, this girl died.\A cute thing like her?\Hey, she was the same age as us.\Poor thing! response:	That's so lame, I hate those Dorssians...
context: Memorial Corner Aina Sakurai\Wow, this girl died.\A cute thing like her?\Hey, she was the same age as us.\Poor thing!\That's so lame, I hate those Dorssians... response:	Rest in peace, Aina-chan.
context: Memorial Corner Aina Sakurai\Wow, this girl died.\A cute thing like her?\Hey, she was the same age as us.\Poor thing!\That's so lame, I hate those Dorssians...\Rest in peace, Aina-chan. response:	Rest in peace.
context: Memorial Corner Aina Sakurai\Wow, this girl died.\A cute thing like her?\Hey, she was the same age as us.\Poor thing!\That's so lame, I hate those Dorssians...\Rest in peace, Aina-chan.\Rest in peace. response:	Rest in peace.
context: Wow, this girl died.\A cute thing like her?\Hey, she was the same age as us.\Poor thing!\That's so lame, I hate those Dorssians...\Rest in peace, Aina-chan.\Rest in peace.\Rest in peace. response:	Rest in peace.
context: A cute thing like her?\Hey, she was the same age as us.\Poor thing!\That's so lame, I hate those Dorssians...\Rest in peace, Aina-chan.\Rest in peace.\Rest in peace.\Rest in peace. response:	Just you watch, Nobu.
context: Hey, she was the same age as us.\Poor thing!\That's so lame, I hate those Dorssians...\Rest in peace, Aina-chan.\Rest in peace.\Rest in peace.\Rest in peace.\Just you watch, Nobu. response:	Next time, I'm gonna avenge you in that robot for sure.
context: Poor thing!\That's so lame, I hate those Dorssians...\Rest in peace, Aina-chan.\Rest in peace.\Rest in peace.\Rest in peace.\Just you watch, Nobu.\Next time, I'm gonna avenge you in that robot for sure. response:	I'll avenge you, you hear?
context: That's so lame, I hate those Dorssians...\Rest in peace, Aina-chan.\Rest in peace.\Rest in peace.\Rest in peace.\Just you watch, Nobu.\Next time, I'm gonna avenge you in that robot for sure.\I'll avenge you, you hear? response:	REST IN PEACE
