context: This token buys one meal. response:	And this slip of paper can be converted to 100 tokens.
context: This token buys one meal.\And this slip of paper can be converted to 100 tokens. response:	I see...
context: This token buys one meal.\And this slip of paper can be converted to 100 tokens.\I see... response:	Rationed meal tickets are the closest concept in the Galactic Alliance of Humankind.
context: This token buys one meal.\And this slip of paper can be converted to 100 tokens.\I see...\Rationed meal tickets are the closest concept in the Galactic Alliance of Humankind. response:	This is too much.
context: This token buys one meal.\And this slip of paper can be converted to 100 tokens.\I see...\Rationed meal tickets are the closest concept in the Galactic Alliance of Humankind.\This is too much. response:	Conjecture: Tickets may be exchanged for supplies other than meals.
context: This token buys one meal.\And this slip of paper can be converted to 100 tokens.\I see...\Rationed meal tickets are the closest concept in the Galactic Alliance of Humankind.\This is too much.\Conjecture: Tickets may be exchanged for supplies other than meals. response:	Oxygen is so plentiful here that it'll never run out.
context: This token buys one meal.\And this slip of paper can be converted to 100 tokens.\I see...\Rationed meal tickets are the closest concept in the Galactic Alliance of Humankind.\This is too much.\Conjecture: Tickets may be exchanged for supplies other than meals.\Oxygen is so plentiful here that it'll never run out. response:	What other supplies could be necessary?
context: This token buys one meal.\And this slip of paper can be converted to 100 tokens.\I see...\Rationed meal tickets are the closest concept in the Galactic Alliance of Humankind.\This is too much.\Conjecture: Tickets may be exchanged for supplies other than meals.\Oxygen is so plentiful here that it'll never run out.\What other supplies could be necessary? response:	Maybe...
context: And this slip of paper can be converted to 100 tokens.\I see...\Rationed meal tickets are the closest concept in the Galactic Alliance of Humankind.\This is too much.\Conjecture: Tickets may be exchanged for supplies other than meals.\Oxygen is so plentiful here that it'll never run out.\What other supplies could be necessary?\Maybe... response:	Maybe I was accidentally overpaid?
context: I see...\Rationed meal tickets are the closest concept in the Galactic Alliance of Humankind.\This is too much.\Conjecture: Tickets may be exchanged for supplies other than meals.\Oxygen is so plentiful here that it'll never run out.\What other supplies could be necessary?\Maybe...\Maybe I was accidentally overpaid? response:	Ledo!
context: Rationed meal tickets are the closest concept in the Galactic Alliance of Humankind.\This is too much.\Conjecture: Tickets may be exchanged for supplies other than meals.\Oxygen is so plentiful here that it'll never run out.\What other supplies could be necessary?\Maybe...\Maybe I was accidentally overpaid?\Ledo! response:	Huh? Ledo, what's wrong?
context: This is too much.\Conjecture: Tickets may be exchanged for supplies other than meals.\Oxygen is so plentiful here that it'll never run out.\What other supplies could be necessary?\Maybe...\Maybe I was accidentally overpaid?\Ledo!\Huh? Ledo, what's wrong? response:	I don't understand... how to use salary.
context: Conjecture: Tickets may be exchanged for supplies other than meals.\Oxygen is so plentiful here that it'll never run out.\What other supplies could be necessary?\Maybe...\Maybe I was accidentally overpaid?\Ledo!\Huh? Ledo, what's wrong?\I don't understand... how to use salary. response:	I see...
context: Oxygen is so plentiful here that it'll never run out.\What other supplies could be necessary?\Maybe...\Maybe I was accidentally overpaid?\Ledo!\Huh? Ledo, what's wrong?\I don't understand... how to use salary.\I see... response:	Come to think of it, I think you told me there's no money in space.
context: What other supplies could be necessary?\Maybe...\Maybe I was accidentally overpaid?\Ledo!\Huh? Ledo, what's wrong?\I don't understand... how to use salary.\I see...\Come to think of it, I think you told me there's no money in space. response:	This may be perfect timing. You'll be able to use money to have all kinds of fun.
context: Maybe...\Maybe I was accidentally overpaid?\Ledo!\Huh? Ledo, what's wrong?\I don't understand... how to use salary.\I see...\Come to think of it, I think you told me there's no money in space.\This may be perfect timing. You'll be able to use money to have all kinds of fun. response:	See, the festival is about to begin.
context: Maybe I was accidentally overpaid?\Ledo!\Huh? Ledo, what's wrong?\I don't understand... how to use salary.\I see...\Come to think of it, I think you told me there's no money in space.\This may be perfect timing. You'll be able to use money to have all kinds of fun.\See, the festival is about to begin. response:	Festival?
context: Ledo!\Huh? Ledo, what's wrong?\I don't understand... how to use salary.\I see...\Come to think of it, I think you told me there's no money in space.\This may be perfect timing. You'll be able to use money to have all kinds of fun.\See, the festival is about to begin.\Festival? response:	Uh-huh!
context: Huh? Ledo, what's wrong?\I don't understand... how to use salary.\I see...\Come to think of it, I think you told me there's no money in space.\This may be perfect timing. You'll be able to use money to have all kinds of fun.\See, the festival is about to begin.\Festival?\Uh-huh! response:	They're going to catch a lot of fish, so it means we're all going to celebrate.
context: I don't understand... how to use salary.\I see...\Come to think of it, I think you told me there's no money in space.\This may be perfect timing. You'll be able to use money to have all kinds of fun.\See, the festival is about to begin.\Festival?\Uh-huh!\They're going to catch a lot of fish, so it means we're all going to celebrate. response:	Oh, that's right! Now there should be a job opening to catch fish!
context: I see...\Come to think of it, I think you told me there's no money in space.\This may be perfect timing. You'll be able to use money to have all kinds of fun.\See, the festival is about to begin.\Festival?\Uh-huh!\They're going to catch a lot of fish, so it means we're all going to celebrate.\Oh, that's right! Now there should be a job opening to catch fish! response:	You'll use a Yunboro to get fish.
context: Come to think of it, I think you told me there's no money in space.\This may be perfect timing. You'll be able to use money to have all kinds of fun.\See, the festival is about to begin.\Festival?\Uh-huh!\They're going to catch a lot of fish, so it means we're all going to celebrate.\Oh, that's right! Now there should be a job opening to catch fish!\You'll use a Yunboro to get fish. response:	Guild Master, I've got a delivery!
context: This may be perfect timing. You'll be able to use money to have all kinds of fun.\See, the festival is about to begin.\Festival?\Uh-huh!\They're going to catch a lot of fish, so it means we're all going to celebrate.\Oh, that's right! Now there should be a job opening to catch fish!\You'll use a Yunboro to get fish.\Guild Master, I've got a delivery! response:	Thanks!
context: See, the festival is about to begin.\Festival?\Uh-huh!\They're going to catch a lot of fish, so it means we're all going to celebrate.\Oh, that's right! Now there should be a job opening to catch fish!\You'll use a Yunboro to get fish.\Guild Master, I've got a delivery!\Thanks! response:	It's the next course from the chief navigator.
context: Festival?\Uh-huh!\They're going to catch a lot of fish, so it means we're all going to celebrate.\Oh, that's right! Now there should be a job opening to catch fish!\You'll use a Yunboro to get fish.\Guild Master, I've got a delivery!\Thanks!\It's the next course from the chief navigator. response:	Got it!
context: Uh-huh!\They're going to catch a lot of fish, so it means we're all going to celebrate.\Oh, that's right! Now there should be a job opening to catch fish!\You'll use a Yunboro to get fish.\Guild Master, I've got a delivery!\Thanks!\It's the next course from the chief navigator.\Got it! response:	Also, manpower!
context: They're going to catch a lot of fish, so it means we're all going to celebrate.\Oh, that's right! Now there should be a job opening to catch fish!\You'll use a Yunboro to get fish.\Guild Master, I've got a delivery!\Thanks!\It's the next course from the chief navigator.\Got it!\Also, manpower! response:	Oh yeah, I hear you wanna be part of the fishing crew?
context: Oh, that's right! Now there should be a job opening to catch fish!\You'll use a Yunboro to get fish.\Guild Master, I've got a delivery!\Thanks!\It's the next course from the chief navigator.\Got it!\Also, manpower!\Oh yeah, I hear you wanna be part of the fishing crew? response:	Yeah. I want to try fish-catching work.
context: You'll use a Yunboro to get fish.\Guild Master, I've got a delivery!\Thanks!\It's the next course from the chief navigator.\Got it!\Also, manpower!\Oh yeah, I hear you wanna be part of the fishing crew?\Yeah. I want to try fish-catching work. response:	So the lazybones is finally gonna be productive...
context: Guild Master, I've got a delivery!\Thanks!\It's the next course from the chief navigator.\Got it!\Also, manpower!\Oh yeah, I hear you wanna be part of the fishing crew?\Yeah. I want to try fish-catching work.\So the lazybones is finally gonna be productive... response:	So, what happened to that flying Yunboro?
context: Thanks!\It's the next course from the chief navigator.\Got it!\Also, manpower!\Oh yeah, I hear you wanna be part of the fishing crew?\Yeah. I want to try fish-catching work.\So the lazybones is finally gonna be productive...\So, what happened to that flying Yunboro? response:	Don't need Chamber. I will do work.
context: It's the next course from the chief navigator.\Got it!\Also, manpower!\Oh yeah, I hear you wanna be part of the fishing crew?\Yeah. I want to try fish-catching work.\So the lazybones is finally gonna be productive...\So, what happened to that flying Yunboro?\Don't need Chamber. I will do work. response:	Objection repeated: Inefficient activity.
context: Got it!\Also, manpower!\Oh yeah, I hear you wanna be part of the fishing crew?\Yeah. I want to try fish-catching work.\So the lazybones is finally gonna be productive...\So, what happened to that flying Yunboro?\Don't need Chamber. I will do work.\Objection repeated: Inefficient activity. response:	That's a Swirling Galaxy.
context: Also, manpower!\Oh yeah, I hear you wanna be part of the fishing crew?\Yeah. I want to try fish-catching work.\So the lazybones is finally gonna be productive...\So, what happened to that flying Yunboro?\Don't need Chamber. I will do work.\Objection repeated: Inefficient activity.\That's a Swirling Galaxy. response:	Lightbugs. A type of nanomachine. A legacy of the former civilization.
context: Oh yeah, I hear you wanna be part of the fishing crew?\Yeah. I want to try fish-catching work.\So the lazybones is finally gonna be productive...\So, what happened to that flying Yunboro?\Don't need Chamber. I will do work.\Objection repeated: Inefficient activity.\That's a Swirling Galaxy.\Lightbugs. A type of nanomachine. A legacy of the former civilization. response:	Due to the ocean currents when two Sea Galaxies intersect, sometimes a ring can be formed.
context: Yeah. I want to try fish-catching work.\So the lazybones is finally gonna be productive...\So, what happened to that flying Yunboro?\Don't need Chamber. I will do work.\Objection repeated: Inefficient activity.\That's a Swirling Galaxy.\Lightbugs. A type of nanomachine. A legacy of the former civilization.\Due to the ocean currents when two Sea Galaxies intersect, sometimes a ring can be formed. response:	That way, the fish can't get out. It's what you'd call a giant fishing spot.
context: So the lazybones is finally gonna be productive...\So, what happened to that flying Yunboro?\Don't need Chamber. I will do work.\Objection repeated: Inefficient activity.\That's a Swirling Galaxy.\Lightbugs. A type of nanomachine. A legacy of the former civilization.\Due to the ocean currents when two Sea Galaxies intersect, sometimes a ring can be formed.\That way, the fish can't get out. It's what you'd call a giant fishing spot. response:	Well, the festival's about to start!
context: So, what happened to that flying Yunboro?\Don't need Chamber. I will do work.\Objection repeated: Inefficient activity.\That's a Swirling Galaxy.\Lightbugs. A type of nanomachine. A legacy of the former civilization.\Due to the ocean currents when two Sea Galaxies intersect, sometimes a ring can be formed.\That way, the fish can't get out. It's what you'd call a giant fishing spot.\Well, the festival's about to start! response:	Festival
context: Don't need Chamber. I will do work.\Objection repeated: Inefficient activity.\That's a Swirling Galaxy.\Lightbugs. A type of nanomachine. A legacy of the former civilization.\Due to the ocean currents when two Sea Galaxies intersect, sometimes a ring can be formed.\That way, the fish can't get out. It's what you'd call a giant fishing spot.\Well, the festival's about to start!\Festival response:	You know how to operate this?
context: Objection repeated: Inefficient activity.\That's a Swirling Galaxy.\Lightbugs. A type of nanomachine. A legacy of the former civilization.\Due to the ocean currents when two Sea Galaxies intersect, sometimes a ring can be formed.\That way, the fish can't get out. It's what you'd call a giant fishing spot.\Well, the festival's about to start!\Festival\You know how to operate this? response:	Simple operation system. No problem.
context: That's a Swirling Galaxy.\Lightbugs. A type of nanomachine. A legacy of the former civilization.\Due to the ocean currents when two Sea Galaxies intersect, sometimes a ring can be formed.\That way, the fish can't get out. It's what you'd call a giant fishing spot.\Well, the festival's about to start!\Festival\You know how to operate this?\Simple operation system. No problem. response:	Is that right? Just don't break it!
context: Lightbugs. A type of nanomachine. A legacy of the former civilization.\Due to the ocean currents when two Sea Galaxies intersect, sometimes a ring can be formed.\That way, the fish can't get out. It's what you'd call a giant fishing spot.\Well, the festival's about to start!\Festival\You know how to operate this?\Simple operation system. No problem.\Is that right? Just don't break it! response:	Alright. Try to raise an arm.
context: Due to the ocean currents when two Sea Galaxies intersect, sometimes a ring can be formed.\That way, the fish can't get out. It's what you'd call a giant fishing spot.\Well, the festival's about to start!\Festival\You know how to operate this?\Simple operation system. No problem.\Is that right? Just don't break it!\Alright. Try to raise an arm. response:	I understand operation system. Where is information support system?
