context: Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands response:	W- What a Ki!
context: Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands\W- What a Ki! response:	Mid-air battle or ground battle, which are you better at?
context: Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands\W- What a Ki!\Mid-air battle or ground battle, which are you better at? response:	Which, you ask? I guess ground battle.
context: Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands\W- What a Ki!\Mid-air battle or ground battle, which are you better at?\Which, you ask? I guess ground battle. response:	- Where are they going? - They're just changing locations.
context: Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands\W- What a Ki!\Mid-air battle or ground battle, which are you better at?\Which, you ask? I guess ground battle.\- Where are they going? - They're just changing locations. response:	They're probably moving to someplace where they can fight to their heart's content.
context: Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands\W- What a Ki!\Mid-air battle or ground battle, which are you better at?\Which, you ask? I guess ground battle.\- Where are they going? - They're just changing locations.\They're probably moving to someplace where they can fight to their heart's content. response:	What incredible guys!
context: Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands\W- What a Ki!\Mid-air battle or ground battle, which are you better at?\Which, you ask? I guess ground battle.\- Where are they going? - They're just changing locations.\They're probably moving to someplace where they can fight to their heart's content.\What incredible guys! response:	Father...
context: Freeza's Terrible Declaration! I Will Defeat You Without Using My Hands\W- What a Ki!\Mid-air battle or ground battle, which are you better at?\Which, you ask? I guess ground battle.\- Where are they going? - They're just changing locations.\They're probably moving to someplace where they can fight to their heart's content.\What incredible guys!\Father... response:	This means we're going to fight on the ground, where I'm better at it?
context: W- What a Ki!\Mid-air battle or ground battle, which are you better at?\Which, you ask? I guess ground battle.\- Where are they going? - They're just changing locations.\They're probably moving to someplace where they can fight to their heart's content.\What incredible guys!\Father...\This means we're going to fight on the ground, where I'm better at it? response:	- I'm getting good service. - Or is it... you're that confident?
context: Mid-air battle or ground battle, which are you better at?\Which, you ask? I guess ground battle.\- Where are they going? - They're just changing locations.\They're probably moving to someplace where they can fight to their heart's content.\What incredible guys!\Father...\This means we're going to fight on the ground, where I'm better at it?\- I'm getting good service. - Or is it... you're that confident? response:	When you look at me this way, I'm very kind.
context: Which, you ask? I guess ground battle.\- Where are they going? - They're just changing locations.\They're probably moving to someplace where they can fight to their heart's content.\What incredible guys!\Father...\This means we're going to fight on the ground, where I'm better at it?\- I'm getting good service. - Or is it... you're that confident?\When you look at me this way, I'm very kind. response:	I know! How about I offer you another great service?
context: - Where are they going? - They're just changing locations.\They're probably moving to someplace where they can fight to their heart's content.\What incredible guys!\Father...\This means we're going to fight on the ground, where I'm better at it?\- I'm getting good service. - Or is it... you're that confident?\When you look at me this way, I'm very kind.\I know! How about I offer you another great service? response:	Great service?
context: They're probably moving to someplace where they can fight to their heart's content.\What incredible guys!\Father...\This means we're going to fight on the ground, where I'm better at it?\- I'm getting good service. - Or is it... you're that confident?\When you look at me this way, I'm very kind.\I know! How about I offer you another great service?\Great service? response:	I will keep myself from using both my hands!
context: What incredible guys!\Father...\This means we're going to fight on the ground, where I'm better at it?\- I'm getting good service. - Or is it... you're that confident?\When you look at me this way, I'm very kind.\I know! How about I offer you another great service?\Great service?\I will keep myself from using both my hands! response:	- How's that? - Both hands? How very generous of you.
context: Father...\This means we're going to fight on the ground, where I'm better at it?\- I'm getting good service. - Or is it... you're that confident?\When you look at me this way, I'm very kind.\I know! How about I offer you another great service?\Great service?\I will keep myself from using both my hands!\- How's that? - Both hands? How very generous of you. response:	So then, can I start us off?
context: This means we're going to fight on the ground, where I'm better at it?\- I'm getting good service. - Or is it... you're that confident?\When you look at me this way, I'm very kind.\I know! How about I offer you another great service?\Great service?\I will keep myself from using both my hands!\- How's that? - Both hands? How very generous of you.\So then, can I start us off? response:	Of course.
