context: :D response:	I entered middle school when I was twelve.
context: :D\I entered middle school when I was twelve. response:	In ninth grade I applied for Kitahoro High School, since it was nearby.
context: :D\I entered middle school when I was twelve.\In ninth grade I applied for Kitahoro High School, since it was nearby. response:	And then in the spring of my fifteenth year, I met you.
context: :D\I entered middle school when I was twelve.\In ninth grade I applied for Kitahoro High School, since it was nearby.\And then in the spring of my fifteenth year, I met you. response:	If only I could be like Kazehaya-kun...
context: :D\I entered middle school when I was twelve.\In ninth grade I applied for Kitahoro High School, since it was nearby.\And then in the spring of my fifteenth year, I met you.\If only I could be like Kazehaya-kun... response:	Maybe then something will change for me too.”
context: :D\I entered middle school when I was twelve.\In ninth grade I applied for Kitahoro High School, since it was nearby.\And then in the spring of my fifteenth year, I met you.\If only I could be like Kazehaya-kun...\Maybe then something will change for me too.” response:	Thanks.
context: :D\I entered middle school when I was twelve.\In ninth grade I applied for Kitahoro High School, since it was nearby.\And then in the spring of my fifteenth year, I met you.\If only I could be like Kazehaya-kun...\Maybe then something will change for me too.”\Thanks. response:	You've always been the first step for me.
context: :D\I entered middle school when I was twelve.\In ninth grade I applied for Kitahoro High School, since it was nearby.\And then in the spring of my fifteenth year, I met you.\If only I could be like Kazehaya-kun...\Maybe then something will change for me too.”\Thanks.\You've always been the first step for me. response:	This year was too different for me.
context: I entered middle school when I was twelve.\In ninth grade I applied for Kitahoro High School, since it was nearby.\And then in the spring of my fifteenth year, I met you.\If only I could be like Kazehaya-kun...\Maybe then something will change for me too.”\Thanks.\You've always been the first step for me.\This year was too different for me. response:	It'll take too long to describe.
context: In ninth grade I applied for Kitahoro High School, since it was nearby.\And then in the spring of my fifteenth year, I met you.\If only I could be like Kazehaya-kun...\Maybe then something will change for me too.”\Thanks.\You've always been the first step for me.\This year was too different for me.\It'll take too long to describe. response:	Sorry, I guess that was boring.
context: And then in the spring of my fifteenth year, I met you.\If only I could be like Kazehaya-kun...\Maybe then something will change for me too.”\Thanks.\You've always been the first step for me.\This year was too different for me.\It'll take too long to describe.\Sorry, I guess that was boring. response:	I'll try to have a different vibe next year.
context: If only I could be like Kazehaya-kun...\Maybe then something will change for me too.”\Thanks.\You've always been the first step for me.\This year was too different for me.\It'll take too long to describe.\Sorry, I guess that was boring.\I'll try to have a different vibe next year. response:	You already do, for the better.
context: Maybe then something will change for me too.”\Thanks.\You've always been the first step for me.\This year was too different for me.\It'll take too long to describe.\Sorry, I guess that was boring.\I'll try to have a different vibe next year.\You already do, for the better. response:	You're easier to talk to.
context: Thanks.\You've always been the first step for me.\This year was too different for me.\It'll take too long to describe.\Sorry, I guess that was boring.\I'll try to have a different vibe next year.\You already do, for the better.\You're easier to talk to. response:	You're fine.
context: You've always been the first step for me.\This year was too different for me.\It'll take too long to describe.\Sorry, I guess that was boring.\I'll try to have a different vibe next year.\You already do, for the better.\You're easier to talk to.\You're fine. response:	You're fine.
context: This year was too different for me.\It'll take too long to describe.\Sorry, I guess that was boring.\I'll try to have a different vibe next year.\You already do, for the better.\You're easier to talk to.\You're fine.\You're fine. response:	Don't say that...
context: It'll take too long to describe.\Sorry, I guess that was boring.\I'll try to have a different vibe next year.\You already do, for the better.\You're easier to talk to.\You're fine.\You're fine.\Don't say that... response:	You're going to ruin the makeup Ayane-chan did for me.
