context: I'm sorry... Ayato... response:	During the previous century,
context: I'm sorry... Ayato...\During the previous century, response:	an unprecedented disaster known as the Invertia drastically changed the world as we knew it.
context: I'm sorry... Ayato...\During the previous century,\an unprecedented disaster known as the Invertia drastically changed the world as we knew it. response:	The powers of existing nations declined significantly,
context: I'm sorry... Ayato...\During the previous century,\an unprecedented disaster known as the Invertia drastically changed the world as we knew it.\The powers of existing nations declined significantly, response:	paving the way for a conglomerate
context: I'm sorry... Ayato...\During the previous century,\an unprecedented disaster known as the Invertia drastically changed the world as we knew it.\The powers of existing nations declined significantly,\paving the way for a conglomerate response:	called the Integrated Empire Foundation to seize leadership.
context: I'm sorry... Ayato...\During the previous century,\an unprecedented disaster known as the Invertia drastically changed the world as we knew it.\The powers of existing nations declined significantly,\paving the way for a conglomerate\called the Integrated Empire Foundation to seize leadership. response:	The people gradually began to alter their sense of morality.
context: I'm sorry... Ayato...\During the previous century,\an unprecedented disaster known as the Invertia drastically changed the world as we knew it.\The powers of existing nations declined significantly,\paving the way for a conglomerate\called the Integrated Empire Foundation to seize leadership.\The people gradually began to alter their sense of morality. response:	But at the same time, the Invertia also gave the world new potential.
context: I'm sorry... Ayato...\During the previous century,\an unprecedented disaster known as the Invertia drastically changed the world as we knew it.\The powers of existing nations declined significantly,\paving the way for a conglomerate\called the Integrated Empire Foundation to seize leadership.\The people gradually began to alter their sense of morality.\But at the same time, the Invertia also gave the world new potential. response:	Not at a time like this!
context: During the previous century,\an unprecedented disaster known as the Invertia drastically changed the world as we knew it.\The powers of existing nations declined significantly,\paving the way for a conglomerate\called the Integrated Empire Foundation to seize leadership.\The people gradually began to alter their sense of morality.\But at the same time, the Invertia also gave the world new potential.\Not at a time like this! response:	I see.
context: an unprecedented disaster known as the Invertia drastically changed the world as we knew it.\The powers of existing nations declined significantly,\paving the way for a conglomerate\called the Integrated Empire Foundation to seize leadership.\The people gradually began to alter their sense of morality.\But at the same time, the Invertia also gave the world new potential.\Not at a time like this!\I see. response:	Specifically, the birth of a new species of human born with phenomenal physical skills...
context: The powers of existing nations declined significantly,\paving the way for a conglomerate\called the Integrated Empire Foundation to seize leadership.\The people gradually began to alter their sense of morality.\But at the same time, the Invertia also gave the world new potential.\Not at a time like this!\I see.\Specifically, the birth of a new species of human born with phenomenal physical skills... response:	the Genestella.
context: paving the way for a conglomerate\called the Integrated Empire Foundation to seize leadership.\The people gradually began to alter their sense of morality.\But at the same time, the Invertia also gave the world new potential.\Not at a time like this!\I see.\Specifically, the birth of a new species of human born with phenomenal physical skills...\the Genestella. response:	Uh... excuse me for speaking to you from here.
context: called the Integrated Empire Foundation to seize leadership.\The people gradually began to alter their sense of morality.\But at the same time, the Invertia also gave the world new potential.\Not at a time like this!\I see.\Specifically, the birth of a new species of human born with phenomenal physical skills...\the Genestella.\Uh... excuse me for speaking to you from here. response:	Huh?
context: The people gradually began to alter their sense of morality.\But at the same time, the Invertia also gave the world new potential.\Not at a time like this!\I see.\Specifically, the birth of a new species of human born with phenomenal physical skills...\the Genestella.\Uh... excuse me for speaking to you from here.\Huh? response:	It is here that the young men and women of the Genestella
