context: Um... response:	You're challenging 100?! That's impossible!
context: Um...\You're challenging 100?! That's impossible! response:	It isn't set up for one person to destroy them all!
context: Um...\You're challenging 100?! That's impossible!\It isn't set up for one person to destroy them all! response:	I don't care.
context: Um...\You're challenging 100?! That's impossible!\It isn't set up for one person to destroy them all!\I don't care. response:	The competition for day three is Pandemonium.
context: Um...\You're challenging 100?! That's impossible!\It isn't set up for one person to destroy them all!\I don't care.\The competition for day three is Pandemonium. response:	It's a contest to see who can slay the most out of 100 magic-generated monsters.
context: Um...\You're challenging 100?! That's impossible!\It isn't set up for one person to destroy them all!\I don't care.\The competition for day three is Pandemonium.\It's a contest to see who can slay the most out of 100 magic-generated monsters. response:	The contestants enter one at a time
context: Um...\You're challenging 100?! That's impossible!\It isn't set up for one person to destroy them all!\I don't care.\The competition for day three is Pandemonium.\It's a contest to see who can slay the most out of 100 magic-generated monsters.\The contestants enter one at a time response:	and indicate the number of monsters they aim to defeat.
context: Um...\You're challenging 100?! That's impossible!\It isn't set up for one person to destroy them all!\I don't care.\The competition for day three is Pandemonium.\It's a contest to see who can slay the most out of 100 magic-generated monsters.\The contestants enter one at a time\and indicate the number of monsters they aim to defeat. response:	They get points by successfully beating the beasts.
context: You're challenging 100?! That's impossible!\It isn't set up for one person to destroy them all!\I don't care.\The competition for day three is Pandemonium.\It's a contest to see who can slay the most out of 100 magic-generated monsters.\The contestants enter one at a time\and indicate the number of monsters they aim to defeat.\They get points by successfully beating the beasts. response:	The idea is to repeatedly rotate through the players, but...
context: It isn't set up for one person to destroy them all!\I don't care.\The competition for day three is Pandemonium.\It's a contest to see who can slay the most out of 100 magic-generated monsters.\The contestants enter one at a time\and indicate the number of monsters they aim to defeat.\They get points by successfully beating the beasts.\The idea is to repeatedly rotate through the players, but... response:	All 100 will be my opponents!
context: I don't care.\The competition for day three is Pandemonium.\It's a contest to see who can slay the most out of 100 magic-generated monsters.\The contestants enter one at a time\and indicate the number of monsters they aim to defeat.\They get points by successfully beating the beasts.\The idea is to repeatedly rotate through the players, but...\All 100 will be my opponents! response:	I exercise my right to challenge...
context: The competition for day three is Pandemonium.\It's a contest to see who can slay the most out of 100 magic-generated monsters.\The contestants enter one at a time\and indicate the number of monsters they aim to defeat.\They get points by successfully beating the beasts.\The idea is to repeatedly rotate through the players, but...\All 100 will be my opponents!\I exercise my right to challenge... response:	This beyond-foolhardy challenge is about to begin.
