context: So you're finally here, then, you scrubs? response:	Come, now... what are you waiting for?
context: So you're finally here, then, you scrubs?\Come, now... what are you waiting for? response:	How delightful!
context: So you're finally here, then, you scrubs?\Come, now... what are you waiting for?\How delightful! response:	Master, it's time for the regular debriefing.
context: So you're finally here, then, you scrubs?\Come, now... what are you waiting for?\How delightful!\Master, it's time for the regular debriefing. response:	Time does fly, doesn't it?
context: So you're finally here, then, you scrubs?\Come, now... what are you waiting for?\How delightful!\Master, it's time for the regular debriefing.\Time does fly, doesn't it? response:	Good job, all of you.
context: So you're finally here, then, you scrubs?\Come, now... what are you waiting for?\How delightful!\Master, it's time for the regular debriefing.\Time does fly, doesn't it?\Good job, all of you. response:	Come back anytime to try again!
context: So you're finally here, then, you scrubs?\Come, now... what are you waiting for?\How delightful!\Master, it's time for the regular debriefing.\Time does fly, doesn't it?\Good job, all of you.\Come back anytime to try again! response:	Master, what were you watching while sparring with the prospective students?
context: So you're finally here, then, you scrubs?\Come, now... what are you waiting for?\How delightful!\Master, it's time for the regular debriefing.\Time does fly, doesn't it?\Good job, all of you.\Come back anytime to try again!\Master, what were you watching while sparring with the prospective students? response:	Phoenix Festa, of course!
context: Come, now... what are you waiting for?\How delightful!\Master, it's time for the regular debriefing.\Time does fly, doesn't it?\Good job, all of you.\Come back anytime to try again!\Master, what were you watching while sparring with the prospective students?\Phoenix Festa, of course! response:	Hu Feng, I just saw the most delightful boy in the latest match!
context: How delightful!\Master, it's time for the regular debriefing.\Time does fly, doesn't it?\Good job, all of you.\Come back anytime to try again!\Master, what were you watching while sparring with the prospective students?\Phoenix Festa, of course!\Hu Feng, I just saw the most delightful boy in the latest match! response:	Seidoukan's Ayato Amagiri or something?
context: Master, it's time for the regular debriefing.\Time does fly, doesn't it?\Good job, all of you.\Come back anytime to try again!\Master, what were you watching while sparring with the prospective students?\Phoenix Festa, of course!\Hu Feng, I just saw the most delightful boy in the latest match!\Seidoukan's Ayato Amagiri or something? response:	In terms of raw talent, I think that kid was the best!
context: Time does fly, doesn't it?\Good job, all of you.\Come back anytime to try again!\Master, what were you watching while sparring with the prospective students?\Phoenix Festa, of course!\Hu Feng, I just saw the most delightful boy in the latest match!\Seidoukan's Ayato Amagiri or something?\In terms of raw talent, I think that kid was the best! response:	Such a blast to watch!
context: Good job, all of you.\Come back anytime to try again!\Master, what were you watching while sparring with the prospective students?\Phoenix Festa, of course!\Hu Feng, I just saw the most delightful boy in the latest match!\Seidoukan's Ayato Amagiri or something?\In terms of raw talent, I think that kid was the best!\Such a blast to watch! response:	Is it too late to ask him to play for us?
context: Come back anytime to try again!\Master, what were you watching while sparring with the prospective students?\Phoenix Festa, of course!\Hu Feng, I just saw the most delightful boy in the latest match!\Seidoukan's Ayato Amagiri or something?\In terms of raw talent, I think that kid was the best!\Such a blast to watch!\Is it too late to ask him to play for us? response:	Easier said than done.
context: Master, what were you watching while sparring with the prospective students?\Phoenix Festa, of course!\Hu Feng, I just saw the most delightful boy in the latest match!\Seidoukan's Ayato Amagiri or something?\In terms of raw talent, I think that kid was the best!\Such a blast to watch!\Is it too late to ask him to play for us?\Easier said than done. response:	However, it seems that his powers are limited.
context: Phoenix Festa, of course!\Hu Feng, I just saw the most delightful boy in the latest match!\Seidoukan's Ayato Amagiri or something?\In terms of raw talent, I think that kid was the best!\Such a blast to watch!\Is it too late to ask him to play for us?\Easier said than done.\However, it seems that his powers are limited. response:	But that's what makes him all the more intriguing!
