context: Nishimi... Nishimi... response:	You're back at the head of the class.
context: Nishimi... Nishimi...\You're back at the head of the class. response:	I was worried with your grades dropping there for a while,
context: Nishimi... Nishimi...\You're back at the head of the class.\I was worried with your grades dropping there for a while, response:	but it looks like you've straightened out your act.
context: Nishimi... Nishimi...\You're back at the head of the class.\I was worried with your grades dropping there for a while,\but it looks like you've straightened out your act. response:	Maybe it's because entrance exams are looming...
context: Nishimi... Nishimi...\You're back at the head of the class.\I was worried with your grades dropping there for a while,\but it looks like you've straightened out your act.\Maybe it's because entrance exams are looming... response:	Pass it here!
context: Nishimi... Nishimi...\You're back at the head of the class.\I was worried with your grades dropping there for a while,\but it looks like you've straightened out your act.\Maybe it's because entrance exams are looming...\Pass it here! response:	I never thought they'd agree to open up the roof, but they went right for it.
context: Nishimi... Nishimi...\You're back at the head of the class.\I was worried with your grades dropping there for a while,\but it looks like you've straightened out your act.\Maybe it's because entrance exams are looming...\Pass it here!\I never thought they'd agree to open up the roof, but they went right for it. response:	I heard a third-year thug was monopolizing the key up'til now.
context: Nishimi... Nishimi...\You're back at the head of the class.\I was worried with your grades dropping there for a while,\but it looks like you've straightened out your act.\Maybe it's because entrance exams are looming...\Pass it here!\I never thought they'd agree to open up the roof, but they went right for it.\I heard a third-year thug was monopolizing the key up'til now. response:	Hi! Richie-boy! I'm playing volleyball with the girls.
context: You're back at the head of the class.\I was worried with your grades dropping there for a while,\but it looks like you've straightened out your act.\Maybe it's because entrance exams are looming...\Pass it here!\I never thought they'd agree to open up the roof, but they went right for it.\I heard a third-year thug was monopolizing the key up'til now.\Hi! Richie-boy! I'm playing volleyball with the girls. response:	How about joining in?
context: I was worried with your grades dropping there for a while,\but it looks like you've straightened out your act.\Maybe it's because entrance exams are looming...\Pass it here!\I never thought they'd agree to open up the roof, but they went right for it.\I heard a third-year thug was monopolizing the key up'til now.\Hi! Richie-boy! I'm playing volleyball with the girls.\How about joining in? response:	No. I'll pass.
context: but it looks like you've straightened out your act.\Maybe it's because entrance exams are looming...\Pass it here!\I never thought they'd agree to open up the roof, but they went right for it.\I heard a third-year thug was monopolizing the key up'til now.\Hi! Richie-boy! I'm playing volleyball with the girls.\How about joining in?\No. I'll pass. response:	Richie-boy!
context: Maybe it's because entrance exams are looming...\Pass it here!\I never thought they'd agree to open up the roof, but they went right for it.\I heard a third-year thug was monopolizing the key up'til now.\Hi! Richie-boy! I'm playing volleyball with the girls.\How about joining in?\No. I'll pass.\Richie-boy! response:	I know you're lonely without Kawabuchi-kun, but you've got to get over it.
