context: It tastes great. response:	Kagome, are you all right now?
context: It tastes great.\Kagome, are you all right now? response:	Thank you for worrying about me, Shippo.
context: It tastes great.\Kagome, are you all right now?\Thank you for worrying about me, Shippo. response:	It seems my soul went flying out and back into my body...
context: It tastes great.\Kagome, are you all right now?\Thank you for worrying about me, Shippo.\It seems my soul went flying out and back into my body... response:	but I seem to be perfectly fine.
context: It tastes great.\Kagome, are you all right now?\Thank you for worrying about me, Shippo.\It seems my soul went flying out and back into my body...\but I seem to be perfectly fine. response:	The only thing that's changed is that...
context: It tastes great.\Kagome, are you all right now?\Thank you for worrying about me, Shippo.\It seems my soul went flying out and back into my body...\but I seem to be perfectly fine.\The only thing that's changed is that... response:	after his run-in with Kikyo...
context: It tastes great.\Kagome, are you all right now?\Thank you for worrying about me, Shippo.\It seems my soul went flying out and back into my body...\but I seem to be perfectly fine.\The only thing that's changed is that...\after his run-in with Kikyo... response:	Inuyasha spends more time staring into the distance.
context: It tastes great.\Kagome, are you all right now?\Thank you for worrying about me, Shippo.\It seems my soul went flying out and back into my body...\but I seem to be perfectly fine.\The only thing that's changed is that...\after his run-in with Kikyo...\Inuyasha spends more time staring into the distance. response:	I don't know anymore...
context: Kagome, are you all right now?\Thank you for worrying about me, Shippo.\It seems my soul went flying out and back into my body...\but I seem to be perfectly fine.\The only thing that's changed is that...\after his run-in with Kikyo...\Inuyasha spends more time staring into the distance.\I don't know anymore... response:	I gather up all the fragments and become a full-fledged demon...
context: Thank you for worrying about me, Shippo.\It seems my soul went flying out and back into my body...\but I seem to be perfectly fine.\The only thing that's changed is that...\after his run-in with Kikyo...\Inuyasha spends more time staring into the distance.\I don't know anymore...\I gather up all the fragments and become a full-fledged demon... response:	then what?
context: It seems my soul went flying out and back into my body...\but I seem to be perfectly fine.\The only thing that's changed is that...\after his run-in with Kikyo...\Inuyasha spends more time staring into the distance.\I don't know anymore...\I gather up all the fragments and become a full-fledged demon...\then what? response:	If I become a demon, will I become stronger inside?
context: but I seem to be perfectly fine.\The only thing that's changed is that...\after his run-in with Kikyo...\Inuyasha spends more time staring into the distance.\I don't know anymore...\I gather up all the fragments and become a full-fledged demon...\then what?\If I become a demon, will I become stronger inside? response:	Can I forget Kikyo?
context: The only thing that's changed is that...\after his run-in with Kikyo...\Inuyasha spends more time staring into the distance.\I don't know anymore...\I gather up all the fragments and become a full-fledged demon...\then what?\If I become a demon, will I become stronger inside?\Can I forget Kikyo? response:	Will my heart not be swayed by anyone else?
context: after his run-in with Kikyo...\Inuyasha spends more time staring into the distance.\I don't know anymore...\I gather up all the fragments and become a full-fledged demon...\then what?\If I become a demon, will I become stronger inside?\Can I forget Kikyo?\Will my heart not be swayed by anyone else? response:	Kagome, there's something funny about Inuyasha.
context: Inuyasha spends more time staring into the distance.\I don't know anymore...\I gather up all the fragments and become a full-fledged demon...\then what?\If I become a demon, will I become stronger inside?\Can I forget Kikyo?\Will my heart not be swayed by anyone else?\Kagome, there's something funny about Inuyasha. response:	I think you're right.
context: I don't know anymore...\I gather up all the fragments and become a full-fledged demon...\then what?\If I become a demon, will I become stronger inside?\Can I forget Kikyo?\Will my heart not be swayed by anyone else?\Kagome, there's something funny about Inuyasha.\I think you're right. response:	Take that, you!
context: I gather up all the fragments and become a full-fledged demon...\then what?\If I become a demon, will I become stronger inside?\Can I forget Kikyo?\Will my heart not be swayed by anyone else?\Kagome, there's something funny about Inuyasha.\I think you're right.\Take that, you! response:	Ow... What was that for?
context: then what?\If I become a demon, will I become stronger inside?\Can I forget Kikyo?\Will my heart not be swayed by anyone else?\Kagome, there's something funny about Inuyasha.\I think you're right.\Take that, you!\Ow... What was that for? response:	Quit moping!
context: If I become a demon, will I become stronger inside?\Can I forget Kikyo?\Will my heart not be swayed by anyone else?\Kagome, there's something funny about Inuyasha.\I think you're right.\Take that, you!\Ow... What was that for?\Quit moping! response:	Have you given up on gathering the Sacred Jewel fragments?
context: Can I forget Kikyo?\Will my heart not be swayed by anyone else?\Kagome, there's something funny about Inuyasha.\I think you're right.\Take that, you!\Ow... What was that for?\Quit moping!\Have you given up on gathering the Sacred Jewel fragments? response:	Zip it, will you!
context: Will my heart not be swayed by anyone else?\Kagome, there's something funny about Inuyasha.\I think you're right.\Take that, you!\Ow... What was that for?\Quit moping!\Have you given up on gathering the Sacred Jewel fragments?\Zip it, will you! response:	Even I sometimes have things to think about.
context: Kagome, there's something funny about Inuyasha.\I think you're right.\Take that, you!\Ow... What was that for?\Quit moping!\Have you given up on gathering the Sacred Jewel fragments?\Zip it, will you!\Even I sometimes have things to think about. response:	That's really funny.
context: I think you're right.\Take that, you!\Ow... What was that for?\Quit moping!\Have you given up on gathering the Sacred Jewel fragments?\Zip it, will you!\Even I sometimes have things to think about.\That's really funny. response:	What's that?!
context: Take that, you!\Ow... What was that for?\Quit moping!\Have you given up on gathering the Sacred Jewel fragments?\Zip it, will you!\Even I sometimes have things to think about.\That's really funny.\What's that?! response:	Wait, you little pip-squeak!
context: Ow... What was that for?\Quit moping!\Have you given up on gathering the Sacred Jewel fragments?\Zip it, will you!\Even I sometimes have things to think about.\That's really funny.\What's that?!\Wait, you little pip-squeak! response:	I'm not that dumb!
context: Quit moping!\Have you given up on gathering the Sacred Jewel fragments?\Zip it, will you!\Even I sometimes have things to think about.\That's really funny.\What's that?!\Wait, you little pip-squeak!\I'm not that dumb! response:	Why you!
context: Have you given up on gathering the Sacred Jewel fragments?\Zip it, will you!\Even I sometimes have things to think about.\That's really funny.\What's that?!\Wait, you little pip-squeak!\I'm not that dumb!\Why you! response:	Such sorrow from the Sacred Jewel.
context: Zip it, will you!\Even I sometimes have things to think about.\That's really funny.\What's that?!\Wait, you little pip-squeak!\I'm not that dumb!\Why you!\Such sorrow from the Sacred Jewel. response:	Kikyo claims that Inuyasha betrayed her...
context: Even I sometimes have things to think about.\That's really funny.\What's that?!\Wait, you little pip-squeak!\I'm not that dumb!\Why you!\Such sorrow from the Sacred Jewel.\Kikyo claims that Inuyasha betrayed her... response:	Inuyasha claims that she betrayed him.
context: That's really funny.\What's that?!\Wait, you little pip-squeak!\I'm not that dumb!\Why you!\Such sorrow from the Sacred Jewel.\Kikyo claims that Inuyasha betrayed her...\Inuyasha claims that she betrayed him. response:	Their stories don't match.
context: What's that?!\Wait, you little pip-squeak!\I'm not that dumb!\Why you!\Such sorrow from the Sacred Jewel.\Kikyo claims that Inuyasha betrayed her...\Inuyasha claims that she betrayed him.\Their stories don't match. response:	Will gathering the fragments lead to the solution of this puzzle?
context: Wait, you little pip-squeak!\I'm not that dumb!\Why you!\Such sorrow from the Sacred Jewel.\Kikyo claims that Inuyasha betrayed her...\Inuyasha claims that she betrayed him.\Their stories don't match.\Will gathering the fragments lead to the solution of this puzzle? response:	To the right...
context: I'm not that dumb!\Why you!\Such sorrow from the Sacred Jewel.\Kikyo claims that Inuyasha betrayed her...\Inuyasha claims that she betrayed him.\Their stories don't match.\Will gathering the fragments lead to the solution of this puzzle?\To the right... response:	I hear there's a young woman working at the rest house up ahead.
context: Why you!\Such sorrow from the Sacred Jewel.\Kikyo claims that Inuyasha betrayed her...\Inuyasha claims that she betrayed him.\Their stories don't match.\Will gathering the fragments lead to the solution of this puzzle?\To the right...\I hear there's a young woman working at the rest house up ahead. response:	They say she's lovely, with fair skin and large eyes.
context: Such sorrow from the Sacred Jewel.\Kikyo claims that Inuyasha betrayed her...\Inuyasha claims that she betrayed him.\Their stories don't match.\Will gathering the fragments lead to the solution of this puzzle?\To the right...\I hear there's a young woman working at the rest house up ahead.\They say she's lovely, with fair skin and large eyes. response:	I'm feeling a bit hungry. Shall we stop in?
context: Kikyo claims that Inuyasha betrayed her...\Inuyasha claims that she betrayed him.\Their stories don't match.\Will gathering the fragments lead to the solution of this puzzle?\To the right...\I hear there's a young woman working at the rest house up ahead.\They say she's lovely, with fair skin and large eyes.\I'm feeling a bit hungry. Shall we stop in? response:	Sure.
context: Inuyasha claims that she betrayed him.\Their stories don't match.\Will gathering the fragments lead to the solution of this puzzle?\To the right...\I hear there's a young woman working at the rest house up ahead.\They say she's lovely, with fair skin and large eyes.\I'm feeling a bit hungry. Shall we stop in?\Sure. response:	To the left...
context: Their stories don't match.\Will gathering the fragments lead to the solution of this puzzle?\To the right...\I hear there's a young woman working at the rest house up ahead.\They say she's lovely, with fair skin and large eyes.\I'm feeling a bit hungry. Shall we stop in?\Sure.\To the left... response:	It's true she has fair skin and large eyes, but...
context: Will gathering the fragments lead to the solution of this puzzle?\To the right...\I hear there's a young woman working at the rest house up ahead.\They say she's lovely, with fair skin and large eyes.\I'm feeling a bit hungry. Shall we stop in?\Sure.\To the left...\It's true she has fair skin and large eyes, but... response:	Here you go.
context: To the right...\I hear there's a young woman working at the rest house up ahead.\They say she's lovely, with fair skin and large eyes.\I'm feeling a bit hungry. Shall we stop in?\Sure.\To the left...\It's true she has fair skin and large eyes, but...\Here you go. response:	Should've gone right.
context: I hear there's a young woman working at the rest house up ahead.\They say she's lovely, with fair skin and large eyes.\I'm feeling a bit hungry. Shall we stop in?\Sure.\To the left...\It's true she has fair skin and large eyes, but...\Here you go.\Should've gone right. response:	I hear the daughter of the lord hereabouts has been possessed...
