context: Opening response:	Nibutani
context: Opening\Nibutani response:	Dimensional Seal
context: Opening\Nibutani\Dimensional Seal response:	Dimensional Seal
context: Opening\Nibutani\Dimensional Seal\Dimensional Seal response:	Shin
context: Opening\Nibutani\Dimensional Seal\Dimensional Seal\Shin response:	ka
context: Opening\Nibutani\Dimensional Seal\Dimensional Seal\Shin\ka response:	Answer by: Wicked Eye
context: Opening\Nibutani\Dimensional Seal\Dimensional Seal\Shin\ka\Answer by: Wicked Eye response:	The Otherworld exists.
context: Opening\Nibutani\Dimensional Seal\Dimensional Seal\Shin\ka\Answer by: Wicked Eye\The Otherworld exists. response:	The Overseers are merely concealing
context: Nibutani\Dimensional Seal\Dimensional Seal\Shin\ka\Answer by: Wicked Eye\The Otherworld exists.\The Overseers are merely concealing response:	all trace of its existence.
context: Dimensional Seal\Dimensional Seal\Shin\ka\Answer by: Wicked Eye\The Otherworld exists.\The Overseers are merely concealing\all trace of its existence. response:	There must be a way to break through their obstacles.
context: Dimensional Seal\Shin\ka\Answer by: Wicked Eye\The Otherworld exists.\The Overseers are merely concealing\all trace of its existence.\There must be a way to break through their obstacles. response:	Forest Summer
context: Shin\ka\Answer by: Wicked Eye\The Otherworld exists.\The Overseers are merely concealing\all trace of its existence.\There must be a way to break through their obstacles.\Forest Summer response:	I don't get it.
context: ka\Answer by: Wicked Eye\The Otherworld exists.\The Overseers are merely concealing\all trace of its existence.\There must be a way to break through their obstacles.\Forest Summer\I don't get it. response:	This's totally beyond me.
context: Answer by: Wicked Eye\The Otherworld exists.\The Overseers are merely concealing\all trace of its existence.\There must be a way to break through their obstacles.\Forest Summer\I don't get it.\This's totally beyond me. response:	Why would Nibutani join that stupid circle?
context: The Otherworld exists.\The Overseers are merely concealing\all trace of its existence.\There must be a way to break through their obstacles.\Forest Summer\I don't get it.\This's totally beyond me.\Why would Nibutani join that stupid circle? response:	She's the Nibutani who won the first cutie poll,
context: The Overseers are merely concealing\all trace of its existence.\There must be a way to break through their obstacles.\Forest Summer\I don't get it.\This's totally beyond me.\Why would Nibutani join that stupid circle?\She's the Nibutani who won the first cutie poll, response:	the girl who's so popular with all the guys in class!
