context: Hey, Karasuno's switching setters. response:	Don't get depressed.
context: Hey, Karasuno's switching setters.\Don't get depressed. response:	We're just changing up the rhythm for a bit.
context: Hey, Karasuno's switching setters.\Don't get depressed.\We're just changing up the rhythm for a bit. response:	I'm sorry.
context: Hey, Karasuno's switching setters.\Don't get depressed.\We're just changing up the rhythm for a bit.\I'm sorry. response:	I'm worried about him, but...
context: Hey, Karasuno's switching setters.\Don't get depressed.\We're just changing up the rhythm for a bit.\I'm sorry.\I'm worried about him, but... response:	If these two break right now, at the same time...
context: Hey, Karasuno's switching setters.\Don't get depressed.\We're just changing up the rhythm for a bit.\I'm sorry.\I'm worried about him, but...\If these two break right now, at the same time... response:	I said I'd be the one that defeats you!
context: Hey, Karasuno's switching setters.\Don't get depressed.\We're just changing up the rhythm for a bit.\I'm sorry.\I'm worried about him, but...\If these two break right now, at the same time...\I said I'd be the one that defeats you! response:	Hinata, you're gonna get in trouble
context: Hey, Karasuno's switching setters.\Don't get depressed.\We're just changing up the rhythm for a bit.\I'm sorry.\I'm worried about him, but...\If these two break right now, at the same time...\I said I'd be the one that defeats you!\Hinata, you're gonna get in trouble response:	So don't lose to anyone else before that!
context: Don't get depressed.\We're just changing up the rhythm for a bit.\I'm sorry.\I'm worried about him, but...\If these two break right now, at the same time...\I said I'd be the one that defeats you!\Hinata, you're gonna get in trouble\So don't lose to anyone else before that! response:	The match isn't over yet,
context: We're just changing up the rhythm for a bit.\I'm sorry.\I'm worried about him, but...\If these two break right now, at the same time...\I said I'd be the one that defeats you!\Hinata, you're gonna get in trouble\So don't lose to anyone else before that!\The match isn't over yet, response:	so I haven't lost.
context: I'm sorry.\I'm worried about him, but...\If these two break right now, at the same time...\I said I'd be the one that defeats you!\Hinata, you're gonna get in trouble\So don't lose to anyone else before that!\The match isn't over yet,\so I haven't lost. response:	You're going to get in trouble!
context: I'm worried about him, but...\If these two break right now, at the same time...\I said I'd be the one that defeats you!\Hinata, you're gonna get in trouble\So don't lose to anyone else before that!\The match isn't over yet,\so I haven't lost.\You're going to get in trouble! response:	Guess I don't have anything to worry about after all.
context: If these two break right now, at the same time...\I said I'd be the one that defeats you!\Hinata, you're gonna get in trouble\So don't lose to anyone else before that!\The match isn't over yet,\so I haven't lost.\You're going to get in trouble!\Guess I don't have anything to worry about after all. response:	Kageyama, make sure you take stock of things from outside the court,
context: I said I'd be the one that defeats you!\Hinata, you're gonna get in trouble\So don't lose to anyone else before that!\The match isn't over yet,\so I haven't lost.\You're going to get in trouble!\Guess I don't have anything to worry about after all.\Kageyama, make sure you take stock of things from outside the court, response:	and use that time to calm down.
context: Hinata, you're gonna get in trouble\So don't lose to anyone else before that!\The match isn't over yet,\so I haven't lost.\You're going to get in trouble!\Guess I don't have anything to worry about after all.\Kageyama, make sure you take stock of things from outside the court,\and use that time to calm down. response:	Watch how your senpai plays.
context: So don't lose to anyone else before that!\The match isn't over yet,\so I haven't lost.\You're going to get in trouble!\Guess I don't have anything to worry about after all.\Kageyama, make sure you take stock of things from outside the court,\and use that time to calm down.\Watch how your senpai plays. response:	Haikyu!!
context: The match isn't over yet,\so I haven't lost.\You're going to get in trouble!\Guess I don't have anything to worry about after all.\Kageyama, make sure you take stock of things from outside the court,\and use that time to calm down.\Watch how your senpai plays.\Haikyu!! response:	Hey!
context: so I haven't lost.\You're going to get in trouble!\Guess I don't have anything to worry about after all.\Kageyama, make sure you take stock of things from outside the court,\and use that time to calm down.\Watch how your senpai plays.\Haikyu!!\Hey! response:	Hey!
context: You're going to get in trouble!\Guess I don't have anything to worry about after all.\Kageyama, make sure you take stock of things from outside the court,\and use that time to calm down.\Watch how your senpai plays.\Haikyu!!\Hey!\Hey! response:	Hey!
context: Guess I don't have anything to worry about after all.\Kageyama, make sure you take stock of things from outside the court,\and use that time to calm down.\Watch how your senpai plays.\Haikyu!!\Hey!\Hey!\Hey! response:	Hey!
context: Kageyama, make sure you take stock of things from outside the court,\and use that time to calm down.\Watch how your senpai plays.\Haikyu!!\Hey!\Hey!\Hey!\Hey! response:	Hey!
context: and use that time to calm down.\Watch how your senpai plays.\Haikyu!!\Hey!\Hey!\Hey!\Hey!\Hey! response:	Episode 21: Senpai's True Abilities
context: Watch how your senpai plays.\Haikyu!!\Hey!\Hey!\Hey!\Hey!\Hey!\Episode 21: Senpai's True Abilities response:	It'll be fine. Let's break their streak.
context: Haikyu!!\Hey!\Hey!\Hey!\Hey!\Hey!\Episode 21: Senpai's True Abilities\It'll be fine. Let's break their streak. response:	All right!
context: Hey!\Hey!\Hey!\Hey!\Hey!\Episode 21: Senpai's True Abilities\It'll be fine. Let's break their streak.\All right! response:	What?
context: Hey!\Hey!\Hey!\Hey!\Episode 21: Senpai's True Abilities\It'll be fine. Let's break their streak.\All right!\What? response:	Jeez, your face is scary.
context: Hey!\Hey!\Hey!\Episode 21: Senpai's True Abilities\It'll be fine. Let's break their streak.\All right!\What?\Jeez, your face is scary. response:	I was born with this face!
context: Hey!\Hey!\Episode 21: Senpai's True Abilities\It'll be fine. Let's break their streak.\All right!\What?\Jeez, your face is scary.\I was born with this face! response:	You were all irritated, and stopped talking as much...
context: Hey!\Episode 21: Senpai's True Abilities\It'll be fine. Let's break their streak.\All right!\What?\Jeez, your face is scary.\I was born with this face!\You were all irritated, and stopped talking as much... response:	I could tell you were thinking, and stuff,
context: Episode 21: Senpai's True Abilities\It'll be fine. Let's break their streak.\All right!\What?\Jeez, your face is scary.\I was born with this face!\You were all irritated, and stopped talking as much...\I could tell you were thinking, and stuff, response:	but if you don't say it out loud, I don't know what you're thinking.
context: It'll be fine. Let's break their streak.\All right!\What?\Jeez, your face is scary.\I was born with this face!\You were all irritated, and stopped talking as much...\I could tell you were thinking, and stuff,\but if you don't say it out loud, I don't know what you're thinking. response:	Wasn't I saying it out loud?
context: All right!\What?\Jeez, your face is scary.\I was born with this face!\You were all irritated, and stopped talking as much...\I could tell you were thinking, and stuff,\but if you don't say it out loud, I don't know what you're thinking.\Wasn't I saying it out loud? response:	Nope... You were quieter than in any other match.
