context: cukorfalat mameshiba response:	-OP-
context: cukorfalat mameshiba\-OP- response:	-ED-
context: cukorfalat mameshiba\-OP-\-ED- response:	-TS-
context: cukorfalat mameshiba\-OP-\-ED-\-TS- response:	This place was our home for 15 years.
context: cukorfalat mameshiba\-OP-\-ED-\-TS-\This place was our home for 15 years. response:	Kids! Dinnertime!
context: cukorfalat mameshiba\-OP-\-ED-\-TS-\This place was our home for 15 years.\Kids! Dinnertime! response:	Sure, Daddy!
context: cukorfalat mameshiba\-OP-\-ED-\-TS-\This place was our home for 15 years.\Kids! Dinnertime!\Sure, Daddy! response:	Today we're having curry!
context: cukorfalat mameshiba\-OP-\-ED-\-TS-\This place was our home for 15 years.\Kids! Dinnertime!\Sure, Daddy!\Today we're having curry! response:	About how the geezer died...
context: -OP-\-ED-\-TS-\This place was our home for 15 years.\Kids! Dinnertime!\Sure, Daddy!\Today we're having curry!\About how the geezer died... response:	About me...
context: -ED-\-TS-\This place was our home for 15 years.\Kids! Dinnertime!\Sure, Daddy!\Today we're having curry!\About how the geezer died...\About me... response:	Yukio hasn't asked anything.
context: -TS-\This place was our home for 15 years.\Kids! Dinnertime!\Sure, Daddy!\Today we're having curry!\About how the geezer died...\About me...\Yukio hasn't asked anything. response:	What could he be thinking?
context: This place was our home for 15 years.\Kids! Dinnertime!\Sure, Daddy!\Today we're having curry!\About how the geezer died...\About me...\Yukio hasn't asked anything.\What could he be thinking? response:	It's time to leave, isn't it?
context: Kids! Dinnertime!\Sure, Daddy!\Today we're having curry!\About how the geezer died...\About me...\Yukio hasn't asked anything.\What could he be thinking?\It's time to leave, isn't it? response:	I already feel so lonely!
context: Sure, Daddy!\Today we're having curry!\About how the geezer died...\About me...\Yukio hasn't asked anything.\What could he be thinking?\It's time to leave, isn't it?\I already feel so lonely! response:	Feel free to drop by anytime!
context: Today we're having curry!\About how the geezer died...\About me...\Yukio hasn't asked anything.\What could he be thinking?\It's time to leave, isn't it?\I already feel so lonely!\Feel free to drop by anytime! response:	This is your home!
context: About how the geezer died...\About me...\Yukio hasn't asked anything.\What could he be thinking?\It's time to leave, isn't it?\I already feel so lonely!\Feel free to drop by anytime!\This is your home! response:	Sure.
context: About me...\Yukio hasn't asked anything.\What could he be thinking?\It's time to leave, isn't it?\I already feel so lonely!\Feel free to drop by anytime!\This is your home!\Sure. response:	By the way, where's Yukio?
context: Yukio hasn't asked anything.\What could he be thinking?\It's time to leave, isn't it?\I already feel so lonely!\Feel free to drop by anytime!\This is your home!\Sure.\By the way, where's Yukio? response:	Did he go back to the dorm already?
context: What could he be thinking?\It's time to leave, isn't it?\I already feel so lonely!\Feel free to drop by anytime!\This is your home!\Sure.\By the way, where's Yukio?\Did he go back to the dorm already? response:	No, but I haven't seen him today.
context: It's time to leave, isn't it?\I already feel so lonely!\Feel free to drop by anytime!\This is your home!\Sure.\By the way, where's Yukio?\Did he go back to the dorm already?\No, but I haven't seen him today. response:	I'm scared!
context: I already feel so lonely!\Feel free to drop by anytime!\This is your home!\Sure.\By the way, where's Yukio?\Did he go back to the dorm already?\No, but I haven't seen him today.\I'm scared! response:	Yukio.
context: Feel free to drop by anytime!\This is your home!\Sure.\By the way, where's Yukio?\Did he go back to the dorm already?\No, but I haven't seen him today.\I'm scared!\Yukio. response:	Yukio, come with Daddy...
context: This is your home!\Sure.\By the way, where's Yukio?\Did he go back to the dorm already?\No, but I haven't seen him today.\I'm scared!\Yukio.\Yukio, come with Daddy... response:	That one-man clown act is late.
context: Sure.\By the way, where's Yukio?\Did he go back to the dorm already?\No, but I haven't seen him today.\I'm scared!\Yukio.\Yukio, come with Daddy...\That one-man clown act is late. response:	And Yukio's not here, either.
context: By the way, where's Yukio?\Did he go back to the dorm already?\No, but I haven't seen him today.\I'm scared!\Yukio.\Yukio, come with Daddy...\That one-man clown act is late.\And Yukio's not here, either. response:	That was close! Where do you think you're driving?!
context: Did he go back to the dorm already?\No, but I haven't seen him today.\I'm scared!\Yukio.\Yukio, come with Daddy...\That one-man clown act is late.\And Yukio's not here, either.\That was close! Where do you think you're driving?! response:	Oh my, what a sunny day!
context: No, but I haven't seen him today.\I'm scared!\Yukio.\Yukio, come with Daddy...\That one-man clown act is late.\And Yukio's not here, either.\That was close! Where do you think you're driving?!\Oh my, what a sunny day! response:	A beautiful clear sky to accompany you on your new journey!
context: I'm scared!\Yukio.\Yukio, come with Daddy...\That one-man clown act is late.\And Yukio's not here, either.\That was close! Where do you think you're driving?!\Oh my, what a sunny day!\A beautiful clear sky to accompany you on your new journey! response:	What's with that car?
context: Yukio.\Yukio, come with Daddy...\That one-man clown act is late.\And Yukio's not here, either.\That was close! Where do you think you're driving?!\Oh my, what a sunny day!\A beautiful clear sky to accompany you on your new journey!\What's with that car? response:	Where the hell are you planning to take me to?
context: Yukio, come with Daddy...\That one-man clown act is late.\And Yukio's not here, either.\That was close! Where do you think you're driving?!\Oh my, what a sunny day!\A beautiful clear sky to accompany you on your new journey!\What's with that car?\Where the hell are you planning to take me to? response:	To True Cross Academy, of course.
context: That one-man clown act is late.\And Yukio's not here, either.\That was close! Where do you think you're driving?!\Oh my, what a sunny day!\A beautiful clear sky to accompany you on your new journey!\What's with that car?\Where the hell are you planning to take me to?\To True Cross Academy, of course. response:	True Cross Academy?
context: And Yukio's not here, either.\That was close! Where do you think you're driving?!\Oh my, what a sunny day!\A beautiful clear sky to accompany you on your new journey!\What's with that car?\Where the hell are you planning to take me to?\To True Cross Academy, of course.\True Cross Academy? response:	Exactly.
context: That was close! Where do you think you're driving?!\Oh my, what a sunny day!\A beautiful clear sky to accompany you on your new journey!\What's with that car?\Where the hell are you planning to take me to?\To True Cross Academy, of course.\True Cross Academy?\Exactly. response:	You know, to the general public I'm the Principal of the Academy.
context: Oh my, what a sunny day!\A beautiful clear sky to accompany you on your new journey!\What's with that car?\Where the hell are you planning to take me to?\To True Cross Academy, of course.\True Cross Academy?\Exactly.\You know, to the general public I'm the Principal of the Academy. response:	And thus from today you will be a student of my Academy as well.
context: A beautiful clear sky to accompany you on your new journey!\What's with that car?\Where the hell are you planning to take me to?\To True Cross Academy, of course.\True Cross Academy?\Exactly.\You know, to the general public I'm the Principal of the Academy.\And thus from today you will be a student of my Academy as well. response:	Sorry for the wait!
context: What's with that car?\Where the hell are you planning to take me to?\To True Cross Academy, of course.\True Cross Academy?\Exactly.\You know, to the general public I'm the Principal of the Academy.\And thus from today you will be a student of my Academy as well.\Sorry for the wait! response:	I'm glad I don't have to be separated from my dear brother!
context: Where the hell are you planning to take me to?\To True Cross Academy, of course.\True Cross Academy?\Exactly.\You know, to the general public I'm the Principal of the Academy.\And thus from today you will be a student of my Academy as well.\Sorry for the wait!\I'm glad I don't have to be separated from my dear brother! response:	Yukio?
context: To True Cross Academy, of course.\True Cross Academy?\Exactly.\You know, to the general public I'm the Principal of the Academy.\And thus from today you will be a student of my Academy as well.\Sorry for the wait!\I'm glad I don't have to be separated from my dear brother!\Yukio? response:	Thank you for going through all this trouble, Mr Faust.
context: True Cross Academy?\Exactly.\You know, to the general public I'm the Principal of the Academy.\And thus from today you will be a student of my Academy as well.\Sorry for the wait!\I'm glad I don't have to be separated from my dear brother!\Yukio?\Thank you for going through all this trouble, Mr Faust. response:	Faust? Weren't you Mephisto?
context: Exactly.\You know, to the general public I'm the Principal of the Academy.\And thus from today you will be a student of my Academy as well.\Sorry for the wait!\I'm glad I don't have to be separated from my dear brother!\Yukio?\Thank you for going through all this trouble, Mr Faust.\Faust? Weren't you Mephisto? response:	Johann Faust V. It's the name I use in public.
context: You know, to the general public I'm the Principal of the Academy.\And thus from today you will be a student of my Academy as well.\Sorry for the wait!\I'm glad I don't have to be separated from my dear brother!\Yukio?\Thank you for going through all this trouble, Mr Faust.\Faust? Weren't you Mephisto?\Johann Faust V. It's the name I use in public. response:	Now let us head to my True Cross Academy!
context: And thus from today you will be a student of my Academy as well.\Sorry for the wait!\I'm glad I don't have to be separated from my dear brother!\Yukio?\Thank you for going through all this trouble, Mr Faust.\Faust? Weren't you Mephisto?\Johann Faust V. It's the name I use in public.\Now let us head to my True Cross Academy! response:	What's going on?
context: Sorry for the wait!\I'm glad I don't have to be separated from my dear brother!\Yukio?\Thank you for going through all this trouble, Mr Faust.\Faust? Weren't you Mephisto?\Johann Faust V. It's the name I use in public.\Now let us head to my True Cross Academy!\What's going on? response:	I asked him to make me an Exorcist...
context: I'm glad I don't have to be separated from my dear brother!\Yukio?\Thank you for going through all this trouble, Mr Faust.\Faust? Weren't you Mephisto?\Johann Faust V. It's the name I use in public.\Now let us head to my True Cross Academy!\What's going on?\I asked him to make me an Exorcist... response:	The hell...
context: Yukio?\Thank you for going through all this trouble, Mr Faust.\Faust? Weren't you Mephisto?\Johann Faust V. It's the name I use in public.\Now let us head to my True Cross Academy!\What's going on?\I asked him to make me an Exorcist...\The hell... response:	What's wrong?
context: Thank you for going through all this trouble, Mr Faust.\Faust? Weren't you Mephisto?\Johann Faust V. It's the name I use in public.\Now let us head to my True Cross Academy!\What's going on?\I asked him to make me an Exorcist...\The hell...\What's wrong? response:	Nothing...
context: Faust? Weren't you Mephisto?\Johann Faust V. It's the name I use in public.\Now let us head to my True Cross Academy!\What's going on?\I asked him to make me an Exorcist...\The hell...\What's wrong?\Nothing... response:	By the way, where were you this morning?
context: Johann Faust V. It's the name I use in public.\Now let us head to my True Cross Academy!\What's going on?\I asked him to make me an Exorcist...\The hell...\What's wrong?\Nothing...\By the way, where were you this morning? response:	I visited Father's grave.
context: Now let us head to my True Cross Academy!\What's going on?\I asked him to make me an Exorcist...\The hell...\What's wrong?\Nothing...\By the way, where were you this morning?\I visited Father's grave. response:	Did you go too?
context: What's going on?\I asked him to make me an Exorcist...\The hell...\What's wrong?\Nothing...\By the way, where were you this morning?\I visited Father's grave.\Did you go too? response:	No...
context: I asked him to make me an Exorcist...\The hell...\What's wrong?\Nothing...\By the way, where were you this morning?\I visited Father's grave.\Did you go too?\No... response:	Too late to do anything about that.
context: The hell...\What's wrong?\Nothing...\By the way, where were you this morning?\I visited Father's grave.\Did you go too?\No...\Too late to do anything about that. response:	We'll soon arrive at the center of True Cross Academy Town.
context: What's wrong?\Nothing...\By the way, where were you this morning?\I visited Father's grave.\Did you go too?\No...\Too late to do anything about that.\We'll soon arrive at the center of True Cross Academy Town. response:	Amazing!
context: Nothing...\By the way, where were you this morning?\I visited Father's grave.\Did you go too?\No...\Too late to do anything about that.\We'll soon arrive at the center of True Cross Academy Town.\Amazing! response:	This is the Academy Town with all of our educational institutions.
context: By the way, where were you this morning?\I visited Father's grave.\Did you go too?\No...\Too late to do anything about that.\We'll soon arrive at the center of True Cross Academy Town.\Amazing!\This is the Academy Town with all of our educational institutions. response:	Please study to your heart's content!
context: I visited Father's grave.\Did you go too?\No...\Too late to do anything about that.\We'll soon arrive at the center of True Cross Academy Town.\Amazing!\This is the Academy Town with all of our educational institutions.\Please study to your heart's content! response:	Okumura, change to your uniform.
context: Did you go too?\No...\Too late to do anything about that.\We'll soon arrive at the center of True Cross Academy Town.\Amazing!\This is the Academy Town with all of our educational institutions.\Please study to your heart's content!\Okumura, change to your uniform. response:	Would it have hurt to tell me earlier?
context: No...\Too late to do anything about that.\We'll soon arrive at the center of True Cross Academy Town.\Amazing!\This is the Academy Town with all of our educational institutions.\Please study to your heart's content!\Okumura, change to your uniform.\Would it have hurt to tell me earlier? response:	You're good at tying your necktie.
context: Too late to do anything about that.\We'll soon arrive at the center of True Cross Academy Town.\Amazing!\This is the Academy Town with all of our educational institutions.\Please study to your heart's content!\Okumura, change to your uniform.\Would it have hurt to tell me earlier?\You're good at tying your necktie. response:	I can't trust him.
context: We'll soon arrive at the center of True Cross Academy Town.\Amazing!\This is the Academy Town with all of our educational institutions.\Please study to your heart's content!\Okumura, change to your uniform.\Would it have hurt to tell me earlier?\You're good at tying your necktie.\I can't trust him. response:	Yukio's being himself and asking nothing.
context: Amazing!\This is the Academy Town with all of our educational institutions.\Please study to your heart's content!\Okumura, change to your uniform.\Would it have hurt to tell me earlier?\You're good at tying your necktie.\I can't trust him.\Yukio's being himself and asking nothing. response:	Hey Yukio. Were you surprised that a dropout like me got into your True Cross Academy too?
context: This is the Academy Town with all of our educational institutions.\Please study to your heart's content!\Okumura, change to your uniform.\Would it have hurt to tell me earlier?\You're good at tying your necktie.\I can't trust him.\Yukio's being himself and asking nothing.\Hey Yukio. Were you surprised that a dropout like me got into your True Cross Academy too? response:	Huh? Sorry, I'm a bit nervous...
context: Please study to your heart's content!\Okumura, change to your uniform.\Would it have hurt to tell me earlier?\You're good at tying your necktie.\I can't trust him.\Yukio's being himself and asking nothing.\Hey Yukio. Were you surprised that a dropout like me got into your True Cross Academy too?\Huh? Sorry, I'm a bit nervous... response:	Freshmen representative, Yukio Okumura.
context: Okumura, change to your uniform.\Would it have hurt to tell me earlier?\You're good at tying your necktie.\I can't trust him.\Yukio's being himself and asking nothing.\Hey Yukio. Were you surprised that a dropout like me got into your True Cross Academy too?\Huh? Sorry, I'm a bit nervous...\Freshmen representative, Yukio Okumura. response:	Yes.
context: Would it have hurt to tell me earlier?\You're good at tying your necktie.\I can't trust him.\Yukio's being himself and asking nothing.\Hey Yukio. Were you surprised that a dropout like me got into your True Cross Academy too?\Huh? Sorry, I'm a bit nervous...\Freshmen representative, Yukio Okumura.\Yes. response:	Yukio's...!
context: You're good at tying your necktie.\I can't trust him.\Yukio's being himself and asking nothing.\Hey Yukio. Were you surprised that a dropout like me got into your True Cross Academy too?\Huh? Sorry, I'm a bit nervous...\Freshmen representative, Yukio Okumura.\Yes.\Yukio's...! response:	The freshmen representative got the highest grade on the entrance exam, right?
context: I can't trust him.\Yukio's being himself and asking nothing.\Hey Yukio. Were you surprised that a dropout like me got into your True Cross Academy too?\Huh? Sorry, I'm a bit nervous...\Freshmen representative, Yukio Okumura.\Yes.\Yukio's...!\The freshmen representative got the highest grade on the entrance exam, right? response:	Amazing!
context: Yukio's being himself and asking nothing.\Hey Yukio. Were you surprised that a dropout like me got into your True Cross Academy too?\Huh? Sorry, I'm a bit nervous...\Freshmen representative, Yukio Okumura.\Yes.\Yukio's...!\The freshmen representative got the highest grade on the entrance exam, right?\Amazing! response:	Yuuka, isn't he cool?
context: Hey Yukio. Were you surprised that a dropout like me got into your True Cross Academy too?\Huh? Sorry, I'm a bit nervous...\Freshmen representative, Yukio Okumura.\Yes.\Yukio's...!\The freshmen representative got the highest grade on the entrance exam, right?\Amazing!\Yuuka, isn't he cool? response:	Passing through the gates of the Academy I so admired,
context: Huh? Sorry, I'm a bit nervous...\Freshmen representative, Yukio Okumura.\Yes.\Yukio's...!\The freshmen representative got the highest grade on the entrance exam, right?\Amazing!\Yuuka, isn't he cool?\Passing through the gates of the Academy I so admired, response:	I feel nervous just as much as grateful.
context: Freshmen representative, Yukio Okumura.\Yes.\Yukio's...!\The freshmen representative got the highest grade on the entrance exam, right?\Amazing!\Yuuka, isn't he cool?\Passing through the gates of the Academy I so admired,\I feel nervous just as much as grateful. response:	That crybaby who always got bullied...
context: Yes.\Yukio's...!\The freshmen representative got the highest grade on the entrance exam, right?\Amazing!\Yuuka, isn't he cool?\Passing through the gates of the Academy I so admired,\I feel nervous just as much as grateful.\That crybaby who always got bullied... response:	All the more, I hope we will be able to further our skills through friendly competition.
context: Yukio's...!\The freshmen representative got the highest grade on the entrance exam, right?\Amazing!\Yuuka, isn't he cool?\Passing through the gates of the Academy I so admired,\I feel nervous just as much as grateful.\That crybaby who always got bullied...\All the more, I hope we will be able to further our skills through friendly competition. response:	I'm the freshmen representative, Yukio Okumura.
context: The freshmen representative got the highest grade on the entrance exam, right?\Amazing!\Yuuka, isn't he cool?\Passing through the gates of the Academy I so admired,\I feel nervous just as much as grateful.\That crybaby who always got bullied...\All the more, I hope we will be able to further our skills through friendly competition.\I'm the freshmen representative, Yukio Okumura. response:	Freshmen! I'll be leading you around the Academy, so please follow me.
context: Amazing!\Yuuka, isn't he cool?\Passing through the gates of the Academy I so admired,\I feel nervous just as much as grateful.\That crybaby who always got bullied...\All the more, I hope we will be able to further our skills through friendly competition.\I'm the freshmen representative, Yukio Okumura.\Freshmen! I'll be leading you around the Academy, so please follow me. response:	Okumura, what faculty are you in?
context: Yuuka, isn't he cool?\Passing through the gates of the Academy I so admired,\I feel nervous just as much as grateful.\That crybaby who always got bullied...\All the more, I hope we will be able to further our skills through friendly competition.\I'm the freshmen representative, Yukio Okumura.\Freshmen! I'll be leading you around the Academy, so please follow me.\Okumura, what faculty are you in? response:	The Special Advancement faculty...
context: Passing through the gates of the Academy I so admired,\I feel nervous just as much as grateful.\That crybaby who always got bullied...\All the more, I hope we will be able to further our skills through friendly competition.\I'm the freshmen representative, Yukio Okumura.\Freshmen! I'll be leading you around the Academy, so please follow me.\Okumura, what faculty are you in?\The Special Advancement faculty... response:	Wow! And you're so tall, too!
context: I feel nervous just as much as grateful.\That crybaby who always got bullied...\All the more, I hope we will be able to further our skills through friendly competition.\I'm the freshmen representative, Yukio Okumura.\Freshmen! I'll be leading you around the Academy, so please follow me.\Okumura, what faculty are you in?\The Special Advancement faculty...\Wow! And you're so tall, too! response:	Huh, you want to become a doctor?
context: That crybaby who always got bullied...\All the more, I hope we will be able to further our skills through friendly competition.\I'm the freshmen representative, Yukio Okumura.\Freshmen! I'll be leading you around the Academy, so please follow me.\Okumura, what faculty are you in?\The Special Advancement faculty...\Wow! And you're so tall, too!\Huh, you want to become a doctor? response:	Well, um, that's...
context: All the more, I hope we will be able to further our skills through friendly competition.\I'm the freshmen representative, Yukio Okumura.\Freshmen! I'll be leading you around the Academy, so please follow me.\Okumura, what faculty are you in?\The Special Advancement faculty...\Wow! And you're so tall, too!\Huh, you want to become a doctor?\Well, um, that's... response:	Amazing!
context: I'm the freshmen representative, Yukio Okumura.\Freshmen! I'll be leading you around the Academy, so please follow me.\Okumura, what faculty are you in?\The Special Advancement faculty...\Wow! And you're so tall, too!\Huh, you want to become a doctor?\Well, um, that's...\Amazing! response:	That's so cool! You'll be the best doc ever!
context: Freshmen! I'll be leading you around the Academy, so please follow me.\Okumura, what faculty are you in?\The Special Advancement faculty...\Wow! And you're so tall, too!\Huh, you want to become a doctor?\Well, um, that's...\Amazing!\That's so cool! You'll be the best doc ever! response:	Well... I don't know...
