context: It's so pretty. response:	I know.
context: It's so pretty.\I know. response:	What's taking Futaro so long?
context: It's so pretty.\I know.\What's taking Futaro so long? response:	We're just acquaintances.
context: It's so pretty.\I know.\What's taking Futaro so long?\We're just acquaintances. response:	When a girl changes her hairstyle, you have to compliment her.
context: It's so pretty.\I know.\What's taking Futaro so long?\We're just acquaintances.\When a girl changes her hairstyle, you have to compliment her. response:	I just got called in for urgent work.
context: It's so pretty.\I know.\What's taking Futaro so long?\We're just acquaintances.\When a girl changes her hairstyle, you have to compliment her.\I just got called in for urgent work. response:	So I can't watch the fireworks.
context: It's so pretty.\I know.\What's taking Futaro so long?\We're just acquaintances.\When a girl changes her hairstyle, you have to compliment her.\I just got called in for urgent work.\So I can't watch the fireworks. response:	Besides, y'know, we all look the same. It won't matter if one of us isn't there.
context: It's so pretty.\I know.\What's taking Futaro so long?\We're just acquaintances.\When a girl changes her hairstyle, you have to compliment her.\I just got called in for urgent work.\So I can't watch the fireworks.\Besides, y'know, we all look the same. It won't matter if one of us isn't there. response:	That's a bit of a stretch.
context: I know.\What's taking Futaro so long?\We're just acquaintances.\When a girl changes her hairstyle, you have to compliment her.\I just got called in for urgent work.\So I can't watch the fireworks.\Besides, y'know, we all look the same. It won't matter if one of us isn't there.\That's a bit of a stretch. response:	Sorry, someone's waiting for me.
context: What's taking Futaro so long?\We're just acquaintances.\When a girl changes her hairstyle, you have to compliment her.\I just got called in for urgent work.\So I can't watch the fireworks.\Besides, y'know, we all look the same. It won't matter if one of us isn't there.\That's a bit of a stretch.\Sorry, someone's waiting for me. response:	Hey.
context: We're just acquaintances.\When a girl changes her hairstyle, you have to compliment her.\I just got called in for urgent work.\So I can't watch the fireworks.\Besides, y'know, we all look the same. It won't matter if one of us isn't there.\That's a bit of a stretch.\Sorry, someone's waiting for me.\Hey. response:	Tell me what's going on.
context: When a girl changes her hairstyle, you have to compliment her.\I just got called in for urgent work.\So I can't watch the fireworks.\Besides, y'know, we all look the same. It won't matter if one of us isn't there.\That's a bit of a stretch.\Sorry, someone's waiting for me.\Hey.\Tell me what's going on. response:	Why?
context: I just got called in for urgent work.\So I can't watch the fireworks.\Besides, y'know, we all look the same. It won't matter if one of us isn't there.\That's a bit of a stretch.\Sorry, someone's waiting for me.\Hey.\Tell me what's going on.\Why? response:	Why are you going out of your way for us?
context: So I can't watch the fireworks.\Besides, y'know, we all look the same. It won't matter if one of us isn't there.\That's a bit of a stretch.\Sorry, someone's waiting for me.\Hey.\Tell me what's going on.\Why?\Why are you going out of your way for us? response:	Because you're our tutor?
context: Besides, y'know, we all look the same. It won't matter if one of us isn't there.\That's a bit of a stretch.\Sorry, someone's waiting for me.\Hey.\Tell me what's going on.\Why?\Why are you going out of your way for us?\Because you're our tutor? response:	Good question!
context: That's a bit of a stretch.\Sorry, someone's waiting for me.\Hey.\Tell me what's going on.\Why?\Why are you going out of your way for us?\Because you're our tutor?\Good question! response:	Why?
context: Sorry, someone's waiting for me.\Hey.\Tell me what's going on.\Why?\Why are you going out of your way for us?\Because you're our tutor?\Good question!\Why? response:	You're right!
context: Hey.\Tell me what's going on.\Why?\Why are you going out of your way for us?\Because you're our tutor?\Good question!\Why?\You're right! response:	Like, objectively speaking, why am I poking my nose into your business?
