context: The festival was wonderful! response:	Say, Nishimi-san, I'd love to hear you play the piano again!
context: The festival was wonderful!\Say, Nishimi-san, I'd love to hear you play the piano again! response:	Let me hear it, too!
context: The festival was wonderful!\Say, Nishimi-san, I'd love to hear you play the piano again!\Let me hear it, too! response:	Would you like a persimmon?
context: The festival was wonderful!\Say, Nishimi-san, I'd love to hear you play the piano again!\Let me hear it, too!\Would you like a persimmon? response:	Uh...
context: The festival was wonderful!\Say, Nishimi-san, I'd love to hear you play the piano again!\Let me hear it, too!\Would you like a persimmon?\Uh... response:	I'm with the photography club! Let me get a shot!
context: The festival was wonderful!\Say, Nishimi-san, I'd love to hear you play the piano again!\Let me hear it, too!\Would you like a persimmon?\Uh...\I'm with the photography club! Let me get a shot! response:	Stand next to each other, you two!
context: The festival was wonderful!\Say, Nishimi-san, I'd love to hear you play the piano again!\Let me hear it, too!\Would you like a persimmon?\Uh...\I'm with the photography club! Let me get a shot!\Stand next to each other, you two! response:	This is the birth of the legendary duo of East High!
context: The festival was wonderful!\Say, Nishimi-san, I'd love to hear you play the piano again!\Let me hear it, too!\Would you like a persimmon?\Uh...\I'm with the photography club! Let me get a shot!\Stand next to each other, you two!\This is the birth of the legendary duo of East High! response:	Could you stand closer to each other?
context: Say, Nishimi-san, I'd love to hear you play the piano again!\Let me hear it, too!\Would you like a persimmon?\Uh...\I'm with the photography club! Let me get a shot!\Stand next to each other, you two!\This is the birth of the legendary duo of East High!\Could you stand closer to each other? response:	Like this?
context: Let me hear it, too!\Would you like a persimmon?\Uh...\I'm with the photography club! Let me get a shot!\Stand next to each other, you two!\This is the birth of the legendary duo of East High!\Could you stand closer to each other?\Like this? response:	Yes!
context: Would you like a persimmon?\Uh...\I'm with the photography club! Let me get a shot!\Stand next to each other, you two!\This is the birth of the legendary duo of East High!\Could you stand closer to each other?\Like this?\Yes! response:	Hey, when did you two become friends?
context: Uh...\I'm with the photography club! Let me get a shot!\Stand next to each other, you two!\This is the birth of the legendary duo of East High!\Could you stand closer to each other?\Like this?\Yes!\Hey, when did you two become friends? response:	Where do you practice?
