context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still. response:	But right now, I'm walking to a distant place.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place. response:	That's right, ever since I met you on this road.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road. response:	The travellers witnessed the song, the forbidden song,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song, response:	And I became attached to it as I heard it alone with you.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you. response:	If the world I saw in my dreams exists somewhere,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere, response:	Let's go search for it, beyond the winds.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds. response:	Whether it's a freezing dawn,
context: Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn, response:	A dry midday,
context: But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday, response:	A shivering night,
context: That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night, response:	or the ends of the Earth, let's go and see it.
context: The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it. response:	What's wrong?
context: And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\What's wrong? response:	The air is wavering.
context: If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\What's wrong?\The air is wavering. response:	The market is nearby.
context: Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\What's wrong?\The air is wavering.\The market is nearby. response:	Isn't that why?
context: Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\What's wrong?\The air is wavering.\The market is nearby.\Isn't that why? response:	No, it's wavering.
context: A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\What's wrong?\The air is wavering.\The market is nearby.\Isn't that why?\No, it's wavering. response:	Water...
context: A shivering night,\or the ends of the Earth, let's go and see it.\What's wrong?\The air is wavering.\The market is nearby.\Isn't that why?\No, it's wavering.\Water... response:	The sound of splashing water.
context: or the ends of the Earth, let's go and see it.\What's wrong?\The air is wavering.\The market is nearby.\Isn't that why?\No, it's wavering.\Water...\The sound of splashing water. response:	From where?
context: What's wrong?\The air is wavering.\The market is nearby.\Isn't that why?\No, it's wavering.\Water...\The sound of splashing water.\From where? response:	In front!
context: The air is wavering.\The market is nearby.\Isn't that why?\No, it's wavering.\Water...\The sound of splashing water.\From where?\In front! response:	No, we've got to fall back!
context: The market is nearby.\Isn't that why?\No, it's wavering.\Water...\The sound of splashing water.\From where?\In front!\No, we've got to fall back! response:	Is there only a single path?
context: Isn't that why?\No, it's wavering.\Water...\The sound of splashing water.\From where?\In front!\No, we've got to fall back!\Is there only a single path? response:	The path we're using is a single one!
context: No, it's wavering.\Water...\The sound of splashing water.\From where?\In front!\No, we've got to fall back!\Is there only a single path?\The path we're using is a single one! response:	I don't think even I have the confidence to not get lost in here.
context: Water...\The sound of splashing water.\From where?\In front!\No, we've got to fall back!\Is there only a single path?\The path we're using is a single one!\I don't think even I have the confidence to not get lost in here. response:	What is it?
context: The sound of splashing water.\From where?\In front!\No, we've got to fall back!\Is there only a single path?\The path we're using is a single one!\I don't think even I have the confidence to not get lost in here.\What is it? response:	Even if we run, they'll catch up to us.
context: From where?\In front!\No, we've got to fall back!\Is there only a single path?\The path we're using is a single one!\I don't think even I have the confidence to not get lost in here.\What is it?\Even if we run, they'll catch up to us. response:	They've let dogs loose.
context: In front!\No, we've got to fall back!\Is there only a single path?\The path we're using is a single one!\I don't think even I have the confidence to not get lost in here.\What is it?\Even if we run, they'll catch up to us.\They've let dogs loose. response:	What?
context: No, we've got to fall back!\Is there only a single path?\The path we're using is a single one!\I don't think even I have the confidence to not get lost in here.\What is it?\Even if we run, they'll catch up to us.\They've let dogs loose.\What? response:	They're stupid ones.
context: Is there only a single path?\The path we're using is a single one!\I don't think even I have the confidence to not get lost in here.\What is it?\Even if we run, they'll catch up to us.\They've let dogs loose.\What?\They're stupid ones. response:	Well, cover your ears.
context: The path we're using is a single one!\I don't think even I have the confidence to not get lost in here.\What is it?\Even if we run, they'll catch up to us.\They've let dogs loose.\What?\They're stupid ones.\Well, cover your ears. response:	What's this sound?
context: I don't think even I have the confidence to not get lost in here.\What is it?\Even if we run, they'll catch up to us.\They've let dogs loose.\What?\They're stupid ones.\Well, cover your ears.\What's this sound? response:	I want to eat apples.
context: What is it?\Even if we run, they'll catch up to us.\They've let dogs loose.\What?\They're stupid ones.\Well, cover your ears.\What's this sound?\I want to eat apples. response:	I'll let you eat as many as you want later.
context: Even if we run, they'll catch up to us.\They've let dogs loose.\What?\They're stupid ones.\Well, cover your ears.\What's this sound?\I want to eat apples.\I'll let you eat as many as you want later. response:	Wolf and Silent Farewell
context: They've let dogs loose.\What?\They're stupid ones.\Well, cover your ears.\What's this sound?\I want to eat apples.\I'll let you eat as many as you want later.\Wolf and Silent Farewell response:	How did they figure it out, though?
context: What?\They're stupid ones.\Well, cover your ears.\What's this sound?\I want to eat apples.\I'll let you eat as many as you want later.\Wolf and Silent Farewell\How did they figure it out, though? response:	It's not that they figured it out.
context: They're stupid ones.\Well, cover your ears.\What's this sound?\I want to eat apples.\I'll let you eat as many as you want later.\Wolf and Silent Farewell\How did they figure it out, though?\It's not that they figured it out. response:	They probably went underground and found us by coincidence.
context: Well, cover your ears.\What's this sound?\I want to eat apples.\I'll let you eat as many as you want later.\Wolf and Silent Farewell\How did they figure it out, though?\It's not that they figured it out.\They probably went underground and found us by coincidence. response:	If they had known, they would've pinned us on both sides.
