context: Chiffon Cake response:	Cheesecake
context: Chiffon Cake\Cheesecake response:	Did I wake you? I'm sorry.
context: Chiffon Cake\Cheesecake\Did I wake you? I'm sorry. response:	Papa!
context: Chiffon Cake\Cheesecake\Did I wake you? I'm sorry.\Papa! response:	You'll catch a cold sleeping there, Mari.
context: Chiffon Cake\Cheesecake\Did I wake you? I'm sorry.\Papa!\You'll catch a cold sleeping there, Mari. response:	I know. But I wanted to read a little more of this book.
context: Chiffon Cake\Cheesecake\Did I wake you? I'm sorry.\Papa!\You'll catch a cold sleeping there, Mari.\I know. But I wanted to read a little more of this book. response:	Cheesecake I know. But I wanted to read a little more of this book.
context: Chiffon Cake\Cheesecake\Did I wake you? I'm sorry.\Papa!\You'll catch a cold sleeping there, Mari.\I know. But I wanted to read a little more of this book.\Cheesecake I know. But I wanted to read a little more of this book. response:	Cheesecake I want to be like you and Mama.
context: Chiffon Cake\Cheesecake\Did I wake you? I'm sorry.\Papa!\You'll catch a cold sleeping there, Mari.\I know. But I wanted to read a little more of this book.\Cheesecake I know. But I wanted to read a little more of this book.\Cheesecake I want to be like you and Mama. response:	Cheesecake I see.
context: Cheesecake\Did I wake you? I'm sorry.\Papa!\You'll catch a cold sleeping there, Mari.\I know. But I wanted to read a little more of this book.\Cheesecake I know. But I wanted to read a little more of this book.\Cheesecake I want to be like you and Mama.\Cheesecake I see. response:	I see.
context: Did I wake you? I'm sorry.\Papa!\You'll catch a cold sleeping there, Mari.\I know. But I wanted to read a little more of this book.\Cheesecake I know. But I wanted to read a little more of this book.\Cheesecake I want to be like you and Mama.\Cheesecake I see.\I see. response:	Will I be able to, if I read lots of books?
context: Papa!\You'll catch a cold sleeping there, Mari.\I know. But I wanted to read a little more of this book.\Cheesecake I know. But I wanted to read a little more of this book.\Cheesecake I want to be like you and Mama.\Cheesecake I see.\I see.\Will I be able to, if I read lots of books? response:	Yes, you will.
context: You'll catch a cold sleeping there, Mari.\I know. But I wanted to read a little more of this book.\Cheesecake I know. But I wanted to read a little more of this book.\Cheesecake I want to be like you and Mama.\Cheesecake I see.\I see.\Will I be able to, if I read lots of books?\Yes, you will. response:	Then you just have to think about a lot of things and try them yourself.
context: I know. But I wanted to read a little more of this book.\Cheesecake I know. But I wanted to read a little more of this book.\Cheesecake I want to be like you and Mama.\Cheesecake I see.\I see.\Will I be able to, if I read lots of books?\Yes, you will.\Then you just have to think about a lot of things and try them yourself. response:	Think?
