context: Silver Wings response:	If you believe, your dream will come true.
context: Silver Wings\If you believe, your dream will come true. response:	That's probably true.
context: Silver Wings\If you believe, your dream will come true.\That's probably true. response:	UPPER RANK
context: Silver Wings\If you believe, your dream will come true.\That's probably true.\UPPER RANK response:	However, one part is missing.
context: Silver Wings\If you believe, your dream will come true.\That's probably true.\UPPER RANK\However, one part is missing. response:	If you believe and keep working hard,
context: Silver Wings\If you believe, your dream will come true.\That's probably true.\UPPER RANK\However, one part is missing.\If you believe and keep working hard, response:	your dream will come true.
context: Silver Wings\If you believe, your dream will come true.\That's probably true.\UPPER RANK\However, one part is missing.\If you believe and keep working hard,\your dream will come true. response:	That's the correct one.
context: Silver Wings\If you believe, your dream will come true.\That's probably true.\UPPER RANK\However, one part is missing.\If you believe and keep working hard,\your dream will come true.\That's the correct one. response:	But I could go on.
context: If you believe, your dream will come true.\That's probably true.\UPPER RANK\However, one part is missing.\If you believe and keep working hard,\your dream will come true.\That's the correct one.\But I could go on. response:	If you believe,
context: That's probably true.\UPPER RANK\However, one part is missing.\If you believe and keep working hard,\your dream will come true.\That's the correct one.\But I could go on.\If you believe, response:	and work hard at it every day, for even an hour longer than all of your rivals,
context: UPPER RANK\However, one part is missing.\If you believe and keep working hard,\your dream will come true.\That's the correct one.\But I could go on.\If you believe,\and work hard at it every day, for even an hour longer than all of your rivals, response:	there's a good chance your dream will come true to some extent.
context: However, one part is missing.\If you believe and keep working hard,\your dream will come true.\That's the correct one.\But I could go on.\If you believe,\and work hard at it every day, for even an hour longer than all of your rivals,\there's a good chance your dream will come true to some extent. response:	The shorter version works better as a catchphrase.
context: If you believe and keep working hard,\your dream will come true.\That's the correct one.\But I could go on.\If you believe,\and work hard at it every day, for even an hour longer than all of your rivals,\there's a good chance your dream will come true to some extent.\The shorter version works better as a catchphrase. response:	IF YOU BELIEVE, YOUR DREAM WILL COME TRUE
context: your dream will come true.\That's the correct one.\But I could go on.\If you believe,\and work hard at it every day, for even an hour longer than all of your rivals,\there's a good chance your dream will come true to some extent.\The shorter version works better as a catchphrase.\IF YOU BELIEVE, YOUR DREAM WILL COME TRUE response:	But I think that's too abridged.
context: That's the correct one.\But I could go on.\If you believe,\and work hard at it every day, for even an hour longer than all of your rivals,\there's a good chance your dream will come true to some extent.\The shorter version works better as a catchphrase.\IF YOU BELIEVE, YOUR DREAM WILL COME TRUE\But I think that's too abridged. response:	That way, it sounds like
context: But I could go on.\If you believe,\and work hard at it every day, for even an hour longer than all of your rivals,\there's a good chance your dream will come true to some extent.\The shorter version works better as a catchphrase.\IF YOU BELIEVE, YOUR DREAM WILL COME TRUE\But I think that's too abridged.\That way, it sounds like response:	you don't have to do anything, but just believe and your dream would come true.
context: If you believe,\and work hard at it every day, for even an hour longer than all of your rivals,\there's a good chance your dream will come true to some extent.\The shorter version works better as a catchphrase.\IF YOU BELIEVE, YOUR DREAM WILL COME TRUE\But I think that's too abridged.\That way, it sounds like\you don't have to do anything, but just believe and your dream would come true. response:	I'd like to ask whoever chopped it down to a short length
context: and work hard at it every day, for even an hour longer than all of your rivals,\there's a good chance your dream will come true to some extent.\The shorter version works better as a catchphrase.\IF YOU BELIEVE, YOUR DREAM WILL COME TRUE\But I think that's too abridged.\That way, it sounds like\you don't have to do anything, but just believe and your dream would come true.\I'd like to ask whoever chopped it down to a short length response:	what they were thinking when they did it.
context: there's a good chance your dream will come true to some extent.\The shorter version works better as a catchphrase.\IF YOU BELIEVE, YOUR DREAM WILL COME TRUE\But I think that's too abridged.\That way, it sounds like\you don't have to do anything, but just believe and your dream would come true.\I'd like to ask whoever chopped it down to a short length\what they were thinking when they did it. response:	Hey, Junkei!
context: The shorter version works better as a catchphrase.\IF YOU BELIEVE, YOUR DREAM WILL COME TRUE\But I think that's too abridged.\That way, it sounds like\you don't have to do anything, but just believe and your dream would come true.\I'd like to ask whoever chopped it down to a short length\what they were thinking when they did it.\Hey, Junkei! response:	What dan are you right now?
context: IF YOU BELIEVE, YOUR DREAM WILL COME TRUE\But I think that's too abridged.\That way, it sounds like\you don't have to do anything, but just believe and your dream would come true.\I'd like to ask whoever chopped it down to a short length\what they were thinking when they did it.\Hey, Junkei!\What dan are you right now? response:	Were you a professional now?
context: But I think that's too abridged.\That way, it sounds like\you don't have to do anything, but just believe and your dream would come true.\I'd like to ask whoever chopped it down to a short length\what they were thinking when they did it.\Hey, Junkei!\What dan are you right now?\Were you a professional now? response:	Fifth dan.
context: That way, it sounds like\you don't have to do anything, but just believe and your dream would come true.\I'd like to ask whoever chopped it down to a short length\what they were thinking when they did it.\Hey, Junkei!\What dan are you right now?\Were you a professional now?\Fifth dan. response:	Huh! Really?
context: you don't have to do anything, but just believe and your dream would come true.\I'd like to ask whoever chopped it down to a short length\what they were thinking when they did it.\Hey, Junkei!\What dan are you right now?\Were you a professional now?\Fifth dan.\Huh! Really? response:	I don't really know what that means, though!
context: I'd like to ask whoever chopped it down to a short length\what they were thinking when they did it.\Hey, Junkei!\What dan are you right now?\Were you a professional now?\Fifth dan.\Huh! Really?\I don't really know what that means, though! response:	So, do professional shogi players make bank?
context: what they were thinking when they did it.\Hey, Junkei!\What dan are you right now?\Were you a professional now?\Fifth dan.\Huh! Really?\I don't really know what that means, though!\So, do professional shogi players make bank? response:	But hey, can you like, get famous and be on TV?
